Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,3.04,3.05,2.61,2.74,563300,2.74
2016-11-30,3.15,3.15,2.91,3.05,608100,3.05
2016-11-29,3.39,3.39,3.03,3.12,505400,3.12
2016-11-28,3.57,3.58,3.36,3.39,270200,3.39
2016-11-25,3.41,3.56,3.36,3.54,178500,3.54
2016-11-23,3.58,3.61,3.35,3.43,221900,3.43
2016-11-22,4.05,4.15,3.49,3.55,689000,3.55
2016-11-21,3.58,4.75,3.42,3.91,1939300,3.91
2016-11-18,3.32,3.70,3.15,3.58,507000,3.58
2016-11-17,3.52,3.62,3.32,3.36,326800,3.36
2016-11-16,3.74,3.74,3.50,3.52,405700,3.52
2016-11-15,3.57,3.74,3.53,3.67,398900,3.67
2016-11-14,4.00,4.00,3.40,3.54,480400,3.54
2016-11-11,0.20,0.21,0.19,0.21,4400400,4.20
2016-11-10,0.20,0.22,0.18,0.20,4249000,4.00
2016-11-09,0.17,0.21,0.16,0.19,4024000,3.80
2016-11-08,0.19,0.19,0.18,0.18,1592700,3.60
2016-11-07,0.20,0.21,0.18,0.19,1655800,3.80
2016-11-04,0.19,0.19,0.18,0.19,2580700,3.80
2016-11-03,0.20,0.20,0.18,0.18,2372700,3.60
2016-11-02,0.19,0.21,0.19,0.19,2951600,3.80
2016-11-01,0.22,0.22,0.17,0.19,7543000,3.80
2016-10-31,0.25,0.26,0.22,0.23,3893200,4.60
2016-10-28,0.27,0.27,0.25,0.25,3757000,5.00
2016-10-27,0.27,0.28,0.26,0.27,3407800,5.40
2016-10-26,0.29,0.30,0.27,0.27,1847900,5.40
2016-10-25,0.28,0.30,0.27,0.29,2270400,5.80
2016-10-24,0.30,0.30,0.28,0.28,1833200,5.60
2016-10-21,0.31,0.31,0.28,0.28,3031300,5.60
2016-10-20,0.28,0.35,0.28,0.31,11575200,6.20
2016-10-19,0.27,0.27,0.27,0.27,1460100,5.40
2016-10-18,0.28,0.28,0.27,0.27,2238300,5.40
2016-10-17,0.29,0.29,0.28,0.28,1366200,5.60
2016-10-14,0.28,0.30,0.28,0.28,2058900,5.60
2016-10-13,0.27,0.28,0.26,0.28,1623900,5.60
2016-10-12,0.29,0.30,0.26,0.28,4274700,5.60
2016-10-11,0.30,0.30,0.28,0.29,4755700,5.80
2016-10-10,0.32,0.32,0.30,0.30,2433600,6.00
2016-10-07,0.33,0.33,0.31,0.31,1919000,6.20
2016-10-06,0.33,0.33,0.32,0.32,1546700,6.40
2016-10-05,0.32,0.33,0.32,0.33,1434700,6.60
2016-10-04,0.34,0.34,0.32,0.32,1596000,6.40
2016-10-03,0.35,0.35,0.33,0.33,1741800,6.60
2016-09-30,0.33,0.35,0.32,0.35,1939000,7.00
2016-09-29,0.34,0.35,0.33,0.33,3173100,6.60
2016-09-28,0.35,0.37,0.34,0.35,3777600,7.00
2016-09-27,0.36,0.36,0.34,0.34,1693500,6.80
2016-09-26,0.36,0.37,0.35,0.35,2781200,7.00
2016-09-23,0.38,0.39,0.36,0.36,2344700,7.20
2016-09-22,0.36,0.37,0.36,0.37,3254700,7.40
2016-09-21,0.38,0.39,0.34,0.36,4917200,7.20
2016-09-20,0.34,0.41,0.33,0.38,15243500,7.60
2016-09-19,0.32,0.34,0.32,0.32,2459400,6.40
2016-09-16,0.33,0.33,0.32,0.32,4092300,6.40
2016-09-15,0.33,0.34,0.31,0.33,4209800,6.60
2016-09-14,0.36,0.36,0.32,0.33,4758100,6.60
2016-09-13,0.35,0.38,0.34,0.35,4352000,7.00
2016-09-12,0.37,0.37,0.34,0.35,7055400,7.00
2016-09-09,0.40,0.41,0.38,0.38,3737700,7.60
2016-09-08,0.41,0.41,0.40,0.40,2306800,8.00
2016-09-07,0.40,0.41,0.40,0.41,2008300,8.20
2016-09-06,0.40,0.41,0.39,0.40,2296200,8.00
2016-09-02,0.40,0.42,0.40,0.40,2584400,8.00
2016-09-01,0.40,0.41,0.39,0.40,3669900,8.00
2016-08-31,0.41,0.41,0.40,0.40,2816600,8.00
2016-08-30,0.42,0.43,0.41,0.41,2004700,8.20
