Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,24.940001,24.940001,24.549999,24.74,5700,24.74
2016-11-30,24.620001,25.10,24.60,25.10,3000,25.10
2016-11-29,24.469999,25.370001,24.469999,25.34,5000,25.34
2016-11-28,24.90,25.290001,24.870001,25.290001,9600,25.290001
2016-11-25,24.73,24.73,24.73,24.73,600,24.73
2016-11-23,25.139999,25.34,24.610001,25.01,3700,25.01
2016-11-22,25.00,25.15,24.889999,25.139999,3500,25.139999
2016-11-21,24.40,25.190001,24.40,24.74,6200,24.74
2016-11-18,24.23,25.00,24.23,24.41,16600,24.41
2016-11-17,24.540001,24.969999,24.24,24.34,27100,24.34
2016-11-16,24.57,24.57,23.51,24.51,10700,24.51
2016-11-15,24.469999,24.629999,24.25,24.610001,19000,24.610001
2016-11-14,24.25,24.629999,23.51,24.370001,13200,24.370001
2016-11-11,24.32,25.15,24.32,24.799999,2600,24.799999
2016-11-10,25.10,25.200001,23.139999,24.940001,7800,24.940001
2016-11-09,24.950001,25.299999,24.92,25.120001,14100,25.120001
2016-11-08,25.18,25.870001,24.809999,25.360001,1700,25.360001
2016-11-07,25.540001,25.540001,25.50,25.50,1400,25.50
2016-11-04,25.690001,25.700001,25.690001,25.700001,700,25.700001
2016-11-03,25.709999,25.709999,25.41,25.50,4800,25.50
2016-11-02,25.379999,25.76,25.209999,25.76,7200,25.76
2016-11-01,25.440001,25.60,25.40,25.60,7600,25.60
2016-10-31,25.60,25.60,25.42,25.450001,1300,25.450001
2016-10-28,25.799999,25.83,25.799999,25.799999,2700,25.799999
2016-10-27,25.91,26.10,25.91,26.10,2300,25.616
2016-10-26,25.91,26.09,25.82,26.09,8300,25.606185
2016-10-25,25.950001,25.98,25.84,25.84,2300,25.360821
2016-10-24,25.90,25.93,25.74,25.74,700,25.262675
2016-10-21,25.700001,25.99,25.700001,25.99,3100,25.508039
2016-10-20,25.700001,25.889999,25.59,25.879999,7000,25.400078
2016-10-19,25.60,25.60,25.60,25.60,2500,25.125272
2016-10-18,25.40,25.68,25.40,25.530001,2700,25.05657
2016-10-17,25.559999,25.559999,25.309999,25.32,4800,24.850464
2016-10-14,25.57,25.690001,25.57,25.68,3300,25.203788
2016-10-13,25.610001,25.700001,25.32,25.32,6700,24.850464
2016-10-12,25.65,25.690001,25.540001,25.59,3000,25.115457
2016-10-11,25.35,25.690001,25.32,25.690001,800,25.213603
2016-10-10,25.50,25.780001,25.34,25.66,9800,25.184159
2016-10-07,25.52,25.84,25.370001,25.40,14000,24.92898
2016-10-06,25.60,25.65,25.49,25.59,25400,25.115457
2016-10-05,25.68,25.809999,25.370001,25.68,13400,25.203788
2016-10-04,25.530001,25.75,24.50,25.68,11700,25.203788
2016-10-03,25.559999,25.809999,25.50,25.809999,5700,25.331377
2016-09-30,25.879999,25.889999,25.559999,25.809999,6000,25.331377
2016-09-29,25.90,25.90,25.90,25.90,1000,25.419708
2016-09-28,25.610001,25.969999,25.610001,25.940001,5000,25.458967
