Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,8.28,8.50,8.24,8.45,220000,8.45
2016-11-30,8.23,8.29,8.05,8.27,279700,8.27
2016-11-29,8.14,8.21,8.09,8.18,176400,8.18
2016-11-28,8.24,8.30,8.07,8.10,174700,8.10
2016-11-25,8.13,8.31,8.12,8.31,163200,8.31
2016-11-23,8.08,8.13,8.08,8.12,154100,8.12
2016-11-22,8.12,8.13,8.03,8.13,156000,8.13
2016-11-21,8.13,8.13,7.95,8.04,232600,8.04
2016-11-18,8.00,8.10,7.96,8.10,171300,8.10
2016-11-17,7.96,8.04,7.96,8.04,89900,8.04
2016-11-16,8.00,8.04,7.95,7.99,111400,7.99
2016-11-15,7.97,8.09,7.97,8.00,94400,8.00
2016-11-14,8.10,8.15,8.05,8.12,271600,8.05
2016-11-11,7.97,8.02,7.95,8.02,164000,7.950863
2016-11-10,7.88,7.94,7.86,7.93,137600,7.861638
2016-11-09,7.75,7.92,7.70,7.86,201500,7.792242
2016-11-08,7.85,7.85,7.77,7.81,72300,7.742672
2016-11-07,7.96,7.96,7.78,7.82,124300,7.752586
2016-11-04,7.39,7.77,7.37,7.74,163600,7.673276
2016-11-03,7.47,7.48,7.33,7.37,160700,7.306465
2016-11-02,7.55,7.61,7.42,7.49,156800,7.425431
2016-11-01,7.75,7.80,7.50,7.55,380500,7.484914
2016-10-31,7.90,7.94,7.77,7.78,183300,7.712931
2016-10-28,7.92,7.92,7.81,7.87,94900,7.802155
2016-10-27,7.90,7.95,7.89,7.89,234200,7.821983
2016-10-26,7.90,7.93,7.75,7.86,822700,7.792242
2016-10-25,8.35,8.35,8.18,8.19,81300,8.119396
2016-10-24,8.29,8.37,8.24,8.33,48400,8.25819
2016-10-21,8.20,8.37,8.20,8.31,39700,8.238363
2016-10-20,8.36,8.43,8.16,8.18,108400,8.109483
2016-10-19,8.55,8.55,8.40,8.42,119900,8.347414
2016-10-18,8.40,8.65,8.39,8.60,184700,8.456466
2016-10-17,8.41,8.42,8.32,8.33,123100,8.190972
2016-10-14,8.34,8.45,8.33,8.42,107300,8.27947
2016-10-13,8.16,8.33,8.16,8.32,99900,8.181138
2016-10-12,8.10,8.25,8.10,8.23,60000,8.09264
2016-10-11,8.17,8.22,8.12,8.14,84600,8.004143
2016-10-10,8.19,8.25,8.15,8.19,76800,8.053308
2016-10-07,8.26,8.26,8.17,8.18,55100,8.043475
2016-10-06,8.17,8.26,8.17,8.22,45800,8.082808
2016-10-05,8.23,8.26,8.18,8.18,75500,8.043475
2016-10-04,8.15,8.21,8.15,8.21,51800,8.072975
2016-10-03,8.07,8.17,8.02,8.11,82000,7.974643
2016-09-30,8.09,8.22,8.05,8.13,92600,7.99431
2016-09-29,8.01,8.08,8.01,8.06,30100,7.925478
2016-09-28,8.01,8.08,7.98,8.05,97800,7.915645
2016-09-27,7.94,8.15,7.94,8.02,105400,7.886146
2016-09-26,7.98,8.03,7.93,7.93,53000,7.797648
2016-09-23,7.87,8.08,7.87,7.93,99900,7.797648
2016-09-22,8.20,8.22,7.96,8.00,197100,7.866479
2016-09-21,8.20,8.22,8.15,8.22,46800,8.082808
2016-09-20,8.21,8.23,8.16,8.19,86300,8.053308
2016-09-19,8.11,8.31,8.11,8.23,96300,8.09264
2016-09-16,8.12,8.16,8.06,8.14,97000,7.935311
2016-09-15,8.14,8.19,8.06,8.10,80300,7.896317
2016-09-14,8.12,8.26,8.07,8.18,124100,7.974305
2016-09-13,8.02,8.13,7.88,8.07,227500,7.867071
2016-09-12,8.37,8.41,8.00,8.03,405100,7.828077
2016-09-09,8.63,8.64,8.37,8.46,173300,8.247264
2016-09-08,8.66,8.69,8.60,8.64,109000,8.422738
2016-09-07,8.66,8.71,8.60,8.71,119300,8.490978
2016-09-06,8.60,8.67,8.60,8.64,111000,8.422738
2016-09-02,8.65,8.65,8.57,8.65,82200,8.432486
2016-09-01,8.70,8.75,8.57,8.63,106500,8.41299
2016-08-31,8.67,8.70,8.56,8.69,71000,8.47148
2016-08-30,8.58,8.69,8.56,8.63,143200,8.41299
2016-08-29,8.52,8.58,8.52,8.55,124500,8.335001
2016-08-26,8.47,8.58,8.47,8.52,129800,8.305756
2016-08-25,8.52,8.53,8.41,8.43,134400,8.218019
