Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,7.78,8.40,6.54,7.45,2895000,7.45
2016-11-30,5.19,8.77,5.12,6.78,7638000,6.78
2016-11-29,3.50,6.67,3.06,5.57,6597900,5.57
2016-11-28,4.02,8.19,2.50,3.81,6285500,3.81
2016-11-25,4.15,4.22,3.26,3.57,191100,3.57
2016-11-23,3.52,4.95,3.50,4.13,953500,4.13
2016-11-22,4.50,4.75,3.48,3.50,373800,3.50
2016-11-21,6.30,6.60,4.56,4.95,239200,4.95
2016-11-18,6.75,8.25,5.13,5.86,885200,5.86
2016-11-17,17.17,19.50,5.21,5.93,1942000,5.93
2016-11-16,7.00,23.60,6.10,14.23,4873700,14.23
2016-11-15,3.50,6.38,3.35,4.94,743300,4.94
2016-11-14,2.45,3.36,2.18,2.86,224600,2.86
2016-11-11,2.55,3.56,2.07,2.23,343700,2.23
2016-11-10,1.80,2.95,1.80,2.40,270400,2.40
2016-11-09,1.69,1.99,1.66,1.81,40900,1.81
2016-11-08,1.72,1.74,1.72,1.74,7200,1.74
2016-11-07,1.82,1.89,1.75,1.75,22000,1.75
2016-11-04,1.95,1.97,1.75,1.82,53200,1.82
2016-11-03,1.78,2.15,1.63,1.91,84000,1.91
2016-11-02,1.68,1.88,1.68,1.80,70900,1.80
2016-11-01,1.64,1.88,1.62,1.83,82100,1.83
2016-10-31,1.88,1.89,1.66,1.66,16800,1.66
2016-10-28,1.82,1.89,1.82,1.83,1700,1.83
2016-10-27,1.86,1.87,1.82,1.82,15200,1.82
2016-10-26,1.82,1.88,1.82,1.83,13800,1.83
2016-10-25,1.98,1.98,1.83,1.83,16100,1.83
2016-10-24,2.09,2.09,1.82,2.00,32100,2.00
2016-10-21,1.92,2.39,1.81,2.02,139500,2.02
2016-10-20,1.78,2.04,1.52,1.92,78600,1.92
2016-10-19,0.56,0.63,0.47,0.47,235700,1.88
2016-10-18,0.56,0.57,0.50,0.55,18700,2.20
2016-10-17,0.60,0.60,0.50,0.56,53700,2.24
2016-10-14,0.61,0.67,0.55,0.59,62400,2.36
2016-10-13,0.67,0.67,0.61,0.61,7900,2.44
2016-10-12,0.70,0.70,0.65,0.65,17500,2.60
2016-10-11,0.68,0.70,0.65,0.65,48500,2.60
2016-10-10,0.70,0.73,0.70,0.71,51500,2.84
2016-10-07,0.70,0.74,0.70,0.70,38600,2.80
2016-10-06,0.70,0.79,0.70,0.71,137900,2.84
2016-10-05,0.73,0.73,0.67,0.71,20600,2.84
2016-10-04,0.70,0.72,0.70,0.70,21900,2.80
2016-10-03,0.70,0.74,0.70,0.71,22200,2.84
2016-09-30,0.71,0.73,0.70,0.72,35700,2.88
2016-09-29,0.71,0.75,0.70,0.70,83500,2.80
2016-09-28,0.70,0.71,0.70,0.71,33300,2.84
2016-09-27,0.70,0.72,0.70,0.70,18100,2.80
2016-09-26,0.69,0.75,0.65,0.70,158700,2.80
2016-09-23,0.69,0.72,0.69,0.70,65300,2.80
2016-09-22,0.65,0.72,0.64,0.69,200800,2.76
2016-09-21,0.65,0.67,0.64,0.65,74300,2.60
2016-09-20,0.68,0.68,0.64,0.67,42300,2.68
2016-09-19,0.68,0.68,0.63,0.65,115200,2.60
2016-09-16,0.67,0.69,0.66,0.68,26700,2.72
2016-09-15,0.69,0.69,0.66,0.68,67800,2.72
2016-09-14,0.66,0.69,0.66,0.69,21000,2.76
2016-09-13,0.66,0.68,0.66,0.66,22000,2.64
2016-09-12,0.67,0.70,0.66,0.67,52700,2.68
2016-09-09,0.68,0.70,0.65,0.69,98800,2.76
2016-09-08,0.65,0.71,0.65,0.66,245900,2.64
2016-09-07,0.62,0.68,0.62,0.65,158200,2.60
2016-09-06,0.68,0.68,0.62,0.63,83500,2.52
2016-09-02,0.65,0.68,0.62,0.65,67600,2.60
2016-09-01,0.65,0.73,0.64,0.65,499200,2.60
2016-08-31,0.66,0.69,0.61,0.69,29600,2.76
2016-08-30,0.71,0.71,0.60,0.65,134800,2.60
2016-08-29,0.66,0.70,0.65,0.70,153300,2.80
2016-08-26,0.66,0.74,0.62,0.65,655200,2.60
2016-08-25,0.65,0.72,0.61,0.62,147600,2.48
2016-08-24,0.62,0.67,0.58,0.62,197000,2.48
2016-08-23,0.57,0.65,0.57,0.59,25400,2.36
2016-08-22,0.57,0.60,0.57,0.58,48600,2.32
2016-08-19,0.58,0.61,0.57,0.57,112500,2.28
2016-08-18,0.59,0.62,0.58,0.58,74900,2.32
2016-08-17,0.64,0.70,0.59,0.59,149300,2.36
2016-08-16,0.70,0.75,0.61,0.68,119100,2.72
2016-08-15,0.72,0.73,0.66,0.70,43600,2.80
2016-08-12,0.69,0.72,0.67,0.68,54000,2.72
2016-08-11,0.65,0.74,0.65,0.68,116500,2.72
2016-08-10,0.69,0.74,0.63,0.69,244900,2.76
2016-08-09,0.73,0.73,0.64,0.66,61600,2.64
2016-08-08,0.64,0.73,0.64,0.68,206000,2.72
2016-08-05,0.65,0.88,0.56,0.71,1513300,2.84
2016-08-04,0.60,0.64,0.56,0.62,298800,2.48
2016-08-03,0.82,0.83,0.60,0.60,868200,2.40
2016-08-02,0.60,1.19,0.58,0.82,9408700,3.28
2016-08-01,0.50,0.64,0.50,0.56,474200,2.24
2016-07-29,0.49,0.49,0.46,0.48,14700,1.92
2016-07-28,0.50,0.52,0.46,0.49,75000,1.96
2016-07-27,0.53,0.53,0.45,0.52,88300,2.08
2016-07-26,0.56,0.56,0.49,0.52,73200,2.08
2016-07-25,0.57,0.57,0.48,0.53,164100,2.12
2016-07-22,0.62,0.62,0.45,0.53,479000,2.12
2016-07-21,0.78,0.80,0.51,0.53,1642000,2.12
2016-07-20,0.44,0.85,0.44,0.80,4106200,3.20
2016-07-19,0.45,0.45,0.41,0.44,15200,1.76
2016-07-18,0.44,0.45,0.43,0.44,10200,1.76
2016-07-15,0.41,0.45,0.41,0.43,56400,1.72
2016-07-14,0.41,0.44,0.41,0.41,38300,1.64
2016-07-13,0.36,0.46,0.35,0.44,90400,1.76
2016-07-12,0.44,0.46,0.35,0.44,63400,1.76
2016-07-11,0.42,0.45,0.41,0.44,38800,1.76
2016-07-08,0.42,0.44,0.39,0.43,45100,1.72
2016-07-07,0.44,0.44,0.41,0.42,9300,1.68
2016-07-06,0.46,0.46,0.41,0.41,21900,1.64
2016-07-05,0.43,0.45,0.43,0.44,7000,1.76
2016-07-01,0.48,0.48,0.41,0.41,58500,1.64
2016-06-30,0.49,0.49,0.43,0.45,16900,1.80
2016-06-29,0.50,0.50,0.45,0.49,16100,1.96
2016-06-28,0.49,0.50,0.49,0.50,17400,2.00
2016-06-27,0.49,0.52,0.49,0.50,20000,2.00
2016-06-24,0.54,0.54,0.50,0.50,27500,2.00
2016-06-23,0.56,0.56,0.54,0.55,11000,2.20
2016-06-22,0.56,0.57,0.50,0.55,62100,2.20
2016-06-21,0.48,0.56,0.48,0.56,77700,2.24
2016-06-20,0.50,0.56,0.48,0.53,34200,2.12
2016-06-17,0.48,0.55,0.48,0.50,74600,2.00
