Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,10.75,10.89,10.31,10.49,9200,10.49
2016-11-30,10.25,10.85,10.25,10.82,900,10.82
2016-11-29,10.99,11.02,10.08,10.08,15300,10.08
2016-11-28,10.90,10.92,10.83,10.92,4500,10.92
2016-11-25,10.64,10.64,10.64,10.64,000,10.64
2016-11-23,11.40,11.40,10.61,10.64,5800,10.64
2016-11-22,10.55,10.55,10.31,10.36,2800,10.36
2016-11-21,10.30,10.50,10.30,10.47,1500,10.47
2016-11-18,10.18,10.20,10.10,10.20,1600,10.20
2016-11-17,10.18,10.18,10.18,10.18,100,10.18
2016-11-16,10.06,10.06,10.05,10.05,6700,10.05
2016-11-15,10.05,10.05,10.05,10.05,600,10.05
2016-11-14,10.20,10.20,10.05,10.05,4400,10.05
2016-11-11,10.16,10.16,10.08,10.08,1600,10.08
2016-11-10,10.10,10.20,10.05,10.05,6900,10.05
2016-11-09,10.01,10.05,10.01,10.05,1100,10.05
2016-11-08,9.98,9.98,9.98,9.98,000,9.98
2016-11-07,9.98,9.98,9.98,9.98,500,9.98
2016-11-04,10.13,10.13,10.13,10.13,300,10.13
2016-11-03,10.20,10.20,10.20,10.20,000,10.20
2016-11-02,10.20,10.20,10.20,10.20,000,10.20
2016-11-01,10.20,10.20,10.20,10.20,200,10.20
2016-10-31,10.00,10.00,10.00,10.00,000,10.00
2016-10-28,10.01,10.01,10.00,10.00,2200,10.00
2016-10-27,10.00,10.00,10.00,10.00,000,10.00
2016-10-26,10.10,10.10,10.00,10.00,2000,10.00
2016-10-25,10.20,10.20,10.20,10.20,300,10.20
2016-10-24,10.20,10.20,10.20,10.20,2900,10.20
2016-10-21,10.00,10.00,9.99,9.99,1900,9.99
2016-10-20,9.98,10.00,9.98,10.00,400,10.00
2016-10-19,10.09,10.09,10.09,10.09,000,9.99
2016-10-18,10.09,10.09,10.09,10.09,000,9.99
2016-10-17,10.10,10.10,10.09,10.09,1300,9.99
2016-10-14,10.00,10.07,9.94,9.94,700,9.841486
2016-10-13,10.20,10.20,10.02,10.05,2800,9.950396
2016-10-12,10.18,10.18,10.18,10.18,100,10.079108
2016-10-11,10.22,10.25,10.11,10.11,5200,10.009801
2016-10-10,10.40,10.54,10.20,10.25,12600,10.148414
2016-10-07,10.40,10.40,10.40,10.40,000,10.296927
