Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,3.04,3.41,2.95,3.36,17500,3.36
2016-11-30,0.36,0.37,0.32,0.32,81800,3.20
2016-11-29,0.32,0.36,0.31,0.32,199400,3.20
2016-11-28,0.35,0.35,0.32,0.34,114500,3.40
2016-11-25,0.33,0.35,0.33,0.34,22400,3.40
2016-11-23,0.32,0.33,0.31,0.33,59500,3.30
2016-11-22,0.37,0.37,0.31,0.31,89000,3.10
2016-11-21,0.37,0.37,0.33,0.34,181400,3.40
2016-11-18,0.39,0.39,0.37,0.38,235500,3.80
2016-11-17,0.39,0.39,0.35,0.39,78900,3.90
2016-11-16,0.39,0.40,0.39,0.39,52700,3.90
2016-11-15,0.37,0.39,0.36,0.38,65900,3.80
2016-11-14,0.35,0.38,0.35,0.36,99800,3.60
2016-11-11,0.40,0.40,0.36,0.38,65900,3.80
2016-11-10,0.36,0.38,0.36,0.38,53300,3.80
2016-11-09,0.32,0.37,0.31,0.36,32300,3.60
2016-11-08,0.36,0.36,0.34,0.35,54400,3.50
2016-11-07,0.29,0.45,0.29,0.34,274900,3.40
2016-11-04,0.29,0.30,0.28,0.29,56400,2.90
2016-11-03,0.32,0.32,0.28,0.28,42600,2.80
2016-11-02,0.31,0.32,0.28,0.31,30200,3.10
2016-11-01,0.30,0.34,0.27,0.31,38600,3.10
2016-10-31,0.31,0.31,0.27,0.31,215300,3.10
2016-10-28,0.34,0.34,0.29,0.30,309500,3.00
2016-10-27,0.30,0.35,0.30,0.32,54400,3.20
2016-10-26,0.38,0.38,0.30,0.31,136800,3.10
2016-10-25,0.38,0.38,0.35,0.35,85200,3.50
2016-10-24,0.37,0.38,0.36,0.36,49400,3.60
2016-10-21,0.40,0.40,0.34,0.38,323100,3.80
2016-10-20,0.38,0.43,0.37,0.38,52400,3.80
2016-10-19,0.39,0.41,0.38,0.38,118300,3.80
2016-10-18,0.36,0.39,0.36,0.39,50700,3.90
2016-10-17,0.38,0.40,0.36,0.37,65100,3.70
2016-10-14,0.39,0.39,0.37,0.38,82800,3.80
2016-10-13,0.43,0.43,0.37,0.37,103300,3.70
2016-10-12,0.43,0.43,0.40,0.41,77700,4.10
2016-10-11,0.45,0.45,0.40,0.43,36900,4.30
2016-10-10,0.42,0.43,0.41,0.41,42500,4.10
2016-10-07,0.42,0.43,0.41,0.42,106900,4.20
2016-10-06,0.41,0.44,0.40,0.41,103600,4.10
2016-10-05,0.42,0.44,0.41,0.41,99500,4.10
2016-10-04,0.45,0.45,0.40,0.43,593900,4.30
2016-10-03,0.46,0.47,0.43,0.43,184500,4.30
2016-09-30,0.48,0.50,0.46,0.47,292600,4.70
2016-09-29,0.51,0.52,0.45,0.48,211700,4.80
2016-09-28,0.50,0.52,0.49,0.49,63300,4.90
2016-09-27,0.52,0.52,0.49,0.50,164600,5.00
2016-09-26,0.50,0.53,0.49,0.49,30600,4.90
2016-09-23,0.49,0.53,0.49,0.50,151200,5.00
2016-09-22,0.51,0.53,0.49,0.49,90200,4.90
2016-09-21,0.53,0.54,0.50,0.51,52500,5.10
2016-09-20,0.52,0.54,0.50,0.52,96300,5.20
2016-09-19,0.52,0.55,0.50,0.53,92000,5.30
2016-09-16,0.54,0.54,0.49,0.51,315500,5.10
2016-09-15,0.54,0.56,0.53,0.55,94200,5.50
2016-09-14,0.54,0.56,0.52,0.56,25300,5.60
2016-09-13,0.54,0.55,0.52,0.54,10000,5.40
2016-09-12,0.56,0.57,0.52,0.55,92200,5.50
2016-09-09,0.57,0.57,0.53,0.55,23000,5.50
2016-09-08,0.57,0.57,0.52,0.56,68900,5.60
2016-09-07,0.56,0.58,0.54,0.54,85700,5.40
2016-09-06,0.53,0.56,0.53,0.56,81600,5.60
2016-09-02,0.55,0.55,0.48,0.51,227900,5.10
2016-09-01,0.51,0.59,0.51,0.53,40800,5.30
2016-08-31,0.57,0.57,0.52,0.53,270000,5.30
2016-08-30,0.60,0.60,0.57,0.57,73500,5.70
2016-08-29,0.62,0.65,0.58,0.61,116200,6.10
2016-08-26,0.64,0.67,0.58,0.61,116500,6.10
2016-08-25,0.67,0.67,0.63,0.63,24000,6.30
2016-08-24,0.64,0.67,0.63,0.65,75800,6.50
2016-08-23,0.70,0.71,0.61,0.65,266900,6.50
2016-08-22,0.76,0.76,0.67,0.69,323600,6.90
2016-08-19,0.67,0.74,0.66,0.73,715800,7.30
2016-08-18,0.64,0.70,0.63,0.67,545200,6.70
2016-08-17,0.62,0.65,0.60,0.63,121800,6.30
2016-08-16,0.61,0.64,0.60,0.62,55500,6.20
2016-08-15,0.61,0.62,0.58,0.60,40500,6.00
2016-08-12,0.62,0.62,0.57,0.59,25700,5.90
2016-08-11,0.57,0.63,0.57,0.60,20000,6.00
2016-08-10,0.59,0.61,0.57,0.57,54000,5.70
2016-08-09,0.60,0.63,0.59,0.60,131900,6.00
2016-08-08,0.57,0.63,0.57,0.60,48400,6.00
2016-08-05,0.59,0.60,0.57,0.59,58400,5.90
2016-08-04,0.59,0.60,0.56,0.56,101800,5.60
2016-08-03,0.59,0.61,0.58,0.60,95100,6.00
2016-08-02,0.62,0.62,0.57,0.61,163800,6.10
2016-08-01,0.57,0.67,0.57,0.61,556100,6.10
2016-07-29,0.62,0.65,0.58,0.59,57100,5.90
2016-07-28,0.59,0.62,0.59,0.60,38500,6.00
2016-07-27,0.62,0.65,0.57,0.59,156100,5.90
2016-07-26,0.62,0.64,0.59,0.61,119500,6.10
2016-07-25,0.70,0.73,0.57,0.59,794000,5.90
2016-07-22,0.61,0.63,0.60,0.60,22000,6.00
2016-07-21,0.64,0.64,0.60,0.61,17300,6.10
2016-07-20,0.58,0.70,0.57,0.64,272900,6.40
2016-07-19,0.59,0.61,0.59,0.60,6500,6.00
2016-07-18,0.58,0.62,0.58,0.61,14900,6.10
2016-07-15,0.59,0.62,0.58,0.60,5000,6.00
2016-07-14,0.55,0.61,0.55,0.58,59600,5.80
2016-07-13,0.59,0.62,0.55,0.60,28900,6.00
2016-07-12,0.55,0.64,0.55,0.61,313300,6.10
2016-07-11,0.54,0.58,0.54,0.58,17400,5.80
2016-07-08,0.56,0.58,0.53,0.56,25900,5.60
2016-07-07,0.56,0.58,0.55,0.58,34300,5.80
2016-07-06,0.59,0.60,0.48,0.55,101000,5.50
2016-07-05,0.59,0.61,0.57,0.58,13700,5.80
2016-07-01,0.57,0.61,0.57,0.59,13800,5.90
2016-06-30,0.58,0.60,0.57,0.57,40700,5.70
2016-06-29,0.61,0.61,0.59,0.59,16600,5.90
2016-06-28,0.61,0.62,0.58,0.60,55200,6.00
2016-06-27,0.63,0.63,0.58,0.58,90400,5.80
2016-06-24,0.59,0.63,0.59,0.63,92300,6.30
2016-06-23,0.63,0.63,0.61,0.61,8600,6.10
2016-06-22,0.62,0.64,0.60,0.61,57400,6.10
