Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,25.17,25.17,25.16,25.17,3500,25.17
2016-11-30,25.32,25.32,25.209999,25.209999,5400,25.209999
2016-11-29,25.190001,25.33,25.190001,25.32,1200,25.32
2016-11-28,25.26,25.360001,25.08,25.299999,2700,25.299999
2016-11-25,25.25,25.290001,25.25,25.25,1000,25.25
2016-11-23,25.129999,25.209999,25.110001,25.18,2500,25.18
2016-11-22,25.290001,25.290001,25.290001,25.290001,000,25.290001
2016-11-21,25.27,25.290001,25.10,25.290001,4200,25.290001
2016-11-18,25.10,25.10,25.10,25.10,000,25.10
2016-11-17,25.10,25.10,25.10,25.10,000,25.10
2016-11-16,25.190001,25.190001,25.08,25.10,2700,25.10
2016-11-15,25.440001,25.440001,25.040001,25.10,7900,25.10
2016-11-14,25.08,25.290001,25.059999,25.15,2400,24.994
2016-11-11,25.25,25.280001,25.07,25.07,4900,24.914497
2016-11-10,25.299999,25.299999,25.299999,25.299999,1000,25.143069
2016-11-09,25.15,25.33,25.15,25.33,1500,25.172884
2016-11-08,25.32,25.32,25.32,25.32,400,25.162946
2016-11-07,25.280001,25.34,25.280001,25.34,1300,25.182822
2016-11-04,25.24,25.309999,25.24,25.309999,900,25.153008
2016-11-03,25.200001,25.200001,25.200001,25.200001,000,25.043691
2016-11-02,25.25,25.25,25.16,25.200001,2500,25.043691
2016-11-01,25.42,25.42,25.18,25.200001,800,25.043691
2016-10-31,25.34,25.34,25.34,25.34,000,25.182822
2016-10-28,25.42,25.42,25.34,25.34,700,25.182822
2016-10-27,25.33,25.33,25.33,25.33,300,25.172884
2016-10-26,25.209999,25.209999,25.209999,25.209999,200,25.053628
2016-10-25,25.23,25.23,25.23,25.23,700,25.073504
2016-10-24,25.25,25.370001,25.25,25.370001,1100,25.212637
2016-10-21,25.43,25.43,25.389999,25.389999,700,25.232511
2016-10-20,25.32,25.389999,25.299999,25.35,1200,25.19276
2016-10-19,25.25,25.25,25.25,25.25,100,25.09338
2016-10-18,25.33,25.35,25.33,25.33,1100,25.017852
2016-10-17,25.25,25.25,25.25,25.25,000,24.938838
2016-10-14,25.200001,25.27,25.200001,25.25,1000,24.938838
2016-10-13,25.34,25.34,25.34,25.34,600,25.027729
2016-10-12,25.209999,25.26,25.15,25.17,4700,24.859824
2016-10-11,25.299999,25.35,25.16,25.16,7700,24.849947
2016-10-10,25.290001,25.299999,25.219999,25.25,2100,24.938838
2016-10-07,25.540001,25.540001,25.23,25.40,5500,25.086989
2016-10-06,25.290001,25.290001,25.27,25.280001,700,24.968469
2016-10-05,25.309999,25.309999,25.309999,25.309999,000,24.998098
2016-10-04,25.299999,25.32,25.25,25.309999,2700,24.998098
2016-10-03,25.35,25.35,25.290001,25.290001,500,24.978346
2016-09-30,25.360001,25.360001,25.27,25.27,600,24.958592
2016-09-29,25.299999,25.299999,25.299999,25.299999,200,24.988221
2016-09-28,25.389999,25.389999,25.25,25.290001,1000,24.978346
2016-09-27,25.299999,25.35,25.299999,25.35,1100,25.037606
2016-09-26,25.309999,25.360001,25.15,25.34,7500,25.027729
2016-09-23,25.33,25.33,25.290001,25.33,900,25.017852
2016-09-22,25.40,25.40,25.33,25.33,1900,25.017852
2016-09-21,25.35,25.35,25.35,25.35,100,25.037606
2016-09-20,25.370001,25.370001,25.26,25.32,2500,25.007975
2016-09-19,25.35,25.35,25.26,25.34,800,25.027729
2016-09-16,25.299999,25.51,25.299999,25.49,3300,25.021802
2016-09-15,25.459999,25.459999,25.120001,25.27,8900,24.805844
2016-09-14,25.450001,25.450001,25.450001,25.450001,600,24.982538
2016-09-13,25.57,25.59,25.559999,25.57,2200,25.100333
2016-09-12,25.450001,25.57,25.389999,25.57,1400,25.100333
2016-09-09,25.370001,25.370001,25.370001,25.370001,500,24.904008
2016-09-08,25.57,25.57,25.57,25.57,100,25.100333
2016-09-07,25.530001,25.530001,25.35,25.360001,4300,24.894191
2016-09-06,25.41,25.530001,25.41,25.530001,1900,25.061069
2016-09-02,25.40,25.40,25.40,25.40,500,24.933455
2016-09-01,25.50,25.58,25.42,25.440001,1500,24.972721
2016-08-31,25.450001,25.450001,25.450001,25.450001,000,24.982538
2016-08-30,25.43,25.450001,25.43,25.450001,600,24.982538
2016-08-29,25.360001,25.40,25.309999,25.309999,1000,24.845108
2016-08-26,25.51,25.51,25.299999,25.40,1900,24.933455
2016-08-25,25.50,25.50,25.50,25.50,600,25.031619
2016-08-24,25.40,25.40,25.40,25.40,000,24.933455
2016-08-23,25.49,25.50,25.40,25.40,2200,24.933455
2016-08-22,25.35,25.60,25.35,25.60,5700,25.129782
2016-08-19,25.40,25.40,25.290001,25.290001,500,24.825477
2016-08-18,25.40,25.40,25.40,25.40,100,24.933455
2016-08-17,25.40,25.440001,25.40,25.440001,500,24.819586
2016-08-16,25.469999,25.50,25.469999,25.50,600,24.878122
2016-08-15,25.450001,25.450001,25.450001,25.450001,700,24.829342
2016-08-12,25.389999,25.450001,25.389999,25.450001,1700,24.829342
2016-08-11,25.440001,25.440001,25.440001,25.440001,000,24.819586
2016-08-10,25.49,25.49,25.43,25.440001,1100,24.819586
2016-08-09,25.50,25.50,25.450001,25.49,1800,24.868366
2016-08-08,25.34,25.50,25.34,25.42,2800,24.800073
2016-08-05,25.33,25.34,25.299999,25.34,3000,24.722024
2016-08-04,25.32,25.34,25.299999,25.34,2300,24.722024
2016-08-03,25.48,25.48,25.290001,25.299999,2400,24.682999
2016-08-02,25.379999,25.379999,25.379999,25.379999,000,24.761048
2016-08-01,25.360001,25.450001,25.360001,25.379999,3000,24.761048
2016-07-29,25.50,25.51,25.50,25.51,1400,24.887879
2016-07-28,25.50,25.50,25.50,25.50,300,24.878122
2016-07-27,25.309999,25.309999,25.309999,25.309999,000,24.692755
2016-07-26,25.209999,25.559999,25.209999,25.309999,2300,24.692755
2016-07-25,25.540001,25.540001,25.540001,25.540001,000,24.917148
2016-07-22,25.469999,25.540001,25.35,25.540001,2800,24.917148
2016-07-21,25.469999,25.469999,25.469999,25.469999,300,24.848853
2016-07-20,25.459999,25.469999,25.309999,25.33,1500,24.712268
2016-07-19,25.450001,25.49,25.42,25.48,3200,24.706414
2016-07-18,25.42,25.49,25.41,25.49,3000,24.71611
2016-07-15,25.42,25.42,25.41,25.41,200,24.638539
2016-07-14,25.43,25.43,25.40,25.40,1900,24.628842
2016-07-13,25.43,25.43,25.370001,25.370001,200,24.599754
2016-07-12,25.299999,25.34,25.299999,25.34,500,24.570665
2016-07-11,25.35,25.35,25.24,25.24,4300,24.4737
2016-07-08,25.35,25.35,25.35,25.35,700,24.580361
2016-07-07,25.440001,25.450001,25.35,25.35,2100,24.580361
2016-07-06,25.43,25.43,25.41,25.41,1100,24.638539
2016-07-05,25.42,25.43,25.42,25.43,2100,24.657932
2016-07-01,25.290001,25.42,25.290001,25.389999,700,24.619146
2016-06-30,25.32,25.35,25.32,25.32,1700,24.551271
2016-06-29,25.16,25.299999,25.16,25.299999,2700,24.531878
2016-06-28,25.15,25.299999,25.15,25.15,1300,24.386433
2016-06-27,25.33,25.33,25.129999,25.299999,1000,24.531878
2016-06-24,25.309999,25.309999,25.299999,25.299999,500,24.531878
2016-06-23,25.25,25.25,25.25,25.25,000,24.483397
2016-06-22,25.299999,25.309999,25.23,25.25,3600,24.483397
2016-06-21,25.299999,25.309999,25.299999,25.299999,800,24.531878
2016-06-20,25.23,25.309999,25.23,25.299999,5900,24.531878
