Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,12.00,12.00,11.64,11.76,2200,11.76
2016-11-30,11.52,11.62,11.50,11.62,900,11.62
2016-11-29,11.50,11.65,11.43,11.62,11900,11.62
2016-11-28,12.00,12.00,11.55,11.95,700,11.83
2016-11-25,11.77,11.77,11.77,11.77,000,11.651808
2016-11-23,11.62,11.77,11.62,11.77,800,11.651808
2016-11-22,11.59,11.59,11.59,11.59,000,11.473615
2016-11-21,11.19,11.59,11.19,11.59,5900,11.473615
2016-11-18,11.23,11.23,11.00,11.00,1500,10.88954
2016-11-17,11.16,11.16,11.16,11.16,400,11.047933
2016-11-16,11.13,11.13,11.13,11.13,200,11.018235
2016-11-15,11.08,11.08,11.08,11.08,200,10.968736
2016-11-14,11.10,11.25,11.10,11.23,3200,11.11723
2016-11-11,10.98,10.98,10.81,10.81,300,10.701448
2016-11-10,10.86,10.86,10.86,10.86,100,10.750945
2016-11-09,10.09,10.96,9.86,10.78,2000,10.671749
2016-11-08,10.55,10.55,10.55,10.55,000,10.444059
2016-11-07,10.35,11.21,10.34,10.55,4600,10.444059
2016-11-04,10.27,10.27,10.27,10.27,000,10.166871
2016-11-03,10.27,10.27,10.27,10.27,400,10.166871
2016-11-02,10.37,10.38,10.28,10.28,1100,10.17677
2016-11-01,10.43,10.48,10.32,10.32,1900,10.216368
2016-10-31,10.35,10.42,10.35,10.39,1800,10.285666
2016-10-28,10.47,10.47,10.47,10.47,400,10.364862
2016-10-27,10.50,10.64,10.44,10.47,5200,10.364862
2016-10-26,10.50,10.56,10.39,10.56,2300,10.453959
2016-10-25,10.50,10.78,10.45,10.45,300,10.345063
2016-10-24,11.25,11.25,10.46,10.84,2900,10.731147
2016-10-21,11.90,11.90,11.02,11.20,2200,11.087531
2016-10-20,11.25,11.25,11.25,11.25,000,11.137029
2016-10-19,11.25,11.25,11.25,11.25,100,11.137029
2016-10-18,11.99,11.99,11.29,11.29,1200,11.176628
