Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,1.46,1.49,1.38,1.38,42500,1.38
2016-11-30,1.48,1.50,1.43,1.44,20600,1.44
2016-11-29,1.51,1.57,1.45,1.47,101300,1.47
2016-11-28,1.45,1.57,1.45,1.45,98200,1.45
2016-11-25,1.47,1.54,1.42,1.47,30500,1.47
2016-11-23,1.53,1.55,1.44,1.44,34900,1.44
2016-11-22,1.53,1.54,1.50,1.54,16000,1.54
2016-11-21,1.55,1.56,1.45,1.53,30000,1.53
2016-11-18,1.55,1.61,1.46,1.53,161200,1.53
2016-11-17,1.61,1.68,1.51,1.58,124900,1.58
2016-11-16,1.64,1.66,1.54,1.62,6000,1.62
2016-11-15,1.69,1.69,1.59,1.59,11700,1.59
2016-11-14,1.55,1.76,1.50,1.62,261700,1.62
2016-11-11,1.54,1.56,1.42,1.53,105400,1.53
2016-11-10,1.60,1.60,1.50,1.56,56100,1.56
2016-11-09,1.51,1.56,1.43,1.55,38800,1.55
2016-11-08,1.50,1.50,1.46,1.48,6000,1.477
2016-11-07,1.50,1.53,1.41,1.46,33000,1.457041
2016-11-04,1.45,1.51,1.42,1.42,5300,1.417122
2016-11-03,1.55,1.55,1.46,1.46,25000,1.457041
2016-11-02,1.52,1.56,1.51,1.51,33800,1.506939
2016-11-01,1.57,1.58,1.54,1.54,15900,1.536878
2016-10-31,1.59,1.60,1.57,1.60,6100,1.596757
2016-10-28,1.55,1.60,1.52,1.59,11700,1.586777
2016-10-27,1.56,1.61,1.52,1.55,11700,1.546858
2016-10-26,1.61,1.61,1.56,1.56,9400,1.556838
2016-10-25,1.63,1.63,1.58,1.60,11300,1.596757
2016-10-24,1.62,1.74,1.57,1.60,35200,1.596757
2016-10-21,1.67,1.71,1.62,1.62,64500,1.616716
2016-10-20,1.79,1.79,1.67,1.72,33700,1.716514
2016-10-19,1.75,1.87,1.74,1.76,43700,1.756432
2016-10-18,1.84,1.92,1.73,1.81,248600,1.806331
2016-10-17,1.95,1.95,1.83,1.83,45500,1.826291
2016-10-14,1.85,1.91,1.79,1.91,48200,1.906128
2016-10-13,1.76,1.87,1.68,1.84,54900,1.83627
2016-10-12,1.64,1.81,1.64,1.78,34700,1.776392
2016-10-11,1.62,1.69,1.53,1.69,138200,1.686574
2016-10-10,1.61,1.64,1.61,1.63,4900,1.626696
2016-10-07,1.66,1.66,1.62,1.62,2600,1.616716
2016-10-06,1.65,1.67,1.61,1.61,16300,1.606736
2016-10-05,1.59,1.65,1.59,1.63,14500,1.626696
2016-10-04,1.75,1.82,1.55,1.59,89900,1.583783
2016-10-03,1.86,1.86,1.80,1.80,18000,1.792962
2016-09-30,1.82,1.89,1.78,1.84,29200,1.832806
2016-09-29,1.92,1.92,1.80,1.84,19300,1.832806
2016-09-28,1.84,1.87,1.80,1.84,13000,1.832806
2016-09-27,1.90,1.91,1.83,1.85,9100,1.842767
2016-09-26,1.92,1.92,1.86,1.88,7200,1.872649
2016-09-23,1.91,2.08,1.87,1.92,142800,1.912493
2016-09-22,1.96,2.01,1.93,1.93,19000,1.922454
2016-09-21,2.00,2.08,1.98,2.03,65600,2.022063
2016-09-20,2.00,2.00,1.95,1.95,6100,1.942376
2016-09-19,1.96,2.08,1.95,1.99,100700,1.982219
2016-09-16,1.81,1.96,1.81,1.96,39200,1.952336
2016-09-15,1.84,1.95,1.79,1.84,116000,1.832806
2016-09-14,1.81,1.88,1.77,1.85,53200,1.842767
2016-09-13,1.85,1.89,1.80,1.80,6700,1.792962
2016-09-12,1.90,1.93,1.83,1.84,9600,1.832806
2016-09-09,1.97,1.97,1.79,1.87,75000,1.862688
2016-09-08,1.97,2.04,1.96,1.96,10300,1.952336
2016-09-07,2.02,2.09,1.96,1.97,18800,1.959309
2016-09-06,1.97,2.08,1.96,2.04,39500,2.028929
2016-09-02,1.90,1.99,1.90,1.98,6100,1.969255
2016-09-01,1.91,1.95,1.90,1.92,40800,1.90958
2016-08-31,1.95,1.98,1.93,1.96,12000,1.949363
2016-08-30,2.00,2.00,1.90,1.94,20600,1.929472
2016-08-29,1.98,2.02,1.95,1.96,28300,1.949363
2016-08-26,2.09,2.09,1.96,1.99,9600,1.979201
2016-08-25,2.03,2.03,1.95,1.96,9600,1.949363
2016-08-24,2.01,2.09,2.01,2.06,4500,2.048821
2016-08-23,2.03,2.03,1.98,1.99,22200,1.979201
2016-08-22,2.04,2.08,2.00,2.00,20300,1.989146
2016-08-19,2.10,2.15,2.02,2.05,37600,2.038875
2016-08-18,2.10,2.10,2.04,2.09,28800,2.078658
2016-08-17,2.10,2.12,2.05,2.09,15500,2.078658
2016-08-16,2.05,2.14,2.05,2.10,33100,2.088603
2016-08-15,2.06,2.18,2.02,2.08,49500,2.068712
2016-08-12,2.06,2.10,1.99,2.04,61200,2.028929
2016-08-11,2.03,2.10,2.03,2.04,7100,2.028929
2016-08-10,2.12,2.12,2.04,2.05,13800,2.035891
2016-08-09,2.00,2.12,2.00,2.07,15000,2.055753
2016-08-08,2.06,2.12,2.05,2.05,9800,2.035891
2016-08-05,2.12,2.15,2.01,2.07,45100,2.055753
2016-08-04,2.23,2.23,2.13,2.15,29400,2.135203
2016-08-03,2.24,2.26,2.14,2.23,36300,2.214652
2016-08-02,2.28,2.28,2.18,2.24,16500,2.224584
2016-08-01,2.26,2.26,2.15,2.26,18800,2.244446
2016-07-29,2.26,2.27,2.17,2.22,24000,2.204721
2016-07-28,2.25,2.28,2.18,2.28,3700,2.264308
2016-07-27,2.17,2.25,2.11,2.25,15500,2.234515
2016-07-26,2.11,2.16,2.10,2.11,4600,2.095478
2016-07-25,2.20,2.20,2.09,2.14,16300,2.125272
2016-07-22,2.16,2.20,2.12,2.14,15900,2.125272
2016-07-21,2.19,2.20,2.15,2.19,7400,2.174928
2016-07-20,2.20,2.23,2.17,2.19,34400,2.174928
2016-07-19,2.23,2.23,2.17,2.18,9000,2.164997
2016-07-18,2.21,2.21,2.16,2.20,6000,2.184859
2016-07-15,2.22,2.23,2.15,2.23,4900,2.214652
2016-07-14,2.21,2.21,2.12,2.21,9800,2.19479
2016-07-13,2.27,2.27,2.15,2.18,24100,2.164997
2016-07-12,2.30,2.31,2.16,2.30,16900,2.284171
2016-07-11,2.17,2.33,2.16,2.23,80800,2.214652
2016-07-08,2.09,2.17,2.09,2.12,27600,2.105409
2016-07-07,2.15,2.16,2.01,2.14,39600,2.125272
2016-07-06,2.00,2.13,1.88,2.13,50300,2.112361
2016-07-05,2.00,2.00,1.95,1.97,46600,1.953686
2016-07-01,1.70,2.10,1.70,2.06,131700,2.042941
2016-06-30,1.79,1.79,1.69,1.70,55800,1.685922
2016-06-29,1.77,1.77,1.63,1.69,156000,1.676005
2016-06-28,1.69,1.78,1.60,1.77,32500,1.755342
2016-06-27,1.83,1.83,1.60,1.74,46100,1.725591
2016-06-24,1.85,1.95,1.72,1.75,207100,1.735508
2016-06-23,1.78,1.85,1.71,1.76,37500,1.745425
2016-06-22,1.82,1.84,1.80,1.80,17200,1.785094
2016-06-21,1.85,1.86,1.83,1.83,6000,1.814846
2016-06-20,1.88,1.94,1.82,1.89,8700,1.874349
2016-06-17,1.85,1.90,1.80,1.90,4900,1.884266
2016-06-16,1.85,1.88,1.79,1.82,38300,1.804928
2016-06-15,1.87,1.89,1.81,1.84,26600,1.824763
2016-06-14,1.88,1.90,1.81,1.89,13900,1.874349
2016-06-13,2.00,2.00,1.88,1.88,10800,1.864432
2016-06-10,1.96,2.04,1.87,2.00,35400,1.983438
2016-06-09,2.07,2.07,1.95,1.97,53500,1.953686
2016-06-08,1.77,2.07,1.77,2.03,69300,2.010214
2016-06-07,1.91,1.91,1.76,1.77,44100,1.752748
2016-06-06,1.80,1.88,1.75,1.81,39800,1.792358
2016-06-03,1.67,1.86,1.63,1.79,46300,1.772553
2016-06-02,1.65,1.69,1.60,1.66,8100,1.64382
2016-06-01,1.69,1.69,1.62,1.64,8000,1.624015
2016-05-31,1.63,1.69,1.63,1.68,29500,1.663625
2016-05-27,1.61,1.72,1.59,1.61,14500,1.594308
2016-05-26,1.69,1.72,1.57,1.60,14200,1.584405
2016-05-25,1.67,1.74,1.55,1.69,46000,1.673528
2016-05-24,1.78,1.78,1.68,1.68,8900,1.663625
2016-05-23,1.72,1.79,1.70,1.71,14500,1.693333
2016-05-20,1.78,1.84,1.71,1.71,32700,1.693333
2016-05-19,1.80,1.85,1.75,1.77,16500,1.752748
2016-05-18,1.86,1.88,1.76,1.82,29100,1.802261
2016-05-17,1.87,1.88,1.85,1.88,26400,1.861676
2016-05-16,1.93,1.93,1.82,1.87,8400,1.851774
2016-05-13,1.98,1.98,1.84,1.87,11800,1.851774
2016-05-12,1.84,1.99,1.81,1.88,27200,1.861676
2016-05-11,1.90,1.98,1.76,1.85,33200,1.828998
2016-05-10,1.89,1.95,1.85,1.85,5600,1.828998
2016-05-09,1.97,2.00,1.89,1.92,14800,1.898203
2016-05-06,1.88,1.98,1.82,1.95,55200,1.927863
2016-05-05,1.84,1.92,1.75,1.87,37100,1.848771
2016-05-04,1.75,1.91,1.75,1.78,14800,1.759792
2016-05-03,1.88,1.89,1.78,1.87,13300,1.848771
2016-05-02,1.90,1.96,1.71,1.89,113300,1.868544
2016-04-29,1.56,1.94,1.54,1.90,252100,1.87843
2016-04-28,1.58,1.62,1.54,1.59,8800,1.571949
2016-04-27,1.61,1.63,1.58,1.59,11000,1.571949
2016-04-26,1.56,1.63,1.56,1.58,6500,1.562063
2016-04-25,1.62,1.63,1.52,1.60,38900,1.581836
2016-04-22,1.59,1.68,1.59,1.61,17100,1.591722
2016-04-21,1.63,1.67,1.57,1.60,8900,1.581836
2016-04-20,1.66,1.68,1.62,1.62,23900,1.601609
2016-04-19,1.60,1.68,1.59,1.68,17400,1.660928
2016-04-18,1.56,1.61,1.54,1.54,7500,1.522517
2016-04-15,1.59,1.63,1.55,1.55,10700,1.532404
2016-04-14,1.60,1.63,1.54,1.54,13300,1.522517
2016-04-13,1.60,1.60,1.57,1.58,20100,1.562063
2016-04-12,1.59,1.64,1.58,1.58,14700,1.562063
2016-04-11,1.55,1.61,1.51,1.57,8300,1.552177
2016-04-08,1.62,1.67,1.48,1.59,60300,1.571949
2016-04-07,1.62,1.65,1.62,1.65,2400,1.631268
2016-04-06,1.70,1.70,1.66,1.68,8500,1.657962
2016-04-05,1.60,1.71,1.60,1.71,11400,1.687568
2016-04-04,1.68,1.70,1.59,1.61,18300,1.58888
2016-04-01,1.75,1.78,1.70,1.70,8800,1.677699
2016-03-31,1.67,1.76,1.67,1.73,21200,1.707306
2016-03-30,1.77,1.78,1.72,1.74,14800,1.717175
2016-03-29,1.61,1.80,1.56,1.78,50600,1.75665
2016-03-28,1.57,1.60,1.56,1.60,4100,1.579011
2016-03-24,1.61,1.64,1.56,1.56,1100,1.539536
2016-03-23,1.66,1.69,1.60,1.60,19100,1.579011
2016-03-22,1.69,1.69,1.67,1.68,1000,1.657962
2016-03-21,1.66,1.68,1.65,1.65,2500,1.628355
2016-03-18,1.75,1.75,1.65,1.69,12700,1.667831
2016-03-17,1.74,1.74,1.67,1.74,8700,1.717175
2016-03-16,1.63,1.72,1.57,1.72,18500,1.697437
2016-03-15,1.59,1.67,1.58,1.63,10500,1.608618
2016-03-14,1.67,1.74,1.60,1.65,12900,1.628355
2016-03-11,1.74,1.74,1.55,1.64,4800,1.618487
2016-03-10,1.68,1.75,1.60,1.67,25900,1.648093
2016-03-09,1.59,1.75,1.55,1.63,20500,1.605657
2016-03-08,1.68,1.68,1.60,1.60,5000,1.576105
2016-03-07,1.70,1.90,1.65,1.69,31800,1.664761
2016-03-04,1.65,1.72,1.65,1.71,41000,1.684462
2016-03-03,1.60,1.71,1.60,1.62,56800,1.595806
2016-03-02,1.56,1.63,1.55,1.63,17000,1.605657
2016-03-01,1.61,1.61,1.55,1.55,12100,1.526852
2016-02-29,1.55,1.63,1.52,1.63,23000,1.605657
2016-02-26,1.47,1.55,1.45,1.55,10900,1.526852
2016-02-25,1.57,1.62,1.45,1.47,19800,1.448047
2016-02-24,1.44,1.62,1.44,1.59,56100,1.566254
2016-02-23,1.55,1.56,1.45,1.45,6500,1.428345
2016-02-22,1.51,1.58,1.45,1.56,39300,1.536702
2016-02-19,1.55,1.60,1.50,1.50,9000,1.477599
2016-02-18,1.60,1.60,1.48,1.58,47700,1.556404
2016-02-17,1.43,1.61,1.43,1.61,52400,1.585956
2016-02-16,1.48,1.56,1.43,1.43,31200,1.408644
2016-02-12,1.48,1.61,1.46,1.55,65100,1.526852
2016-02-11,1.54,1.66,1.42,1.62,161700,1.595806
2016-02-10,1.55,1.55,1.35,1.43,79200,1.408644
2016-02-09,1.30,1.55,1.30,1.52,60600,1.494345
