Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,38.900002,39.139999,38.509998,38.73,366600,38.73
2016-11-30,39.080002,39.549999,38.889999,38.950001,530400,38.950001
2016-11-29,39.23,39.48,38.869999,38.900002,348800,38.900002
2016-11-28,39.240002,39.400002,38.959999,39.119999,265100,39.119999
2016-11-25,39.220001,39.400002,39.080002,39.209999,102700,39.209999
2016-11-23,38.950001,39.419998,38.720001,39.25,416400,39.25
2016-11-22,38.419998,38.790001,38.220001,38.77,357500,38.77
2016-11-21,38.34,38.439999,37.82,38.43,208500,38.43
2016-11-18,37.68,38.18,37.599998,38.16,314700,38.16
2016-11-17,37.630001,37.91,37.34,37.580002,297800,37.580002
2016-11-16,37.68,37.810001,37.43,37.68,367100,37.68
2016-11-15,36.259998,37.860001,36.220001,37.700001,713700,37.515
2016-11-14,36.330002,36.490002,35.689999,36.380001,758400,36.201477
2016-11-11,36.169998,36.459999,35.900002,36.150002,671600,35.972607
2016-11-10,35.889999,36.400002,35.82,36.049999,503200,35.873095
2016-11-09,35.349998,36.150002,35.220001,35.630001,963600,35.455158
2016-11-08,35.32,36.060001,35.169998,35.860001,468300,35.684029
2016-11-07,35.240002,35.459999,34.959999,35.290001,550200,35.116826
2016-11-04,35.16,35.290001,34.830002,34.880001,318400,34.708838
2016-11-03,35.110001,35.32,34.990002,35.040001,297300,34.868053
2016-11-02,35.349998,35.880001,35.09,35.169998,466400,34.997412
2016-11-01,36.950001,36.950001,35.25,35.279999,616900,35.106873
2016-10-31,36.91,37.110001,36.720001,36.970001,463100,36.788582
2016-10-28,36.610001,37.040001,36.41,36.98,205900,36.798532
2016-10-27,36.599998,36.790001,36.50,36.669998,254800,36.490051
2016-10-26,36.540001,36.700001,36.299999,36.529999,235600,36.350739
2016-10-25,36.759998,37.119999,36.439999,36.639999,254500,36.4602
2016-10-24,36.799999,37.169998,36.759998,36.82,205100,36.639317
2016-10-21,36.639999,36.75,36.52,36.560001,219300,36.380594
2016-10-20,37.02,37.130001,36.509998,36.869999,347400,36.689071
2016-10-19,37.57,37.689999,37.259998,37.27,311500,37.087109
2016-10-18,37.830002,38.009998,37.490002,37.490002,217700,37.306031
2016-10-17,37.360001,37.700001,37.25,37.59,508500,37.405539
2016-10-14,38.009998,38.25,37.310001,37.490002,454000,37.306031
2016-10-13,37.060001,38.139999,36.259998,38.060001,1208800,37.873234
2016-10-12,39.139999,39.790001,37.290001,37.330002,1190000,37.146816
2016-10-11,39.529999,39.900002,39.080002,39.459999,636900,39.266361
2016-10-10,39.82,40.169998,39.75,39.790001,419400,39.594744
2016-10-07,39.560001,39.689999,39.18,39.549999,688300,39.35592
2016-10-06,39.209999,39.77,39.209999,39.549999,365700,39.35592
2016-10-05,39.75,39.810001,39.34,39.549999,381300,39.35592
2016-10-04,39.709999,39.919998,39.32,39.599998,263900,39.405674
2016-10-03,39.209999,39.720001,39.209999,39.650002,250300,39.455431
2016-09-30,39.330002,39.849998,39.139999,39.580002,464300,39.385775
2016-09-29,38.98,39.259998,38.98,39.119999,413200,38.92803
2016-09-28,38.75,39.220001,38.580002,39.09,347900,38.898178
2016-09-27,38.880001,38.91,38.52,38.75,251800,38.559846
2016-09-26,39.09,39.09,38.52,38.799999,269500,38.6096
2016-09-23,38.950001,39.259998,38.77,39.169998,467200,38.977784
2016-09-22,38.50,39.27,38.50,39.080002,353400,38.888229
2016-09-21,37.950001,38.419998,37.599998,38.389999,270700,38.201612
2016-09-20,38.27,38.50,37.799999,37.830002,339700,37.644363
2016-09-19,38.029999,38.259998,37.880001,38.040001,391800,37.853331
2016-09-16,37.919998,38.299999,37.580002,37.880001,555500,37.694117
2016-09-15,37.610001,38.18,37.25,37.779999,490900,37.594605
2016-09-14,37.240002,37.580002,37.029999,37.560001,305300,37.375687
2016-09-13,37.52,37.779999,37.00,37.279999,354400,37.097059
2016-09-12,37.169998,37.68,37.07,37.68,500800,37.495097
2016-09-09,38.25,38.919998,37.259998,37.32,1019500,37.136863
2016-09-08,38.66,38.889999,38.009998,38.509998,1184800,38.321022
2016-09-07,39.619999,39.900002,36.580002,38.549999,4056900,38.360827
2016-09-06,41.00,41.130001,40.790001,41.130001,209000,40.928168
2016-09-02,40.650002,41.130001,40.580002,41.080002,341500,40.878414
2016-09-01,40.259998,40.459999,40.040001,40.41,274400,40.2117
2016-08-31,40.470001,40.52,40.040001,40.369999,228700,40.171896
2016-08-30,40.259998,40.610001,40.099998,40.369999,268000,40.171896
2016-08-29,39.75,40.360001,39.75,40.130001,163600,39.933075
2016-08-26,40.029999,40.290001,39.689999,39.82,182800,39.624595
2016-08-25,39.549999,39.970001,39.549999,39.959999,197600,39.763908
2016-08-24,39.610001,39.779999,39.419998,39.709999,146100,39.515135
2016-08-23,39.549999,39.93,39.50,39.73,234300,39.535037
2016-08-22,39.080002,39.43,39.080002,39.389999,151500,39.196705
2016-08-19,38.990002,39.439999,38.689999,39.189999,233300,38.997686
2016-08-18,38.810001,39.029999,38.68,39.02,196000,38.828522
2016-08-17,38.790001,38.860001,38.509998,38.790001,181700,38.599651
2016-08-16,39.330002,39.330002,38.959999,38.990002,174300,38.615575
2016-08-15,39.110001,39.369999,38.98,39.299999,288700,38.922596
2016-08-12,39.400002,39.540001,39.040001,39.18,201100,38.803749
2016-08-11,39.439999,39.650002,39.18,39.450001,318800,39.071157
2016-08-10,39.18,39.540001,39.099998,39.310001,349600,38.932502
2016-08-09,38.950001,39.349998,38.919998,39.099998,204400,38.724516
2016-08-08,39.349998,39.450001,38.630001,39.009998,238700,38.63538
2016-08-05,38.900002,39.279999,38.84,39.220001,246900,38.843366
2016-08-04,38.700001,38.889999,38.50,38.860001,315800,38.486822
2016-08-03,38.59,38.84,38.360001,38.66,273900,38.288742
2016-08-02,38.950001,39.450001,38.52,38.560001,269100,38.189704
2016-08-01,38.790001,39.169998,38.709999,38.91,374600,38.536342
2016-07-29,39.00,39.16,38.740002,38.810001,561600,38.437303
2016-07-28,39.150002,39.41,38.93,39.080002,383300,38.704711
2016-07-27,38.970001,39.189999,38.810001,39.16,443700,38.783941
2016-07-26,38.93,39.040001,38.740002,38.990002,541300,38.615575
2016-07-25,38.860001,39.16,38.619999,38.950001,570700,38.575958
2016-07-22,38.290001,38.939999,38.049999,38.790001,811800,38.417495
2016-07-21,38.119999,38.369999,38.00,38.099998,312500,37.734119
2016-07-20,38.220001,38.380001,38.009998,38.290001,620500,37.922297
2016-07-19,38.07,38.27,37.91,37.98,412700,37.615272
2016-07-18,38.59,38.919998,37.91,37.98,472600,37.615272
2016-07-15,38.419998,38.91,38.200001,38.650002,590800,38.27884
2016-07-14,39.25,39.32,38.279999,38.299999,613200,37.932199
2016-07-13,41.900002,41.900002,38.869999,39.049999,1231600,38.674997
2016-07-12,42.18,42.18,41.490002,41.939999,338200,41.537243
2016-07-11,41.040001,41.709999,40.84,41.639999,363900,41.240125
2016-07-08,40.59,41.200001,40.59,41.02,399500,40.62608
2016-07-07,40.939999,41.110001,40.310001,40.459999,389600,40.071456
2016-07-06,41.169998,41.380001,40.619999,40.77,539300,40.37848
2016-07-05,41.349998,41.509998,40.990002,41.279999,351300,40.883581
2016-07-01,41.240002,41.459999,40.240002,41.34,234900,40.943006
2016-06-30,40.43,41.400002,40.290001,41.380001,486000,40.982623
2016-06-29,40.00,40.450001,40.00,40.32,314000,39.932801
2016-06-28,39.959999,40.139999,39.50,39.599998,303000,39.219714
