Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,18.65,20.700001,18.51,20.59,1238600,20.59
2016-11-30,18.15,18.92,18.15,18.41,760200,18.41
2016-11-29,17.77,18.26,17.42,17.889999,308200,17.889999
2016-11-28,18.549999,18.549999,17.84,17.93,183700,17.93
2016-11-25,18.700001,18.700001,18.15,18.49,142300,18.49
2016-11-23,17.639999,18.969999,17.440001,18.709999,571600,18.709999
2016-11-22,17.700001,17.950001,17.379999,17.68,347200,17.68
2016-11-21,17.58,17.73,17.02,17.60,558200,17.60
2016-11-18,17.629999,17.629999,17.35,17.379999,237900,17.379999
2016-11-17,17.50,17.879999,17.16,17.709999,378000,17.709999
2016-11-16,18.450001,18.530001,17.76,17.76,528300,17.485001
2016-11-15,18.17,18.65,17.799999,18.540001,595900,18.252924
2016-11-14,17.360001,18.059999,17.01,18.02,963300,17.740975
2016-11-11,15.23,17.25,15.23,17.24,897100,16.973052
2016-11-10,15.86,16.299999,15.13,15.18,806400,14.94495
2016-11-09,14.11,15.76,13.76,15.71,1498100,15.466743
2016-11-08,13.61,13.64,13.30,13.36,427200,13.153131
2016-11-07,13.69,13.86,13.46,13.57,492200,13.359879
2016-11-04,13.15,13.65,13.06,13.23,371500,13.025143
2016-11-03,13.52,13.66,13.18,13.22,263200,13.015299
2016-11-02,13.28,13.83,13.28,13.48,666900,13.271272
2016-11-01,14.09,14.10,12.72,12.83,812700,12.631337
2016-10-31,14.29,14.29,13.91,13.95,674100,13.733995
2016-10-28,14.74,15.15,14.09,14.27,534100,14.049041
2016-10-27,15.37,15.76,14.77,14.90,260400,14.669285
2016-10-26,15.57,15.97,15.44,15.75,591600,15.506124
2016-10-25,15.68,15.88,15.53,15.68,172000,15.437208
2016-10-24,15.60,15.76,15.38,15.66,212400,15.417517
2016-10-21,15.27,15.60,15.11,15.44,279600,15.200923
2016-10-20,15.24,15.60,14.92,15.46,266100,15.220614
2016-10-19,14.90,15.20,14.41,15.12,196100,14.885879
2016-10-18,14.60,14.86,14.49,14.74,219800,14.511762
2016-10-17,14.59,14.70,14.49,14.53,169700,14.305014
2016-10-14,14.83,15.00,14.42,14.73,282400,14.501917
2016-10-13,15.40,15.41,14.68,14.79,251800,14.560988
2016-10-12,15.68,15.84,15.46,15.69,364300,15.447052
2016-10-11,15.89,16.10,15.50,15.75,525900,15.506124
2016-10-10,15.88,16.42,15.75,15.94,410600,15.693181
2016-10-07,16.799999,17.040001,15.37,15.73,925300,15.486433
2016-10-06,17.049999,17.530001,17.049999,17.42,193000,17.150265
2016-10-05,16.889999,17.309999,16.370001,17.200001,199900,16.933672
2016-10-04,16.799999,16.99,16.469999,16.65,200200,16.392187
2016-10-03,16.65,16.959999,16.59,16.799999,132800,16.539864
2016-09-30,16.860001,17.09,16.620001,16.76,293400,16.500485
2016-09-29,16.48,16.91,16.42,16.709999,204200,16.451258
2016-09-28,15.87,16.49,15.73,16.469999,164100,16.214974
2016-09-27,15.60,15.82,15.42,15.80,119400,15.55535
