Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,10.00,10.21,10.00,10.16,33800,10.16
2016-11-30,10.10,10.24,9.94,9.95,34300,9.95
2016-11-29,10.21,10.23,10.09,10.13,24100,10.13
2016-11-28,10.36,10.40,10.02,10.11,42500,10.11
2016-11-25,10.20,10.51,10.01,10.39,55300,10.39
2016-11-23,10.00,10.08,9.95,10.04,47400,10.04
2016-11-22,9.66,10.00,9.60,9.99,56100,9.99
2016-11-21,9.79,10.06,9.50,9.61,127200,9.61
2016-11-18,9.29,9.84,9.05,9.81,66300,9.81
2016-11-17,8.95,9.33,8.89,9.31,42100,9.31
2016-11-16,8.88,9.00,8.46,9.00,58200,9.00
2016-11-15,8.89,8.93,8.83,8.88,76400,8.88
2016-11-14,9.04,9.10,8.77,8.86,54400,8.86
2016-11-11,8.92,9.48,8.88,8.90,173600,8.90
2016-11-10,8.30,8.85,8.20,8.84,166000,8.84
2016-11-09,8.28,8.37,8.18,8.25,74000,8.19
2016-11-08,8.21,8.25,8.21,8.24,9800,8.180073
2016-11-07,8.19,8.22,8.09,8.20,35900,8.140364
2016-11-04,8.10,8.18,8.02,8.03,16100,7.9716
2016-11-03,8.00,8.13,7.91,8.06,80100,8.001382
2016-11-02,8.04,8.12,7.99,8.00,71400,7.941818
2016-11-01,7.98,8.05,7.96,8.01,101300,7.951746
2016-10-31,8.02,8.47,7.92,7.95,79300,7.892182
2016-10-28,8.11,8.39,7.90,7.96,25100,7.902109
2016-10-27,8.20,8.22,8.12,8.14,9000,8.0808
2016-10-26,8.27,8.29,8.12,8.13,57600,8.070873
2016-10-25,8.25,8.36,8.18,8.32,13800,8.259491
2016-10-24,8.28,8.33,8.12,8.28,59600,8.219782
2016-10-21,8.14,8.36,8.11,8.28,72400,8.219782
2016-10-20,8.20,8.23,8.10,8.22,51800,8.160219
2016-10-19,8.15,8.24,8.11,8.18,9900,8.120509
2016-10-18,8.10,8.16,7.98,8.11,50900,8.051018
2016-10-17,8.01,8.18,8.01,8.06,6400,8.001382
2016-10-14,8.08,8.09,7.95,8.05,7000,7.991455
2016-10-13,8.13,8.15,8.04,8.06,64100,8.001382
2016-10-12,8.08,8.18,8.08,8.13,10200,8.070873
2016-10-11,8.18,8.18,8.04,8.06,20500,8.001382
2016-10-10,8.05,8.17,8.05,8.14,13600,8.0808
2016-10-07,8.16,8.16,8.06,8.13,9800,8.070873
2016-10-06,8.06,8.18,8.03,8.15,86000,8.090727
2016-10-05,8.07,8.14,8.04,8.05,21400,7.991455
2016-10-04,8.07,8.07,8.05,8.07,3600,8.011309
2016-10-03,8.14,8.14,8.06,8.08,9000,8.021236
2016-09-30,8.05,8.28,8.02,8.20,22200,8.140364
2016-09-29,8.13,8.24,8.01,8.02,7700,7.961673
2016-09-28,8.20,8.24,8.13,8.16,20300,8.100654
2016-09-27,8.19,8.26,8.19,8.20,43800,8.140364
2016-09-26,8.04,8.18,8.01,8.17,22000,8.110582
2016-09-23,8.14,8.16,8.09,8.11,14300,8.051018
2016-09-22,8.03,8.16,8.02,8.13,43700,8.070873
2016-09-21,8.07,8.07,7.93,8.03,31700,7.9716
2016-09-20,8.10,8.10,8.02,8.02,6500,7.961673
2016-09-19,8.11,8.12,8.03,8.09,22400,8.031164
2016-09-16,8.15,8.15,8.06,8.06,63700,8.001382
2016-09-15,8.11,8.17,8.10,8.17,9600,8.110582
2016-09-14,8.05,8.20,8.03,8.12,15900,8.060945
2016-09-13,7.96,8.09,7.96,8.05,95700,7.991455
2016-09-12,8.03,8.06,7.90,8.06,128300,8.001382
2016-09-09,8.06,8.14,7.99,8.01,17100,7.951746
2016-09-08,8.17,8.25,8.15,8.23,9700,8.170145
2016-09-07,8.15,8.20,7.99,8.15,28400,8.090727
2016-09-06,8.08,8.22,8.01,8.15,119800,8.090727
2016-09-02,8.12,8.23,8.08,8.12,19600,8.060945
2016-09-01,8.09,8.09,7.90,8.06,95300,8.001382
2016-08-31,8.20,8.32,8.02,8.07,47400,8.011309
2016-08-30,8.22,8.28,8.19,8.21,13700,8.150291
2016-08-29,8.27,8.32,8.13,8.26,11300,8.199928
2016-08-26,8.28,8.35,8.18,8.28,12300,8.219782
2016-08-25,8.27,8.35,8.22,8.28,9700,8.219782
2016-08-24,8.13,8.32,8.13,8.18,23100,8.120509
2016-08-23,8.31,8.31,8.21,8.27,10600,8.209855
2016-08-22,8.20,8.35,8.20,8.28,15600,8.219782
2016-08-19,8.15,8.25,8.10,8.21,40700,8.150291
2016-08-18,8.19,8.19,8.01,8.15,9400,8.090727
2016-08-17,8.12,8.14,8.00,8.05,12500,7.991455
2016-08-16,8.32,8.35,8.24,8.25,12500,8.19
2016-08-15,8.39,8.41,8.25,8.26,18800,8.199928
2016-08-12,8.33,8.40,8.30,8.34,14000,8.279346
2016-08-11,8.39,8.44,8.35,8.37,10000,8.309127
2016-08-10,8.20,8.49,8.14,8.41,71600,8.289273
2016-08-09,8.22,8.34,8.13,8.27,101000,8.151283
2016-08-08,8.26,8.31,8.22,8.25,11100,8.13157
2016-08-05,8.25,8.37,8.19,8.27,32400,8.151283
2016-08-04,8.26,8.32,8.15,8.18,13600,8.062575
2016-08-03,8.10,8.30,8.10,8.25,16800,8.13157
2016-08-02,8.25,8.35,8.11,8.11,12300,7.993579
2016-08-01,8.15,8.21,8.14,8.16,10300,8.042862
2016-07-29,8.12,8.23,8.10,8.14,13700,8.023149
2016-07-28,8.21,8.25,8.10,8.18,7700,8.062575
2016-07-27,8.14,8.32,8.11,8.21,8300,8.092144
2016-07-26,8.44,8.44,8.08,8.12,8700,8.003436
2016-07-25,8.32,8.33,7.56,8.19,17300,8.072431
2016-07-22,8.18,8.41,8.18,8.23,8700,8.111856
2016-07-21,8.35,8.35,8.15,8.20,27200,8.082287
2016-07-20,8.46,8.46,8.37,8.40,19200,8.279416
2016-07-19,8.39,8.46,8.35,8.41,13600,8.289273
2016-07-18,8.43,8.50,8.36,8.42,22900,8.299129
2016-07-15,8.49,8.50,8.31,8.46,23100,8.338555
2016-07-14,8.38,8.49,8.27,8.45,20200,8.328699
2016-07-13,8.04,8.30,8.04,8.29,49100,8.170995
2016-07-12,7.90,8.15,7.90,8.03,225300,7.914728
2016-07-11,8.00,8.00,7.89,7.91,38200,7.79645
2016-07-08,7.82,8.00,7.82,7.99,77700,7.875302
2016-07-07,7.80,7.84,7.71,7.71,284000,7.599322
2016-07-06,7.73,7.87,7.73,7.81,21000,7.697886
2016-07-05,7.80,7.86,7.80,7.82,35200,7.707743
2016-07-01,7.90,8.00,7.84,7.91,94900,7.79645
2016-06-30,7.97,7.99,7.90,7.94,50100,7.82602
2016-06-29,7.80,7.98,7.70,7.96,278200,7.845733
2016-06-28,7.76,7.92,7.70,7.75,36800,7.638747
2016-06-27,7.73,7.76,7.59,7.69,46600,7.579609
2016-06-24,7.84,8.03,7.75,7.79,166800,7.678173
2016-06-23,7.95,8.15,7.95,8.12,819200,8.003436
2016-06-22,7.95,8.06,7.84,7.86,28800,7.747168
2016-06-21,7.82,7.95,7.76,7.92,30700,7.806307
2016-06-20,7.70,7.93,7.70,7.79,31700,7.678173
2016-06-17,7.80,7.85,7.55,7.58,108000,7.471188
2016-06-16,7.67,7.80,7.53,7.77,22300,7.65846
2016-06-15,7.76,7.86,7.75,7.77,9400,7.65846
2016-06-14,7.88,7.98,7.75,7.81,10600,7.697886
2016-06-13,8.05,8.19,7.88,7.99,254100,7.875302
2016-06-10,8.03,8.10,7.96,8.09,20000,7.973867
2016-06-09,7.99,8.09,7.86,8.07,23500,7.954153
2016-06-08,7.97,8.08,7.97,8.06,13200,7.944298
2016-06-07,7.96,8.00,7.91,7.95,18300,7.835876
2016-06-06,7.97,8.15,7.77,7.90,38500,7.786594
2016-06-03,8.07,8.07,7.95,7.98,9400,7.865446
2016-06-02,8.02,8.10,8.00,8.09,17800,7.973867
2016-06-01,8.04,8.14,7.96,8.08,20000,7.96401
2016-05-31,8.03,8.09,7.92,8.05,23600,7.934441
2016-05-27,8.07,8.11,7.97,8.03,18300,7.914728
2016-05-26,8.15,8.17,8.09,8.09,4700,7.973867
2016-05-25,8.23,8.23,8.13,8.15,18500,8.033005
2016-05-24,8.28,8.30,8.15,8.26,111600,8.141426
2016-05-23,8.06,8.25,7.96,8.13,14800,8.013292
2016-05-20,7.91,8.11,7.86,8.10,80100,7.983723
2016-05-19,7.91,8.04,7.72,7.86,22600,7.747168
2016-05-18,7.69,8.02,7.69,7.96,12000,7.845733
2016-05-17,8.01,8.13,7.70,7.72,34500,7.609178
2016-05-16,7.96,8.10,7.95,8.10,18500,7.983723
2016-05-13,8.08,8.08,7.97,8.03,20700,7.855589
2016-05-12,8.07,8.14,7.97,8.08,637700,7.904503
2016-05-11,8.26,8.26,8.17,8.19,15100,8.012113
2016-05-10,8.14,8.26,8.14,8.25,48000,8.070811
