Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,12.91,13.15,12.91,13.09,12100,13.09
2016-11-30,12.84,12.88,12.84,12.86,17300,12.86
2016-11-29,12.82,12.85,12.82,12.84,16000,12.84
2016-11-28,12.99,12.99,12.73,12.82,27500,12.82
2016-11-25,12.60,12.98,12.60,12.92,4500,12.92
2016-11-23,12.59,12.73,12.42,12.57,7800,12.57
2016-11-22,12.14,12.79,12.14,12.58,29700,12.58
2016-11-21,12.14,12.14,11.80,12.08,78900,12.08
2016-11-18,12.15,12.16,12.08,12.08,4000,12.08
2016-11-17,11.90,12.19,11.86,12.12,10800,12.12
2016-11-16,11.69,12.13,11.68,11.94,19300,11.94
2016-11-15,11.53,11.69,11.52,11.63,9600,11.63
2016-11-14,11.60,11.69,11.50,11.68,27600,11.68
2016-11-11,11.33,11.60,11.29,11.50,32800,11.50
2016-11-10,11.30,11.35,11.29,11.33,8700,11.33
2016-11-09,11.25,11.32,11.23,11.32,4900,11.32
2016-11-08,11.09,11.32,11.09,11.26,2800,11.26
2016-11-07,11.30,11.31,11.15,11.22,35500,11.22
2016-11-04,11.30,11.30,11.15,11.15,17600,11.15
2016-11-03,11.30,11.35,11.30,11.30,13500,11.30
2016-11-02,11.25,11.33,11.25,11.32,10500,11.32
2016-11-01,11.38,11.44,11.20,11.32,82600,11.32
2016-10-31,11.00,11.45,11.00,11.39,12200,11.39
2016-10-28,11.10,11.10,11.05,11.05,600,11.05
2016-10-27,11.10,11.18,11.00,11.13,4900,11.13
2016-10-26,11.29,11.29,11.25,11.25,300,11.25
2016-10-25,11.30,11.30,11.11,11.11,1200,11.11
2016-10-24,11.19,11.21,11.13,11.14,400,11.14
2016-10-21,11.12,11.12,11.11,11.12,1200,11.12
2016-10-20,11.17,11.30,11.12,11.12,16100,11.12
2016-10-19,11.16,11.16,11.16,11.16,000,11.16
2016-10-18,11.15,11.30,11.08,11.16,23700,11.16
2016-10-17,11.19,11.22,11.16,11.17,3900,11.17
2016-10-14,11.17,11.22,11.17,11.21,2100,11.21
2016-10-13,11.28,11.28,11.16,11.16,5800,11.16
2016-10-12,11.21,11.21,11.16,11.19,1000,11.19
2016-10-11,11.32,11.32,11.20,11.20,3100,11.20
2016-10-10,11.33,11.33,11.33,11.33,000,11.33
2016-10-07,11.33,11.33,11.33,11.33,200,11.33
2016-10-06,11.28,11.28,11.28,11.28,000,11.28
2016-10-05,11.26,11.28,11.16,11.28,8500,11.28
2016-10-04,11.27,11.43,11.20,11.28,15600,11.28
2016-10-03,11.24,11.33,11.24,11.33,7200,11.33
2016-09-30,11.25,11.34,11.20,11.20,3600,11.20
2016-09-29,11.35,11.42,11.20,11.21,7500,11.21
2016-09-28,11.35,11.35,11.26,11.26,1000,11.22
2016-09-27,11.36,11.38,11.36,11.37,13400,11.329609
2016-09-26,11.41,11.42,11.31,11.38,2300,11.339574
2016-09-23,11.30,11.37,11.29,11.35,12100,11.309681
2016-09-22,11.34,11.43,11.33,11.33,6100,11.289751
2016-09-21,11.34,11.38,11.31,11.34,7600,11.299716
