Date,Open,High,Low,Close,Volume,Adj Close
2016-11-24,7.803,7.803,7.803,7.803,400,7.803
2016-11-23,8.465,8.465,8.465,8.465,000,8.465
2016-11-22,8.465,8.465,8.465,8.465,000,8.465
2016-11-21,8.465,8.465,8.465,8.465,000,8.465
2016-11-18,8.465,8.465,8.465,8.465,000,8.465
2016-11-17,8.465,8.465,8.465,8.465,000,8.465
2016-11-16,8.465,8.465,8.465,8.465,000,8.465
2016-11-15,8.465,8.465,8.465,8.465,000,8.465
2016-11-14,8.089,8.089,8.089,8.089,000,8.089
2016-11-11,8.055,8.055,8.055,8.055,000,8.055
2016-11-10,8.055,8.055,8.055,8.055,000,8.055
2016-11-09,8.254,8.254,8.254,8.254,000,8.254
2016-11-08,8.055,8.055,8.055,8.055,000,8.055
2016-11-07,8.013,8.013,8.013,8.013,000,8.013
2016-11-04,8.202,8.202,8.202,8.202,000,8.202
2016-11-03,8.19,8.19,8.19,8.19,000,8.19
2016-11-02,8.19,8.19,8.19,8.19,000,8.19
2016-11-01,8.189,8.189,8.189,8.189,000,8.189
2016-10-31,8.19,8.19,8.19,8.19,000,8.19
2016-10-28,8.18,8.18,8.18,8.18,000,8.18
2016-10-27,8.18,8.18,8.18,8.18,000,8.18
2016-10-26,8.18,8.18,8.18,8.18,000,8.18
2016-10-25,8.065,8.065,8.065,8.065,000,8.065
2016-10-24,8.155,8.155,8.155,8.155,000,8.155
2016-10-21,8.184,8.184,8.184,8.184,000,8.184
2016-10-20,8.335,8.335,8.335,8.335,000,8.335
2016-10-19,8.334,8.334,8.334,8.334,000,8.334
2016-10-18,8.335,8.335,8.335,8.335,000,8.335
2016-10-17,8.335,8.335,8.335,8.335,000,8.335
2016-10-14,8.325,8.325,8.325,8.325,000,8.325
2016-10-13,8.325,8.325,8.325,8.325,000,8.325
2016-10-12,8.325,8.325,8.325,8.325,000,8.325
2016-10-11,8.34,8.34,8.34,8.34,000,8.34
2016-10-10,8.325,8.325,8.325,8.325,000,8.325
2016-10-07,8.361,8.361,8.361,8.361,000,8.361
2016-10-06,8.369,8.369,8.369,8.369,000,8.369
2016-10-05,8.435,8.435,8.435,8.435,000,8.435
2016-10-04,8.448,8.448,8.448,8.448,000,8.448
2016-10-03,8.108,8.108,8.108,8.108,000,8.108
2016-09-30,8.108,8.108,8.108,8.108,000,8.108
2016-09-29,8.109,8.109,8.109,8.109,000,8.109
2016-09-28,8.11,8.11,8.11,8.11,000,8.11
2016-09-27,8.10,8.10,8.10,8.10,000,8.10
2016-09-26,8.081,8.081,8.081,8.081,000,8.081
2016-09-23,8.082,8.082,8.082,8.082,000,8.082
2016-09-22,8.03,8.03,8.03,8.03,000,8.03
2016-09-21,8.03,8.03,8.03,8.03,000,8.03
2016-09-20,8.081,8.081,8.081,8.081,000,8.081
2016-09-19,8.135,8.135,8.135,8.135,000,8.135
2016-09-16,8.135,8.135,8.135,8.135,000,8.135
2016-09-15,8.135,8.135,8.135,8.135,000,8.135
2016-09-14,8.199,8.199,8.199,8.199,000,8.199
2016-09-13,8.135,8.135,8.135,8.135,000,8.135
2016-09-12,8.135,8.135,8.135,8.135,000,8.135
2016-09-09,8.135,8.135,8.135,8.135,000,8.135
2016-09-08,8.135,8.135,8.135,8.135,000,8.135
2016-09-07,8.135,8.135,8.135,8.135,000,8.135
2016-09-06,8.135,8.135,8.135,8.135,000,8.135
2016-09-05,8.188,8.188,8.188,8.188,000,8.188
2016-09-02,8.199,8.199,8.199,8.199,000,8.199
2016-09-01,8.198,8.198,8.198,8.198,000,8.198
2016-08-31,8.135,8.135,8.135,8.135,000,8.135
2016-08-30,8.082,8.082,8.082,8.082,000,8.082
2016-08-29,8.082,8.082,8.082,8.082,000,8.082
2016-08-26,8.082,8.082,8.082,8.082,000,8.082
2016-08-25,8.082,8.082,8.082,8.082,000,8.082
2016-08-24,8.081,8.081,8.081,8.081,000,8.081
2016-08-23,8.08,8.08,8.08,8.08,000,8.08
2016-08-22,8.08,8.08,8.08,8.08,000,8.08
2016-08-19,8.029,8.029,8.029,8.029,000,8.029
2016-08-18,8.079,8.079,8.079,8.079,000,8.079
2016-08-17,8.154,8.154,8.154,8.154,000,8.154
2016-08-16,8.223,8.223,8.223,8.223,000,8.223
2016-08-15,8.189,8.189,8.189,8.189,000,8.189
2016-08-12,7.839,7.839,7.839,7.839,000,7.839
2016-08-11,7.89,7.89,7.89,7.89,000,7.89
2016-08-10,7.89,7.89,7.89,7.89,000,7.89
2016-08-09,7.89,7.89,7.89,7.89,000,7.89
2016-08-08,7.914,7.914,7.914,7.914,000,7.914
2016-08-05,7.882,7.882,7.882,7.882,000,7.882
2016-08-04,7.836,7.836,7.836,7.836,000,7.836
2016-08-03,7.836,7.836,7.836,7.836,000,7.836
2016-08-02,7.861,7.861,7.861,7.861,000,7.861
2016-08-01,7.847,7.847,7.847,7.847,000,7.847
2016-07-29,7.896,7.896,7.896,7.896,000,7.896
2016-07-28,7.891,7.891,7.891,7.891,000,7.891
2016-07-27,7.783,7.783,7.783,7.783,000,7.783
2016-07-26,7.797,7.797,7.797,7.797,000,7.797
2016-07-25,7.686,7.686,7.686,7.686,000,7.686
2016-07-22,7.651,7.651,7.651,7.651,000,7.651
2016-07-21,7.655,7.655,7.655,7.655,000,7.655
2016-07-20,7.493,7.493,7.493,7.493,000,7.493
2016-07-19,7.183,7.183,7.183,7.183,000,7.183
2016-07-18,7.294,7.294,7.294,7.294,000,7.294
2016-07-15,6.64,7.02,6.64,7.02,000,7.02
2016-07-14,6.62,6.62,6.62,6.62,000,6.62
2016-07-13,6.62,6.62,6.62,6.62,000,6.62
2016-07-12,6.666,6.666,6.666,6.666,000,6.666
2016-07-11,6.499,6.499,6.499,6.499,000,6.499
2016-07-08,6.516,6.516,6.516,6.516,000,6.516
2016-07-07,6.389,6.389,6.389,6.389,000,6.389
2016-07-06,6.329,6.329,6.329,6.329,000,6.329
2016-07-05,5.995,5.995,5.995,5.995,000,5.995
2016-07-04,5.964,5.964,5.964,5.964,000,5.964
2016-07-01,6.00,6.00,6.00,6.00,000,6.00
2016-06-30,5.937,5.937,5.937,5.937,000,5.937
2016-06-29,6.034,6.034,6.034,6.034,000,6.034
2016-06-28,6.034,6.034,6.034,6.034,000,6.034
2016-06-27,6.045,6.045,6.045,6.045,000,6.045
2016-06-24,6.022,6.022,6.022,6.022,000,6.022
2016-06-23,6.022,6.022,6.022,6.022,000,6.022
2016-06-22,6.022,6.022,6.022,6.022,000,6.022
2016-06-21,6.061,6.061,6.061,6.061,000,6.061
2016-06-20,6.081,6.081,6.081,6.081,000,6.081
2016-06-17,6.128,6.128,6.128,6.128,000,6.128
2016-06-16,6.02,6.02,6.02,6.02,000,6.02
2016-06-15,6.035,6.035,6.035,6.035,000,6.035
2016-06-14,6.058,6.058,6.058,6.058,000,6.058
2016-06-13,6.058,6.058,6.058,6.058,000,6.058
2016-06-10,6.058,6.058,6.058,6.058,000,6.058
2016-06-09,6.074,6.074,6.074,6.074,000,6.074
2016-06-08,6.174,6.174,6.174,6.174,000,6.174
2016-06-07,6.301,6.301,6.301,6.301,000,6.301
2016-06-06,6.339,6.339,6.339,6.339,000,6.339
2016-06-03,6.43,6.43,6.43,6.43,000,6.43
2016-06-02,6.38,6.38,6.38,6.38,000,6.38
2016-06-01,6.561,6.561,6.561,6.561,000,6.561
2016-05-31,6.487,6.487,6.487,6.487,000,6.487
2016-05-30,6.59,6.59,6.59,6.59,000,6.59
2016-05-27,6.798,6.798,6.798,6.798,000,6.798
2016-05-26,6.761,6.761,6.761,6.761,000,6.761
2016-05-25,6.741,6.741,6.741,6.741,000,6.741
2016-05-24,6.729,6.729,6.729,6.729,000,6.729
2016-05-23,6.731,6.731,6.731,6.731,000,6.731
2016-05-20,6.746,6.746,6.746,6.746,000,6.746
2016-05-19,6.914,6.914,6.914,6.914,000,6.914
2016-05-18,6.936,6.936,6.936,6.936,000,6.936
2016-05-17,6.959,6.959,6.959,6.959,000,6.959
2016-05-16,6.95,6.95,6.95,6.95,000,6.95
2016-05-13,6.95,6.95,6.95,6.95,000,6.95
2016-05-12,6.973,6.973,6.973,6.973,000,6.973
2016-05-11,6.973,6.973,6.973,6.973,000,6.973
2016-05-10,6.996,6.996,6.996,6.996,000,6.996
2016-05-09,7.077,7.077,7.077,7.077,000,7.077
2016-05-06,7.034,7.034,7.034,7.034,000,7.034
