Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,9.20,9.27,9.03,9.17,77800,9.17
2016-11-30,9.35,9.37,9.061,9.19,142600,9.19
2016-11-29,9.18,9.35,9.01,9.34,144200,9.34
2016-11-28,8.97,9.41,8.90,9.25,241600,9.25
2016-11-25,9.03,9.12,8.91,8.95,44600,8.95
2016-11-23,8.99,9.12,8.82,9.00,130800,9.00
2016-11-22,8.70,8.99,8.70,8.87,107700,8.87
2016-11-21,8.74,9.02,8.621,8.70,183400,8.70
2016-11-18,8.44,8.75,8.33,8.70,109200,8.70
2016-11-17,8.37,8.84,8.30,8.38,195900,8.38
2016-11-16,8.70,8.84,8.19,8.37,235300,8.37
2016-11-15,9.59,9.60,8.65,8.70,343300,8.70
2016-11-14,9.81,9.94,9.80,9.90,152100,9.90
2016-11-11,10.02,10.02,9.54,9.77,130100,9.77
2016-11-10,10.16,10.174,9.76,10.02,237900,10.02
2016-11-09,9.28,10.40,8.90,10.02,407800,10.02
2016-11-08,8.92,9.30,8.74,9.13,278200,9.13
2016-11-07,9.25,9.39,8.53,8.90,423500,8.90
2016-11-04,9.08,9.30,8.993,9.16,173700,9.16
2016-11-03,9.03,9.24,8.95,9.02,126800,9.02
2016-11-02,9.04,9.04,8.811,8.97,164700,8.97
2016-11-01,8.85,9.06,8.76,9.01,133600,9.01
2016-10-31,9.01,9.02,8.75,8.84,154800,8.84
2016-10-28,9.11,9.20,8.98,9.02,177400,9.02
2016-10-27,8.97,9.16,8.863,9.07,192800,9.07
2016-10-26,8.94,9.05,8.84,8.95,162500,8.91
2016-10-25,8.75,9.10,8.71,9.08,213900,9.039419
2016-10-24,8.70,8.95,8.595,8.72,187500,8.681028
2016-10-21,8.77,8.94,8.60,8.67,170100,8.631251
2016-10-20,8.75,8.78,8.231,8.76,232200,8.720849
2016-10-19,8.13,8.67,8.05,8.62,308800,8.581475
2016-10-18,7.89,8.21,7.561,8.05,279000,8.014023
2016-10-17,7.89,7.99,7.60,7.87,156500,7.834827
2016-10-14,7.66,7.79,7.54,7.77,149100,7.735274
2016-10-13,7.24,7.72,7.18,7.54,167700,7.506302
2016-10-12,7.75,7.75,7.16,7.24,167000,7.207642
2016-10-11,7.63,7.73,7.52,7.68,89400,7.645676
2016-10-10,7.60,7.75,7.55,7.62,67600,7.585944
2016-10-07,7.71,7.74,7.50,7.63,76600,7.5959
2016-10-06,7.78,7.85,7.71,7.73,71000,7.695453
2016-10-05,7.74,7.82,7.701,7.76,79100,7.725319
2016-10-04,7.85,8.002,7.75,7.77,152400,7.735274
2016-10-03,7.81,7.88,7.80,7.86,155900,7.824872
2016-09-30,7.99,8.00,7.83,7.88,150000,7.844782
2016-09-29,7.63,8.075,7.60,7.94,236200,7.904514
2016-09-28,8.11,8.154,7.58,7.66,393700,7.625765
2016-09-27,8.10,8.375,8.085,8.12,237100,8.083709
2016-09-26,8.30,8.70,8.091,8.10,382700,8.063799
2016-09-23,8.12,8.26,7.91,8.26,159600,8.223084
2016-09-22,7.86,8.18,7.83,8.17,153800,8.133486
2016-09-21,7.57,7.84,7.57,7.82,145300,7.78505
2016-09-20,7.22,7.77,7.22,7.57,149700,7.536168
2016-09-19,7.18,7.59,7.18,7.29,225800,7.257419
2016-09-16,6.85,7.25,6.83,7.09,301400,7.058313
2016-09-15,6.52,6.90,6.49,6.83,118700,6.799475
2016-09-14,6.54,6.62,6.32,6.56,197200,6.530681
2016-09-13,6.78,6.79,6.31,6.61,230700,6.580458
2016-09-12,7.00,7.06,6.75,6.76,142000,6.729788
2016-09-09,7.15,7.15,6.80,7.06,212400,7.028447
2016-09-08,7.40,7.41,7.01,7.14,259500,7.108089
2016-09-07,7.52,7.739,7.35,7.39,223900,7.356972
2016-09-06,7.00,7.51,6.87,7.45,330300,7.416704
2016-09-02,6.52,7.02,6.45,6.87,324800,6.839296
2016-09-01,6.33,6.33,6.16,6.29,91600,6.261888
2016-08-31,6.50,6.54,6.29,6.33,106000,6.301709
2016-08-30,6.29,6.75,6.26,6.51,189900,6.480905
2016-08-29,6.16,6.25,6.13,6.25,136000,6.222067
2016-08-26,6.16,6.25,6.10,6.21,138800,6.182246
2016-08-25,6.05,6.20,6.05,6.15,123500,6.122514
2016-08-24,6.12,6.15,6.05,6.11,46300,6.082693
2016-08-23,6.08,6.19,6.01,6.12,137300,6.092648
2016-08-22,6.05,6.25,5.981,6.07,166300,6.042872
2016-08-19,6.03,6.10,5.95,6.09,162700,6.062782
2016-08-18,5.88,6.11,5.76,6.00,459600,5.973184
2016-08-17,6.01,6.07,5.94,6.04,65300,6.013006
2016-08-16,6.25,6.34,5.90,6.01,206000,5.98314
2016-08-15,6.07,6.317,6.00,6.22,276900,6.192201
2016-08-12,5.68,5.98,5.65,5.90,231000,5.873631
2016-08-11,5.43,5.80,5.42,5.62,508900,5.594883
2016-08-10,5.37,5.44,5.19,5.38,88300,5.355955
2016-08-09,5.44,5.63,5.37,5.40,90900,5.375866
2016-08-08,5.25,5.40,5.21,5.38,70900,5.355955
2016-08-05,5.14,5.30,5.02,5.13,66400,5.107073
2016-08-04,5.19,5.21,5.10,5.12,20300,5.097117
2016-08-03,5.03,5.20,5.00,5.19,24700,5.166805
2016-08-02,5.13,5.56,4.85,5.00,65800,4.977654
2016-08-01,5.43,5.55,5.02,5.07,65800,5.047341
2016-07-29,5.24,5.515,5.07,5.41,126600,5.385821
2016-07-28,5.17,5.256,5.11,5.24,86600,5.216581
2016-07-27,4.97,5.20,4.93,5.13,93400,5.107073
2016-07-26,4.90,5.18,4.90,4.98,216900,4.917922
2016-07-25,4.77,4.95,4.76,4.91,86200,4.848794
2016-07-22,4.68,4.82,4.64,4.77,112900,4.71054
2016-07-21,4.80,4.89,4.63,4.71,51700,4.651288
2016-07-20,4.71,4.87,4.67,4.84,66900,4.779667
2016-07-19,4.63,4.71,4.62,4.70,28600,4.641412
2016-07-18,4.71,4.71,4.63,4.63,62800,4.572285
