Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,10.99,11.10,10.82,11.02,49900,11.02
2016-11-30,11.16,11.19,10.80,10.89,119200,10.89
2016-11-29,11.26,11.26,11.10,11.17,84700,11.17
2016-11-28,11.15,11.25,11.11,11.24,43600,11.24
2016-11-25,11.21,11.35,11.11,11.16,48000,11.16
2016-11-23,11.11,11.30,11.02,11.26,59300,11.26
2016-11-22,11.23,11.39,11.17,11.23,68500,11.23
2016-11-21,10.77,11.17,10.77,11.17,86700,11.17
2016-11-18,10.90,10.90,10.74,10.77,54500,10.77
2016-11-17,10.96,11.00,10.81,10.81,61600,10.81
2016-11-16,11.12,11.14,10.84,10.86,87500,10.86
2016-11-15,10.98,11.21,10.93,11.19,79900,11.075
2016-11-14,11.05,11.15,10.90,10.94,115600,10.827569
2016-11-11,10.93,11.17,10.93,11.06,64400,10.946336
2016-11-10,10.75,11.02,10.67,10.94,102600,10.827569
2016-11-09,10.35,11.04,10.35,10.67,139500,10.560344
2016-11-08,10.51,10.90,10.51,10.79,106800,10.679111
2016-11-07,10.04,10.58,10.04,10.50,156500,10.392091
2016-11-04,9.64,10.25,9.64,10.02,108600,9.917025
2016-11-03,10.50,10.54,9.81,9.83,289000,9.728977
2016-11-02,10.99,11.56,9.90,10.54,557400,10.43168
2016-11-01,12.97,12.98,11.78,11.91,254500,11.7876
2016-10-31,12.93,13.01,12.90,12.90,63500,12.767426
2016-10-28,13.31,13.31,12.90,12.93,121700,12.797118
2016-10-27,13.58,13.58,13.21,13.24,51700,13.103932
2016-10-26,13.55,13.70,13.33,13.53,62900,13.390951
2016-10-25,13.59,13.68,13.53,13.59,29500,13.450335
2016-10-24,13.62,13.65,13.48,13.60,36500,13.460233
2016-10-21,13.45,13.52,13.43,13.51,46200,13.371158
2016-10-20,13.50,13.54,13.46,13.47,18100,13.331569
2016-10-19,13.60,13.60,13.51,13.52,36200,13.381055
2016-10-18,13.50,13.61,13.48,13.53,36000,13.390951
2016-10-17,13.68,13.73,13.56,13.60,74500,13.346415
2016-10-14,13.70,13.75,13.61,13.63,38200,13.375855
2016-10-13,13.71,13.75,13.57,13.74,38600,13.483804
2016-10-12,13.60,13.75,13.60,13.73,42900,13.47399
2016-10-11,13.60,13.70,13.54,13.54,18400,13.287533
2016-10-10,13.46,13.70,13.43,13.60,32900,13.346415
2016-10-07,13.43,13.54,13.43,13.49,23100,13.238465
2016-10-06,13.63,13.63,13.42,13.43,39300,13.179584
2016-10-05,13.45,13.59,13.44,13.59,59700,13.336601
2016-10-04,13.60,13.61,13.45,13.50,57000,13.248279
2016-10-03,13.52,13.71,13.52,13.64,25400,13.385669
2016-09-30,13.52,13.74,13.51,13.56,64500,13.307161
2016-09-29,13.55,13.65,13.55,13.57,24600,13.316973
2016-09-28,13.67,13.69,13.56,13.59,32200,13.336601
2016-09-27,13.74,13.74,13.50,13.60,41200,13.346415
2016-09-26,13.67,13.79,13.65,13.70,36300,13.44455
2016-09-23,13.78,13.79,13.60,13.66,54500,13.405295
2016-09-22,13.75,13.75,13.64,13.73,51300,13.47399
2016-09-21,13.54,13.69,13.48,13.68,30800,13.424923
2016-09-20,13.42,13.70,13.37,13.53,58600,13.277719
2016-09-19,13.27,13.38,13.20,13.32,72200,13.071635
2016-09-16,13.19,13.23,12.98,13.19,67700,12.944059
2016-09-15,13.32,13.33,13.10,13.31,75300,12.948966
2016-09-14,13.11,13.25,13.02,13.23,51500,12.871135
