Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,19.049999,19.200001,18.950001,19.10,45000,19.10
2016-11-30,18.950001,19.08,18.83,18.90,57700,18.90
2016-11-29,18.90,19.10,18.75,18.799999,109200,18.799999
2016-11-28,18.60,18.90,18.549999,18.799999,52900,18.799999
2016-11-25,18.65,18.75,18.549999,18.700001,20900,18.700001
2016-11-23,18.700001,18.799999,18.65,18.65,65800,18.65
2016-11-22,18.700001,18.75,18.299999,18.700001,78100,18.700001
2016-11-21,18.75,18.75,18.450001,18.700001,45700,18.700001
2016-11-18,18.700001,18.90,18.549999,18.75,120900,18.75
2016-11-17,18.60,18.799999,18.60,18.65,103500,18.65
2016-11-16,18.65,18.75,18.10,18.700001,86400,18.700001
2016-11-15,17.950001,18.85,17.65,18.65,150000,18.65
2016-11-14,17.75,18.049999,17.75,18.00,126100,18.00
2016-11-11,17.65,17.799999,17.48,17.700001,225900,17.700001
2016-11-10,17.00,17.60,16.85,17.60,122300,17.60
2016-11-09,16.65,16.85,16.60,16.799999,127900,16.799999
2016-11-08,16.75,16.90,16.60,16.65,42700,16.65
2016-11-07,16.65,17.00,16.65,16.90,49400,16.90
2016-11-04,16.549999,16.799999,16.549999,16.65,83400,16.65
2016-11-03,16.60,16.700001,16.450001,16.65,38400,16.65
2016-11-02,16.75,16.799999,16.450001,16.549999,71000,16.449999
2016-11-01,16.75,16.85,16.700001,16.75,62600,16.648791
2016-10-31,16.85,16.85,16.75,16.799999,55500,16.698489
2016-10-28,16.75,17.24,16.67,16.809999,38200,16.708428
2016-10-27,16.98,16.98,16.610001,16.68,38900,16.579215
2016-10-26,16.77,16.85,16.57,16.59,34800,16.489758
2016-10-25,16.65,16.780001,16.629999,16.75,26500,16.648791
2016-10-24,16.700001,16.84,16.58,16.780001,22700,16.678611
2016-10-21,16.60,16.67,16.48,16.58,15100,16.479819
2016-10-20,16.75,16.90,16.65,16.75,46000,16.648791
2016-10-19,16.620001,16.799999,16.58,16.690001,47200,16.589155
2016-10-18,16.57,16.709999,16.57,16.639999,31700,16.539455
2016-10-17,16.52,16.67,16.49,16.629999,27300,16.529516
2016-10-14,16.49,16.66,16.459999,16.58,27300,16.479819
2016-10-13,16.879999,16.98,16.33,16.40,38300,16.300906
2016-10-12,16.799999,17.200001,16.790001,17.00,82300,16.897281
2016-10-11,16.77,16.799999,16.67,16.75,36400,16.648791
2016-10-10,16.60,16.799999,16.60,16.77,31500,16.668671
2016-10-07,16.52,16.629999,16.469999,16.59,27100,16.489758
2016-10-06,16.690001,16.690001,16.450001,16.639999,24100,16.539455
2016-10-05,16.629999,16.76,16.59,16.629999,32700,16.529516
2016-10-04,16.75,16.860001,16.57,16.59,45000,16.489758
2016-10-03,16.83,16.889999,16.639999,16.790001,44200,16.688551
2016-09-30,16.74,17.00,16.700001,16.83,311800,16.728308
2016-09-29,16.700001,16.860001,16.65,16.73,90400,16.628912
2016-09-28,16.51,16.700001,16.469999,16.67,75300,16.569275
2016-09-27,16.360001,16.629999,16.17,16.540001,152800,16.440061
2016-09-26,16.299999,16.35,16.110001,16.129999,74100,16.032537
2016-09-23,16.50,16.59,16.309999,16.41,64100,16.310846
2016-09-22,16.450001,16.629999,16.42,16.629999,68800,16.529516
2016-09-21,16.41,16.48,16.27,16.440001,43700,16.340665
2016-09-20,16.370001,16.50,16.34,16.40,36300,16.300906
2016-09-19,16.280001,16.41,16.280001,16.370001,41200,16.271088
2016-09-16,16.01,16.41,15.90,16.379999,167000,16.281026
2016-09-15,16.00,16.040001,15.99,16.00,53500,15.903323
2016-09-14,16.200001,16.200001,15.96,15.98,43100,15.883444
2016-09-13,16.18,16.23,16.02,16.120001,37000,16.022599
2016-09-12,16.200001,16.290001,16.07,16.27,37300,16.171692
2016-09-09,16.299999,16.35,16.200001,16.23,84000,16.131933
2016-09-08,16.41,16.450001,16.280001,16.35,63700,16.251209
2016-09-07,16.23,16.610001,16.139999,16.49,39700,16.390362
2016-09-06,16.49,16.49,16.299999,16.370001,38900,16.271088
2016-09-02,16.33,16.51,16.33,16.48,44000,16.380422
2016-09-01,16.450001,16.450001,16.16,16.299999,47200,16.20151
2016-08-31,16.450001,16.450001,16.200001,16.309999,38500,16.21145
2016-08-30,16.27,16.450001,16.27,16.43,29700,16.330725
2016-08-29,16.440001,16.450001,16.219999,16.309999,33200,16.21145
2016-08-26,16.299999,16.469999,16.27,16.42,45700,16.320785
