Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,15.97,16.32,15.94,16.299999,169600,16.299999
2016-11-30,15.89,16.25,15.70,15.81,63900,15.81
2016-11-29,16.16,16.370001,16.08,16.120001,208000,16.120001
2016-11-28,15.99,16.08,15.95,16.01,97200,16.01
2016-11-25,15.45,16.50,15.38,16.049999,95400,16.049999
2016-11-23,16.50,16.60,16.450001,16.530001,153000,16.530001
2016-11-22,16.60,16.639999,16.25,16.42,109600,16.42
2016-11-21,16.00,16.690001,16.00,16.549999,102800,16.549999
2016-11-18,15.41,16.15,15.41,16.00,100800,16.00
2016-11-17,15.39,15.55,15.11,15.33,56500,15.33
2016-11-16,15.31,15.37,15.00,15.31,59700,15.31
2016-11-15,15.50,15.65,14.65,15.40,91900,15.40
2016-11-14,15.65,16.01,15.50,15.66,93500,15.66
2016-11-11,15.15,15.84,15.15,15.65,173300,15.65
2016-11-10,14.00,15.25,14.00,14.80,237100,14.80
2016-11-09,14.68,14.68,14.26,14.30,151000,14.30
2016-11-08,15.19,15.19,14.76,14.87,100000,14.87
2016-11-07,15.50,15.63,15.00,15.27,204400,15.27
2016-11-04,15.45,15.80,15.05,15.33,137200,15.33
2016-11-03,16.17,16.200001,15.35,15.40,188300,15.40
2016-11-02,16.32,16.60,16.16,16.33,140800,16.33
2016-11-01,18.00,18.00,16.35,16.40,107600,16.40
2016-10-31,19.10,19.10,19.10,19.10,000,19.10
