Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,47.889999,47.889999,47.889999,47.889999,000,47.889999
2016-11-30,47.00,47.889999,46.049999,47.889999,500,47.889999
2016-11-29,44.00,47.950001,44.00,47.950001,1800,47.950001
2016-11-28,47.939999,47.939999,47.939999,47.939999,400,47.939999
2016-11-25,44.900002,44.900002,42.009998,44.700001,600,44.700001
2016-11-23,45.490002,45.490002,45.490002,45.490002,000,45.490002
2016-11-22,45.490002,45.490002,45.490002,45.490002,000,45.490002
2016-11-21,44.00,45.490002,44.00,45.490002,16000,45.490002
2016-11-18,44.939999,44.939999,44.939999,44.939999,000,44.939999
2016-11-17,44.939999,44.939999,44.939999,44.939999,000,44.939999
2016-11-16,44.939999,44.939999,44.939999,44.939999,300,44.939999
2016-11-15,39.509998,43.00,39.509998,43.00,700,43.00
2016-11-14,43.900002,43.900002,43.900002,43.900002,100,43.900002
2016-11-11,39.830002,43.00,39.830002,43.00,600,42.233999
2016-11-10,47.990002,47.990002,47.990002,47.990002,000,47.135109
2016-11-09,47.990002,47.990002,47.990002,47.990002,000,47.135109
2016-11-08,47.990002,47.990002,47.990002,47.990002,000,47.135109
2016-11-07,44.00,47.990002,43.959999,47.990002,800,47.135109
2016-11-04,44.849998,44.849998,44.849998,44.849998,100,44.051041
2016-11-03,44.849998,44.849998,44.849998,44.849998,000,44.051041
2016-11-02,44.849998,44.849998,44.849998,44.849998,000,44.051041
2016-11-01,44.849998,44.849998,44.849998,44.849998,000,44.051041
2016-10-31,44.849998,44.849998,44.849998,44.849998,000,44.051041
2016-10-28,44.849998,44.849998,44.849998,44.849998,000,44.051041
2016-10-27,44.849998,44.849998,44.849998,44.849998,000,44.051041
2016-10-26,44.00,45.00,44.00,44.849998,800,44.051041
2016-10-25,44.00,44.00,44.00,44.00,000,43.216185
2016-10-24,40.509998,44.00,40.00,44.00,500,43.216185
2016-10-21,44.459999,44.459999,44.459999,44.459999,100,43.66799
2016-10-20,43.00,43.00,43.00,43.00,000,42.233999
2016-10-19,43.00,43.00,43.00,43.00,000,42.233999
2016-10-18,43.00,43.00,43.00,43.00,500,42.233999
2016-10-17,44.00,44.00,44.00,44.00,300,43.216185
2016-10-14,38.009998,43.490002,38.009998,42.00,6400,41.251813
2016-10-13,47.00,48.00,41.849998,41.880001,12300,41.133952
2016-10-12,43.50,54.450001,43.50,48.00,10500,47.144929
2016-10-11,43.779999,43.779999,43.779999,43.779999,000,43.000103
2016-10-10,43.779999,43.779999,43.779999,43.779999,000,43.000103
2016-10-07,43.779999,43.779999,43.779999,43.779999,000,43.000103
2016-10-06,41.880001,43.779999,41.880001,43.779999,300,43.000103
2016-10-05,43.82,43.82,43.82,43.82,000,43.039391
2016-10-04,43.82,43.82,43.82,43.82,000,43.039391
2016-10-03,43.82,43.82,43.82,43.82,000,43.039391
2016-09-30,43.740002,43.990002,43.740002,43.82,400,43.039391
2016-09-29,43.580002,43.580002,42.029999,42.029999,800,41.281277
2016-09-28,44.50,44.50,44.50,44.50,000,43.707278
2016-09-27,44.50,44.50,44.50,44.50,000,43.707278
2016-09-26,43.900002,44.790001,43.900002,44.50,300,43.707278
2016-09-23,44.00,44.00,44.00,44.00,000,43.216185
2016-09-22,44.00,44.00,44.00,44.00,000,43.216185
2016-09-21,40.959999,44.00,39.00,44.00,2100,43.216185
2016-09-20,40.50,44.700001,40.00,44.700001,2100,43.903716
2016-09-19,40.900002,41.00,40.50,40.50,800,39.778534
2016-09-16,41.00,41.00,41.00,41.00,000,40.269627
2016-09-15,43.220001,45.00,39.50,41.00,2700,40.269627
2016-09-14,40.009998,40.009998,40.009998,40.009998,000,39.297261
2016-09-13,40.009998,40.009998,40.009998,40.009998,000,39.297261
2016-09-12,40.009998,40.009998,40.009998,40.009998,000,39.297261
2016-09-09,40.009998,40.009998,40.009998,40.009998,000,39.297261
2016-09-08,40.009998,40.009998,40.009998,40.009998,500,39.297261
2016-09-07,39.00,41.00,38.990002,40.009998,4300,39.297261
2016-09-06,39.299999,39.299999,39.299999,39.299999,000,38.59991
2016-09-02,39.299999,39.299999,39.299999,39.299999,000,38.59991
2016-09-01,39.299999,39.299999,39.299999,39.299999,100,38.59991
2016-08-31,37.450001,39.349998,37.450001,39.349998,1900,38.649018
2016-08-30,37.599998,37.599998,37.450001,37.450001,600,36.782867
2016-08-29,37.77,38.00,37.450001,37.450001,1700,36.782867
2016-08-26,37.75,37.75,37.75,37.75,000,37.077522
2016-08-25,35.830002,37.75,35.830002,37.75,1500,37.077522
2016-08-24,37.900002,37.900002,37.900002,37.900002,000,37.224852
2016-08-23,37.900002,37.900002,37.900002,37.900002,000,37.224852
2016-08-22,37.900002,37.900002,37.900002,37.900002,000,37.224852
2016-08-19,37.900002,37.900002,37.900002,37.900002,000,37.224852
2016-08-18,37.900002,37.900002,37.900002,37.900002,000,37.224852
2016-08-17,37.900002,37.900002,37.900002,37.900002,000,37.224852
2016-08-16,37.00,37.900002,37.00,37.900002,400,37.224852
2016-08-15,36.549999,38.00,35.18,38.00,800,37.323069
2016-08-12,38.00,38.00,38.00,38.00,000,37.323069
2016-08-11,38.00,38.00,38.00,38.00,000,37.323069
2016-08-10,38.00,38.00,38.00,38.00,000,37.323069
2016-08-09,38.00,38.00,38.00,38.00,000,37.323069
2016-08-08,38.00,38.00,38.00,38.00,300,37.323069
2016-08-05,38.98,38.98,38.98,38.98,000,38.285611
2016-08-04,38.98,38.98,38.98,38.98,000,38.285611
2016-08-03,37.00,38.98,35.439999,38.98,700,38.285611
2016-08-02,37.330002,37.330002,37.330002,37.330002,000,36.665006
2016-08-01,35.040001,38.00,35.040001,37.330002,1600,36.665006
2016-07-29,38.00,38.00,38.00,38.00,1100,37.323069
2016-07-28,37.759998,38.00,37.759998,38.00,2500,37.323069
2016-07-27,38.00,38.00,38.00,38.00,000,37.323069
2016-07-26,37.75,38.16,37.00,38.00,1300,37.323069
2016-07-25,37.689999,37.689999,37.689999,37.689999,2200,37.01859
2016-07-22,36.290001,37.689999,32.66,37.689999,400,37.01859
2016-07-21,36.509998,38.00,36.509998,38.00,1600,37.323069
2016-07-20,35.099998,38.360001,35.099998,38.00,1600,37.323069
2016-07-19,38.75,38.75,38.75,38.75,200,38.059708
2016-07-18,38.880001,39.009998,38.68,38.68,5700,37.990956
2016-07-15,37.849998,37.849998,37.849998,37.849998,500,37.175739
2016-07-14,36.650002,39.00,36.650002,38.00,900,37.323069
2016-07-13,36.00,36.00,36.00,36.00,000,35.358697
2016-07-12,36.00,37.00,35.299999,36.00,2400,35.358697
2016-07-11,36.169998,36.900002,35.75,36.00,2900,35.358697
2016-07-08,34.50,36.25,34.50,36.25,500,35.604243
2016-07-07,38.00,38.00,38.00,38.00,300,37.323069
2016-07-06,38.50,38.50,38.00,38.349998,1200,37.666832
2016-07-05,38.00,38.00,38.00,38.00,200,37.323069
2016-07-01,38.50,38.50,38.50,38.50,000,37.814162
2016-06-30,38.50,38.50,38.50,38.50,100,37.814162
2016-06-29,38.799999,39.00,35.32,38.900002,3500,38.207038
2016-06-28,34.25,39.259998,34.25,39.18,900,38.482049
2016-06-27,38.00,38.00,38.00,38.00,000,37.323069
2016-06-24,38.00,38.00,38.00,38.00,000,37.323069
2016-06-23,38.00,38.00,38.00,38.00,200,37.323069
2016-06-22,38.00,38.299999,38.00,38.299999,1200,37.617724
2016-06-21,34.50,39.00,34.50,38.00,600,37.323069
2016-06-20,38.50,38.50,38.50,38.50,000,37.814162
2016-06-17,38.50,38.50,38.50,38.50,000,37.814162
2016-06-16,38.50,38.50,38.50,38.50,000,37.814162
2016-06-15,38.50,38.50,38.50,38.50,000,37.814162
2016-06-14,38.50,38.50,38.50,38.50,1000,37.814162
2016-06-13,38.50,39.450001,37.970001,38.099998,4400,37.421286
2016-06-10,38.950001,38.950001,38.950001,38.950001,000,38.256146
2016-06-09,38.950001,38.950001,38.950001,38.950001,000,38.256146
2016-06-08,38.950001,38.950001,38.950001,38.950001,000,38.256146
2016-06-07,38.400002,38.950001,38.400002,38.950001,300,38.256146
2016-06-06,36.52,39.18,36.52,39.18,800,38.482049
2016-06-03,38.389999,38.389999,38.389999,38.389999,000,37.706121
2016-06-02,36.400002,39.799999,36.400002,38.389999,6000,37.706121
2016-06-01,38.400002,38.400002,38.400002,38.400002,000,37.715945
2016-05-31,37.18,39.900002,33.799999,38.400002,8100,37.715945
2016-05-27,38.889999,38.889999,38.889999,38.889999,000,38.197214
2016-05-26,38.23,38.900002,38.23,38.889999,2800,38.197214
2016-05-25,39.50,39.50,38.93,39.00,1800,38.305255
2016-05-24,38.900002,38.900002,38.09,38.700001,3000,38.0106
2016-05-23,38.299999,38.50,38.299999,38.50,1700,37.814162
2016-05-20,38.299999,38.299999,38.299999,38.299999,400,37.617724
2016-05-19,38.990002,38.990002,37.799999,38.299999,3900,37.617724
2016-05-18,38.209999,38.299999,38.209999,38.299999,400,37.617724
2016-05-17,39.00,39.00,39.00,39.00,000,38.305255
2016-05-16,38.16,39.009998,38.049999,39.00,7100,38.305255
2016-05-13,39.41,39.799999,39.049999,39.240002,1200,38.540981
2016-05-12,39.560001,39.560001,38.490002,38.490002,1000,37.804342
2016-05-11,39.799999,39.799999,37.560001,38.75,2300,38.059708
2016-05-10,39.27,39.279999,38.220001,38.25,1000,37.568615
2016-05-09,39.700001,39.700001,38.009998,38.900002,6400,38.207038
2016-05-06,38.110001,39.799999,38.099998,39.799999,600,39.091003
2016-05-05,39.00,46.009998,38.43,39.25,3000,38.550801
2016-05-04,39.52,39.98,38.259998,39.00,6600,38.305255
2016-05-03,40.00,40.009998,39.400002,39.400002,2700,38.698131
2016-05-02,40.950001,40.950001,39.25,39.25,2700,38.550801
2016-04-29,39.740002,40.099998,38.00,39.099998,4000,38.403472
2016-04-28,39.00,39.009998,38.799999,38.799999,2900,38.108817
2016-04-27,38.419998,39.990002,38.18,38.84,5300,38.148105
2016-04-26,38.299999,38.299999,38.299999,38.299999,000,37.617724
2016-04-25,38.299999,38.299999,38.299999,38.299999,000,37.617724
2016-04-22,38.119999,38.50,38.00,38.299999,2500,37.617724
2016-04-21,39.48,39.48,35.799999,38.50,3800,37.814162
