Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,24.85,24.950001,24.809999,24.90,5500,24.90
2016-11-30,24.790001,24.90,24.790001,24.860001,1700,24.860001
2016-11-29,24.77,24.82,24.75,24.809999,3100,24.809999
2016-11-28,24.799999,24.799999,24.73,24.77,7200,24.77
2016-11-25,24.90,24.90,24.73,24.799999,2800,24.799999
2016-11-23,24.799999,24.870001,24.799999,24.799999,7900,24.799999
2016-11-22,24.75,24.809999,24.75,24.799999,8500,24.799999
2016-11-21,24.879999,25.02,24.799999,24.799999,30100,24.799999
2016-11-18,24.860001,24.860001,24.73,24.73,8400,24.73
2016-11-17,24.809999,24.809999,24.809999,24.809999,000,24.809999
2016-11-16,24.870001,24.90,24.809999,24.809999,4000,24.809999
2016-11-15,24.940001,24.940001,24.809999,24.860001,5600,24.860001
2016-11-14,24.93,24.950001,24.719999,24.940001,11800,24.940001
2016-11-11,24.84,24.85,24.83,24.85,3500,24.85
2016-11-10,24.82,24.950001,24.709999,24.709999,2500,24.709999
2016-11-09,24.75,24.93,24.75,24.93,6700,24.93
2016-11-08,24.75,24.780001,24.75,24.780001,1100,24.719
2016-11-07,24.77,24.77,24.77,24.77,000,24.709025
2016-11-04,24.84,24.85,24.77,24.77,2800,24.709025
2016-11-03,24.84,24.84,24.77,24.77,700,24.709025
2016-11-02,24.75,24.77,24.620001,24.77,1800,24.709025
2016-11-01,24.65,24.65,24.65,24.65,000,24.589319
2016-10-31,24.65,24.75,24.65,24.65,13500,24.589319
2016-10-28,24.620001,24.83,24.620001,24.75,5700,24.689074
2016-10-27,24.709999,24.719999,24.65,24.65,6700,24.589319
2016-10-26,24.85,24.85,24.709999,24.75,1900,24.689074
2016-10-25,24.75,24.75,24.75,24.75,000,24.689074
2016-10-24,24.75,24.75,24.75,24.75,200,24.689074
2016-10-21,24.77,24.84,24.77,24.84,1500,24.778852
2016-10-20,24.889999,24.90,24.889999,24.90,2100,24.838704
2016-10-19,24.870001,24.870001,24.870001,24.870001,100,24.808779
2016-10-18,24.75,24.77,24.700001,24.74,4000,24.679098
2016-10-17,24.85,24.879999,24.85,24.85,1500,24.788828
2016-10-14,24.75,24.790001,24.700001,24.700001,2000,24.639197
2016-10-13,24.84,24.85,24.700001,24.85,9600,24.788828
2016-10-12,24.799999,24.85,24.620001,24.66,7800,24.599295
2016-10-11,24.85,24.85,24.85,24.85,600,24.725983
2016-10-10,24.75,24.75,24.75,24.75,000,24.626482
2016-10-07,24.75,24.75,24.75,24.75,400,24.626482
2016-10-06,24.860001,24.860001,24.67,24.76,4600,24.636432
2016-10-05,24.809999,24.90,24.809999,24.870001,1700,24.745884
2016-10-04,24.76,24.809999,24.76,24.809999,700,24.686182
2016-10-03,24.809999,24.85,24.780001,24.83,3400,24.706082
2016-09-30,24.75,24.75,24.75,24.75,200,24.626482
2016-09-29,24.84,24.84,24.84,24.84,000,24.716033
2016-09-28,24.790001,24.85,24.75,24.84,1900,24.716033
2016-09-27,24.889999,24.90,24.889999,24.90,800,24.775733
2016-09-26,24.90,24.90,24.90,24.90,000,24.775733
2016-09-23,24.73,24.90,24.73,24.90,4900,24.775733
2016-09-22,24.98,24.98,24.74,24.75,1500,24.626482
2016-09-21,24.91,24.98,24.91,24.98,1100,24.855333
2016-09-20,24.809999,24.969999,24.67,24.969999,5800,24.845383
2016-09-19,24.92,24.92,24.92,24.92,000,24.795633
2016-09-16,24.90,24.92,24.90,24.92,900,24.795633
2016-09-15,24.90,24.90,24.73,24.90,1900,24.775733
2016-09-14,24.73,24.73,24.73,24.73,300,24.606581
2016-09-13,24.90,24.92,24.90,24.91,2000,24.785683
2016-09-12,24.90,24.90,24.870001,24.870001,2400,24.745884
2016-09-09,24.84,24.889999,24.67,24.709999,4600,24.522005
2016-09-08,24.790001,24.889999,24.790001,24.82,700,24.631169
2016-09-07,24.90,24.90,24.90,24.90,1300,24.710561
2016-09-06,24.90,24.90,24.90,24.90,600,24.710561
2016-09-02,24.860001,24.879999,24.75,24.879999,1500,24.690712
2016-09-01,24.950001,24.950001,24.889999,24.889999,2500,24.700636
