Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,3.31,3.31,3.24,3.25,18200,3.25
2016-11-30,3.30,3.39,3.21,3.22,28100,3.22
2016-11-29,3.30,3.33,3.27,3.30,21500,3.30
2016-11-28,3.36,3.42,3.20,3.22,98300,3.22
2016-11-25,3.37,3.40,3.35,3.37,6600,3.37
2016-11-23,3.40,3.41,3.38,3.38,35600,3.38
2016-11-22,3.43,3.43,3.35,3.40,26300,3.40
2016-11-21,3.38,3.45,3.38,3.40,35300,3.40
2016-11-18,3.38,3.42,3.36,3.38,50900,3.38
2016-11-17,3.39,3.44,3.37,3.38,25400,3.38
2016-11-16,3.41,3.51,3.33,3.43,61400,3.43
2016-11-15,3.40,3.44,3.39,3.40,11100,3.40
2016-11-14,3.40,3.45,3.34,3.42,37600,3.42
2016-11-11,3.43,3.47,3.34,3.40,35100,3.40
2016-11-10,3.41,3.60,3.35,3.40,159200,3.40
2016-11-09,3.31,3.41,3.31,3.40,29400,3.40
2016-11-08,3.41,3.41,3.31,3.40,55900,3.40
2016-11-07,3.41,3.49,3.35,3.36,9600,3.36
2016-11-04,3.38,3.44,3.36,3.36,8300,3.36
2016-11-03,3.34,3.43,3.33,3.39,26300,3.39
2016-11-02,3.40,3.40,3.34,3.34,9500,3.34
2016-11-01,3.47,3.47,3.35,3.40,6500,3.40
2016-10-31,3.42,3.49,3.34,3.46,52900,3.46
2016-10-28,3.43,3.49,3.35,3.42,66500,3.42
2016-10-27,3.39,3.46,3.39,3.43,17900,3.43
2016-10-26,3.38,3.48,3.38,3.45,14000,3.45
2016-10-25,3.59,3.59,3.38,3.41,50000,3.41
2016-10-24,3.57,3.62,3.52,3.55,29800,3.55
2016-10-21,3.57,3.67,3.52,3.59,10800,3.59
2016-10-20,3.70,3.70,3.59,3.60,9300,3.60
2016-10-19,3.59,3.66,3.59,3.66,500,3.66
2016-10-18,3.74,3.76,3.62,3.67,30900,3.67
2016-10-17,3.68,3.77,3.64,3.72,9600,3.72
2016-10-14,3.68,3.71,3.62,3.70,16000,3.70
2016-10-13,3.64,3.66,3.62,3.64,10500,3.64
2016-10-12,3.66,3.66,3.62,3.64,12800,3.64
2016-10-11,3.67,3.72,3.63,3.64,11000,3.64
2016-10-10,3.68,3.71,3.48,3.71,212000,3.71
2016-10-07,3.69,3.79,3.45,3.70,206200,3.70
2016-10-06,3.68,3.74,3.64,3.66,14700,3.66
2016-10-05,3.66,3.75,3.64,3.64,29200,3.64
2016-10-04,3.63,3.74,3.63,3.73,33200,3.73
2016-10-03,3.62,3.72,3.58,3.63,7500,3.63
2016-09-30,3.66,3.68,3.55,3.64,48000,3.64
2016-09-29,3.76,3.76,3.50,3.62,73200,3.62
2016-09-28,3.75,3.77,3.71,3.74,19900,3.74
2016-09-27,3.74,3.80,3.72,3.72,9400,3.72
2016-09-26,3.75,3.77,3.71,3.74,40500,3.74
2016-09-23,3.77,3.82,3.71,3.80,37200,3.80
2016-09-22,3.86,3.86,3.70,3.80,61600,3.80
2016-09-21,3.88,3.89,3.76,3.88,26900,3.88
2016-09-20,3.95,3.99,3.77,3.83,121600,3.83
2016-09-19,3.88,4.04,3.88,3.95,217600,3.95
2016-09-16,3.81,3.88,3.79,3.87,204400,3.87
2016-09-15,3.80,3.84,3.72,3.81,57200,3.81
2016-09-14,3.80,3.83,3.73,3.78,46300,3.78
2016-09-13,3.76,3.80,3.71,3.77,57000,3.77
2016-09-12,3.78,3.84,3.69,3.82,134900,3.82
2016-09-09,3.78,3.78,3.71,3.75,75500,3.75
2016-09-08,3.78,3.80,3.65,3.76,51700,3.76
2016-09-07,3.78,3.86,3.62,3.75,211300,3.75
