Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,22.309999,22.309999,21.42,21.99,23000,21.99
2016-11-30,22.540001,22.57,22.049999,22.43,17000,22.43
2016-11-29,22.40,22.84,22.209999,22.700001,21700,22.700001
2016-11-28,22.40,22.719999,22.40,22.40,30300,22.40
2016-11-25,22.50,22.50,22.299999,22.299999,3400,22.299999
2016-11-23,22.700001,22.700001,22.23,22.49,10400,22.49
2016-11-22,22.40,22.73,21.50,22.73,19700,22.73
2016-11-21,22.66,22.85,22.120001,22.190001,36900,22.190001
2016-11-18,22.559999,22.75,22.129999,22.450001,36300,22.450001
2016-11-17,22.620001,22.719999,22.60,22.709999,25600,22.709999
2016-11-16,22.74,22.870001,22.110001,22.870001,31000,22.870001
2016-11-15,21.549999,22.65,21.360001,22.639999,28600,22.639999
2016-11-14,22.25,22.27,20.51,21.35,58500,21.35
2016-11-11,22.98,23.200001,21.870001,22.24,22700,22.24
2016-11-10,22.370001,22.74,22.25,22.74,27200,22.74
2016-11-09,22.60,23.01,22.26,22.67,30400,22.67
2016-11-08,22.57,23.09,22.48,22.92,20300,22.92
2016-11-07,22.58,22.58,22.299999,22.57,24700,22.57
2016-11-04,21.91,22.469999,21.76,22.469999,29000,22.469999
2016-11-03,22.360001,22.690001,21.75,21.82,31600,21.82
2016-11-02,22.85,23.00,22.57,22.870001,17400,22.870001
2016-11-01,23.32,23.32,22.299999,22.860001,13800,22.860001
2016-10-31,23.200001,23.280001,22.870001,22.870001,17200,22.870001
2016-10-28,23.01,23.48,23.01,23.25,20300,23.25
2016-10-27,23.50,23.50,23.02,23.110001,17100,23.110001
2016-10-26,23.629999,23.709999,23.50,23.65,14000,23.65
2016-10-25,23.719999,23.950001,23.51,23.799999,34200,23.799999
2016-10-24,23.77,23.959999,23.459999,23.66,28900,23.66
2016-10-21,23.51,23.83,23.51,23.83,134300,23.83
2016-10-20,23.540001,23.76,23.450001,23.65,49200,23.65
2016-10-19,23.620001,23.889999,23.49,23.76,25400,23.76
2016-10-18,23.209999,23.85,23.16,23.83,22900,23.83
2016-10-17,23.459999,23.59,23.24,23.27,17000,23.27
2016-10-14,23.43,23.559999,23.280001,23.549999,16900,23.549999
2016-10-13,22.780001,23.75,22.57,23.40,32000,23.40
2016-10-12,23.040001,23.33,22.65,22.85,36800,22.85
2016-10-11,23.139999,23.49,22.799999,22.969999,20000,22.969999
2016-10-10,23.48,23.809999,23.07,23.24,31900,23.24
2016-10-07,23.02,23.440001,22.700001,23.440001,19000,23.440001
2016-10-06,23.40,23.40,22.690001,23.02,6200,23.02
2016-10-05,22.219999,23.280001,22.219999,23.27,33700,23.27
2016-10-04,22.950001,22.959999,22.02,22.17,63300,22.17
2016-10-03,22.90,23.35,22.889999,22.940001,22300,22.940001
2016-09-30,22.690001,23.49,22.610001,23.049999,25200,23.049999
2016-09-29,23.440001,23.92,22.33,22.700001,25900,22.700001
2016-09-28,23.860001,23.99,23.440001,23.57,28700,23.57
2016-09-27,24.02,24.139999,23.639999,24.139999,28800,24.139999
2016-09-26,24.049999,24.10,23.549999,23.75,30200,23.75
2016-09-23,24.00,24.139999,23.60,24.139999,27700,24.139999
2016-09-22,23.77,24.00,23.51,23.99,39500,23.99
2016-09-21,23.40,23.799999,23.08,23.799999,27600,23.799999
2016-09-20,23.40,23.700001,23.26,23.440001,30400,23.440001
2016-09-19,22.84,23.59,22.610001,23.389999,34400,23.389999
2016-09-16,23.27,23.690001,22.43,22.780001,42700,22.780001
2016-09-15,23.690001,23.99,23.00,23.200001,45100,23.200001
2016-09-14,23.58,23.950001,23.34,23.620001,38400,23.620001
2016-09-13,23.700001,23.99,23.16,23.610001,34400,23.610001
2016-09-12,24.129999,24.200001,23.629999,23.809999,49700,23.809999
2016-09-09,24.639999,24.67,24.02,24.559999,87500,24.184999
2016-09-08,24.60,24.92,24.26,24.92,92500,24.539503
2016-09-07,24.379999,24.75,23.90,24.67,109000,24.29332
2016-09-06,23.75,24.48,23.50,24.450001,107000,24.07668
2016-09-02,23.25,24.24,23.15,24.049999,110400,23.682786
2016-09-01,23.27,23.290001,23.00,23.290001,40200,22.934392
2016-08-31,23.16,23.290001,23.00,23.290001,42900,22.934392
2016-08-30,22.98,23.379999,22.91,23.25,62300,22.895002
2016-08-29,22.950001,23.24,22.799999,22.98,42800,22.629124
2016-08-26,23.00,23.34,22.76,22.950001,28800,22.599583
2016-08-25,22.85,22.99,22.700001,22.969999,52600,22.619276
2016-08-24,23.049999,23.57,22.700001,22.82,75700,22.471567
2016-08-23,23.00,23.219999,22.940001,23.08,68200,22.727597
2016-08-22,22.98,22.98,22.780001,22.959999,31300,22.609429
2016-08-19,22.59,22.959999,22.58,22.940001,26900,22.589736
2016-08-18,22.50,22.709999,22.469999,22.709999,44500,22.363246
2016-08-17,22.48,22.60,22.35,22.57,51700,22.225384
2016-08-16,22.60,22.90,22.43,22.59,72300,22.245079
2016-08-15,23.15,23.15,22.200001,22.84,72900,22.491262
2016-08-12,22.90,23.10,22.74,23.02,34500,22.668514
2016-08-11,23.08,23.18,22.629999,23.07,46500,22.71775
2016-08-10,22.77,23.15,22.52,23.15,42200,22.796528
2016-08-09,23.00,23.09,22.35,22.74,62000,22.392789
2016-08-08,22.85,22.889999,22.60,22.889999,60700,22.540498
2016-08-05,22.85,22.91,22.450001,22.85,72800,22.50111
2016-08-04,22.76,22.91,22.459999,22.84,61200,22.491262
