Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,4.00,4.02,3.94,3.98,100300,3.98
2016-11-30,4.01,4.09,3.94,3.96,169200,3.96
2016-11-29,3.97,4.05,3.95,4.01,87700,4.01
2016-11-28,3.99,4.03,3.95,3.99,90200,3.99
2016-11-25,4.01,4.03,3.97,3.99,75800,3.99
2016-11-23,4.12,4.14,3.98,4.03,89300,4.03
2016-11-22,3.98,4.14,3.97,4.12,156200,4.12
2016-11-21,3.89,3.93,3.81,3.93,151500,3.93
2016-11-18,3.92,3.94,3.80,3.88,192200,3.88
2016-11-17,3.94,3.95,3.87,3.94,104300,3.94
2016-11-16,3.95,3.96,3.91,3.93,113300,3.93
2016-11-15,3.94,3.95,3.81,3.94,70300,3.94
2016-11-14,3.85,3.94,3.85,3.92,139500,3.92
2016-11-11,3.95,3.96,3.85,3.86,84800,3.86
2016-11-10,3.89,3.98,3.80,3.94,180200,3.94
2016-11-09,3.55,3.86,3.51,3.85,275900,3.85
2016-11-08,3.73,3.74,3.53,3.66,238600,3.66
2016-11-07,3.78,3.85,3.71,3.74,316200,3.74
2016-11-04,3.98,4.01,3.75,3.77,328600,3.77
2016-11-03,4.00,4.06,3.86,4.01,201100,4.01
2016-11-02,4.16,4.25,4.05,4.06,126400,4.06
2016-11-01,4.25,4.25,4.18,4.20,112800,4.20
2016-10-31,4.28,4.35,4.21,4.22,97500,4.22
2016-10-28,4.26,4.34,4.26,4.29,96500,4.29
2016-10-27,4.37,4.38,4.27,4.29,114600,4.29
2016-10-26,4.36,4.36,4.26,4.31,118600,4.31
2016-10-25,4.37,4.40,4.27,4.33,105000,4.33
2016-10-24,4.40,4.43,4.35,4.40,139600,4.40
2016-10-21,4.42,4.42,4.33,4.37,86700,4.37
2016-10-20,4.43,4.45,4.40,4.40,40000,4.40
2016-10-19,4.39,4.47,4.35,4.42,87000,4.42
2016-10-18,4.34,4.40,4.29,4.35,86900,4.35
2016-10-17,4.41,4.41,4.22,4.34,204000,4.34
2016-10-14,4.54,4.54,4.38,4.44,93800,4.44
2016-10-13,4.51,4.55,4.44,4.52,120500,4.52
2016-10-12,4.48,4.56,4.46,4.51,145600,4.51
2016-10-11,4.75,4.76,4.65,4.67,303200,4.52
2016-10-10,4.75,4.79,4.68,4.72,256900,4.568394
2016-10-07,4.84,4.84,4.71,4.72,171500,4.568394
2016-10-06,4.82,4.89,4.76,4.80,199300,4.645825
2016-10-05,4.74,4.82,4.72,4.80,220100,4.645825
2016-10-04,4.69,4.80,4.69,4.72,197000,4.568394
2016-10-03,4.65,4.72,4.64,4.66,128500,4.510321
2016-09-30,4.65,4.75,4.58,4.63,289200,4.481285
2016-09-29,4.68,4.71,4.60,4.63,168800,4.481285
2016-09-28,4.68,4.75,4.67,4.72,82900,4.568394
2016-09-27,4.61,4.74,4.61,4.72,135700,4.568394
2016-09-26,4.71,4.73,4.67,4.67,73200,4.52
2016-09-23,4.64,4.72,4.60,4.71,86400,4.558715
2016-09-22,4.65,4.69,4.57,4.63,209200,4.481285
2016-09-21,4.57,4.62,4.50,4.61,157400,4.461927
2016-09-20,4.52,4.63,4.47,4.51,156800,4.365139
2016-09-19,4.37,4.57,4.37,4.49,181300,4.345781
2016-09-16,4.36,4.47,4.36,4.40,134300,4.258672
2016-09-15,4.39,4.47,4.36,4.38,271400,4.239315
2016-09-14,4.26,4.45,4.20,4.37,201900,4.229636
2016-09-13,4.38,4.49,4.14,4.24,293200,4.103811
2016-09-12,4.49,4.58,4.36,4.42,310700,4.27803
