Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,20.10,20.49,19.870001,20.059999,116500,20.059999
2016-11-30,20.77,20.860001,20.120001,20.139999,110000,20.139999
2016-11-29,20.540001,20.92,20.40,20.540001,178200,20.540001
2016-11-28,20.93,20.940001,20.379999,20.440001,150500,20.440001
2016-11-25,20.870001,20.889999,20.65,20.879999,33300,20.879999
2016-11-23,20.790001,20.940001,20.65,20.709999,105900,20.709999
2016-11-22,20.50,20.790001,20.48,20.790001,110800,20.790001
2016-11-21,20.639999,20.790001,20.40,20.51,99700,20.51
2016-11-18,20.60,20.719999,20.41,20.60,84000,20.525
2016-11-17,20.280001,20.629999,20.280001,20.50,86900,20.425364
2016-11-16,20.030001,20.299999,19.98,20.24,110000,20.166311
2016-11-15,20.10,20.40,19.98,20.030001,124600,19.957076
2016-11-14,20.00,20.469999,19.940001,20.17,114800,20.096566
2016-11-11,19.59,19.98,19.52,19.90,164200,19.827548
2016-11-10,18.889999,19.68,18.74,19.469999,179800,19.399114
2016-11-09,18.059999,18.66,18.059999,18.540001,154900,18.472501
2016-11-08,19.200001,19.200001,18.129999,18.15,197100,18.08392
2016-11-07,19.50,19.50,18.74,19.16,203000,19.090243
2016-11-04,18.91,19.15,18.68,18.719999,90100,18.651844
2016-11-03,18.879999,18.950001,18.73,18.879999,86300,18.811261
2016-11-02,18.549999,18.879999,18.50,18.809999,80000,18.741517
2016-11-01,18.77,18.91,18.379999,18.49,72900,18.422682
2016-10-31,18.43,18.85,18.209999,18.73,161800,18.661808
2016-10-28,18.389999,18.469999,18.24,18.280001,50100,18.213447
2016-10-27,18.629999,18.74,18.26,18.32,95300,18.253301
2016-10-26,18.67,18.870001,18.639999,18.67,45100,18.602027
2016-10-25,18.83,19.02,18.59,18.77,70000,18.701663
2016-10-24,18.66,18.889999,18.610001,18.879999,76000,18.811261
2016-10-21,18.459999,18.60,18.219999,18.459999,49300,18.39279
2016-10-20,18.440001,18.75,18.440001,18.52,56300,18.452573
2016-10-19,18.719999,18.790001,18.60,18.610001,94500,18.542246
2016-10-18,18.98,18.98,18.709999,18.719999,46100,18.651844
2016-10-17,18.60,18.83,18.60,18.790001,33800,18.721591
2016-10-14,18.76,18.879999,18.639999,18.68,89200,18.611991
2016-10-13,18.92,18.92,18.549999,18.59,102500,18.522318
2016-10-12,19.040001,19.209999,18.93,19.01,81700,18.940789
2016-10-11,19.42,19.51,18.870001,18.99,123000,18.920862
2016-10-10,19.370001,19.67,19.370001,19.459999,50000,19.38915
2016-10-07,19.68,19.690001,19.280001,19.32,68700,19.24966
2016-10-06,19.57,19.76,19.389999,19.530001,47300,19.458896
2016-10-05,19.389999,19.66,18.50,19.52,108000,19.448933
2016-10-04,19.34,19.66,19.32,19.389999,69200,19.319405
2016-10-03,19.08,19.540001,19.00,19.42,122800,19.349296
2016-09-30,18.98,19.41,18.90,19.219999,100800,19.150024
2016-09-29,19.200001,19.280001,18.85,18.870001,94000,18.801299
2016-09-28,19.07,19.35,19.01,19.35,65100,19.279551
2016-09-27,18.84,19.110001,18.84,19.049999,75300,18.980643
2016-09-26,19.110001,19.16,18.76,18.91,46800,18.841153
2016-09-23,19.50,19.50,19.15,19.290001,59600,19.21977
2016-09-22,18.98,19.559999,18.860001,19.549999,95800,19.478822
2016-09-21,18.35,18.809999,18.35,18.799999,80100,18.731553
2016-09-20,18.41,18.57,18.34,18.41,55400,18.342973
2016-09-19,18.33,18.629999,18.27,18.41,71700,18.342973
2016-09-16,18.129999,18.41,18.120001,18.34,241700,18.273228
2016-09-15,18.049999,18.26,18.040001,18.09,164700,18.024139
