Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,24.35,24.35,24.35,24.35,200,24.35
2016-11-30,24.25,24.50,24.25,24.50,2300,24.349999
2016-11-29,24.299999,24.469999,23.98,24.10,3300,23.952449
2016-11-28,23.700001,24.40,23.700001,24.299999,4400,24.151223
2016-11-25,23.35,23.58,23.299999,23.549999,10200,23.405815
2016-11-23,23.25,23.35,23.200001,23.35,1000,23.207041
2016-11-22,23.75,23.75,22.700001,23.10,5000,22.958571
2016-11-21,22.65,23.799999,22.65,23.700001,1600,23.554898
2016-11-18,22.75,23.00,22.700001,22.799999,7000,22.660407
2016-11-17,22.15,22.790001,22.15,22.74,2000,22.600775
2016-11-16,22.049999,22.15,22.049999,22.15,700,22.014387
2016-11-15,22.379999,22.50,22.030001,22.40,3200,22.262856
2016-11-14,23.01,23.01,21.799999,22.10,1100,21.964694
2016-11-11,22.00,22.00,22.00,22.00,000,21.865306
2016-11-10,21.40,22.139999,21.40,22.00,2100,21.865306
2016-11-09,22.200001,22.25,22.049999,22.049999,3700,21.914999
2016-11-08,22.200001,22.40,22.049999,22.10,2800,21.964694
2016-11-07,22.00,23.049999,22.00,22.60,8700,22.461633
2016-11-04,21.450001,21.65,21.200001,21.40,3200,21.268979
2016-11-03,21.75,21.75,21.75,21.75,2400,21.616836
2016-11-02,21.75,21.75,21.75,21.75,900,21.616836
2016-11-01,21.809999,21.809999,21.809999,21.809999,900,21.676468
2016-10-31,22.360001,22.360001,22.360001,22.360001,900,22.223102
2016-10-28,21.959999,22.40,21.57,22.360001,4300,22.223102
2016-10-27,21.799999,21.799999,21.799999,21.799999,1700,21.666529
2016-10-26,22.440001,22.440001,22.440001,22.440001,000,22.302612
2016-10-25,21.90,22.50,21.879999,22.440001,2500,22.302612
2016-10-24,21.76,21.92,21.76,21.92,3900,21.785796
2016-10-21,22.18,22.18,22.18,22.18,000,22.044204
2016-10-20,22.299999,22.620001,22.18,22.18,4600,22.044204
2016-10-19,22.49,23.76,22.49,22.51,5500,22.372183
