Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,15.15,15.40,15.15,15.35,326800,15.35
2016-11-30,15.30,15.35,15.15,15.15,292700,15.15
2016-11-29,15.30,15.35,15.15,15.25,293500,15.25
2016-11-28,15.25,15.30,15.15,15.20,332600,15.20
2016-11-25,15.15,15.60,15.15,15.30,793300,15.28
2016-11-23,15.15,15.25,15.10,15.15,509900,15.130196
2016-11-22,15.25,15.25,15.10,15.15,406300,15.130196
2016-11-21,15.10,15.15,14.90,15.15,362600,15.130196
2016-11-18,14.95,15.25,14.95,15.15,433300,15.130196
2016-11-17,14.95,15.15,14.85,15.10,300800,15.080262
2016-11-16,15.00,15.10,14.85,15.05,197300,15.030327
2016-11-15,14.85,15.05,14.69,15.00,413700,14.980392
2016-11-14,14.90,15.08,14.80,14.95,499000,14.930457
2016-11-11,14.50,14.70,14.35,14.70,939600,14.680784
2016-11-10,14.35,14.60,14.15,14.55,763100,14.530981
2016-11-09,14.00,14.35,13.95,14.35,852900,14.331242
2016-11-08,13.80,14.00,13.60,14.00,318700,13.981699
2016-11-07,13.70,13.80,13.65,13.80,606300,13.781961
2016-11-04,13.80,13.80,13.65,13.70,320000,13.682091
2016-11-03,13.75,13.80,13.65,13.75,432000,13.732026
2016-11-02,13.85,13.85,13.55,13.70,455800,13.682091
2016-11-01,13.90,13.98,13.75,13.85,511600,13.831896
2016-10-31,14.00,14.00,13.85,13.95,452900,13.931765
2016-10-28,13.90,13.95,13.80,13.85,256200,13.831896
2016-10-27,14.00,14.00,13.83,13.95,265900,13.931765
2016-10-26,13.85,14.00,13.55,13.95,186500,13.931765
2016-10-25,14.00,14.00,13.95,13.95,198900,13.931765
2016-10-24,14.00,14.03,13.90,14.00,346900,13.981699
2016-10-21,13.85,14.00,13.85,13.95,236500,13.931765
2016-10-20,13.90,14.00,13.90,13.95,271500,13.931765
2016-10-19,13.85,14.00,13.85,14.00,524400,13.981699
2016-10-18,13.75,13.90,13.75,13.90,428800,13.88183
2016-10-17,13.80,13.85,13.70,13.75,304800,13.732026
2016-10-14,13.71,13.85,13.71,13.78,584200,13.761987
2016-10-13,13.61,13.66,13.56,13.63,313200,13.612183
2016-10-12,13.62,13.74,13.60,13.70,318700,13.682091
2016-10-11,13.72,13.75,13.54,13.59,337900,13.572235
2016-10-10,13.66,13.80,13.66,13.73,182000,13.712052
2016-10-07,13.67,13.69,13.53,13.67,388200,13.652131
2016-10-06,13.70,13.71,13.56,13.65,859300,13.632156
2016-10-05,13.62,13.77,13.62,13.66,437600,13.642144
2016-10-04,13.60,13.67,13.54,13.59,385200,13.572235
2016-10-03,13.53,13.65,13.45,13.64,551700,13.62217
2016-09-30,13.50,13.65,13.42,13.61,665200,13.592209
2016-09-29,13.47,13.66,13.40,13.41,428500,13.39247
2016-09-28,13.59,13.59,13.47,13.50,435300,13.482353
2016-09-27,13.49,13.61,13.49,13.53,608200,13.512313
2016-09-26,13.76,13.76,13.55,13.55,515100,13.532288
2016-09-23,13.83,13.85,13.77,13.80,739600,13.781961
2016-09-22,13.83,13.89,13.72,13.85,1014000,13.831896
2016-09-21,13.90,13.92,13.74,13.81,343300,13.791948
2016-09-20,13.85,13.91,13.80,13.85,854500,13.831896
2016-09-19,13.74,13.93,13.72,13.81,613100,13.791948
2016-09-16,13.91,13.95,13.63,13.75,3512700,13.732026
2016-09-15,13.78,13.89,13.76,13.89,593200,13.871843
2016-09-14,13.85,14.00,13.74,13.76,951700,13.742013
2016-09-13,13.91,13.92,13.81,13.86,683300,13.841882
2016-09-12,13.82,13.99,13.69,13.95,708500,13.931765
2016-09-09,13.94,14.09,13.87,13.88,645700,13.861856
2016-09-08,14.00,14.08,13.96,14.03,598600,14.01166
2016-09-07,13.89,14.03,13.85,14.03,834400,14.01166
2016-09-06,13.69,13.89,13.69,13.88,930500,13.861856
2016-09-02,13.72,13.74,13.64,13.72,645800,13.702066
2016-09-01,13.67,13.72,13.57,13.68,663000,13.662118
2016-08-31,13.66,13.70,13.58,13.69,1279600,13.672104
2016-08-30,13.70,13.73,13.64,13.64,456200,13.62217
2016-08-29,13.59,13.75,13.59,13.65,655100,13.632156
2016-08-26,13.69,13.74,13.55,13.62,479400,13.582222
2016-08-25,13.54,13.66,13.54,13.66,466800,13.622111
2016-08-24,13.62,13.68,13.57,13.61,965600,13.57225
2016-08-23,13.60,13.65,13.48,13.62,638300,13.582222
2016-08-22,13.55,13.60,13.47,13.58,458000,13.542333
2016-08-19,13.54,13.56,13.49,13.54,345100,13.502444
2016-08-18,13.38,13.56,13.32,13.54,555400,13.502444
2016-08-17,13.33,13.45,13.31,13.37,420400,13.332915
2016-08-16,13.43,13.45,13.35,13.36,386000,13.322943
2016-08-15,13.29,13.44,12.61,13.43,1252900,13.392749
2016-08-12,13.27,13.36,13.26,13.34,611800,13.302999
2016-08-11,13.26,13.32,13.22,13.27,494400,13.233193
2016-08-10,13.24,13.30,13.20,13.24,326300,13.203276
2016-08-09,13.09,13.25,13.08,13.24,462600,13.203276
2016-08-08,13.01,13.14,12.91,13.06,467600,13.023776
2016-08-05,13.00,13.16,12.91,13.05,697000,13.013803
2016-08-04,12.99,13.02,12.59,13.00,418400,12.963942
2016-08-03,12.86,13.01,12.81,12.99,486300,12.953969
2016-08-02,12.94,13.01,12.66,12.86,486600,12.82433
2016-08-01,13.00,13.06,12.70,12.96,395400,12.924053
2016-07-29,13.00,13.15,12.96,13.02,488500,12.983887
2016-07-28,13.00,13.04,12.94,12.98,210500,12.943997
2016-07-27,13.00,13.07,12.69,12.98,259000,12.943997
2016-07-26,13.09,13.16,12.93,13.02,347200,12.983887
2016-07-25,13.02,13.13,12.98,13.07,240900,13.033747
2016-07-22,12.92,13.13,12.92,13.08,220200,13.04372
2016-07-21,13.06,13.06,12.92,12.93,235900,12.894136
2016-07-20,13.06,13.11,13.01,13.02,261100,12.983887
2016-07-19,13.06,13.13,12.99,12.99,297100,12.953969
2016-07-18,13.15,13.18,13.05,13.06,314000,13.023776
2016-07-15,13.20,13.20,13.10,13.14,447000,13.103554
2016-07-14,13.20,13.29,13.13,13.15,467900,13.113525
2016-07-13,13.12,13.23,13.08,13.12,745800,13.083609
2016-07-12,13.00,13.15,12.97,13.13,817400,13.093581
2016-07-11,12.78,13.04,12.77,13.00,585600,12.963942
2016-07-08,12.71,12.81,12.66,12.75,585200,12.714635
2016-07-07,12.59,12.74,12.51,12.63,476000,12.594968
2016-07-06,12.50,12.65,12.45,12.57,571300,12.535134
2016-07-05,12.53,12.95,12.40,12.57,579100,12.535134
2016-07-01,12.51,12.60,12.46,12.55,577300,12.51519
2016-06-30,12.18,12.59,12.18,12.58,874100,12.545107
2016-06-29,12.30,12.31,12.16,12.21,1226700,12.176133
2016-06-28,12.28,12.33,12.14,12.18,1215500,12.146217
2016-06-27,12.79,12.89,12.23,12.23,1521500,12.196077
2016-06-24,12.73,13.17,12.73,12.80,2016000,12.764497
2016-06-23,13.04,13.21,12.97,13.20,649600,13.163387
2016-06-22,13.00,13.09,12.97,13.02,544800,12.983887
2016-06-21,12.98,13.08,12.93,13.00,430600,12.963942
2016-06-20,12.99,13.13,12.88,12.98,748100,12.943997
2016-06-17,13.13,13.14,12.79,12.90,4312100,12.864219
2016-06-16,12.99,13.14,12.96,13.09,648300,13.053692
2016-06-15,13.17,13.24,13.02,13.06,679000,13.023776
2016-06-14,13.23,13.34,13.07,13.11,846100,13.073636
2016-06-13,13.40,13.42,13.29,13.30,876000,13.26311
2016-06-10,13.31,13.39,13.30,13.37,908800,13.332915
2016-06-09,13.33,13.40,13.24,13.35,892800,13.312971
2016-06-08,13.25,13.37,13.22,13.33,1319500,13.293026
2016-06-07,13.20,13.25,13.13,13.25,1236500,13.213248
2016-06-06,13.09,13.23,13.00,13.17,816000,13.13347
2016-06-03,13.03,13.11,12.96,13.10,813000,13.063665
2016-06-02,13.06,13.12,12.99,13.10,1460000,13.063665
2016-06-01,13.07,13.10,12.97,13.08,1031700,13.04372
2016-05-31,13.08,13.10,12.97,13.09,1583200,13.053692
2016-05-27,13.02,13.09,13.00,13.05,803400,13.013803
2016-05-26,13.00,13.07,12.94,13.04,1169100,12.983887
2016-05-25,13.00,13.00,12.68,13.00,1164000,12.944059
2016-05-24,12.97,13.03,12.88,12.98,1280700,12.924145
2016-05-23,12.89,13.19,12.87,12.97,1271600,12.914188
2016-05-20,12.75,12.87,12.73,12.87,906600,12.814618
2016-05-19,12.82,12.85,12.51,12.75,612900,12.695135
2016-05-18,12.68,12.91,12.68,12.90,706100,12.844489
2016-05-17,12.73,12.82,12.58,12.66,572700,12.605522
2016-05-16,12.69,12.83,12.66,12.79,482300,12.734963
2016-05-13,12.61,12.72,12.58,12.70,330300,12.64535
2016-05-12,12.53,12.68,12.53,12.63,296900,12.575651
2016-05-11,12.64,12.68,12.49,12.50,181400,12.446211
2016-05-10,12.83,12.83,12.58,12.63,352400,12.575651
2016-05-09,12.51,12.83,12.37,12.80,409600,12.74492
2016-05-06,12.37,12.73,12.37,12.56,339600,12.505953
2016-05-05,12.50,12.57,12.42,12.43,251000,12.376512
2016-05-04,12.63,12.65,12.43,12.51,207500,12.456168
2016-05-03,12.67,12.68,12.56,12.65,220100,12.595565
2016-05-02,12.69,12.77,12.59,12.76,182300,12.705092
2016-04-29,12.69,12.75,12.51,12.62,218800,12.565694
2016-04-28,12.74,12.87,12.40,12.71,275000,12.655307
2016-04-27,12.83,12.89,12.68,12.76,233600,12.705092
2016-04-26,12.78,12.86,12.73,12.80,257500,12.74492
2016-04-25,12.77,12.80,12.62,12.79,192700,12.734963
2016-04-22,12.80,12.93,12.74,12.79,282900,12.734963
2016-04-21,12.82,12.93,12.60,12.80,540900,12.74492
2016-04-20,12.87,12.93,12.79,12.84,228400,12.784748
2016-04-19,12.84,12.90,12.70,12.84,268100,12.784748
2016-04-18,12.73,12.85,12.63,12.84,295600,12.784748
2016-04-15,12.78,12.84,12.66,12.70,216500,12.64535
