Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,11.45,11.55,11.30,11.35,21100,11.35
2016-11-30,11.50,11.50,11.20,11.35,17400,11.35
2016-11-29,11.25,11.53,11.05,11.50,23100,11.50
2016-11-28,11.45,11.45,11.10,11.25,8400,11.25
2016-11-25,11.50,11.50,11.35,11.35,13300,11.35
2016-11-23,11.35,11.55,11.15,11.50,39900,11.50
2016-11-22,11.45,11.50,11.20,11.40,28100,11.40
2016-11-21,11.05,11.80,11.00,11.45,152100,11.45
2016-11-18,11.15,11.20,10.80,11.00,40200,11.00
2016-11-17,10.90,11.50,10.90,11.15,91700,11.15
2016-11-16,10.50,10.95,10.50,10.90,61700,10.90
2016-11-15,10.25,10.55,10.05,10.45,86900,10.45
2016-11-14,10.10,10.30,10.10,10.20,20100,10.20
2016-11-11,10.05,10.25,10.00,10.25,17600,10.25
2016-11-10,9.80,10.10,9.80,10.05,17600,10.05
2016-11-09,10.00,10.20,9.95,10.10,25100,10.10
2016-11-08,10.00,10.25,10.00,10.25,19900,10.25
2016-11-07,9.85,9.95,9.77,9.90,12100,9.90
2016-11-04,9.80,9.95,9.80,9.85,13800,9.85
2016-11-03,9.71,10.00,9.71,9.80,15400,9.80
2016-11-02,9.75,9.90,9.61,9.70,21600,9.70
2016-11-01,9.90,10.05,9.90,9.95,11800,9.95
2016-10-31,10.00,10.00,9.80,9.90,31600,9.90
2016-10-28,10.10,10.10,9.95,10.00,11600,10.00
2016-10-27,10.05,10.10,9.95,10.00,27300,10.00
2016-10-26,10.00,10.10,9.95,10.05,51000,10.05
2016-10-25,10.00,10.05,10.00,10.05,9200,10.05
2016-10-24,10.00,10.05,9.95,10.05,12700,10.05
2016-10-21,10.00,10.10,9.95,10.00,25400,10.00
2016-10-20,10.10,10.10,10.00,10.05,5400,10.05
2016-10-19,10.00,10.20,9.95,10.10,16400,10.10
2016-10-18,10.20,10.20,10.00,10.05,8200,10.05
2016-10-17,10.10,10.25,10.00,10.10,18200,10.10
2016-10-14,10.27,10.32,9.97,10.01,75200,10.01
2016-10-13,10.05,10.25,9.98,10.24,49700,10.24
2016-10-12,10.16,10.23,10.00,10.12,50100,10.12
2016-10-11,10.28,10.37,10.18,10.33,12100,10.33
2016-10-10,10.25,10.44,10.25,10.35,11700,10.35
2016-10-07,10.07,10.28,10.02,10.27,31700,10.27
2016-10-06,9.96,10.19,9.96,10.06,48000,10.06
2016-10-05,10.15,10.25,9.90,9.95,94100,9.95
2016-10-04,10.12,10.40,10.12,10.15,50300,10.15
2016-10-03,9.91,10.20,9.91,10.18,31000,10.18
2016-09-30,10.00,10.15,9.95,9.95,24900,9.95
2016-09-29,10.35,10.35,9.95,9.96,44400,9.96
2016-09-28,10.62,10.76,10.04,10.34,132300,10.34
2016-09-27,10.25,10.72,10.23,10.62,74700,10.62
2016-09-26,10.12,10.44,9.93,10.22,107900,10.22
2016-09-23,10.16,10.23,10.12,10.20,16900,10.20
2016-09-22,10.13,10.28,10.04,10.19,32600,10.19
2016-09-21,10.14,10.35,9.99,10.09,33500,10.09
2016-09-20,10.33,10.33,9.91,10.10,35100,10.10
2016-09-19,10.30,10.39,10.03,10.26,16600,10.26
2016-09-16,10.37,10.55,10.29,10.31,27800,10.31
2016-09-15,10.62,10.97,10.23,10.36,185500,10.36
2016-09-14,9.51,9.94,9.23,9.48,38300,9.48
2016-09-13,9.62,9.79,9.41,9.55,18700,9.55
2016-09-12,9.28,9.70,9.14,9.61,16600,9.61
2016-09-09,9.48,9.48,9.27,9.36,13700,9.36
2016-09-08,9.65,9.98,9.32,9.48,14900,9.48
2016-09-07,9.51,9.82,9.51,9.65,10900,9.65
2016-09-06,9.76,9.92,9.26,9.59,17700,9.59
2016-09-02,9.80,9.80,9.72,9.78,6400,9.78
2016-09-01,9.81,9.96,9.71,9.80,9400,9.80
2016-08-31,10.10,10.10,9.87,9.87,7600,9.87
2016-08-30,10.30,10.35,10.09,10.14,21400,10.14
2016-08-29,9.92,10.29,9.80,10.28,35600,10.28
2016-08-26,9.79,9.99,9.67,9.96,24000,9.96
2016-08-25,9.83,9.98,9.71,9.81,13300,9.81
2016-08-24,10.01,10.05,9.80,9.90,11700,9.90
2016-08-23,9.90,10.06,9.90,10.04,13700,10.04
2016-08-22,9.88,10.12,9.76,10.09,22700,10.09
2016-08-19,10.02,10.02,9.61,9.89,10000,9.89
2016-08-18,10.08,10.18,9.79,10.02,21200,10.02
2016-08-17,10.02,10.14,9.81,9.86,18500,9.86
2016-08-16,10.03,10.10,9.93,9.93,9000,9.93
2016-08-15,9.85,10.13,9.85,10.12,10300,10.12
2016-08-12,9.91,10.14,9.78,9.86,19800,9.86
2016-08-11,10.13,10.27,9.82,9.95,26900,9.95
2016-08-10,10.39,10.39,9.96,10.14,37400,10.14
2016-08-09,10.04,10.47,10.04,10.22,20400,10.22
2016-08-08,9.99,10.20,9.96,10.05,12400,10.05
2016-08-05,10.02,10.64,9.80,10.11,109900,10.11
2016-08-04,9.41,10.44,9.34,10.00,34900,10.00
2016-08-03,9.60,9.60,9.32,9.50,20200,9.50
2016-08-02,9.99,10.00,9.56,9.59,30000,9.59
2016-08-01,10.22,10.22,9.58,9.77,25000,9.77
2016-07-29,10.12,10.45,9.78,10.14,93800,10.14
2016-07-28,9.12,10.06,9.12,10.00,137500,10.00
2016-07-27,9.22,9.29,8.91,9.17,44000,9.17
2016-07-26,8.90,9.10,8.80,9.09,84600,9.09
2016-07-25,9.17,9.22,8.85,8.86,72600,8.86
2016-07-22,9.09,9.22,8.82,9.15,21100,9.15
2016-07-21,8.87,9.25,8.83,9.11,20200,9.11
2016-07-20,9.09,9.20,8.87,9.03,21800,9.03
2016-07-19,8.88,9.24,8.87,9.10,16600,9.10
2016-07-18,9.05,9.34,8.52,8.91,43700,8.91
2016-07-15,9.22,9.24,9.05,9.10,19600,9.10
2016-07-14,9.42,9.42,9.00,9.19,30200,9.19
2016-07-13,9.41,9.56,9.18,9.30,18300,9.30
2016-07-12,9.37,9.66,9.36,9.45,43600,9.45
2016-07-11,9.19,9.66,9.19,9.34,30100,9.34
2016-07-08,9.13,9.25,9.00,9.20,32200,9.20
2016-07-07,8.86,9.15,8.83,9.02,22600,9.02
2016-07-06,8.86,8.99,8.81,8.95,17900,8.95
2016-07-05,8.74,8.88,8.72,8.85,15900,8.85
2016-07-01,8.64,8.85,8.60,8.83,28500,8.83
2016-06-30,8.51,8.70,8.31,8.67,23600,8.67
2016-06-29,8.52,8.79,8.14,8.51,38100,8.51
2016-06-28,8.55,8.69,8.34,8.49,40300,8.49
2016-06-27,8.64,8.68,8.23,8.48,21600,8.48
2016-06-24,8.50,8.70,8.10,8.68,31300,8.68
2016-06-23,8.84,8.84,8.69,8.72,16800,8.72
2016-06-22,8.96,8.96,8.74,8.79,18000,8.79
2016-06-21,8.95,8.97,8.84,8.87,7500,8.87
2016-06-20,8.88,9.00,8.84,8.89,30000,8.89
2016-06-17,8.87,8.98,8.71,8.85,21300,8.85
2016-06-16,8.94,9.05,8.73,8.96,31500,8.96
2016-06-15,8.55,9.26,8.25,8.95,71900,8.95
2016-06-14,8.55,8.75,8.21,8.60,43900,8.60
2016-06-13,8.79,8.79,8.50,8.55,12400,8.55
2016-06-10,8.72,8.88,8.63,8.82,29300,8.82
2016-06-09,8.53,8.86,8.53,8.76,14900,8.76
2016-06-08,8.81,8.88,8.51,8.68,13300,8.68
2016-06-07,8.89,9.31,8.80,8.83,9100,8.83
2016-06-06,8.60,9.34,8.60,8.92,35100,8.92
2016-06-03,8.85,8.85,8.10,8.57,38400,8.57
2016-06-02,8.80,8.92,8.76,8.88,23700,8.88
2016-06-01,8.84,8.97,8.66,8.78,18000,8.78
2016-05-31,8.72,8.90,8.72,8.82,17500,8.82
2016-05-27,8.63,8.86,8.56,8.72,25400,8.72
2016-05-26,8.71,8.84,8.62,8.65,19600,8.65
