Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,24.129999,24.24,23.610001,23.969999,2600,23.969999
2016-11-30,24.00,24.09,23.60,24.09,9700,24.09
2016-11-29,24.450001,24.450001,23.799999,24.200001,4000,24.200001
2016-11-28,24.25,24.57,23.60,24.35,9200,24.35
2016-11-25,24.15,24.25,24.15,24.25,1200,24.25
2016-11-23,24.450001,24.50,24.200001,24.209999,2200,24.209999
2016-11-22,24.549999,24.60,24.254,24.60,4000,24.60
2016-11-21,24.879999,24.93,24.50,24.799999,7700,24.799999
2016-11-18,24.700001,24.93,24.50,24.93,5800,24.93
2016-11-17,24.549999,24.90,24.51,24.639999,1700,24.639999
2016-11-16,24.889999,24.93,24.549999,24.93,8500,24.93
2016-11-15,24.15,24.90,24.15,24.75,4700,24.75
2016-11-14,24.93,24.93,24.25,24.60,7200,24.60
2016-11-11,24.687,25.02,22.530001,24.93,27000,24.93
2016-11-10,24.799999,25.00,24.450001,25.00,39400,25.00
2016-11-09,24.950001,25.200001,24.799999,25.09,31800,25.09
2016-11-08,25.00,25.139999,24.950001,25.049999,3200,25.049999
2016-11-07,25.00,25.10,24.872999,24.98,5600,24.98
2016-11-04,25.10,25.10,25.10,25.10,100,25.10
2016-11-03,25.25,25.25,25.025,25.08,4200,25.08
2016-11-02,25.188,25.40,25.01,25.25,5800,25.25
2016-11-01,25.370001,25.450001,25.15,25.450001,6600,25.450001
2016-10-31,25.389999,25.50,25.280001,25.50,7200,25.50
2016-10-28,25.40,25.59,25.183001,25.35,9200,25.35
2016-10-27,25.68,25.75,25.530001,25.60,17500,25.068
2016-10-26,25.591,25.639999,25.50,25.639999,11300,25.107167
2016-10-25,25.57,25.60,25.549999,25.60,5900,25.068
2016-10-24,25.60,25.60,25.51,25.547001,2500,25.016102
2016-10-21,25.427999,25.60,25.427999,25.60,400,25.068
2016-10-20,25.462,25.60,25.40,25.60,3000,25.068
2016-10-19,25.556999,25.59,25.450001,25.59,1800,25.058207
2016-10-18,25.60,25.60,25.502001,25.59,9200,25.058207
2016-10-17,25.549999,25.60,25.50,25.60,2400,25.068
2016-10-14,25.50,25.60,25.40,25.60,16100,25.068
2016-10-13,25.43,25.65,25.40,25.50,7100,24.970077
2016-10-12,25.610001,25.610001,25.610001,25.610001,000,25.077792
2016-10-11,25.68,25.700001,25.40,25.610001,3000,25.077792
2016-10-10,25.43,25.59,25.43,25.59,3900,25.058207
2016-10-07,25.50,25.59,25.35,25.50,5300,24.970077
2016-10-06,25.58,25.59,25.389999,25.50,5600,24.970077
2016-10-05,25.40,25.690001,25.40,25.459999,11100,24.930908
2016-10-04,25.60,25.60,25.50,25.60,5200,25.068
2016-10-03,25.690001,25.690001,25.485001,25.690001,2200,25.156129
2016-09-30,25.601,25.68,25.59,25.68,5700,25.146337
2016-09-29,25.67,25.67,25.60,25.67,2000,25.136545
2016-09-28,25.67,25.67,25.658001,25.67,1800,25.136545
2016-09-27,25.60,25.639999,25.60,25.639999,3600,25.107167
2016-09-26,25.639999,25.639999,25.51,25.629999,9200,25.097375
2016-09-23,25.52,25.639999,25.50,25.639999,19400,25.107167
2016-09-22,25.452,25.540001,25.41,25.52,9200,24.989662
2016-09-21,25.360001,25.49,25.360001,25.49,25600,24.960285
2016-09-20,25.360001,25.49,25.360001,25.440001,5800,24.911325
2016-09-19,25.50,25.540001,25.41,25.49,10100,24.960285
2016-09-16,25.514999,25.530001,25.26,25.50,4300,24.970077
2016-09-15,25.422001,25.50,25.299999,25.50,43200,24.970077
2016-09-14,25.34,25.559999,25.10,25.559999,11600,25.02883
2016-09-13,25.299999,25.50,25.299999,25.40,1400,24.872155
2016-09-12,25.41,25.559999,25.379999,25.379999,8400,24.85257
2016-09-09,25.50,25.629999,25.299999,25.40,37400,24.872155
2016-09-08,25.74,25.74,25.50,25.540001,35900,25.009247
2016-09-07,25.60,25.690001,25.60,25.690001,14900,25.156129
2016-09-06,25.67,25.790001,25.60,25.639999,44700,25.107167
2016-09-02,25.74,25.74,25.559999,25.65,10600,25.11696
