Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,7.05,7.15,6.80,7.10,15800,7.10
2016-11-30,7.05,7.15,7.00,7.00,49400,7.00
2016-11-29,6.95,7.15,6.92,7.10,28400,7.10
2016-11-28,7.00,7.00,6.85,6.95,19200,6.95
2016-11-25,6.95,7.00,6.80,7.00,25100,7.00
2016-11-23,6.60,7.00,6.55,6.95,55600,6.95
2016-11-22,6.80,6.85,6.50,6.60,61300,6.60
2016-11-21,6.85,6.85,6.65,6.75,30300,6.75
2016-11-18,6.80,6.90,6.55,6.80,70000,6.80
2016-11-17,6.30,7.00,6.15,6.90,183000,6.90
2016-11-16,6.30,6.40,5.90,6.30,91100,6.30
2016-11-15,6.45,6.45,5.95,6.25,65400,6.25
2016-11-14,6.50,6.50,5.85,6.50,64500,6.50
2016-11-11,6.45,6.50,6.10,6.45,122600,6.45
2016-11-10,5.90,6.38,5.70,6.35,133000,6.35
2016-11-09,5.75,6.00,5.55,5.90,58000,5.90
2016-11-08,5.95,6.00,5.76,5.95,31000,5.95
2016-11-07,5.75,5.95,5.75,5.95,83400,5.95
2016-11-04,5.75,5.80,5.75,5.75,25300,5.75
2016-11-03,5.90,5.95,5.75,5.75,21100,5.75
2016-11-02,5.75,6.00,5.75,5.90,39100,5.90
2016-11-01,6.05,6.10,5.75,5.75,39800,5.75
2016-10-31,6.05,6.15,6.00,6.05,29900,6.05
2016-10-28,6.02,6.20,6.02,6.05,21900,6.05
2016-10-27,6.30,6.45,6.00,6.00,57200,6.00
2016-10-26,5.35,6.35,5.35,6.25,126400,6.25
2016-10-25,6.25,6.25,5.30,5.60,364400,5.60
2016-10-24,6.85,6.85,6.25,6.33,187800,6.33
2016-10-21,7.00,7.05,6.95,6.95,37200,6.95
2016-10-20,7.05,7.05,6.95,6.95,18300,6.95
2016-10-19,7.05,7.20,7.00,7.05,32000,7.05
2016-10-18,7.40,7.40,6.90,7.10,85100,7.10
2016-10-17,7.55,7.56,7.15,7.25,47000,7.25
2016-10-14,7.45,7.45,7.20,7.40,59500,7.40
2016-10-13,7.50,7.60,7.32,7.35,38000,7.35
2016-10-12,7.30,7.58,7.30,7.46,56100,7.46
2016-10-11,7.16,7.57,7.16,7.30,123300,7.30
2016-10-10,7.10,7.25,6.99,7.20,38400,7.20
2016-10-07,7.20,7.24,7.11,7.12,25100,7.12
