Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,14.35,16.59,14.35,15.34,7000,15.34
2016-11-30,14.28,14.34,14.17,14.17,1000,14.17
2016-11-29,14.25,14.25,14.25,14.25,000,14.25
2016-11-28,14.22,14.25,14.22,14.25,1100,14.25
2016-11-25,14.18,14.18,14.18,14.18,000,14.18
2016-11-23,14.12,14.18,14.12,14.18,1500,14.18
2016-11-22,14.25,14.25,14.25,14.25,000,14.25
2016-11-21,14.25,14.25,14.25,14.25,400,14.25
2016-11-18,14.20,14.20,14.20,14.20,16400,14.20
2016-11-17,14.02,14.02,14.02,14.02,800,14.02
2016-11-16,14.23,14.23,14.23,14.23,000,14.23
2016-11-15,14.23,14.23,14.23,14.23,000,14.23
2016-11-14,14.23,14.23,14.23,14.23,000,14.23
2016-11-11,14.01,14.23,13.98,14.23,4300,14.23
2016-11-10,14.01,14.01,13.90,13.90,3700,13.90
2016-11-09,14.00,14.00,14.00,14.00,000,14.00
2016-11-08,14.00,14.00,14.00,14.00,300,14.00
2016-11-07,14.01,14.01,14.01,14.01,000,13.94
2016-11-04,14.01,14.01,14.01,14.01,000,13.94
2016-11-03,14.00,14.01,14.00,14.01,500,13.94
2016-11-02,14.00,14.02,14.00,14.00,800,13.93005
2016-11-01,14.02,14.02,14.02,14.02,200,13.949951
2016-10-31,14.31,14.31,14.31,14.31,000,14.238502
2016-10-28,14.31,14.31,14.31,14.31,000,14.238502
2016-10-27,14.31,14.31,14.31,14.31,000,14.238502
2016-10-26,14.31,14.31,14.31,14.31,000,14.238502
2016-10-25,14.31,14.31,14.31,14.31,200,14.238502
2016-10-24,14.38,14.38,14.38,14.38,000,14.308152
2016-10-21,14.38,14.38,14.38,14.38,000,14.308152
2016-10-20,14.38,14.38,14.38,14.38,000,14.308152
2016-10-19,14.38,14.38,14.38,14.38,000,14.308152
2016-10-18,14.38,14.38,14.38,14.38,200,14.308152
2016-10-17,14.20,14.44,14.10,14.41,8700,14.338001
2016-10-14,13.37,14.15,13.36,14.15,20000,14.0793
2016-10-13,13.55,13.55,13.37,13.37,2200,13.303198
2016-10-12,13.56,13.56,13.55,13.56,900,13.492249
2016-10-11,13.56,13.56,13.56,13.56,100,13.492249
2016-10-10,13.40,13.56,13.40,13.55,10800,13.482299
2016-10-07,13.53,13.53,13.53,13.53,000,13.462398
2016-10-06,13.53,13.53,13.53,13.53,000,13.462398
2016-10-05,13.53,13.53,13.53,13.53,000,13.462398
2016-10-04,13.53,13.53,13.53,13.53,000,13.462398
2016-10-03,13.53,13.53,13.53,13.53,000,13.462398
2016-09-30,13.54,13.54,13.50,13.53,3300,13.462398
2016-09-29,13.53,13.53,13.53,13.53,600,13.462398
2016-09-28,13.37,13.37,13.36,13.36,1900,13.293248
2016-09-27,13.36,13.36,13.36,13.36,300,13.293248
2016-09-26,13.36,13.38,13.35,13.35,1600,13.283298
2016-09-23,13.39,13.44,13.38,13.38,5700,13.313148
2016-09-22,13.40,13.40,13.35,13.37,1100,13.303198
2016-09-21,13.39,13.39,13.39,13.39,400,13.323098
2016-09-20,13.21,13.21,13.21,13.21,500,13.143997
2016-09-19,13.28,13.28,13.28,13.28,000,13.213647
2016-09-16,13.28,13.28,13.28,13.28,200,13.213647
2016-09-15,13.27,13.27,13.27,13.27,100,13.203698
2016-09-14,13.26,13.26,13.26,13.26,1800,13.193748
2016-09-13,13.26,13.26,13.08,13.26,3700,13.193748
2016-09-12,13.33,13.39,13.33,13.36,1600,13.293248
2016-09-09,13.45,13.45,13.25,13.25,4300,13.183797
2016-09-08,13.50,13.50,13.45,13.45,400,13.382798
2016-09-07,13.47,13.50,13.29,13.38,3000,13.313148
2016-09-06,13.32,13.50,13.32,13.41,5500,13.342998
2016-09-02,13.40,13.50,13.25,13.50,3200,13.432548
2016-09-01,13.47,13.47,13.47,13.47,100,13.402699
2016-08-31,13.26,13.37,13.26,13.37,600,13.303198
2016-08-30,13.40,13.40,13.40,13.40,300,13.333048
2016-08-29,13.48,13.48,13.48,13.48,200,13.412648
2016-08-26,13.37,13.37,13.37,13.37,300,13.303198
2016-08-25,13.52,13.52,13.52,13.52,000,13.452449
2016-08-24,13.52,13.52,13.52,13.52,2900,13.452449
2016-08-23,13.44,13.50,13.44,13.50,1800,13.432548
2016-08-22,13.60,13.60,13.25,13.47,10800,13.402699
2016-08-19,13.37,13.37,13.37,13.37,000,13.303198
2016-08-18,13.25,13.42,13.23,13.37,15200,13.303198
2016-08-17,13.42,13.42,13.20,13.25,13100,13.183797
2016-08-16,13.25,13.25,13.25,13.25,000,13.183797
2016-08-15,13.30,13.35,13.25,13.25,17700,13.183797
2016-08-12,13.39,13.39,13.39,13.39,000,13.323098
2016-08-11,13.50,13.50,13.39,13.39,2800,13.323098
2016-08-10,13.18,13.18,13.18,13.18,000,13.114148
2016-08-09,13.18,13.18,13.18,13.18,000,13.114148
2016-08-08,13.42,13.42,13.18,13.18,3200,13.044497
2016-08-05,13.58,13.58,13.58,13.58,300,13.440384
2016-08-04,13.38,13.38,13.38,13.38,000,13.242441
2016-08-03,13.60,13.60,13.38,13.38,1200,13.242441
2016-08-02,13.60,13.60,13.59,13.59,300,13.450282
2016-08-01,13.53,13.53,13.53,13.53,300,13.390898
2016-07-29,13.44,13.44,13.44,13.44,300,13.301823
2016-07-28,13.37,13.37,13.37,13.37,000,13.232543
2016-07-27,13.45,13.45,13.37,13.37,2200,13.232543
2016-07-26,13.36,13.36,13.36,13.36,200,13.222646
2016-07-25,13.45,13.45,13.43,13.43,1500,13.291927
2016-07-22,13.24,13.24,13.24,13.24,000,13.10388
2016-07-21,13.13,13.24,13.11,13.24,900,13.10388
2016-07-20,13.11,13.11,13.11,13.11,000,12.975216
2016-07-19,13.11,13.11,13.11,13.11,100,12.975216
2016-07-18,13.32,13.32,13.32,13.32,500,13.183057
2016-07-15,13.29,13.32,13.29,13.32,400,13.183057
2016-07-14,13.30,13.30,13.30,13.30,000,13.163263
2016-07-13,13.30,13.30,13.30,13.30,000,13.163263
2016-07-12,13.30,13.30,13.30,13.30,400,13.163263
2016-07-11,13.39,13.39,13.37,13.37,1000,13.232543
2016-07-08,13.14,13.14,13.14,13.14,200,13.004908
2016-07-07,13.14,13.21,13.00,13.00,5500,12.866347
2016-07-06,13.05,13.06,13.05,13.06,400,12.925731
2016-07-05,13.06,13.06,13.06,13.06,300,12.925731
2016-07-01,13.02,13.37,13.02,13.37,500,13.232543
2016-06-30,13.47,13.70,13.03,13.03,700,12.896039
2016-06-29,13.01,13.16,13.01,13.16,1500,13.024702
2016-06-28,13.70,13.70,13.70,13.70,200,13.559151
2016-06-27,12.98,13.08,12.98,13.08,6600,12.945525
2016-06-24,13.03,13.03,13.03,13.03,100,12.896039
2016-06-23,13.24,13.32,13.24,13.32,700,13.183057
