Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,9.85,10.11,9.57,10.00,130600,10.00
2016-11-30,9.72,9.92,9.62,9.82,94700,9.82
2016-11-29,9.98,10.19,9.57,9.64,94700,9.64
2016-11-28,9.92,10.09,9.84,9.92,52200,9.92
2016-11-25,10.16,10.16,9.85,9.97,28700,9.97
2016-11-23,9.98,10.28,9.69,10.16,52100,10.16
2016-11-22,9.84,10.02,9.74,9.99,51400,9.99
2016-11-21,9.68,9.81,9.67,9.78,61100,9.78
2016-11-18,9.65,9.76,9.53,9.70,70200,9.70
2016-11-17,9.76,9.95,9.55,9.60,56800,9.60
2016-11-16,9.63,9.78,9.59,9.75,77900,9.75
2016-11-15,9.78,9.78,9.45,9.63,86800,9.63
2016-11-14,9.81,10.04,9.58,9.73,89600,9.73
2016-11-11,9.48,9.88,9.41,9.74,127600,9.74
2016-11-10,9.06,9.42,9.04,9.39,106200,9.39
2016-11-09,8.17,8.97,8.17,8.94,84400,8.94
2016-11-08,8.25,8.34,8.15,8.26,46800,8.26
2016-11-07,8.30,8.52,8.23,8.25,87300,8.25
2016-11-04,8.48,8.48,8.17,8.23,76700,8.23
2016-11-03,8.12,8.45,8.12,8.43,87400,8.43
2016-11-02,8.48,8.48,8.17,8.33,94800,8.28
2016-11-01,8.49,8.79,8.34,8.51,294800,8.45892
2016-10-31,8.84,8.84,8.58,8.60,274700,8.54838
2016-10-28,8.66,8.92,8.64,8.91,244500,8.856518
2016-10-27,10.40,10.40,8.77,8.84,661300,8.786939
2016-10-26,10.54,10.60,10.02,10.40,41200,10.337574
2016-10-25,10.63,10.76,10.58,10.60,54400,10.536375
2016-10-24,10.86,11.00,10.17,10.80,56100,10.735174
2016-10-21,10.43,10.77,10.43,10.75,45900,10.685474
2016-10-20,10.68,10.68,10.47,10.53,39300,10.466794
2016-10-19,10.67,10.78,10.53,10.71,56200,10.645714
2016-10-18,10.75,10.80,10.53,10.66,25900,10.596014
2016-10-17,10.54,10.73,10.44,10.69,88800,10.625834
2016-10-14,10.54,10.65,10.38,10.61,32300,10.546314
2016-10-13,10.50,10.57,10.32,10.52,80100,10.456855
2016-10-12,10.55,10.64,10.39,10.57,28700,10.506554
2016-10-11,10.72,10.72,10.47,10.51,45100,10.446915
2016-10-10,10.42,10.79,10.42,10.72,54200,10.655654
2016-10-07,10.60,10.60,10.39,10.40,28100,10.337574
2016-10-06,10.56,10.63,10.48,10.59,46700,10.526434
2016-10-05,10.51,10.88,10.37,10.54,231500,10.476734
2016-10-04,10.90,10.90,10.00,10.54,184700,10.476734
2016-10-03,11.23,11.23,10.88,10.90,95000,10.834573
2016-09-30,11.21,11.55,11.14,11.23,147600,11.162592
2016-09-29,11.20,11.46,11.15,11.20,1005800,11.132773
2016-09-28,10.75,11.10,10.61,11.08,209600,11.013493
2016-09-27,11.06,11.06,10.71,10.85,129400,10.784874
2016-09-26,10.63,11.36,10.63,11.03,244900,10.963793
2016-09-23,10.39,10.51,10.09,10.45,102300,10.387274
2016-09-22,9.78,10.09,9.71,10.08,52100,10.019495
2016-09-21,9.76,9.76,9.54,9.68,43400,9.621897
2016-09-20,9.95,9.95,9.69,9.72,74300,9.661657
2016-09-19,9.76,9.94,9.74,9.85,40600,9.790876
2016-09-16,9.81,9.91,9.64,9.67,103600,9.611957
2016-09-15,9.67,9.83,9.67,9.77,34000,9.711357
2016-09-14,9.49,9.70,9.41,9.65,156700,9.592076
2016-09-13,9.71,9.89,9.50,9.50,81200,9.442977
2016-09-12,9.83,9.88,9.60,9.87,50000,9.810756
2016-09-09,10.43,10.50,9.79,9.81,84700,9.751117
2016-09-08,11.31,11.31,10.41,10.57,149100,10.506554
2016-09-07,10.21,10.33,10.12,10.18,67700,10.118896
