Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,6.00,6.02,5.80,5.84,68500,5.84
2016-11-30,6.02,6.07,5.93,6.00,213300,6.00
2016-11-29,6.06,6.12,5.91,6.02,189000,6.02
2016-11-28,5.97,6.00,5.71,6.00,293100,6.00
2016-11-25,5.64,6.00,5.61,5.97,141200,5.97
2016-11-23,5.46,5.56,5.37,5.52,34900,5.52
2016-11-22,5.90,5.90,5.12,5.51,293700,5.51
2016-11-21,6.20,6.25,5.80,6.02,483900,6.02
2016-11-18,5.35,5.89,5.32,5.89,536200,5.89
2016-11-17,5.28,5.35,5.24,5.33,83300,5.33
2016-11-16,5.30,5.30,5.20,5.24,80400,5.24
2016-11-15,5.20,5.30,5.10,5.17,71600,5.17
2016-11-14,5.09,5.30,5.06,5.28,313600,5.28
2016-11-11,4.90,5.00,4.90,5.00,112900,5.00
2016-11-10,4.90,4.95,4.83,4.84,65000,4.84
2016-11-09,4.54,4.91,4.50,4.89,151300,4.89
2016-11-08,4.50,4.53,4.45,4.45,12400,4.45
2016-11-07,4.49,4.53,4.46,4.47,3400,4.47
2016-11-04,4.45,4.48,4.45,4.45,3700,4.45
2016-11-03,4.48,4.48,4.41,4.41,5500,4.41
2016-11-02,4.48,4.50,4.46,4.47,4000,4.47
2016-11-01,4.54,4.54,4.50,4.50,7800,4.50
2016-10-31,4.54,4.58,4.46,4.56,15400,4.56
2016-10-28,4.50,4.64,4.46,4.49,4100,4.49
2016-10-27,4.45,4.50,4.45,4.48,10400,4.48
2016-10-26,4.50,4.53,4.40,4.43,20700,4.43
2016-10-25,4.55,4.60,4.55,4.55,9100,4.55
2016-10-24,4.65,4.65,4.55,4.55,7100,4.55
2016-10-21,4.61,4.63,4.61,4.63,4100,4.63
2016-10-20,4.65,4.65,4.50,4.59,31300,4.59
2016-10-19,4.65,4.65,4.60,4.62,10000,4.62
2016-10-18,4.57,4.63,4.53,4.63,54400,4.63
2016-10-17,4.33,4.64,4.33,4.53,51600,4.53
2016-10-14,4.25,4.30,4.24,4.30,55500,4.30
2016-10-13,4.25,4.25,4.23,4.25,14900,4.25
2016-10-12,4.25,4.25,4.20,4.25,34200,4.25
2016-10-11,4.29,4.30,4.20,4.25,15900,4.25
2016-10-10,4.21,4.23,4.18,4.22,24100,4.22
2016-10-07,4.27,4.27,4.11,4.15,9300,4.15
2016-10-06,4.23,4.24,4.20,4.20,12000,4.20
2016-10-05,4.30,4.36,4.18,4.20,32500,4.20
2016-10-04,4.19,4.23,4.16,4.18,2000,4.18
2016-10-03,4.22,4.22,4.08,4.21,8100,4.21
2016-09-30,4.22,4.30,4.20,4.22,9900,4.22
2016-09-29,4.24,4.27,4.11,4.27,15000,4.27
2016-09-28,4.20,4.27,4.20,4.24,8700,4.24
2016-09-27,4.40,4.40,4.10,4.24,39400,4.24
2016-09-26,4.35,4.55,4.35,4.39,17700,4.39
2016-09-23,4.39,4.48,4.25,4.42,32300,4.42
2016-09-22,4.53,4.54,4.38,4.43,12700,4.43
2016-09-21,4.52,4.63,4.49,4.55,23500,4.55
2016-09-20,4.60,4.66,4.60,4.66,1100,4.66
2016-09-19,4.74,4.74,4.68,4.68,6800,4.68
2016-09-16,4.83,4.83,4.64,4.72,3400,4.72
2016-09-15,4.76,4.77,4.75,4.76,8100,4.76
2016-09-14,4.86,4.86,4.78,4.78,9300,4.78
2016-09-13,4.89,4.92,4.83,4.92,21300,4.92
2016-09-12,4.81,4.88,4.76,4.88,36800,4.88
2016-09-09,4.80,4.90,4.67,4.83,74000,4.83
2016-09-08,4.64,4.68,4.19,4.63,126300,4.63
2016-09-07,4.74,4.87,4.73,4.79,8800,4.79
2016-09-06,4.89,4.89,4.75,4.82,115500,4.82
2016-09-02,4.80,4.90,4.75,4.86,28800,4.86
2016-09-01,4.91,4.95,4.83,4.85,35800,4.85
2016-08-31,5.30,5.32,4.69,4.86,151700,4.86
2016-08-30,5.48,5.48,5.45,5.48,4800,5.48
2016-08-29,5.48,5.48,5.42,5.48,15000,5.48
2016-08-26,5.37,5.46,5.37,5.42,4200,5.42
2016-08-25,5.42,5.44,5.40,5.40,6200,5.40
2016-08-24,5.45,5.45,5.42,5.45,11400,5.45
2016-08-23,5.39,5.46,5.39,5.45,6600,5.45
2016-08-22,5.41,5.41,5.31,5.34,24600,5.34
2016-08-19,5.34,5.41,5.31,5.34,5300,5.34
2016-08-18,5.36,5.38,5.28,5.32,7900,5.32
2016-08-17,5.32,5.37,5.27,5.36,3400,5.36
2016-08-16,5.33,5.33,5.27,5.27,6300,5.27
2016-08-15,5.33,5.41,5.28,5.36,2000,5.36
2016-08-12,5.34,5.41,5.33,5.35,5900,5.35
2016-08-11,5.31,5.40,5.27,5.28,18700,5.28
2016-08-10,5.35,5.42,5.30,5.33,9900,5.33
2016-08-09,5.43,5.50,5.35,5.36,17300,5.36
2016-08-08,5.50,5.50,5.34,5.40,56800,5.40
2016-08-05,5.40,5.47,5.40,5.47,42700,5.47
2016-08-04,5.34,5.36,5.28,5.36,27800,5.36
2016-08-03,5.36,5.36,5.30,5.32,24800,5.32
2016-08-02,5.24,5.34,5.18,5.31,46500,5.31
2016-08-01,5.32,5.32,5.16,5.23,29700,5.23
2016-07-29,5.31,5.31,5.20,5.29,29300,5.29
2016-07-28,4.97,5.30,4.96,5.28,159700,5.28
2016-07-27,4.90,4.95,4.87,4.95,20200,4.95
2016-07-26,4.89,4.95,4.88,4.92,31300,4.92
2016-07-25,4.95,4.95,4.90,4.95,36000,4.95
2016-07-22,4.90,4.95,4.90,4.95,23100,4.95
2016-07-21,4.95,5.00,4.93,4.94,84700,4.94
2016-07-20,4.95,4.95,4.93,4.95,20800,4.95
2016-07-19,4.95,4.95,4.93,4.95,3800,4.95
2016-07-18,4.82,4.95,4.82,4.92,23500,4.92
2016-07-15,4.88,5.00,4.74,4.88,280900,4.88
2016-07-14,4.95,4.95,4.86,4.94,3600,4.94
2016-07-13,4.91,4.95,4.90,4.93,14000,4.93
2016-07-12,4.94,4.95,4.89,4.95,12400,4.95
2016-07-11,5.00,5.03,4.84,4.90,18400,4.90
2016-07-08,4.88,5.08,4.88,5.00,41000,5.00
2016-07-07,4.94,4.94,4.85,4.88,10700,4.88
2016-07-06,4.95,4.98,4.90,4.97,16000,4.97
2016-07-05,4.92,4.99,4.90,4.95,24300,4.95
2016-07-01,4.79,4.96,4.79,4.96,16600,4.96
2016-06-30,4.77,5.16,4.66,4.77,197200,4.77
2016-06-29,4.81,4.81,4.75,4.81,2800,4.81
2016-06-28,4.69,4.85,4.69,4.78,7700,4.78
2016-06-27,4.67,4.76,4.62,4.69,2900,4.69
2016-06-24,4.75,4.79,4.70,4.74,12400,4.74
2016-06-23,4.78,4.78,4.75,4.77,5100,4.77
2016-06-22,4.83,4.83,4.75,4.78,16200,4.78
2016-06-21,4.83,4.83,4.79,4.80,4700,4.80
2016-06-20,4.85,4.87,4.80,4.84,16800,4.84
2016-06-17,4.80,4.81,4.75,4.81,10800,4.81
2016-06-16,4.70,4.85,4.66,4.84,13600,4.84
2016-06-15,4.81,4.81,4.62,4.74,8100,4.74
2016-06-14,4.80,4.84,4.59,4.74,26900,4.74
2016-06-13,4.75,4.78,4.62,4.76,8200,4.76
2016-06-10,4.66,4.80,4.66,4.79,6400,4.79
2016-06-09,4.80,4.80,4.70,4.80,7000,4.80
2016-06-08,4.63,4.79,4.63,4.79,10500,4.79
2016-06-07,4.61,4.77,4.59,4.68,8000,4.68
2016-06-06,4.71,4.71,4.48,4.54,66000,4.54
2016-06-03,4.75,4.78,4.72,4.72,400,4.72
2016-06-02,4.84,4.84,4.80,4.80,400,4.80
2016-06-01,4.74,4.83,4.74,4.77,2500,4.77
2016-05-31,4.83,4.83,4.70,4.74,4000,4.74
2016-05-27,4.82,4.85,4.73,4.75,10100,4.75
2016-05-26,4.70,4.74,4.70,4.74,1800,4.74
2016-05-25,4.70,4.80,4.70,4.73,1000,4.73
2016-05-24,4.69,4.79,4.55,4.73,9200,4.73
2016-05-23,4.57,4.68,4.52,4.61,20800,4.61
2016-05-20,4.54,4.57,4.51,4.51,2100,4.51
2016-05-19,4.47,4.51,4.45,4.51,6100,4.51
2016-05-18,4.84,4.86,4.48,4.49,12600,4.49
2016-05-17,4.76,4.76,4.52,4.57,6800,4.57
2016-05-16,4.55,4.76,4.55,4.75,21700,4.75
2016-05-13,4.61,4.62,4.57,4.57,700,4.57
2016-05-12,4.64,4.64,4.58,4.60,11000,4.60
2016-05-11,4.67,4.76,4.63,4.64,7700,4.64
2016-05-10,4.80,4.87,4.69,4.71,29700,4.71
2016-05-09,4.73,4.75,4.69,4.71,4000,4.71
2016-05-06,4.80,4.86,4.74,4.74,7200,4.74
2016-05-05,4.81,4.87,4.79,4.84,5900,4.84
2016-05-04,4.85,4.88,4.80,4.82,6100,4.82
