Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,6.15,6.45,6.05,6.45,1631900,6.45
2016-11-30,5.95,6.30,5.95,6.20,1067400,6.20
2016-11-29,5.90,6.20,5.90,6.00,600400,6.00
2016-11-28,5.95,6.00,5.85,5.95,719300,5.95
2016-11-25,6.00,6.05,5.85,6.00,164600,6.00
2016-11-23,5.80,6.08,5.75,5.95,855400,5.95
2016-11-22,6.10,6.10,5.70,5.80,1552500,5.80
2016-11-21,6.50,6.58,5.95,6.05,1430100,6.05
2016-11-18,6.60,6.85,6.40,6.55,1914000,6.55
2016-11-17,5.85,6.60,5.80,6.40,2089800,6.40
2016-11-16,5.55,5.75,5.30,5.75,1116900,5.75
2016-11-15,5.20,5.50,5.05,5.50,1692600,5.50
2016-11-14,4.80,5.10,4.65,5.05,1851800,5.05
2016-11-11,4.50,4.70,4.15,4.65,1812800,4.65
2016-11-10,4.10,4.65,3.90,4.40,2605100,4.40
2016-11-09,3.65,4.15,3.30,3.95,5849100,3.95
2016-11-08,3.05,3.55,3.05,3.55,5394900,3.55
2016-11-07,3.40,3.40,3.10,3.15,6789700,3.15
2016-11-04,3.90,3.95,2.75,3.40,22846100,3.40
2016-11-03,8.40,8.53,8.10,8.40,638700,8.40
2016-11-02,8.40,8.50,8.15,8.35,642800,8.35
2016-11-01,8.50,8.80,8.00,8.15,1154000,8.15
2016-10-31,8.35,8.70,8.20,8.45,474000,8.45
2016-10-28,8.44,8.72,8.29,8.43,1013100,8.43
2016-10-27,9.19,9.19,8.26,8.46,1563300,8.46
2016-10-26,9.61,9.63,9.19,9.26,379200,9.26
2016-10-25,9.75,9.76,9.42,9.60,674400,9.60
2016-10-24,9.81,9.90,9.71,9.75,467400,9.75
2016-10-21,10.06,10.13,9.70,9.74,670200,9.74
2016-10-20,10.40,10.63,9.96,10.22,826700,10.22
2016-10-19,10.52,10.79,10.35,10.41,536200,10.41
2016-10-18,11.03,11.03,10.51,10.53,267300,10.53
2016-10-17,10.83,11.08,10.69,10.70,390200,10.70
2016-10-14,10.70,11.00,10.63,10.95,471000,10.95
2016-10-13,10.62,10.73,10.51,10.71,410200,10.71
2016-10-12,10.79,10.82,10.54,10.75,351200,10.75
2016-10-11,10.87,10.87,10.65,10.75,419800,10.75
2016-10-10,10.59,10.89,10.52,10.87,428700,10.87
2016-10-07,10.87,10.89,10.40,10.56,1024000,10.56
2016-10-06,10.97,11.08,10.85,11.00,344200,11.00
2016-10-05,10.63,11.10,10.62,11.04,568400,11.04
2016-10-04,10.67,10.83,10.56,10.63,332000,10.63
2016-10-03,10.65,10.83,10.32,10.63,474300,10.63
2016-09-30,10.56,10.83,10.42,10.72,734800,10.72
2016-09-29,10.83,10.84,10.44,10.47,1987600,10.47
2016-09-28,10.84,10.93,10.66,10.87,858600,10.87
2016-09-27,10.94,11.21,10.62,10.80,1272000,10.80
2016-09-26,11.36,11.50,10.92,10.98,285800,10.98
2016-09-23,11.65,11.80,11.50,11.50,424900,11.50
2016-09-22,11.36,11.78,11.15,11.64,714200,11.64
2016-09-21,11.49,11.59,11.10,11.26,891400,11.26
2016-09-20,11.80,11.83,11.33,11.43,434400,11.43
2016-09-19,11.69,11.79,11.64,11.75,438500,11.75
2016-09-16,11.94,12.09,11.52,11.66,618000,11.66
2016-09-15,11.82,12.16,11.81,11.92,594500,11.92
2016-09-14,12.06,12.40,11.80,11.85,584600,11.85
2016-09-13,12.13,12.31,11.84,12.02,457300,12.02
2016-09-12,12.02,12.25,11.91,12.23,271800,12.23
2016-09-09,12.39,12.62,12.14,12.14,687900,12.14
2016-09-08,12.39,12.57,12.35,12.48,474800,12.48
2016-09-07,12.24,12.54,12.24,12.45,401000,12.45
2016-09-06,12.50,12.57,12.15,12.21,498000,12.21
2016-09-02,12.36,12.60,12.19,12.49,587400,12.49
2016-09-01,12.39,12.56,12.08,12.24,357100,12.24
2016-08-31,12.49,12.66,12.25,12.34,305800,12.34
2016-08-30,12.38,12.71,12.38,12.48,444900,12.48
2016-08-29,12.29,12.80,12.12,12.43,486600,12.43
2016-08-26,12.59,12.70,12.20,12.29,466600,12.29
2016-08-25,12.74,12.90,12.53,12.56,507300,12.56
2016-08-24,13.03,13.03,12.78,12.80,236500,12.80
2016-08-23,13.08,13.37,12.81,13.03,446000,13.03
2016-08-22,13.09,13.18,12.86,13.01,286100,13.01
2016-08-19,13.12,13.24,12.91,13.18,355600,13.18
2016-08-18,13.05,13.24,12.97,13.13,348500,13.13
2016-08-17,13.20,13.46,12.86,13.10,451400,13.10
2016-08-16,13.77,13.92,13.23,13.24,434100,13.24
2016-08-15,13.77,13.97,13.73,13.78,384500,13.78
2016-08-12,13.21,13.97,13.13,13.74,551200,13.74
2016-08-11,12.80,13.29,12.75,13.22,550900,13.22
2016-08-10,13.15,13.24,12.77,12.78,464700,12.78
2016-08-09,13.60,13.60,13.17,13.18,579700,13.18
2016-08-08,13.57,14.00,13.53,13.64,770900,13.64
2016-08-05,13.93,14.27,13.81,14.00,582200,13.79
2016-08-04,13.67,14.36,13.51,13.83,788400,13.62255
2016-08-03,13.37,13.67,13.04,13.63,631900,13.42555
2016-08-02,13.57,13.81,13.21,13.42,724500,13.2187
2016-08-01,12.79,13.96,12.55,13.59,2127200,13.38615
2016-07-29,14.70,14.70,12.38,12.76,5567400,12.5686
2016-07-28,18.18,18.440001,17.950001,18.190001,579600,17.917151
2016-07-27,18.639999,18.639999,18.16,18.17,343700,17.89745
2016-07-26,18.209999,18.620001,18.200001,18.299999,244900,18.0255
2016-07-25,18.15,18.26,18.02,18.23,194100,17.95655
2016-07-22,17.969999,18.200001,17.84,18.15,104700,17.87775
2016-07-21,18.209999,18.469999,17.91,18.02,166700,17.749701
2016-07-20,18.129999,18.33,17.879999,18.309999,169800,18.03535
2016-07-19,18.110001,18.120001,17.860001,18.00,154200,17.73
2016-07-18,18.24,18.24,17.33,18.120001,211800,17.848201
2016-07-15,18.35,18.35,18.049999,18.190001,272800,17.917151
2016-07-14,18.360001,18.360001,17.969999,18.200001,248600,17.927001
2016-07-13,18.32,18.40,18.08,18.23,203500,17.95655
2016-07-12,18.17,18.34,18.110001,18.26,670600,17.9861
2016-07-11,17.860001,18.200001,17.83,18.049999,327000,17.77925
2016-07-08,17.299999,17.75,17.299999,17.709999,307100,17.444349
2016-07-07,17.40,17.74,17.00,17.17,321100,16.91245
2016-07-06,17.25,17.559999,17.059999,17.299999,327900,17.040499
2016-07-05,17.969999,17.99,17.17,17.34,358000,17.0799
2016-07-01,18.309999,18.559999,17.809999,18.01,334400,17.73985
2016-06-30,18.110001,18.290001,17.83,18.290001,448600,18.015651
2016-06-29,17.43,18.059999,17.24,18.02,378000,17.749701
2016-06-28,16.77,17.18,16.68,17.120001,426900,16.863201
2016-06-27,17.65,17.65,16.59,16.68,583500,16.429801
2016-06-24,18.280001,18.530001,17.700001,17.860001,1463300,17.592101
2016-06-23,18.90,19.26,18.15,19.219999,409700,18.9317
2016-06-22,18.059999,18.790001,18.01,18.67,390100,18.38995
2016-06-21,18.26,18.309999,17.85,18.09,289700,17.81865
2016-06-20,18.41,18.469999,18.129999,18.25,498300,17.97625
2016-06-17,18.469999,18.49,18.139999,18.17,483900,17.89745
2016-06-16,17.93,18.530001,17.74,18.49,362400,18.21265
2016-06-15,17.690001,18.17,17.620001,18.10,224000,17.828501
2016-06-14,17.52,17.68,17.280001,17.66,294000,17.3951
2016-06-13,17.84,17.92,17.469999,17.60,367800,17.336001
2016-06-10,18.190001,18.459999,17.75,17.889999,289900,17.62165
2016-06-09,18.389999,18.469999,18.25,18.40,243000,18.124
2016-06-08,18.40,18.450001,18.059999,18.450001,261300,18.173251
2016-06-07,17.870001,18.40,17.870001,18.40,386100,18.124
2016-06-06,17.809999,18.09,17.75,17.950001,183700,17.680751
2016-06-03,18.25,18.25,17.18,17.76,406000,17.4936
2016-06-02,17.809999,18.299999,17.809999,18.27,568300,17.995951
2016-06-01,17.799999,17.860001,17.43,17.82,478100,17.5527
2016-05-31,17.370001,17.940001,17.00,17.940001,1196000,17.670901
2016-05-27,16.799999,17.389999,16.73,17.24,588700,16.9814
2016-05-26,16.82,17.190001,16.76,16.82,274100,16.5677
2016-05-25,17.059999,17.24,16.709999,16.74,384200,16.4889
2016-05-24,16.370001,17.16,16.280001,17.01,518200,16.75485
2016-05-23,16.40,16.620001,16.209999,16.27,490000,16.025951
2016-05-20,16.18,16.530001,16.00,16.459999,481700,16.213099
2016-05-19,16.059999,16.450001,15.94,16.35,480800,15.8979
2016-05-18,16.25,16.459999,16.030001,16.209999,352200,15.76177
2016-05-17,16.50,16.559999,16.059999,16.280001,497100,15.829836
2016-05-16,16.76,16.870001,16.440001,16.469999,598500,16.014581
2016-05-13,16.51,16.99,16.33,16.780001,742700,16.316011
2016-05-12,17.08,17.129999,16.370001,16.51,470000,16.053476
2016-05-11,17.200001,17.719999,16.83,16.98,358700,16.510479
2016-05-10,17.42,17.549999,17.209999,17.25,538500,16.773014
2016-05-09,17.120001,17.76,16.85,17.469999,592100,16.98693
2016-05-06,17.49,17.639999,16.98,17.059999,649500,16.588267
2016-05-05,17.799999,18.01,17.129999,17.50,914100,17.016101
2016-05-04,19.26,19.98,16.360001,17.65,3835800,17.161953
2016-05-03,20.219999,20.299999,19.40,19.74,1005800,19.194162
2016-05-02,20.799999,20.83,19.18,20.50,1960200,19.933147
2016-04-29,22.92,23.139999,17.57,20.24,9128400,19.680336
2016-04-28,23.24,23.90,22.98,23.01,796000,22.373742
2016-04-27,23.129999,23.389999,22.73,23.299999,475800,22.655722
2016-04-26,23.00,23.219999,22.85,23.200001,421400,22.558489
2016-04-25,22.76,22.99,22.60,22.969999,469800,22.334847
2016-04-22,22.74,23.01,22.629999,22.860001,505500,22.22789
2016-04-21,22.469999,22.799999,22.379999,22.66,359700,22.03342
2016-04-20,22.48,22.690001,21.629999,22.41,255500,21.790333
