Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,17.50,17.50,17.00,17.10,4100,17.10
2016-11-30,17.450001,17.50,17.02,17.50,8100,17.50
2016-11-29,17.48,17.50,16.959999,17.35,3600,17.35
2016-11-28,17.35,17.50,17.01,17.35,6900,17.35
2016-11-25,17.450001,17.50,17.049999,17.27,2100,17.27
2016-11-23,17.450001,17.450001,17.25,17.40,6200,17.40
2016-11-22,17.17,17.50,17.049999,17.50,11100,17.50
2016-11-21,17.00,17.950001,16.15,17.450001,8200,17.450001
2016-11-18,17.15,17.299999,16.549999,16.90,5800,16.90
2016-11-17,17.10,17.549999,16.90,17.10,6900,17.10
2016-11-16,17.10,17.15,16.559999,16.90,10700,16.90
2016-11-15,16.65,17.27,16.09,17.200001,5100,17.200001
2016-11-14,16.10,16.799999,16.10,16.65,13100,16.65
2016-11-11,15.45,16.25,15.45,16.25,104000,16.25
2016-11-10,15.70,15.80,15.40,15.55,21500,15.55
2016-11-09,15.50,15.95,15.17,15.70,18700,15.70
2016-11-08,15.95,16.00,15.55,15.75,5100,15.75
2016-11-07,15.40,16.00,15.40,15.75,27000,15.64
2016-11-04,15.40,16.200001,15.30,15.55,26000,15.441397
2016-11-03,15.25,15.25,15.25,15.25,1000,15.143492
2016-11-02,15.16,15.16,15.10,15.10,3200,14.99454
2016-11-01,15.45,15.51,15.25,15.25,7600,15.143492
2016-10-31,15.50,15.50,15.45,15.45,2400,15.342095
2016-10-28,15.45,15.70,15.45,15.45,8600,15.342095
2016-10-27,15.70,15.70,15.45,15.45,400,15.342095
2016-10-26,15.55,15.75,15.35,15.40,2100,15.292444
2016-10-25,15.37,15.98,15.30,15.35,2000,15.242794
2016-10-24,15.55,15.80,15.30,15.35,4500,15.242794
2016-10-21,15.55,15.55,15.55,15.55,000,15.441397
2016-10-20,15.55,15.55,15.55,15.55,1400,15.441397
2016-10-19,15.55,15.60,15.30,15.30,1500,15.193143
2016-10-18,15.10,15.60,15.10,15.20,1600,15.093841
2016-10-17,15.50,15.55,15.05,15.05,5900,14.944889
2016-10-14,15.52,15.52,15.52,15.52,200,15.411607
2016-10-13,15.61,15.61,15.24,15.24,800,15.133562
2016-10-12,15.43,15.43,15.27,15.27,400,15.163353
2016-10-11,15.65,15.68,15.29,15.29,2000,15.183213
