Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,30.51,31.200001,30.09,30.27,120400,30.27
2016-11-30,31.24,31.290001,30.48,30.57,76400,30.41
2016-11-29,29.709999,31.139999,29.709999,30.92,106500,30.758168
2016-11-28,29.75,30.16,29.620001,29.639999,39100,29.484867
2016-11-25,30.01,30.059999,29.690001,29.90,26100,29.743506
2016-11-23,30.25,30.25,29.93,30.08,47500,29.922565
2016-11-22,29.68,30.379999,29.540001,30.34,71300,30.181204
2016-11-21,30.559999,30.60,29.280001,29.49,98000,29.335653
2016-11-18,29.969999,30.74,29.450001,30.530001,90200,30.37021
2016-11-17,29.18,29.969999,29.18,29.90,52500,29.743506
2016-11-16,28.90,29.34,28.77,29.32,81400,29.166542
2016-11-15,28.889999,29.16,28.08,29.120001,49200,28.96759
2016-11-14,28.34,28.940001,27.790001,28.860001,75300,28.708951
2016-11-11,27.58,28.469999,27.190001,28.25,166800,28.102143
2016-11-10,26.66,27.809999,25.719999,27.549999,93900,27.405806
2016-11-09,25.139999,26.49,24.98,26.459999,76900,26.321511
2016-11-08,24.74,25.459999,24.639999,24.99,36000,24.859205
2016-11-07,24.360001,25.01,24.040001,24.93,37600,24.79952
2016-11-04,24.219999,24.549999,23.84,23.940001,54900,23.814701
2016-11-03,24.209999,24.440001,23.92,24.26,90600,24.133026
2016-11-02,24.530001,24.98,24.290001,24.360001,28300,24.232503
2016-11-01,25.08,25.120001,24.549999,24.68,37400,24.550828
2016-10-31,25.02,25.040001,24.43,24.959999,49400,24.829361
2016-10-28,24.99,25.200001,24.83,24.889999,40300,24.759728
2016-10-27,25.559999,25.700001,25.10,25.139999,42800,25.00842
2016-10-26,25.639999,25.84,25.379999,25.389999,32900,25.257111
2016-10-25,25.370001,25.940001,25.309999,25.84,39900,25.704757
2016-10-24,25.51,25.74,25.18,25.450001,55400,25.316798
2016-10-21,25.200001,25.83,24.690001,25.299999,40300,25.167582
2016-10-20,25.549999,26.00,25.35,25.49,26700,25.356588
2016-10-19,25.690001,27.35,25.52,25.85,37300,25.714704
2016-10-18,26.030001,26.030001,25.030001,25.540001,56400,25.406328
2016-10-17,25.799999,25.860001,25.40,25.73,29100,25.595332
2016-10-14,25.75,25.85,25.530001,25.719999,28900,25.585384
2016-10-13,25.65,25.700001,25.370001,25.49,30500,25.356588
2016-10-12,25.73,26.01,25.68,25.799999,60100,25.664965
2016-10-11,25.58,25.98,25.549999,25.700001,48300,25.56549
2016-10-10,25.74,25.98,25.620001,25.700001,40500,25.56549
2016-10-07,25.73,25.73,25.10,25.58,39300,25.446117
2016-10-06,25.51,25.76,25.389999,25.67,52800,25.535646
2016-10-05,25.309999,25.709999,25.290001,25.459999,76300,25.326744
2016-10-04,25.15,25.41,25.00,25.32,66500,25.187478
2016-10-03,24.77,25.07,24.67,25.040001,41500,24.908944
2016-09-30,24.40,25.040001,24.40,24.950001,32100,24.819415
2016-09-29,24.90,25.200001,24.370001,24.389999,42600,24.262345
2016-09-28,24.799999,24.90,24.60,24.870001,36800,24.739834
2016-09-27,24.26,24.90,24.26,24.82,27300,24.690095
2016-09-26,24.42,24.59,24.290001,24.389999,46200,24.262345
2016-09-23,24.610001,24.700001,24.540001,24.540001,25200,24.411561
2016-09-22,24.50,24.879999,24.50,24.870001,40300,24.739834
2016-09-21,24.65,24.879999,24.32,24.50,30700,24.37177
2016-09-20,24.50,24.719999,24.379999,24.700001,64900,24.570724
2016-09-19,24.65,24.65,24.27,24.459999,45200,24.331978
2016-09-16,24.559999,24.610001,24.16,24.530001,80300,24.401614
2016-09-15,24.09,24.48,24.049999,24.48,40500,24.351874
2016-09-14,24.00,24.389999,23.809999,23.99,54500,23.864439
2016-09-13,24.18,24.26,23.700001,23.90,40000,23.77491
2016-09-12,23.879999,24.35,23.700001,24.35,60900,24.222555
2016-09-09,24.17,24.370001,24.00,24.049999,44600,23.924124
2016-09-08,24.290001,24.43,23.809999,24.35,57400,24.222555
2016-09-07,23.58,24.34,23.58,24.299999,71300,24.172816
2016-09-06,24.139999,24.15,23.530001,23.719999,45100,23.595852
2016-09-02,24.17,24.690001,23.959999,24.200001,57400,24.073341
2016-09-01,24.00,24.209999,23.459999,24.200001,68900,24.073341
2016-08-31,23.24,24.530001,23.24,24.129999,259100,24.003706
2016-08-30,22.870001,23.389999,22.870001,23.35,49100,23.227789
2016-08-29,22.879999,23.129999,22.879999,22.969999,34800,22.700562
2016-08-26,22.17,23.01,22.110001,22.92,44700,22.651149
2016-08-25,22.030001,22.139999,21.92,22.07,31000,21.81112
2016-08-24,21.91,22.200001,21.91,21.99,51000,21.732058
2016-08-23,22.00,22.120001,21.93,21.959999,71900,21.702409
2016-08-22,22.120001,22.23,21.91,21.99,28400,21.732058
2016-08-19,22.59,22.59,22.24,22.25,35800,21.989008
2016-08-18,22.40,22.60,22.40,22.57,14000,22.305255
2016-08-17,22.459999,22.58,22.33,22.469999,49000,22.206427
2016-08-16,22.610001,22.610001,22.40,22.530001,19100,22.265725
2016-08-15,22.370001,22.700001,22.370001,22.620001,38600,22.354669
2016-08-12,22.40,22.59,22.290001,22.40,13300,22.137249
2016-08-11,22.559999,22.629999,22.49,22.559999,25700,22.295372
2016-08-10,22.870001,23.02,22.389999,22.559999,26800,22.295372
2016-08-09,22.860001,22.950001,22.74,22.92,20800,22.651149
2016-08-08,22.85,22.950001,22.65,22.75,12200,22.483144
2016-08-05,22.389999,22.85,22.27,22.799999,29500,22.532556
2016-08-04,22.59,22.709999,22.27,22.290001,14900,22.02854
2016-08-03,21.92,22.58,21.90,22.52,20700,22.255842
2016-08-02,22.129999,22.17,21.82,21.99,61600,21.732058
2016-08-01,22.200001,22.26,21.950001,22.110001,24200,21.850651
2016-07-29,22.469999,22.549999,22.139999,22.27,30700,22.008774
2016-07-28,22.77,22.77,22.32,22.639999,16600,22.374433
2016-07-27,22.91,22.969999,22.68,22.84,18300,22.572088
2016-07-26,22.74,23.02,22.639999,22.91,21500,22.641267
2016-07-25,22.65,22.969999,22.469999,22.780001,19700,22.512792
2016-07-22,22.43,22.84,22.379999,22.74,16400,22.473261
2016-07-21,22.74,22.83,22.379999,22.49,15100,22.226193
2016-07-20,22.49,22.84,22.379999,22.84,21000,22.572088
2016-07-19,22.50,22.77,22.33,22.48,15900,22.21631
2016-07-18,22.50,22.67,22.40,22.52,23000,22.255842
2016-07-15,22.780001,22.780001,22.25,22.59,26600,22.32502
2016-07-14,22.65,22.83,22.60,22.700001,17000,22.433731
2016-07-13,22.639999,22.690001,22.200001,22.51,31300,22.245959
2016-07-12,22.32,22.75,22.309999,22.540001,39000,22.275608
2016-07-11,22.10,22.26,21.940001,22.24,25900,21.979126
2016-07-08,21.799999,22.16,21.440001,22.01,40200,21.751824
2016-07-07,21.60,21.66,21.27,21.559999,15900,21.307102
2016-07-06,21.309999,21.68,21.129999,21.639999,17200,21.386163
2016-07-05,21.74,21.74,21.26,21.389999,22300,21.139096
2016-07-01,21.889999,22.040001,21.66,21.76,25100,21.504756
2016-06-30,21.83,22.049999,21.74,22.049999,30600,21.791354
2016-06-29,20.85,21.82,19.98,21.719999,73900,21.465225
2016-06-28,21.40,21.469999,21.07,21.25,37300,21.000738
2016-06-27,21.620001,21.620001,20.959999,21.299999,65800,21.050151
2016-06-24,21.780001,22.280001,21.50,22.030001,171200,21.77159
2016-06-23,22.290001,22.82,22.290001,22.620001,25500,22.354669
2016-06-22,22.200001,22.469999,21.950001,22.00,40000,21.741941
2016-06-21,21.98,22.299999,21.879999,22.10,18200,21.840768
2016-06-20,22.280001,22.639999,21.969999,22.00,44800,21.741941
2016-06-17,22.17,22.200001,21.82,22.01,90000,21.751824
2016-06-16,21.860001,22.34,21.809999,22.23,27500,21.969243
2016-06-15,22.120001,22.629999,21.879999,22.07,32300,21.81112
2016-06-14,22.200001,22.35,21.860001,21.98,55900,21.722175
2016-06-13,22.76,23.01,22.16,22.32,72700,22.058187
2016-06-10,22.91,23.01,22.67,22.959999,52100,22.690679
2016-06-09,23.120001,23.34,22.66,22.959999,62400,22.690679
2016-06-08,22.85,23.43,22.85,23.25,28800,22.977279
2016-06-07,23.129999,23.50,22.84,22.969999,32800,22.700562
2016-06-06,23.110001,23.620001,23.10,23.209999,46700,22.937747
2016-06-03,23.110001,23.280001,22.639999,23.190001,37500,22.917983
2016-06-02,22.76,23.24,22.68,23.200001,65300,22.927866
2016-06-01,22.60,23.049999,22.26,23.00,89600,22.581971
2016-05-31,22.65,22.74,22.48,22.58,221200,22.169604
2016-05-27,22.16,22.66,22.16,22.65,64500,22.238332
2016-05-26,22.190001,22.290001,22.049999,22.24,31900,21.835784
2016-05-25,22.299999,22.440001,22.200001,22.209999,19800,21.806328
2016-05-24,21.620001,22.50,21.620001,22.360001,43400,21.953603
2016-05-23,21.91,21.91,21.41,21.50,14700,21.109234
2016-05-20,21.610001,22.00,21.59,21.85,35200,21.452873
2016-05-19,21.51,21.75,21.280001,21.48,15400,21.089597
2016-05-18,21.34,21.879999,21.34,21.68,23600,21.285962
2016-05-17,21.440001,21.60,21.16,21.35,63300,20.96196
2016-05-16,21.18,21.690001,20.889999,21.540001,30700,21.148507
2016-05-13,21.26,21.440001,21.040001,21.10,21000,20.716504
2016-05-12,21.17,21.48,21.17,21.299999,37300,20.912868
2016-05-11,21.27,21.40,21.15,21.16,15500,20.775413
2016-05-10,21.040001,21.41,20.940001,21.290001,17000,20.903051
2016-05-09,20.99,21.209999,20.809999,20.91,36300,20.529957
2016-05-06,21.10,21.139999,20.870001,21.08,24500,20.696867
2016-05-05,21.629999,21.629999,21.07,21.09,18400,20.706686
2016-05-04,21.549999,21.969999,21.48,21.530001,32600,21.138689
2016-05-03,21.790001,22.17,21.43,21.610001,32900,21.217235
2016-05-02,21.950001,22.08,21.90,21.99,36300,21.590327
2016-04-29,21.84,21.90,21.780001,21.85,29200,21.452873
2016-04-28,21.719999,21.85,21.700001,21.799999,44800,21.40378
2016-04-27,21.440001,21.92,21.440001,21.889999,45000,21.492145
2016-04-26,21.549999,21.950001,21.35,21.60,41100,21.207416
2016-04-25,21.530001,21.75,21.40,21.559999,14500,21.168142
2016-04-22,21.82,21.93,21.48,21.620001,23000,21.227053
2016-04-21,21.74,21.969999,21.709999,21.92,39600,21.5216
2016-04-20,21.719999,21.959999,21.709999,21.780001,13800,21.384145
2016-04-19,21.969999,22.01,21.65,21.780001,15000,21.384145
2016-04-18,21.209999,21.92,21.209999,21.870001,21900,21.47251
2016-04-15,21.52,21.84,21.24,21.379999,29200,20.991414
2016-04-14,21.40,21.76,21.190001,21.51,28200,21.119052
2016-04-13,20.98,21.41,20.98,21.209999,46500,20.824503
2016-04-12,20.51,21.08,20.50,20.91,18600,20.529957
2016-04-11,20.57,20.959999,20.469999,20.530001,19100,20.156864
