Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,11.80,11.80,11.75,11.75,16900,11.75
2016-11-30,11.75,11.75,11.70,11.75,16200,11.75
2016-11-29,11.60,11.75,11.55,11.75,41700,11.75
2016-11-28,11.60,12.75,11.55,11.60,47900,11.60
2016-11-25,11.45,11.60,11.25,11.60,62000,11.60
2016-11-23,11.15,11.40,11.15,11.30,28800,11.30
2016-11-22,11.15,11.30,11.00,11.10,33700,11.10
2016-11-21,11.05,11.31,10.90,11.05,12200,11.05
2016-11-18,11.20,11.25,11.00,11.00,27000,11.00
2016-11-17,11.25,11.25,11.15,11.15,5600,11.15
2016-11-16,11.15,11.15,11.05,11.15,5400,11.15
2016-11-15,11.35,11.35,11.05,11.25,9200,11.25
2016-11-14,11.55,11.55,11.25,11.25,33400,11.25
2016-11-11,11.15,11.50,11.00,11.45,34200,11.45
2016-11-10,11.20,11.20,11.10,11.15,67500,11.15
2016-11-09,11.06,11.25,11.05,11.25,16800,11.25
2016-11-08,11.00,11.40,10.95,11.05,15100,11.05
2016-11-07,11.20,11.20,10.85,11.00,42600,11.00
2016-11-04,11.15,11.15,11.10,11.10,3500,11.10
2016-11-03,11.05,11.40,11.05,11.30,6900,11.30
2016-11-02,11.10,11.10,11.00,11.00,4400,11.00
2016-11-01,11.35,11.35,11.10,11.10,300,11.09
2016-10-31,11.00,11.34,11.00,11.20,8900,11.189909
2016-10-28,11.00,11.06,11.00,11.04,3100,11.030054
2016-10-27,11.00,11.03,11.00,11.01,5400,11.000081
2016-10-26,11.04,11.08,11.04,11.08,600,11.070018
2016-10-25,11.11,11.11,10.90,11.00,3900,10.99009
2016-10-24,11.15,11.15,11.05,11.05,10600,11.040045
2016-10-21,11.21,11.28,10.90,10.90,91200,10.89018
2016-10-20,11.30,11.30,11.08,11.12,38900,11.109982
2016-10-19,11.30,11.32,11.19,11.23,28000,11.219882
2016-10-18,11.19,11.21,11.14,11.15,2300,11.139954
2016-10-17,11.16,11.31,11.06,11.31,34800,11.299811
2016-10-14,11.45,11.45,11.45,11.45,400,11.439684
2016-10-13,11.05,11.05,11.05,11.05,200,11.040045
2016-10-12,11.26,11.27,11.15,11.15,800,11.139954
2016-10-11,11.17,11.36,11.14,11.20,9300,11.189909
2016-10-10,11.41,11.50,11.40,11.47,2000,11.459667
2016-10-07,11.28,11.57,11.28,11.56,10000,11.549586
2016-10-06,11.42,11.45,11.30,11.35,14700,11.339775
2016-10-05,11.45,11.49,11.05,11.49,16800,11.479648
2016-10-04,11.12,11.14,11.01,11.01,7100,11.000081
2016-10-03,11.45,11.45,11.10,11.20,29300,11.189909
2016-09-30,11.14,11.58,11.08,11.58,15600,11.569567
2016-09-29,10.96,11.78,10.96,11.33,64600,11.319792
2016-09-28,11.13,11.22,10.86,11.03,61200,11.020063
2016-09-27,11.13,11.20,11.12,11.15,2400,11.139954
