Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,18.540001,18.73,18.540001,18.73,93600,18.73
2016-11-30,18.77,18.85,18.450001,18.530001,101500,18.530001
2016-11-29,18.799999,18.93,18.610001,18.629999,93000,18.629999
2016-11-28,18.77,18.85,18.01,18.74,127500,18.74
2016-11-25,18.75,18.84,18.68,18.84,40500,18.84
2016-11-23,18.530001,18.75,18.40,18.75,109300,18.75
2016-11-22,18.43,18.66,18.32,18.49,190300,18.49
2016-11-21,18.52,18.559999,18.27,18.459999,105700,18.459999
2016-11-18,18.389999,18.620001,18.309999,18.42,354100,18.42
2016-11-17,18.57,18.60,18.290001,18.299999,219100,18.299999
2016-11-16,18.190001,18.450001,18.16,18.440001,129000,18.440001
2016-11-15,18.08,18.290001,17.84,18.219999,118000,18.219999
2016-11-14,18.290001,18.57,17.67,18.139999,217400,18.139999
2016-11-11,17.59,18.25,17.299999,18.219999,323200,18.219999
2016-11-10,17.07,17.60,17.00,17.57,195000,17.57
2016-11-09,16.49,17.00,16.41,17.00,171100,17.00
2016-11-08,16.360001,16.450001,16.25,16.34,46700,16.34
2016-11-07,16.40,16.40,16.200001,16.370001,145200,16.370001
2016-11-04,16.35,16.440001,16.209999,16.23,62700,16.15
2016-11-03,16.15,16.379999,16.049999,16.290001,69800,16.209705
2016-11-02,16.389999,16.389999,16.10,16.18,54500,16.100247
2016-11-01,16.49,16.50,16.34,16.389999,72500,16.309211
2016-10-31,16.200001,16.50,16.139999,16.450001,166200,16.368917
2016-10-28,16.280001,16.299999,16.129999,16.200001,52500,16.120149
2016-10-27,16.35,16.370001,16.209999,16.24,48900,16.159951
2016-10-26,15.82,16.27,15.82,16.24,52700,16.159951
2016-10-25,16.23,16.25,16.139999,16.23,66700,16.15
2016-10-24,16.09,16.25,16.09,16.200001,62700,16.120149
2016-10-21,15.91,16.219999,14.88,16.07,44200,15.990789
2016-10-20,16.09,16.15,15.96,16.040001,45200,15.960938
2016-10-19,16.110001,16.15,16.049999,16.10,73100,16.020641
2016-10-18,16.10,16.139999,15.87,16.10,67400,16.020641
2016-10-17,16.00,16.110001,15.95,16.00,43600,15.921134
2016-10-14,15.98,16.10,15.97,16.07,63200,15.990789
2016-10-13,16.02,16.02,15.82,15.87,60400,15.791775
2016-10-12,16.120001,16.23,16.01,16.040001,85000,15.960938
2016-10-11,16.17,16.209999,15.81,16.120001,60900,16.040543
2016-10-10,16.040001,16.24,16.030001,16.200001,50100,16.120149
2016-10-07,16.01,16.08,15.87,16.030001,43900,15.950987
2016-10-06,16.040001,16.059999,15.90,16.040001,46000,15.960938
2016-10-05,16.030001,16.190001,15.77,16.10,110700,16.020641
2016-10-04,15.91,16.110001,15.91,15.99,55300,15.911183
2016-10-03,16.02,16.02,15.79,15.92,121700,15.841528
2016-09-30,15.83,16.16,15.77,16.10,99700,16.020641
2016-09-29,15.98,16.00,15.73,15.75,67000,15.672366
2016-09-28,15.92,16.02,15.85,16.01,66800,15.931085
2016-09-27,15.94,16.07,15.88,15.95,128600,15.87138
2016-09-26,16.09,16.09,15.14,15.95,73600,15.87138
2016-09-23,16.190001,16.219999,16.059999,16.18,113300,16.100247
2016-09-22,16.02,16.25,15.89,16.25,127100,16.169902
2016-09-21,15.96,16.049999,15.89,16.040001,97800,15.960938
2016-09-20,16.02,16.040001,15.90,15.92,64700,15.841528
2016-09-19,15.74,16.01,15.74,15.97,84500,15.891282
2016-09-16,15.77,15.91,15.58,15.77,909600,15.692268
2016-09-15,15.71,15.79,15.66,15.74,86500,15.662415
2016-09-14,15.99,15.99,15.65,15.68,73500,15.602712
2016-09-13,15.87,16.049999,15.80,15.98,118000,15.901232
2016-09-12,15.92,16.059999,15.79,15.98,123400,15.901232
2016-09-09,16.059999,16.18,16.00,16.01,112600,15.931085
2016-09-08,16.17,16.24,16.120001,16.15,105200,16.070394
2016-09-07,16.219999,16.24,16.10,16.139999,134300,16.060443
2016-09-06,15.93,16.280001,15.93,16.24,206300,16.159951
2016-09-02,15.90,15.99,15.89,15.96,114200,15.881331
2016-09-01,15.90,15.95,15.78,15.92,95500,15.841528
2016-08-31,15.87,15.99,15.86,15.89,138200,15.811677
2016-08-30,15.80,15.95,15.79,15.91,80300,15.831577
2016-08-29,15.75,15.89,15.75,15.80,103700,15.72212
2016-08-26,15.95,15.97,15.56,15.79,88000,15.712169
2016-08-25,15.85,15.94,15.81,15.91,53200,15.831577
2016-08-24,15.78,15.90,15.69,15.87,57700,15.791775
2016-08-23,15.70,15.78,15.70,15.77,46100,15.692268
2016-08-22,15.65,15.74,15.49,15.73,37700,15.652464
2016-08-19,15.71,15.72,15.58,15.66,100900,15.58281
2016-08-18,15.54,15.74,15.54,15.72,78800,15.642514
2016-08-17,15.47,15.60,15.29,15.58,50000,15.503204
2016-08-16,15.47,15.53,15.38,15.44,76800,15.363894
2016-08-15,15.46,15.51,15.25,15.48,66500,15.403697
2016-08-12,15.44,15.47,15.33,15.43,32300,15.353944
2016-08-11,15.44,15.54,15.42,15.49,52500,15.413648
2016-08-10,15.43,15.56,15.37,15.45,65500,15.373845
2016-08-09,15.33,15.44,15.31,15.43,59800,15.353944
2016-08-08,15.34,15.39,15.27,15.33,53700,15.254436
2016-08-05,15.07,15.45,15.07,15.43,94900,15.274338
2016-08-04,15.11,15.18,15.02,15.03,40400,14.878373
2016-08-03,15.05,15.15,15.02,15.13,43500,14.977365
2016-08-02,14.99,15.10,14.99,15.02,73800,14.868475
2016-08-01,14.89,15.09,14.86,15.00,76600,14.848676
2016-07-29,14.98,15.07,14.88,14.93,102100,14.779383
2016-07-28,15.09,15.09,14.87,14.94,59200,14.789281
2016-07-27,15.00,15.14,14.91,15.10,71800,14.947668
2016-07-26,15.08,15.17,15.03,15.09,37000,14.937768
2016-07-25,15.11,15.19,15.01,15.11,61100,14.957566
2016-07-22,15.09,15.24,14.84,15.18,40300,15.02686
2016-07-21,15.16,15.26,15.02,15.04,44000,14.888272
2016-07-20,15.08,15.22,14.97,15.09,64100,14.937768
2016-07-19,15.12,15.24,14.99,15.00,122200,14.848676
2016-07-18,15.25,15.30,15.11,15.11,71500,14.957566
2016-07-15,15.32,15.36,15.20,15.29,108300,15.13575
2016-07-14,15.21,15.46,15.19,15.23,116500,15.076355
2016-07-13,15.11,15.18,14.93,15.15,121900,14.997162
2016-07-12,15.00,15.18,14.96,15.11,121400,14.957566
2016-07-11,14.78,15.05,14.78,15.02,103300,14.868475
2016-07-08,14.72,14.79,14.66,14.77,191500,14.620997
2016-07-07,14.55,14.68,14.50,14.61,82300,14.46261
2016-07-06,14.52,14.61,14.38,14.54,91500,14.393317
2016-07-05,14.72,14.72,14.53,14.63,65200,14.482409
2016-07-01,14.80,14.87,14.64,14.72,66200,14.571501
2016-06-30,14.48,14.84,14.43,14.83,195600,14.680391
2016-06-29,14.54,14.55,14.38,14.53,82500,14.383417
2016-06-28,14.53,14.56,14.31,14.39,117400,14.24483
2016-06-27,14.48,14.58,14.31,14.39,153000,14.24483
2016-06-24,14.60,14.74,14.46,14.61,605800,14.46261
2016-06-23,14.90,15.01,14.88,14.96,100900,14.80908
2016-06-22,14.75,14.87,14.71,14.76,106700,14.611097
2016-06-21,14.76,14.85,14.72,14.75,117500,14.601198
2016-06-20,14.79,14.88,14.75,14.76,130200,14.611097
2016-06-17,14.82,14.86,14.65,14.75,416700,14.601198
2016-06-16,14.72,14.85,14.65,14.82,90800,14.670492
2016-06-15,14.96,14.96,14.70,14.73,99300,14.581399
2016-06-14,14.92,14.95,14.74,14.90,66500,14.749684
2016-06-13,15.26,15.34,14.86,14.93,109200,14.779383
2016-06-10,15.33,15.42,15.17,15.31,59300,15.155549
2016-06-09,15.46,15.46,15.26,15.37,85700,15.214943
2016-06-08,15.40,15.53,15.40,15.50,69500,15.343632
2016-06-07,15.42,15.52,15.39,15.48,57000,15.323833
2016-06-06,15.27,15.54,15.25,15.42,123900,15.264439
2016-06-03,15.48,15.50,15.17,15.29,78900,15.13575
2016-06-02,15.62,15.62,15.38,15.56,126700,15.403027
2016-06-01,15.59,15.76,15.46,15.69,132000,15.531715
2016-05-31,15.66,15.66,15.48,15.55,132300,15.393128
2016-05-27,15.51,15.62,15.51,15.59,76800,15.432724
2016-05-26,15.68,15.68,15.52,15.53,48300,15.373329
2016-05-25,15.74,15.87,15.57,15.62,51800,15.462421
2016-05-24,15.35,15.75,15.35,15.68,108400,15.521816
2016-05-23,15.45,15.51,15.36,15.40,64500,15.24464
2016-05-20,15.36,15.51,15.28,15.43,154600,15.274338
2016-05-19,15.39,15.60,15.17,15.28,68600,15.125851
2016-05-18,15.13,15.46,15.13,15.44,81700,15.284237
2016-05-17,15.38,15.38,15.03,15.13,155900,14.977365
2016-05-16,15.26,15.53,15.19,15.36,97700,15.205044
2016-05-13,15.44,15.52,15.26,15.26,117700,15.106053
2016-05-12,15.49,15.58,15.41,15.52,56400,15.363431
2016-05-11,15.61,15.63,15.44,15.48,75100,15.323833
2016-05-10,15.53,15.73,15.41,15.60,59400,15.442623
2016-05-09,15.68,15.71,15.55,15.55,92400,15.393128
2016-05-06,15.61,15.96,15.51,15.74,129400,15.502017
2016-05-05,15.72,15.86,15.60,15.60,96400,15.364134
2016-05-04,15.78,15.83,15.60,15.71,71000,15.472471
2016-05-03,15.86,15.94,15.69,15.79,65200,15.551261
2016-05-02,15.93,16.18,15.84,15.97,128400,15.72854
2016-04-29,16.02,16.07,15.77,15.86,130700,15.620203
2016-04-28,16.290001,16.49,15.90,15.95,132800,15.708842
2016-04-27,16.52,16.540001,16.280001,16.469999,97700,16.220979
2016-04-26,16.43,16.58,16.040001,16.52,96300,16.270224
2016-04-25,16.459999,16.459999,16.280001,16.379999,69300,16.13234
2016-04-22,16.389999,16.549999,16.389999,16.52,99300,16.270224
2016-04-21,16.40,16.530001,16.290001,16.379999,93700,16.13234
2016-04-20,16.41,16.58,16.389999,16.469999,74900,16.220979
2016-04-19,16.379999,16.49,16.360001,16.469999,55000,16.220979
2016-04-18,16.25,16.450001,16.25,16.440001,69700,16.191434
2016-04-15,16.34,16.48,16.32,16.360001,86500,16.112644
2016-04-14,16.379999,16.57,16.35,16.43,88800,16.181585
2016-04-13,16.40,16.57,16.09,16.459999,186300,16.21113
2016-04-12,16.32,16.440001,16.200001,16.389999,112100,16.142189
2016-04-11,16.15,16.41,16.15,16.35,167400,16.102795
2016-04-08,16.09,16.299999,15.96,16.15,114800,15.905818
2016-04-07,16.15,16.18,15.88,16.030001,149000,15.787633
2016-04-06,16.15,16.299999,16.030001,16.25,103600,16.004306
2016-04-05,16.32,16.469999,16.139999,16.17,200600,15.925516
2016-04-04,16.42,16.50,16.27,16.280001,135000,16.033853
2016-04-01,16.34,16.57,16.299999,16.440001,166400,16.191434
2016-03-31,16.60,16.68,16.43,16.440001,92900,16.191434
2016-03-30,16.629999,16.68,16.49,16.58,123000,16.329317
2016-03-29,16.33,16.59,16.059999,16.59,199900,16.339166
2016-03-28,16.25,16.41,16.209999,16.33,76300,16.083097
2016-03-24,16.049999,16.190001,15.85,16.18,51900,15.935365
2016-03-23,16.34,16.469999,16.10,16.110001,112500,15.866424
2016-03-22,16.32,16.43,16.23,16.35,55600,16.102795
2016-03-21,16.34,16.49,16.27,16.33,81900,16.083097
2016-03-18,16.43,16.59,16.35,16.41,303000,16.161887
2016-03-17,16.059999,16.40,15.96,16.34,251200,16.092946
