Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,66.769997,67.290001,66.470001,67.290001,15600,67.290001
2016-11-30,67.419998,67.419998,66.669998,66.769997,10200,66.769997
2016-11-29,67.32,67.32,66.830002,66.989998,6100,66.989998
2016-11-28,67.040001,67.080002,66.800003,67.059998,10900,67.059998
2016-11-25,66.370003,66.879997,66.120003,66.870003,4000,66.870003
2016-11-23,66.220001,66.50,66.129997,66.459999,11100,66.459999
2016-11-22,65.699997,66.050003,65.699997,66.050003,13200,66.050003
2016-11-21,65.489998,65.830002,65.489998,65.620003,14800,65.620003
2016-11-18,64.82,65.150002,64.400002,65.150002,23100,65.150002
2016-11-17,62.650002,64.75,62.59,64.519997,69900,64.519997
2016-11-16,62.529999,62.799999,62.529999,62.75,9700,62.75
2016-11-15,62.34,62.580002,62.25,62.439999,12900,62.439999
2016-11-14,61.50,62.470001,61.299999,62.200001,10800,62.200001
2016-11-11,60.419998,61.439999,60.279999,61.41,30900,61.41
2016-11-10,60.00,60.25,59.330002,60.009998,24600,60.009998
2016-11-09,57.849998,59.549999,57.849998,59.049999,11600,59.049999
2016-11-08,58.139999,58.619999,58.099998,58.43,5800,58.43
2016-11-07,58.459999,58.459999,57.790001,58.41,8500,58.41
2016-11-04,57.43,57.779999,56.52,57.560001,13000,57.560001
2016-11-03,56.77,57.349998,56.77,57.259998,10100,57.259998
2016-11-02,55.150002,57.169998,55.150002,56.82,10900,56.82
2016-11-01,56.650002,56.650002,55.00,55.209999,6200,55.209999
2016-10-31,56.470001,56.779999,56.02,56.27,9000,56.27
2016-10-28,56.599998,56.970001,56.169998,56.560001,10300,56.560001
2016-10-27,56.689999,57.290001,56.349998,56.360001,9200,56.360001
2016-10-26,57.32,57.900002,57.049999,57.540001,7300,56.54
2016-10-25,57.48,57.639999,56.810001,57.259998,40400,56.264864
2016-10-24,56.91,57.389999,56.91,57.16,8700,56.166603
2016-10-21,56.299999,57.240002,56.299999,56.650002,9600,55.665468
2016-10-20,58.650002,59.169998,56.310001,56.50,14100,55.518074
2016-10-19,56.09,57.50,56.09,57.099998,5500,56.107645
2016-10-18,55.720001,56.380001,55.639999,55.889999,6700,54.918675
2016-10-17,56.50,56.50,55.110001,55.41,7600,54.447017
2016-10-14,57.860001,58.07,56.450001,56.459999,9600,55.478768
2016-10-13,58.009998,58.299999,57.59,57.599998,5500,56.598955
2016-10-12,58.470001,58.73,58.209999,58.439999,3900,57.424357
2016-10-11,58.610001,58.75,58.200001,58.32,6100,57.306443
2016-10-10,58.700001,58.950001,58.689999,58.790001,8300,57.768276
2016-10-07,58.779999,58.889999,58.23,58.630001,8600,57.611057
2016-10-06,58.73,58.880001,58.720001,58.75,4600,57.728971
2016-10-05,59.040001,59.040001,58.50,58.630001,5300,57.611057
2016-10-04,58.73,58.91,58.049999,58.27,6400,57.257313
2016-10-03,58.68,58.93,58.00,58.82,12400,57.797754
2016-09-30,58.740002,59.02,58.490002,58.939999,12300,57.915667
2016-09-29,58.73,58.990002,58.560001,58.66,4300,57.640535
2016-09-28,58.330002,58.48,57.84,58.299999,6200,57.28679
2016-09-27,57.549999,58.490002,57.400002,58.299999,4900,57.28679
2016-09-26,58.540001,58.790001,57.279999,57.369999,8200,56.372953
2016-09-23,58.990002,58.990002,57.630001,58.540001,5200,57.522621
2016-09-22,58.740002,59.27,58.07,59.139999,5800,58.112192
2016-09-21,59.139999,59.139999,58.25,58.32,6000,57.306443
2016-09-20,59.00,59.25,58.82,58.82,26600,57.797754
2016-09-19,59.189999,59.50,58.990002,59.169998,8500,58.141669
2016-09-16,58.759998,59.25,58.759998,59.25,19200,58.220281
2016-09-15,58.439999,58.75,58.169998,58.610001,6500,57.591404
2016-09-14,57.18,58.889999,57.18,58.349998,9000,57.335921
2016-09-13,58.50,59.110001,58.389999,58.389999,8100,57.375226
2016-09-12,59.110001,59.110001,58.540001,58.959999,8000,57.93532
2016-09-09,59.50,59.669998,58.580002,59.02,15500,57.994279
2016-09-08,59.23,59.400002,58.720001,59.130001,5700,58.102368
2016-09-07,60.02,60.02,58.369999,59.619999,8000,58.58385
2016-09-06,59.849998,60.48,59.049999,59.869999,14000,58.829505
2016-09-02,58.50,59.799999,58.490002,59.700001,19800,58.662461
2016-09-01,58.040001,58.689999,57.810001,58.259998,14600,57.247485
2016-08-31,58.049999,58.369999,57.52,58.049999,20200,57.041135
2016-08-30,57.970001,58.110001,57.830002,57.970001,11100,56.962528
2016-08-29,58.029999,58.029999,57.66,57.880001,16300,56.874092
2016-08-26,57.849998,58.00,57.349998,57.790001,11300,56.785656
2016-08-25,57.779999,58.00,57.580002,57.849998,7700,56.84461
2016-08-24,58.16,58.27,57.82,57.91,9200,56.903569
2016-08-23,58.23,58.23,57.389999,58.150002,5300,57.1394
2016-08-22,58.349998,58.41,57.349998,58.23,12300,57.218007
2016-08-19,57.849998,58.73,57.439999,58.279999,13700,57.267138
2016-08-18,57.34,57.790001,57.200001,57.790001,5000,56.785656
2016-08-17,56.740002,57.389999,56.360001,57.360001,4500,56.363128
2016-08-16,56.450001,57.290001,56.389999,56.759998,5300,55.773554
2016-08-15,58.009998,58.009998,56.580002,56.880001,18900,55.891471
2016-08-12,57.41,58.259998,57.41,58.209999,6400,57.198354
2016-08-11,57.689999,58.52,57.619999,58.349998,8900,57.335921
2016-08-10,57.91,58.16,57.799999,57.799999,3600,56.79548
2016-08-09,56.900002,58.490002,56.900002,58.43,6400,57.414532
2016-08-08,58.080002,58.50,57.599998,58.470001,12500,57.453838
2016-08-05,57.610001,58.50,57.330002,58.00,16100,56.992005
2016-08-04,57.939999,58.00,57.369999,57.459999,4600,56.461389
2016-08-03,57.310001,57.779999,57.310001,57.50,4300,56.500695
2016-08-02,57.389999,58.919998,56.75,57.48,19600,56.481042
2016-08-01,57.009998,57.419998,56.369999,57.189999,15300,56.196081
2016-07-29,57.32,57.349998,56.299999,57.040001,14400,56.04869
2016-07-28,57.860001,57.860001,57.040001,57.389999,14100,56.392606
2016-07-27,58.990002,59.220001,58.669998,58.860001,57800,56.85444
2016-07-26,58.290001,58.799999,57.810001,58.720001,16800,56.71921
2016-07-25,57.639999,58.75,57.029999,57.790001,19500,55.820898
2016-07-22,57.580002,58.32,56.82,57.98,5600,56.004423
2016-07-21,55.490002,59.82,55.490002,57.610001,67000,55.647031
2016-07-20,53.68,55.93,53.68,54.73,39500,52.865162
2016-07-19,55.860001,56.23,52.50,53.529999,24200,51.706049
2016-07-18,57.759998,59.080002,55.59,55.900002,22700,53.995298
2016-07-15,58.990002,59.029999,57.360001,58.060001,13100,56.081699
2016-07-14,59.00,59.50,58.50,58.779999,14400,56.777164
2016-07-13,58.950001,58.950001,57.849998,58.779999,6200,56.777164
2016-07-12,57.779999,58.880001,57.18,58.860001,9900,56.85444
2016-07-11,57.790001,57.790001,56.549999,57.549999,13400,55.589074
2016-07-08,57.849998,58.130001,57.310001,57.630001,28200,55.66635
2016-07-07,58.419998,58.98,57.34,57.34,13900,55.386231
2016-07-06,58.189999,58.970001,57.080002,58.389999,5500,56.400453
2016-07-05,58.52,59.00,58.400002,58.52,24400,56.526024
2016-07-01,58.880001,58.880001,57.400002,58.75,4600,56.748187
2016-06-30,58.799999,58.799999,58.50,58.650002,10500,56.651596
2016-06-29,57.369999,58.50,57.369999,58.450001,13100,56.45841
2016-06-28,58.82,58.82,56.599998,56.98,11900,55.038497
2016-06-27,57.459999,58.470001,56.040001,57.98,27200,56.004423
2016-06-24,56.41,58.240002,54.580002,58.220001,18800,56.236247
2016-06-23,58.459999,58.57,58.119999,58.380001,10900,56.390795
2016-06-22,58.18,58.560001,57.52,57.52,7800,55.560098
2016-06-21,57.810001,58.099998,57.619999,57.880001,5900,55.907832
2016-06-20,58.240002,58.240002,56.939999,57.98,7400,56.004423
2016-06-17,57.009998,57.759998,55.299999,57.240002,15500,55.289639
2016-06-16,56.790001,57.310001,55.610001,56.82,5000,54.883948
2016-06-15,54.779999,58.00,54.779999,57.299999,35900,55.347593
2016-06-14,55.23,55.299999,53.209999,54.50,4600,52.642999
2016-06-13,55.349998,55.880001,55.029999,55.27,5500,53.386763
2016-06-10,56.150002,56.77,55.200001,55.549999,41300,53.657221
2016-06-09,57.470001,57.77,55.50,56.34,14200,54.420304
2016-06-08,56.459999,57.509998,56.450001,57.09,15300,55.144749
2016-06-07,57.200001,57.75,56.419998,56.610001,4500,54.681105
2016-06-06,56.439999,57.50,55.50,57.299999,6600,55.347593
2016-06-03,56.459999,56.689999,55.919998,56.400002,4800,54.478261
2016-06-02,56.27,56.900002,56.27,56.50,4700,54.574852
2016-06-01,56.060001,56.700001,55.810001,56.689999,3300,54.758377
2016-05-31,56.73,56.93,55.779999,56.470001,9400,54.545876
2016-05-27,55.459999,56.849998,55.459999,56.709999,5400,54.777696
2016-05-26,57.740002,57.740002,56.25,56.450001,3900,54.526557
2016-05-25,56.93,58.25,56.93,57.810001,16100,55.840217
2016-05-24,56.290001,57.240002,56.169998,56.889999,11600,54.951563
2016-05-23,56.00,56.200001,55.00,55.799999,17200,53.898703
2016-05-20,52.669998,56.240002,52.669998,55.720001,11500,53.821431
2016-05-19,53.119999,53.290001,52.200001,52.349998,6300,50.566255
2016-05-18,54.07,54.09,52.16,53.549999,13600,51.725368
2016-05-17,56.32,56.32,54.00,54.02,11100,52.179355
2016-05-16,56.400002,56.869999,56.150002,56.490002,6200,54.565195
2016-05-13,56.650002,57.00,56.09,56.470001,6800,54.545876
2016-05-12,56.130001,56.93,56.080002,56.43,6400,54.507238
2016-05-11,57.490002,57.509998,56.720001,56.950001,10200,54.043592
2016-05-10,57.669998,57.84,56.959999,57.59,8600,54.65093
2016-05-09,57.849998,58.380001,57.41,57.41,7500,54.480115
2016-05-06,57.450001,58.389999,56.970001,58.16,10400,55.19184
2016-05-05,56.25,58.25,56.02,57.459999,7700,54.527563
2016-05-04,56.09,57.040001,56.09,56.279999,4600,53.407783
2016-05-03,56.450001,56.880001,56.349998,56.419998,3800,53.540638
2016-05-02,56.439999,57.040001,56.16,56.790001,5600,53.891758
2016-04-29,58.200001,58.200001,55.82,57.380001,11200,54.451648
2016-04-28,58.75,58.75,57.860001,58.119999,23200,55.15388
2016-04-27,59.00,59.00,58.00,58.700001,5900,55.704282
2016-04-26,58.290001,58.880001,58.290001,58.869999,5800,55.865604
2016-04-25,58.59,58.700001,58.00,58.009998,4600,55.049493
2016-04-22,58.68,58.880001,58.009998,58.459999,3400,55.476529
2016-04-21,58.66,58.880001,57.759998,58.470001,14000,55.48602
2016-04-20,58.599998,58.779999,57.950001,58.759998,10300,55.761218
2016-04-19,58.470001,59.369999,57.529999,58.540001,11000,55.552448
2016-04-18,57.82,58.330002,57.740002,58.139999,5800,55.17286
2016-04-15,57.639999,57.970001,57.32,57.73,5900,54.783784
2016-04-14,57.810001,58.00,57.50,57.970001,4900,55.011538
2016-04-13,56.91,58.740002,56.060001,57.98,13900,55.021026
2016-04-12,56.799999,57.66,56.200001,56.470001,5500,53.588089
2016-04-11,56.619999,57.740002,56.060001,56.400002,3900,53.521662
2016-04-08,56.299999,58.189999,56.299999,56.419998,6800,53.540638
2016-04-07,56.07,56.27,56.07,56.200001,2400,53.331868
2016-04-06,56.290001,56.50,54.450001,56.459999,15400,53.578597
2016-04-05,56.060001,57.16,55.810001,56.130001,11200,53.265441
2016-04-04,56.439999,57.240002,56.040001,56.040001,8800,53.180034
2016-04-01,56.009998,56.860001,56.00,56.540001,7000,53.654516
2016-03-31,56.84,57.869999,56.23,56.529999,12200,53.645025
2016-03-30,57.00,57.639999,55.700001,56.810001,11300,53.910738
2016-03-29,55.02,57.00,54.919998,56.990002,21700,54.081552
2016-03-28,55.049999,56.23,54.900002,55.080002,12600,52.269027
2016-03-24,55.509998,56.849998,54.490002,54.880001,7200,52.079234
2016-03-23,55.650002,56.150002,55.52,55.560001,10700,52.724531
2016-03-22,55.110001,56.00,55.110001,55.790001,8300,52.942792
2016-03-21,55.360001,56.060001,55.259998,55.459999,11600,52.629632
2016-03-18,55.25,55.48,54.790001,55.470001,20600,52.639123
2016-03-17,54.349998,55.16,54.099998,54.939999,11700,52.136169
2016-03-16,53.830002,54.98,53.630001,54.400002,8400,51.623731
2016-03-15,54.009998,55.169998,53.34,53.830002,4200,51.08282
2016-03-14,54.00,55.25,53.610001,54.169998,10200,51.405465
2016-03-11,54.580002,55.299999,53.91,54.439999,7800,51.661686
2016-03-10,55.00,55.220001,54.00,54.060001,9100,51.301082
2016-03-09,54.00,54.959999,53.959999,54.939999,9800,52.136169
2016-03-08,54.18,54.279999,53.200001,53.849998,11200,51.101797
2016-03-07,53.75,53.75,52.509998,52.799999,10000,50.105383
2016-03-04,53.419998,54.799999,53.25,53.439999,17700,50.712721
2016-03-03,52.50,54.00,52.50,53.509998,16200,50.779148
2016-03-02,51.50,52.950001,51.50,52.540001,18600,49.858654
2016-03-01,51.099998,51.759998,50.880001,51.450001,13700,48.824281
