Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,18.27,18.370001,18.15,18.219999,649700,18.219999
2016-11-30,18.360001,18.440001,18.110001,18.17,509000,18.17
2016-11-29,18.25,18.379999,18.15,18.18,530400,18.18
2016-11-28,18.280001,18.32,18.10,18.16,581000,18.16
2016-11-25,18.24,18.379999,18.23,18.370001,222400,18.370001
2016-11-23,18.25,18.290001,18.07,18.25,523700,18.25
2016-11-22,17.889999,18.219999,17.83,18.200001,473800,18.200001
2016-11-21,18.00,18.01,17.77,17.85,609500,17.85
2016-11-18,17.959999,18.10,17.91,18.040001,682300,18.040001
2016-11-17,17.92,17.99,17.799999,17.959999,594300,17.959999
2016-11-16,17.889999,17.969999,17.73,17.790001,568500,17.790001
2016-11-15,17.799999,17.959999,17.549999,17.889999,634200,17.889999
2016-11-14,17.620001,18.15,17.15,17.860001,893100,17.860001
2016-11-11,17.08,17.65,17.08,17.610001,931800,17.610001
2016-11-10,16.66,17.15,16.58,17.08,1026100,17.08
2016-11-09,15.86,16.620001,15.82,16.57,783800,16.57
2016-11-08,15.78,15.88,15.75,15.81,288200,15.81
2016-11-07,15.80,15.87,15.71,15.85,407900,15.85
2016-11-04,15.48,15.69,15.44,15.57,492300,15.57
2016-11-03,15.46,15.54,15.40,15.51,413000,15.51
2016-11-02,15.46,15.49,15.35,15.39,312200,15.39
2016-11-01,15.58,15.60,15.41,15.52,614100,15.52
2016-10-31,15.60,15.79,15.45,15.74,891700,15.589999
2016-10-28,15.67,15.74,15.44,15.51,391600,15.362192
2016-10-27,15.79,15.86,15.66,15.71,526600,15.560285
2016-10-26,15.63,15.75,15.59,15.75,556500,15.599904
2016-10-25,15.50,15.64,15.50,15.62,448200,15.471143
2016-10-24,15.70,15.89,15.50,15.58,792300,15.431524
2016-10-21,15.66,15.72,15.58,15.58,405000,15.431524
2016-10-20,15.79,15.85,15.65,15.76,295200,15.609809
2016-10-19,15.59,15.95,15.56,15.78,481600,15.629618
2016-10-18,15.64,15.64,15.55,15.60,407200,15.451334
2016-10-17,15.50,15.66,15.48,15.50,577200,15.352287
2016-10-14,15.43,15.51,15.37,15.44,469300,15.292858
2016-10-13,15.50,15.52,15.26,15.34,490600,15.193812
2016-10-12,15.51,15.63,15.51,15.54,255700,15.391905
2016-10-11,15.72,15.79,15.51,15.53,407100,15.382001
2016-10-10,15.60,15.80,15.60,15.71,359200,15.560285
2016-10-07,15.70,15.70,15.50,15.63,492000,15.481048
2016-10-06,15.72,15.75,15.56,15.70,325000,15.550381
2016-10-05,15.67,15.79,15.65,15.69,531900,15.540476
2016-10-04,15.67,15.70,15.47,15.59,451200,15.441429
2016-10-03,15.63,15.74,15.59,15.67,424500,15.520667
2016-09-30,15.50,15.75,15.50,15.71,535300,15.560285
2016-09-29,15.72,15.74,15.46,15.47,488700,15.322573
2016-09-28,15.69,15.72,15.54,15.68,481200,15.530572
2016-09-27,15.55,15.64,15.46,15.63,698500,15.481048
2016-09-26,15.63,15.75,15.56,15.56,1033200,15.411715
2016-09-23,15.69,15.73,15.62,15.64,302500,15.490953
2016-09-22,15.55,15.70,15.54,15.69,566800,15.540476
2016-09-21,15.47,15.52,15.41,15.51,378100,15.362192
2016-09-20,15.43,15.49,15.40,15.40,226100,15.253239
2016-09-19,15.33,15.46,15.31,15.38,268200,15.23343
2016-09-16,15.32,15.39,15.15,15.32,783100,15.174002
2016-09-15,15.22,15.30,15.15,15.28,227000,15.134383
2016-09-14,15.44,15.49,15.19,15.20,346800,15.055146
2016-09-13,15.46,15.54,15.37,15.47,635100,15.322573
2016-09-12,15.33,15.50,15.24,15.50,329100,15.352287
2016-09-09,15.55,15.60,15.41,15.42,299300,15.273049
2016-09-08,15.67,15.69,15.55,15.58,309400,15.431524
2016-09-07,15.52,15.65,15.48,15.64,335200,15.490953
2016-09-06,15.50,15.58,15.43,15.50,405400,15.352287
2016-09-02,15.52,15.60,15.40,15.56,355200,15.411715
2016-09-01,15.55,15.55,15.34,15.47,340800,15.322573
2016-08-31,15.50,15.54,15.39,15.52,443600,15.372097
2016-08-30,15.40,15.50,15.38,15.50,251100,15.352287
2016-08-29,15.31,15.41,15.25,15.37,245400,15.223525
2016-08-26,15.39,15.45,15.29,15.34,519300,15.193812
2016-08-25,15.25,15.36,15.21,15.36,572500,15.213621
2016-08-24,15.27,15.32,15.23,15.31,270100,15.164098
2016-08-23,15.28,15.35,15.25,15.28,198800,15.134383
2016-08-22,15.19,15.30,15.07,15.28,320000,15.134383
2016-08-19,15.18,15.29,15.14,15.26,585000,15.114574
2016-08-18,15.13,15.20,15.06,15.19,491000,15.045241
2016-08-17,15.05,15.09,14.95,15.08,307200,14.936289
2016-08-16,15.03,15.19,14.98,15.05,277000,14.906575
2016-08-15,15.12,15.19,14.95,15.12,331600,14.975908
2016-08-12,15.10,15.10,14.97,15.06,259500,14.91648
2016-08-11,15.11,15.21,15.08,15.14,354400,14.995718
2016-08-10,15.15,15.20,15.05,15.09,402800,14.946194
2016-08-09,15.12,15.19,15.10,15.14,283800,14.995718
2016-08-08,15.10,15.12,15.02,15.08,389100,14.936289
2016-08-05,14.89,15.18,14.85,15.10,677200,14.956099
2016-08-04,14.78,14.89,14.78,14.84,399800,14.698577
2016-08-03,14.72,14.83,14.65,14.81,407500,14.668863
2016-08-02,14.73,14.84,14.65,14.68,370200,14.540102
2016-08-01,15.00,15.09,14.85,14.90,466000,14.609434
2016-07-29,14.87,15.03,14.86,14.91,520800,14.619239
2016-07-28,14.83,14.98,14.77,14.93,354200,14.63885
2016-07-27,14.94,14.94,14.81,14.87,606800,14.58002
2016-07-26,15.10,15.10,14.88,14.99,422400,14.697679
2016-07-25,15.02,15.08,14.93,14.97,459900,14.67807
2016-07-22,14.92,15.10,14.82,15.08,261600,14.785924
2016-07-21,14.90,14.96,14.82,14.89,260700,14.59963
2016-07-20,15.06,15.11,14.91,14.97,402100,14.67807
2016-07-19,15.00,15.15,14.97,15.03,278600,14.736899
2016-07-18,15.08,15.16,15.06,15.07,230300,14.776119
2016-07-15,15.12,15.16,15.02,15.12,381800,14.825144
2016-07-14,15.15,15.22,15.00,15.02,437100,14.727095
2016-07-13,15.10,15.14,15.02,15.09,392100,14.79573
2016-07-12,15.00,15.15,15.00,15.10,758300,14.805535
2016-07-11,14.82,14.98,14.80,14.96,559800,14.668265
2016-07-08,14.80,14.89,14.77,14.81,466800,14.52119
2016-07-07,14.68,14.82,14.59,14.69,373900,14.403529
2016-07-06,14.53,14.69,14.47,14.64,415600,14.354505
2016-07-05,14.58,14.64,14.48,14.57,920200,14.28587
2016-07-01,14.78,14.81,14.63,14.69,781300,14.403529
2016-06-30,14.34,14.83,14.31,14.83,806800,14.5408
2016-06-29,14.31,14.33,14.16,14.32,452300,14.040745
2016-06-28,14.14,14.36,13.99,14.18,603300,13.903476
2016-06-27,14.08,14.10,13.91,13.96,798200,13.687766
2016-06-24,14.05,14.52,14.05,14.21,1153100,13.93289
2016-06-23,14.65,14.78,14.63,14.78,438900,14.491775
2016-06-22,14.46,14.62,14.46,14.49,384400,14.20743
2016-06-21,14.36,14.49,14.25,14.43,404500,14.1486
2016-06-20,14.26,14.49,14.26,14.36,352000,14.079965
2016-06-17,14.24,14.33,14.06,14.12,1190300,13.844645
2016-06-16,14.21,14.27,14.12,14.22,359300,13.942696
2016-06-15,14.34,14.44,14.28,14.29,319700,14.01133
2016-06-14,14.42,14.53,14.28,14.32,374600,14.040745
2016-06-13,14.62,14.66,14.43,14.49,497000,14.20743
2016-06-10,14.68,14.72,14.56,14.70,434200,14.413335
2016-06-09,14.78,14.79,14.64,14.74,457000,14.452555
2016-06-08,14.77,14.86,14.69,14.83,353500,14.5408
2016-06-07,14.81,14.84,14.68,14.77,370800,14.48197
2016-06-06,14.67,14.82,14.67,14.77,399300,14.48197
2016-06-03,14.73,14.73,14.42,14.66,507200,14.374115
2016-06-02,14.77,14.82,14.57,14.82,612700,14.530994
2016-06-01,14.76,14.89,14.65,14.87,609400,14.58002
2016-05-31,14.79,14.84,14.71,14.81,741600,14.52119
2016-05-27,14.71,14.79,14.67,14.79,442900,14.50158
2016-05-26,14.80,14.88,14.69,14.71,477700,14.42314
2016-05-25,14.73,14.87,14.70,14.77,488600,14.48197
2016-05-24,14.51,14.75,14.36,14.74,668400,14.452555
2016-05-23,14.51,14.53,14.44,14.50,326600,14.217235
2016-05-20,14.39,14.54,14.39,14.50,503100,14.217235
2016-05-19,14.43,14.52,14.28,14.38,409400,14.099575
2016-05-18,14.10,14.52,14.07,14.51,517400,14.22704
2016-05-17,14.46,14.48,14.09,14.15,653000,13.87406
2016-05-16,14.24,14.53,14.10,14.48,949400,14.197625
2016-05-13,14.26,14.39,14.11,14.17,384200,13.89367
2016-05-12,14.26,14.36,14.16,14.28,527400,14.001525
2016-05-11,14.27,14.40,14.18,14.21,610600,13.93289
2016-05-10,14.05,14.30,14.02,14.26,604600,13.981916
2016-05-09,14.00,14.09,13.92,14.00,450000,13.726986
2016-05-06,13.83,14.04,13.83,14.03,597400,13.7564
2016-05-05,14.00,14.11,13.94,13.96,597900,13.687766
2016-05-04,13.84,14.02,13.76,13.95,616500,13.67796
2016-05-03,13.77,13.99,13.67,13.97,883200,13.697571
2016-05-02,14.13,14.19,13.98,14.10,734400,13.825036
2016-04-29,13.85,14.07,13.63,14.02,1231600,13.746596
2016-04-28,13.41,13.67,13.40,13.59,665500,13.324981
2016-04-27,13.82,13.86,13.53,13.66,556700,13.246541
2016-04-26,13.75,13.87,13.68,13.83,440900,13.411396
2016-04-25,13.56,13.81,13.50,13.67,538800,13.256239
2016-04-22,13.57,13.72,13.57,13.63,507300,13.21745
2016-04-21,13.71,13.81,13.52,13.55,541000,13.139871
2016-04-20,13.69,13.74,13.63,13.72,441300,13.304726
2016-04-19,13.78,13.78,13.65,13.72,409500,13.304726
2016-04-18,13.67,13.75,13.58,13.69,540200,13.275633
2016-04-15,13.68,13.81,13.65,13.73,392200,13.314422
2016-04-14,13.68,13.87,13.51,13.72,422100,13.304726
2016-04-13,13.50,13.75,13.48,13.75,578700,13.333817
2016-04-12,13.37,13.46,13.32,13.42,400800,13.013806
2016-04-11,13.16,13.46,13.16,13.37,475200,12.965319
2016-04-08,13.20,13.37,13.18,13.26,362100,12.858649
2016-04-07,13.37,13.38,13.09,13.15,567700,12.751978
2016-04-06,13.43,13.51,13.33,13.48,352900,13.071989
2016-04-05,13.55,13.62,13.41,13.41,498400,13.004108
2016-04-04,13.66,13.68,13.55,13.63,460200,13.21745
2016-04-01,13.53,13.67,13.42,13.62,507200,13.207752
2016-03-31,13.60,13.69,13.51,13.51,652100,13.101082
2016-03-30,13.60,13.71,13.58,13.64,458400,13.227147
2016-03-29,13.33,13.59,13.20,13.59,539700,13.17866
2016-03-28,13.38,13.48,13.33,13.39,586900,12.984714
2016-03-24,13.26,13.38,13.17,13.38,420200,12.975016
2016-03-23,13.39,13.49,13.31,13.31,585400,12.907136
2016-03-22,13.34,13.47,13.29,13.41,359300,13.004108
2016-03-21,13.57,13.67,13.27,13.43,660900,13.023503
2016-03-18,13.51,13.65,13.40,13.57,1136100,13.159265
2016-03-17,13.15,13.50,13.06,13.46,673700,13.052595
2016-03-16,13.16,13.30,13.14,13.22,354300,12.819859
2016-03-15,13.13,13.30,13.07,13.21,359900,12.810162
2016-03-14,13.27,13.33,13.19,13.24,366700,12.839254
2016-03-11,13.14,13.29,13.12,13.28,297500,12.878043
2016-03-10,13.12,13.20,12.93,13.08,492700,12.684097
2016-03-09,13.21,13.24,13.04,13.10,284300,12.703492
2016-03-08,13.11,13.30,13.09,13.15,457500,12.751978
2016-03-07,13.10,13.26,13.06,13.22,473400,12.819859
2016-03-04,13.06,13.19,12.76,13.14,470400,12.742281
2016-03-03,12.89,13.05,12.86,13.04,602600,12.645307
2016-03-02,12.90,12.94,12.76,12.94,418700,12.548334
2016-03-01,12.63,12.94,12.59,12.91,600800,12.519242
2016-02-29,12.73,12.77,12.58,12.59,457000,12.208928
2016-02-26,12.70,12.78,12.62,12.73,433500,12.34469
2016-02-25,12.44,12.69,12.44,12.67,323400,12.286507
2016-02-24,12.27,12.49,12.23,12.45,421100,12.073165
2016-02-23,12.44,12.61,12.38,12.40,382600,12.024678
2016-02-22,12.59,12.67,12.46,12.49,557700,12.111955
2016-02-19,12.39,12.59,12.36,12.47,569000,12.09256
2016-02-18,12.40,12.48,12.30,12.39,631200,12.014982
2016-02-17,12.41,12.56,12.32,12.34,533900,11.966495
2016-02-16,12.21,12.39,12.09,12.30,518500,11.927706
2016-02-12,11.96,12.13,11.93,12.10,857200,11.73376
2016-02-11,11.93,12.00,11.78,11.87,479000,11.510721
2016-02-10,12.15,12.29,12.06,12.07,584600,11.704667
2016-02-09,12.08,12.21,12.06,12.10,477100,11.73376
2016-02-08,12.00,12.24,11.87,12.18,652800,11.811338
2016-02-05,12.13,12.28,12.05,12.05,734200,11.685273
2016-02-04,12.10,12.29,11.91,12.06,439400,11.69497
2016-02-03,12.17,12.24,11.92,12.11,739800,11.743456
2016-02-02,12.16,12.25,11.96,12.05,482100,11.685273
2016-02-01,12.53,12.56,12.35,12.43,681400,11.908311
2016-01-29,12.59,12.59,12.43,12.57,1059300,12.042434
2016-01-28,12.57,12.65,12.51,12.56,680000,12.032855
2016-01-27,12.36,12.60,12.35,12.47,1371600,11.946632
2016-01-26,11.87,12.42,11.87,12.42,1269200,11.89873
2016-01-25,12.16,12.16,11.82,11.84,632600,11.343073
2016-01-22,12.14,12.22,12.00,12.18,550500,11.668803
2016-01-21,12.26,12.28,12.02,12.03,509200,11.525098
2016-01-20,12.06,12.35,11.99,12.26,640500,11.745446
2016-01-19,12.40,12.50,12.19,12.28,536600,11.764606
2016-01-15,12.05,12.29,12.01,12.29,801500,11.774186
2016-01-14,12.39,12.52,12.33,12.34,649000,11.822088
2016-01-13,12.73,12.97,12.32,12.38,552000,11.860409
2016-01-12,12.78,12.97,12.58,12.72,495800,12.186139
2016-01-11,12.67,12.80,12.61,12.71,412200,12.176559
2016-01-08,12.96,13.09,12.65,12.66,585400,12.128657
2016-01-07,12.93,13.04,12.86,12.90,593600,12.358584
2016-01-06,13.03,13.17,13.03,13.08,504800,12.53103
2016-01-05,13.11,13.24,13.10,13.17,524900,12.617253
2016-01-04,13.23,13.33,13.05,13.10,694100,12.550191
2015-12-31,13.56,13.62,13.39,13.39,383400,12.828019
2015-12-30,13.76,13.76,13.48,13.64,319100,13.067527
2015-12-29,13.61,13.76,13.52,13.76,352000,13.18249
2015-12-28,13.51,13.61,13.43,13.55,286900,12.981304
2015-12-24,13.55,13.61,13.45,13.55,186100,12.981304
2015-12-23,13.36,13.54,13.30,13.52,430100,12.952563
2015-12-22,13.34,13.37,13.13,13.33,366000,12.770537
2015-12-21,13.24,13.32,13.15,13.29,449000,12.732216
2015-12-18,13.47,13.51,13.13,13.15,1942900,12.598092
2015-12-17,13.68,13.80,13.50,13.52,524000,12.952563
2015-12-16,13.62,13.71,13.46,13.66,488800,13.086687
2015-12-15,13.43,13.68,13.31,13.59,544200,13.019625
2015-12-14,13.29,13.42,13.20,13.31,560600,12.751377
2015-12-11,13.30,13.51,13.26,13.32,562400,12.760957
2015-12-10,13.41,13.53,13.37,13.48,396000,12.914241
2015-12-09,13.55,13.61,13.37,13.42,460000,12.85676
2015-12-08,13.70,13.77,13.52,13.55,478300,12.981304
2015-12-07,13.89,13.89,13.68,13.76,510500,13.18249
2015-12-04,13.73,13.92,13.69,13.87,460600,13.287873
2015-12-03,13.95,13.99,13.71,13.73,409000,13.153749
2015-12-02,13.99,14.07,13.85,13.86,483200,13.278293
2015-12-01,14.04,14.11,13.87,13.98,484600,13.393256
2015-11-30,13.94,14.06,13.86,13.94,494900,13.354935
2015-11-27,13.90,13.96,13.85,13.92,119600,13.335775
2015-11-25,13.83,13.92,13.78,13.90,395200,13.316614
2015-11-24,13.80,13.85,13.69,13.84,507800,13.259133
