Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,33.75,33.75,32.049999,32.50,3200,32.50
2016-11-30,32.650002,34.50,32.650002,34.50,7600,34.50
2016-11-29,33.00,33.200001,32.25,32.50,4800,32.50
2016-11-28,33.419998,33.759998,32.25,33.720001,1400,33.720001
2016-11-25,32.919998,33.75,32.700001,33.41,20200,33.41
2016-11-23,31.799999,32.639999,31.799999,32.18,3200,32.18
2016-11-22,30.25,32.990002,30.25,32.98,4500,32.98
2016-11-21,30.200001,31.42,29.73,31.40,5400,31.40
2016-11-18,30.00,30.26,30.00,30.26,2400,30.26
2016-11-17,30.00,30.10,30.00,30.10,1700,30.10
2016-11-16,29.459999,29.75,29.35,29.60,23000,29.60
2016-11-15,28.700001,29.129999,28.700001,29.129999,400,29.129999
2016-11-14,28.65,29.139999,28.65,29.00,500,29.00
2016-11-11,28.76,29.40,28.65,29.40,1000,29.40
2016-11-10,29.200001,29.690001,28.709999,29.10,2900,29.10
2016-11-09,29.25,29.25,29.17,29.17,900,29.17
2016-11-08,29.35,29.35,29.35,29.35,000,29.35
2016-11-07,29.35,29.35,29.35,29.35,100,29.35
2016-11-04,29.35,29.51,29.35,29.51,700,29.51
2016-11-03,29.35,29.51,28.780001,29.50,3700,29.50
2016-11-02,29.40,29.40,29.40,29.40,000,29.40
2016-11-01,29.49,29.49,28.76,29.40,1600,29.40
2016-10-31,29.00,29.50,29.00,29.040001,1000,29.040001
2016-10-28,29.09,29.09,29.049999,29.049999,1900,29.049999
2016-10-27,28.50,29.48,28.50,29.219999,5100,29.219999
2016-10-26,28.92,28.92,28.92,28.92,100,28.92
2016-10-25,28.76,29.030001,28.690001,28.690001,2100,28.690001
2016-10-24,29.440001,29.440001,29.440001,29.440001,300,29.440001
2016-10-21,28.700001,29.299999,28.700001,29.18,800,29.18
2016-10-20,28.90,28.90,28.90,28.90,300,28.90
2016-10-19,28.790001,28.90,28.790001,28.90,2400,28.90
2016-10-18,28.93,28.940001,28.860001,28.860001,800,28.860001
2016-10-17,28.549999,28.799999,28.549999,28.549999,3300,28.549999
2016-10-14,28.99,28.99,28.50,28.530001,3700,28.530001
2016-10-13,28.75,28.75,28.75,28.75,000,28.75
2016-10-12,28.58,28.959999,28.549999,28.75,2500,28.75
2016-10-11,29.25,29.25,29.00,29.00,1100,28.689999
2016-10-10,29.219999,29.48,29.219999,29.48,700,29.164868
2016-10-07,29.07,29.07,29.07,29.07,300,28.759251
2016-10-06,29.40,29.50,29.40,29.41,600,29.095616
2016-10-05,29.32,29.75,29.32,29.610001,600,29.293479
2016-10-04,29.459999,29.459999,29.10,29.10,400,28.788931
2016-10-03,28.85,29.75,28.68,29.75,800,29.431982
2016-09-30,29.299999,29.299999,29.08,29.08,400,28.769144
2016-09-29,29.389999,29.389999,28.82,29.00,2900,28.689999
2016-09-28,29.040001,29.440001,29.030001,29.049999,900,28.739464
2016-09-27,29.00,29.00,29.00,29.00,1000,28.689999
2016-09-26,29.040001,29.040001,28.60,28.60,1700,28.294276
2016-09-23,29.379999,29.379999,29.379999,29.379999,000,29.065936
2016-09-22,29.049999,29.50,29.049999,29.379999,600,29.065936
2016-09-21,29.00,29.219999,29.00,29.219999,1100,28.907647
2016-09-20,29.15,29.15,29.049999,29.049999,300,28.739464
2016-09-19,29.00,29.65,29.00,29.00,4900,28.689999
2016-09-16,29.60,29.74,29.00,29.74,2000,29.422089
