Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,4.90,4.94,4.79,4.86,6438400,4.86
2016-11-30,4.88,4.94,4.82,4.87,8542100,4.87
2016-11-29,4.86,4.89,4.82,4.86,5900900,4.86
2016-11-28,4.90,4.92,4.81,4.84,7470300,4.84
2016-11-25,4.94,4.95,4.83,4.87,2117200,4.87
2016-11-23,4.79,4.93,4.77,4.90,5539600,4.90
2016-11-22,4.65,4.83,4.64,4.82,6527900,4.82
2016-11-21,4.70,4.72,4.51,4.63,8649400,4.605
2016-11-18,4.67,4.76,4.57,4.68,5780400,4.65473
2016-11-17,4.55,4.70,4.41,4.67,11019700,4.644784
2016-11-16,4.30,4.50,4.30,4.47,6125300,4.445864
2016-11-15,4.33,4.35,4.10,4.33,7308000,4.30662
2016-11-14,4.21,4.48,4.19,4.33,12318200,4.30662
2016-11-11,4.15,4.21,4.06,4.15,17772500,4.127592
2016-11-10,3.94,4.22,3.91,4.22,22840900,4.197214
2016-11-09,3.51,3.91,3.49,3.86,10056300,3.839157
2016-11-08,3.67,3.74,3.62,3.65,6591500,3.630292
2016-11-07,3.58,3.69,3.58,3.66,5959700,3.640238
2016-11-04,3.57,3.65,3.52,3.57,5858300,3.550723
2016-11-03,3.55,3.64,3.53,3.58,9763300,3.560669
2016-11-02,3.27,3.55,3.21,3.51,19721200,3.491047
2016-11-01,3.17,3.20,3.01,3.05,9336000,3.033531
2016-10-31,3.15,3.19,3.14,3.15,4249900,3.132991
2016-10-28,3.12,3.17,3.11,3.15,3680800,3.132991
2016-10-27,3.20,3.22,3.10,3.12,4693900,3.103153
2016-10-26,3.16,3.24,3.16,3.21,3254600,3.192667
2016-10-25,3.22,3.25,3.15,3.17,6116700,3.152883
2016-10-24,3.26,3.30,3.22,3.24,6076500,3.222505
2016-10-21,3.29,3.31,3.22,3.26,8909500,3.242397
2016-10-20,3.25,3.34,3.24,3.32,6391600,3.302073
2016-10-19,3.25,3.28,3.21,3.24,7912600,3.222505
2016-10-18,3.30,3.31,3.23,3.25,8670600,3.232451
2016-10-17,3.35,3.38,3.25,3.26,8494000,3.242397
2016-10-14,3.29,3.36,3.28,3.34,7494000,3.321965
2016-10-13,3.33,3.36,3.26,3.26,8917800,3.242397
2016-10-12,3.39,3.43,3.19,3.39,19281700,3.371696
2016-10-11,3.60,3.64,3.34,3.37,14864000,3.351803
2016-10-10,3.56,3.59,3.52,3.58,5239500,3.560669
2016-10-07,3.55,3.56,3.50,3.53,4934900,3.510939
2016-10-06,3.54,3.57,3.51,3.52,4936000,3.500993
2016-10-05,3.57,3.62,3.52,3.53,14619000,3.510939
2016-10-04,3.60,3.60,3.54,3.55,5497600,3.530831
2016-10-03,3.58,3.60,3.55,3.58,9840800,3.560669
2016-09-30,3.56,3.61,3.51,3.57,7883900,3.550723
2016-09-29,3.58,3.63,3.51,3.52,7991600,3.500993
2016-09-28,3.59,3.68,3.53,3.56,7941400,3.540777
2016-09-27,3.60,3.63,3.50,3.62,9850700,3.600453
2016-09-26,3.68,3.69,3.58,3.60,5746900,3.580561
2016-09-23,3.63,3.86,3.58,3.71,12004600,3.689968
2016-09-22,3.60,3.69,3.60,3.63,5336200,3.6104
2016-09-21,3.56,3.61,3.52,3.60,6214000,3.580561
2016-09-20,3.58,3.61,3.54,3.55,6559600,3.530831
2016-09-19,3.66,3.73,3.52,3.59,7102300,3.570615
2016-09-16,3.59,3.68,3.56,3.67,15330500,3.650184
2016-09-15,3.74,3.74,3.53,3.58,6031600,3.560669
2016-09-14,3.68,3.69,3.53,3.54,4641700,3.520885
2016-09-13,3.78,3.82,3.62,3.65,10455300,3.630292
2016-09-12,3.64,3.82,3.64,3.82,8413700,3.799374
2016-09-09,3.70,3.78,3.66,3.67,10561500,3.650184
2016-09-08,3.77,3.81,3.71,3.75,5288300,3.729752
2016-09-07,3.58,3.76,3.58,3.75,6262700,3.729752
2016-09-06,3.66,3.68,3.53,3.61,9442500,3.590507
2016-09-02,3.67,3.71,3.61,3.71,4165000,3.689968
2016-09-01,3.62,3.68,3.53,3.62,5356400,3.600453
2016-08-31,3.72,3.74,3.62,3.68,5923300,3.66013
2016-08-30,3.67,3.73,3.67,3.70,3397500,3.680022
2016-08-29,3.63,3.70,3.60,3.69,7004200,3.670076
2016-08-26,3.61,3.67,3.59,3.65,4715300,3.630292
2016-08-25,3.62,3.67,3.58,3.61,6161700,3.590507
2016-08-24,3.62,3.69,3.58,3.62,4356800,3.600453
2016-08-23,3.50,3.66,3.50,3.66,5272900,3.640238
2016-08-22,3.52,3.57,3.49,3.53,5145400,3.486074
2016-08-19,3.54,3.58,3.50,3.52,3723900,3.476199
2016-08-18,3.54,3.58,3.50,3.54,3868400,3.49595
2016-08-17,3.75,3.79,3.50,3.52,11047500,3.476199
2016-08-16,3.75,3.78,3.67,3.78,7040100,3.732964
2016-08-15,3.62,3.78,3.62,3.77,6740000,3.723088
2016-08-12,3.61,3.67,3.60,3.64,4921500,3.594706
2016-08-11,3.54,3.66,3.54,3.63,7992500,3.58483
2016-08-10,3.57,3.60,3.54,3.55,4842700,3.505826
2016-08-09,3.58,3.63,3.56,3.59,6866100,3.545328
2016-08-08,3.54,3.60,3.53,3.58,6050900,3.535452
2016-08-05,3.54,3.60,3.51,3.56,5817800,3.515701
2016-08-04,3.49,3.55,3.45,3.51,5575100,3.466323
2016-08-03,3.46,3.59,3.32,3.48,26964300,3.436697
2016-08-02,3.47,3.53,3.29,3.29,10175700,3.249061
2016-08-01,3.44,3.55,3.44,3.51,3782000,3.466323
2016-07-29,3.53,3.53,3.42,3.46,6355200,3.416946
2016-07-28,3.61,3.64,3.49,3.51,5035300,3.466323
2016-07-27,3.54,3.63,3.52,3.61,14561000,3.565079
2016-07-26,3.43,3.53,3.42,3.52,4719400,3.476199
2016-07-25,3.49,3.51,3.44,3.45,4640000,3.40707
2016-07-22,3.47,3.49,3.42,3.47,2501400,3.426821
2016-07-21,3.45,3.54,3.45,3.47,9341600,3.426821
2016-07-20,3.45,3.48,3.41,3.47,7662700,3.426821
2016-07-19,3.40,3.45,3.40,3.44,4679000,3.397194
2016-07-18,3.33,3.41,3.33,3.40,4178800,3.357692
2016-07-15,3.42,3.44,3.32,3.36,7743700,3.31819
2016-07-14,3.34,3.40,3.34,3.39,5177900,3.347817
2016-07-13,3.36,3.39,3.33,3.33,5768800,3.288563
2016-07-12,3.32,3.36,3.29,3.35,11488500,3.308314
2016-07-11,3.32,3.38,3.25,3.28,12256900,3.239185
2016-07-08,3.27,3.36,3.25,3.29,10345400,3.249061
2016-07-07,3.28,3.37,3.23,3.26,8851500,3.219434
2016-07-06,3.19,3.27,3.17,3.26,8128000,3.219434
2016-07-05,3.39,3.40,3.18,3.22,8403800,3.179932
2016-07-01,3.31,3.44,3.31,3.40,6006200,3.357692
2016-06-30,3.27,3.31,3.23,3.31,7495700,3.268812
2016-06-29,3.22,3.30,3.21,3.24,8168100,3.199683
2016-06-28,3.16,3.27,3.16,3.20,11693900,3.160181
2016-06-27,3.35,3.37,3.11,3.14,16382500,3.100928
2016-06-24,3.35,3.47,3.30,3.40,57667100,3.357692
2016-06-23,3.49,3.53,3.46,3.46,8016900,3.416946
2016-06-22,3.47,3.50,3.44,3.48,11168400,3.436697
2016-06-21,3.45,3.49,3.37,3.45,6720000,3.40707
2016-06-20,3.33,3.48,3.31,3.48,8561900,3.436697
2016-06-17,3.29,3.36,3.27,3.30,9588500,3.258936
2016-06-16,3.33,3.35,3.24,3.28,6554100,3.239185
2016-06-15,3.37,3.44,3.28,3.37,12089500,3.328065
2016-06-14,3.42,3.52,3.29,3.30,11606700,3.258936
2016-06-13,3.47,3.54,3.44,3.47,4790000,3.426821
2016-06-10,3.50,3.52,3.42,3.50,5642800,3.456448
2016-06-09,3.59,3.60,3.51,3.52,6959400,3.476199
2016-06-08,3.64,3.66,3.58,3.61,18978500,3.565079
2016-06-07,3.59,3.65,3.55,3.64,10289800,3.594706
2016-06-06,3.54,3.61,3.53,3.57,7148500,3.525577
2016-06-03,3.57,3.59,3.50,3.55,6269900,3.505826
2016-06-02,3.55,3.59,3.54,3.55,10037300,3.505826
2016-06-01,3.61,3.63,3.53,3.57,9990000,3.525577
2016-05-31,3.59,3.65,3.57,3.58,10953100,3.535452
2016-05-27,3.50,3.55,3.46,3.53,8043600,3.486074
2016-05-26,3.56,3.56,3.45,3.50,9801700,3.456448
2016-05-25,3.47,3.53,3.43,3.51,14018000,3.466323
2016-05-24,3.43,3.49,3.41,3.44,10799600,3.397194
2016-05-23,3.44,3.53,3.43,3.46,13265600,3.416946
2016-05-20,3.33,3.48,3.33,3.43,15002500,3.387319
2016-05-19,3.52,3.52,3.26,3.33,26279600,3.288563
2016-05-18,3.36,3.56,3.33,3.51,31169700,3.466323
2016-05-17,3.51,3.52,3.18,3.38,41725800,3.337941
2016-05-16,3.71,3.75,3.35,3.49,19278000,3.446572
2016-05-13,3.49,3.68,3.49,3.68,30946800,3.634208
2016-05-12,3.74,3.75,3.22,3.58,63669700,3.535452
2016-05-11,3.94,4.03,3.60,3.63,138515700,3.58483
2016-05-10,6.32,6.35,5.99,6.09,13494100,6.014219
2016-05-09,6.20,6.28,6.04,6.26,8157200,6.182104
2016-05-06,5.95,6.17,5.85,6.14,10169400,6.063597
2016-05-05,6.00,6.09,5.93,5.94,9529900,5.866086
2016-05-04,5.84,6.09,5.80,6.05,6816800,5.974717
2016-05-03,5.83,5.86,5.65,5.86,7815400,5.787081
2016-05-02,5.84,5.92,5.77,5.83,10293100,5.757454
2016-04-29,6.00,6.00,5.79,5.88,9206700,5.806832
2016-04-28,6.07,6.17,6.02,6.02,6130500,5.94509
2016-04-27,5.84,6.08,5.81,6.05,11569500,5.974717
2016-04-26,6.14,6.28,5.81,5.84,15793500,5.76733
