Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,2.85,2.85,2.71,2.75,36700,2.75
2016-11-30,2.84,2.86,2.76,2.81,76700,2.81
2016-11-29,2.81,2.88,2.81,2.85,33700,2.85
2016-11-28,2.81,2.88,2.81,2.83,16200,2.83
2016-11-25,2.86,2.86,2.86,2.86,100,2.86
2016-11-23,2.81,2.90,2.70,2.77,36400,2.77
2016-11-22,2.89,2.89,2.75,2.89,31600,2.89
2016-11-21,2.92,2.92,2.78,2.80,28500,2.80
2016-11-18,2.95,2.96,2.78,2.89,9700,2.89
2016-11-17,2.95,2.95,2.85,2.91,23700,2.91
2016-11-16,2.85,2.95,2.85,2.95,9800,2.95
2016-11-15,2.85,2.97,2.75,2.96,7900,2.96
2016-11-14,2.77,2.86,2.74,2.80,25000,2.80
2016-11-11,2.65,2.80,2.65,2.71,21900,2.71
2016-11-10,2.63,2.74,2.55,2.68,32900,2.68
2016-11-09,2.74,2.78,2.71,2.74,51800,2.74
2016-11-08,2.70,2.81,2.70,2.74,25500,2.74
2016-11-07,2.75,2.79,2.75,2.75,9900,2.75
2016-11-04,2.74,2.87,2.70,2.77,7000,2.77
2016-11-03,2.79,2.79,2.76,2.78,23600,2.78
2016-11-02,2.78,2.90,2.70,2.80,29800,2.80
2016-11-01,2.95,2.95,2.72,2.72,6600,2.72
2016-10-31,2.87,2.87,2.80,2.86,9400,2.86
2016-10-28,2.83,3.01,2.82,2.82,5300,2.82
2016-10-27,2.87,2.97,2.84,2.84,9400,2.84
2016-10-26,2.85,3.03,2.85,2.86,10700,2.86
2016-10-25,3.00,3.00,2.87,2.94,8700,2.94
2016-10-24,2.93,3.03,2.92,3.00,11100,3.00
2016-10-21,2.90,3.00,2.89,2.96,19200,2.96
2016-10-20,2.91,3.04,2.91,3.02,1800,3.02
2016-10-19,2.85,3.06,2.85,3.04,17000,3.04
2016-10-18,2.88,3.03,2.88,3.01,9000,3.01
2016-10-17,2.76,3.22,2.76,3.03,7700,3.03
2016-10-14,3.05,3.14,3.05,3.05,10500,3.05
2016-10-13,3.13,3.13,2.95,3.06,11700,3.06
