Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,17.200001,17.25,16.90,17.10,1104100,17.10
2016-11-30,17.10,17.379999,16.90,17.049999,504000,17.049999
2016-11-29,17.10,17.25,16.85,16.90,1106800,16.90
2016-11-28,17.299999,17.450001,16.90,17.15,603500,17.02
2016-11-25,17.60,17.60,17.299999,17.450001,286500,17.317727
2016-11-23,17.25,17.549999,17.18,17.50,634700,17.367347
2016-11-22,17.200001,17.299999,17.00,17.299999,1032300,17.168862
2016-11-21,17.299999,17.40,17.049999,17.299999,544200,17.168862
2016-11-18,17.200001,17.35,17.049999,17.299999,753600,17.168862
2016-11-17,16.85,17.299999,16.85,17.10,660200,16.97038
2016-11-16,16.90,17.08,16.75,16.85,1034000,16.722275
2016-11-15,16.75,17.10,16.40,17.00,933800,16.871137
2016-11-14,16.75,17.35,16.73,17.00,1463400,16.871137
2016-11-11,15.95,16.60,15.21,16.60,1415100,16.47417
2016-11-10,15.50,16.129999,15.45,16.00,1849100,15.878717
2016-11-09,14.85,15.35,14.71,15.35,1803300,15.233645
2016-11-08,14.60,14.75,14.45,14.65,421100,14.53895
2016-11-07,14.65,14.80,14.55,14.70,710500,14.588571
2016-11-04,14.35,14.55,14.25,14.35,649500,14.241225
2016-11-03,14.35,14.50,14.25,14.30,688000,14.191604
2016-11-02,14.35,14.40,14.20,14.25,485100,14.141983
2016-11-01,14.75,14.80,14.25,14.45,1142400,14.340466
2016-10-31,14.50,15.00,14.45,14.70,1516600,14.588571
2016-10-28,14.44,14.44,14.27,14.38,1426800,14.270997
2016-10-27,14.40,14.46,14.29,14.39,513400,14.280922
2016-10-26,14.19,14.38,14.18,14.31,580500,14.201528
2016-10-25,14.22,14.29,14.11,14.27,392200,14.161832
2016-10-24,14.20,14.31,14.16,14.25,398900,14.141983
2016-10-21,13.95,14.10,13.95,14.08,414300,13.973271
2016-10-20,14.09,14.19,14.01,14.09,534600,13.983196
2016-10-19,13.89,14.16,13.88,14.10,527200,13.99312
2016-10-18,13.93,13.93,13.74,13.87,568000,13.764863
2016-10-17,13.87,13.93,13.78,13.80,413600,13.695394
2016-10-14,13.97,14.06,13.80,13.89,804100,13.784712
2016-10-13,14.00,14.00,13.69,13.80,702000,13.695394
2016-10-12,14.13,14.17,14.03,14.10,581200,13.99312
2016-10-11,14.23,14.29,14.02,14.10,518100,13.99312
2016-10-10,14.24,14.32,14.20,14.25,401200,14.141983
2016-10-07,14.09,14.18,13.94,14.14,683400,14.032817
2016-10-06,14.16,14.16,13.97,14.10,421900,13.99312
2016-10-05,13.95,14.20,13.94,14.14,699900,14.032817
2016-10-04,13.95,14.04,13.85,13.90,737300,13.794635
2016-10-03,13.94,14.05,13.85,13.90,725100,13.794635
2016-09-30,13.79,14.11,13.78,14.06,947600,13.953423
2016-09-29,13.94,14.00,13.71,13.74,1183000,13.635848
2016-09-28,13.76,13.91,13.70,13.90,1188300,13.794635
2016-09-27,13.57,13.72,13.53,13.69,554700,13.586227
2016-09-26,13.88,13.90,13.62,13.63,838100,13.526683
2016-09-23,13.96,14.05,13.86,13.99,796800,13.883953
2016-09-22,13.76,13.96,13.75,13.96,730900,13.854181
2016-09-21,13.75,13.86,13.64,13.73,676800,13.625924
2016-09-20,13.78,13.81,13.69,13.70,385000,13.596152
2016-09-19,13.72,13.85,13.66,13.72,579300,13.616
2016-09-16,13.75,13.78,13.58,13.67,2162600,13.566379
2016-09-15,13.64,13.80,13.61,13.76,519600,13.655697
2016-09-14,13.84,13.88,13.67,13.67,617100,13.566379
2016-09-13,13.94,14.03,13.70,13.86,903700,13.754939
2016-09-12,13.94,14.03,13.80,14.03,938800,13.92365
2016-09-09,13.98,14.14,13.98,14.01,718100,13.903802
2016-09-08,14.07,14.14,14.02,14.07,666500,13.963347
2016-09-07,13.88,14.04,13.82,14.04,698900,13.933575
2016-09-06,14.13,14.16,13.86,13.91,810900,13.80456
2016-09-02,14.09,14.20,14.01,14.13,995100,14.022892
2016-09-01,14.20,14.25,13.97,14.09,791200,13.983196
2016-08-31,14.10,14.20,14.01,14.16,1009700,14.052665
2016-08-30,13.88,14.12,13.82,14.11,911000,14.003044
2016-08-29,13.90,14.00,13.89,13.95,576100,13.715242
2016-08-26,13.86,13.98,13.81,13.92,923300,13.685747
2016-08-25,13.78,13.96,13.74,13.87,601700,13.636588
2016-08-24,13.88,13.95,13.77,13.84,824100,13.607093
2016-08-23,13.92,13.95,13.77,13.88,539600,13.64642
2016-08-22,13.82,13.90,13.74,13.84,491100,13.607093
2016-08-19,13.81,13.86,13.72,13.83,627900,13.597261
2016-08-18,13.75,13.88,13.72,13.86,791100,13.626756
2016-08-17,13.70,13.81,13.70,13.75,681100,13.518608
2016-08-16,13.74,13.83,13.72,13.74,693300,13.508776
2016-08-15,13.68,13.82,13.67,13.82,481800,13.587429
2016-08-12,13.60,13.67,13.49,13.67,560200,13.439954
2016-08-11,13.61,13.70,13.59,13.64,774900,13.410459
2016-08-10,13.80,13.80,13.57,13.61,611500,13.380963
2016-08-09,13.80,13.84,13.67,13.78,683000,13.548102
2016-08-08,13.77,13.77,13.63,13.75,910100,13.518608
2016-08-05,13.42,13.71,13.38,13.71,1168600,13.479281
2016-08-04,13.31,13.46,13.27,13.28,967000,13.056517
2016-08-03,13.11,13.32,13.11,13.30,559000,13.076181
2016-08-02,13.05,13.23,12.93,13.15,1033900,12.928704
2016-08-01,13.35,13.44,13.03,13.05,1208800,12.830388
2016-07-29,13.10,13.19,12.99,13.16,1030100,12.938536
2016-07-28,13.09,13.17,12.98,13.12,358700,12.899209
2016-07-27,13.12,13.28,13.08,13.14,621700,12.918873
2016-07-26,13.01,13.11,13.00,13.10,342100,12.879547
2016-07-25,13.03,13.08,12.99,13.03,384200,12.810724
2016-07-22,12.95,13.09,12.86,13.08,420000,12.859883
2016-07-21,13.03,13.04,12.89,12.90,557700,12.682911
2016-07-20,13.11,13.11,12.98,13.00,711200,12.781229
2016-07-19,13.00,13.21,12.98,13.04,929800,12.820556
2016-07-18,13.18,13.22,13.06,13.07,715900,12.850051
2016-07-15,13.24,13.28,13.11,13.16,599900,12.938536
2016-07-14,13.11,13.21,13.05,13.13,624000,12.909041
2016-07-13,13.01,13.01,12.84,12.94,604900,12.722238
2016-07-12,12.82,13.00,12.70,12.94,815900,12.722238
2016-07-11,12.60,12.72,12.56,12.66,675100,12.446951
2016-07-08,12.43,12.59,12.34,12.45,831600,12.240485
2016-07-07,12.17,12.42,12.10,12.23,807900,12.024187
2016-07-06,11.96,12.23,11.89,12.16,1134300,11.955365
2016-07-05,12.25,12.29,11.94,12.08,770700,11.876711
2016-07-01,12.43,12.50,12.26,12.36,617200,12.151999
2016-06-30,12.27,12.53,12.17,12.53,1114800,12.319138
2016-06-29,12.12,12.25,11.99,12.23,943500,12.024187
2016-06-28,11.91,12.10,11.75,11.93,1200600,11.729236
2016-06-27,12.00,12.17,11.58,11.68,1601600,11.483443
2016-06-24,12.34,12.53,12.13,12.19,1445400,11.98486
2016-06-23,12.71,13.03,12.71,13.02,677800,12.800893
2016-06-22,12.62,12.79,12.52,12.57,493500,12.358465
2016-06-21,12.63,12.81,12.52,12.62,395500,12.407624
2016-06-20,12.68,12.92,12.60,12.62,701900,12.407624
2016-06-17,12.45,12.63,12.37,12.49,1912000,12.279811
2016-06-16,12.47,12.49,12.29,12.40,1110600,12.191326
2016-06-15,12.64,12.83,12.55,12.61,671600,12.397792
2016-06-14,12.70,12.81,12.54,12.56,875100,12.348634
2016-06-13,12.87,13.05,12.73,12.76,1274400,12.545268
2016-06-10,12.91,12.98,12.80,12.92,1001800,12.702575
2016-06-09,13.17,13.17,12.94,13.06,824400,12.84022
2016-06-08,13.20,13.35,13.16,13.26,853400,13.036854
2016-06-07,13.29,13.34,13.22,13.23,715800,13.007358
2016-06-06,13.16,13.39,13.16,13.30,931300,13.076181
2016-06-03,13.13,13.21,12.79,13.14,1679600,12.918873
2016-06-02,13.17,13.30,13.08,13.27,1031500,13.046686
2016-06-01,13.12,13.23,12.95,13.19,936900,12.968031
2016-05-31,13.13,13.24,13.07,13.16,1081900,12.938536
2016-05-27,12.98,13.12,12.98,13.10,692100,12.879547
2016-05-26,13.20,13.23,13.05,13.08,858800,12.73207
2016-05-25,13.07,13.27,13.01,13.19,949800,12.839144
2016-05-24,12.84,13.03,12.78,13.01,1223000,12.663933
2016-05-23,12.71,12.82,12.63,12.73,870300,12.39138
2016-05-20,12.57,12.81,12.57,12.73,946500,12.39138
2016-05-19,12.63,12.77,12.46,12.53,1141000,12.1967
2016-05-18,12.30,12.70,12.30,12.69,2117800,12.352444
2016-05-17,12.45,12.58,12.26,12.31,863500,11.982553
2016-05-16,12.34,12.55,12.33,12.46,543900,12.128563
2016-05-13,12.43,12.61,12.21,12.29,695300,11.963084
2016-05-12,12.58,12.67,12.38,12.46,811700,12.128563
2016-05-11,12.59,12.75,12.51,12.52,1052800,12.186967
2016-05-10,12.52,12.68,12.49,12.63,2024800,12.294041
2016-05-09,12.55,12.64,12.45,12.50,1532200,12.167498
2016-05-06,12.35,12.51,12.29,12.44,2154100,12.109094
2016-05-05,12.68,12.80,12.42,12.47,2403200,12.138297
2016-05-04,12.74,12.85,12.50,12.71,1913800,12.371912
2016-05-03,12.71,12.83,12.56,12.79,1377100,12.449784
2016-05-02,13.58,13.58,12.80,12.92,2617400,12.576326
2016-04-29,13.12,13.40,13.11,13.40,4797500,13.043558
2016-04-28,13.22,13.37,13.10,13.20,1314700,12.848878
2016-04-27,13.20,13.38,13.16,13.35,1771000,12.994889
2016-04-26,13.03,13.28,12.97,13.24,1142000,12.887814
2016-04-25,12.99,13.05,12.77,13.01,1156900,12.663933
2016-04-22,12.96,13.09,12.92,13.01,657600,12.663933
2016-04-21,12.89,13.01,12.86,12.91,723600,12.566592
2016-04-20,12.82,12.95,12.70,12.90,739300,12.556858
2016-04-19,12.71,12.92,12.64,12.85,974600,12.508189
2016-04-18,12.46,12.70,12.45,12.65,716700,12.313508
2016-04-15,12.51,12.64,12.49,12.55,779000,12.216169
2016-04-14,12.45,12.73,12.40,12.55,691500,12.216169
2016-04-13,12.18,12.53,12.18,12.50,955300,12.167498
2016-04-12,11.85,12.07,11.85,12.05,664000,11.729469
2016-04-11,11.79,12.02,11.65,11.79,681400,11.476385
2016-04-08,11.74,11.94,11.67,11.72,556900,11.408247
2016-04-07,11.85,12.07,11.58,11.64,1056200,11.330375
2016-04-06,11.94,12.01,11.84,11.96,695100,11.641863
2016-04-05,12.02,12.24,11.90,11.90,890400,11.583458
2016-04-04,12.25,12.30,12.11,12.16,717500,11.836542
2016-04-01,12.08,12.25,11.97,12.24,831100,11.914414
2016-03-31,12.26,12.37,12.12,12.19,1037400,11.865744
2016-03-30,12.24,12.40,12.20,12.31,1200000,11.982553
2016-03-29,12.08,12.21,11.79,12.20,1840400,11.875478
2016-03-28,11.90,11.98,11.74,11.87,782300,11.554256
2016-03-24,11.76,11.89,11.51,11.88,1425800,11.563991
2016-03-23,12.00,12.13,11.81,11.82,979600,11.505586
2016-03-22,12.07,12.21,11.95,12.05,1075000,11.729469
2016-03-21,12.13,12.17,11.94,12.11,959900,11.787872
2016-03-18,12.09,12.22,11.97,12.11,2151200,11.787872
2016-03-17,11.71,12.05,11.54,12.00,1475900,11.680799
2016-03-16,11.85,12.05,11.67,11.75,1093800,11.437449
2016-03-15,12.08,12.12,11.89,11.90,1067500,11.583458
2016-03-14,12.18,12.21,12.00,12.15,567700,11.826808
2016-03-11,11.96,12.21,11.90,12.21,963400,11.885213
2016-03-10,11.79,12.48,11.63,11.80,1164900,11.486119
