Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,0.96,0.96,0.66,0.66,4100,0.66
2016-11-30,0.885,0.885,0.885,0.885,200,0.885
2016-11-29,0.89,0.89,0.89,0.89,000,0.89
2016-11-28,0.89,0.89,0.89,0.89,000,0.89
2016-11-25,0.89,0.89,0.89,0.89,000,0.89
2016-11-23,0.89,0.89,0.89,0.89,300,0.89
2016-11-22,0.92,0.95,0.705,0.9045,6300,0.9045
2016-11-21,0.93,0.99,0.93,0.99,1200,0.99
2016-11-18,0.83,0.90,0.81,0.8915,3200,0.8915
2016-11-17,0.91,0.92,0.875,0.885,3400,0.885
2016-11-16,0.92,0.92,0.92,0.92,000,0.92
2016-11-15,0.765,0.92,0.765,0.92,1500,0.92
2016-11-14,0.97,0.97,0.97,0.97,000,0.97
2016-11-11,0.97,0.97,0.97,0.97,000,0.97
2016-11-10,0.97,0.97,0.97,0.97,000,0.97
2016-11-09,0.97,0.97,0.95,0.97,1900,0.97
2016-11-08,0.957,0.957,0.957,0.957,000,0.957
2016-11-07,0.957,0.957,0.957,0.957,000,0.957
2016-11-04,0.957,0.957,0.957,0.957,000,0.957
2016-11-03,0.957,0.957,0.957,0.957,000,0.957
2016-11-02,0.957,0.957,0.957,0.957,000,0.957
2016-11-01,0.765,0.977,0.765,0.957,700,0.957
2016-10-31,0.95,0.95,0.95,0.95,000,0.95
2016-10-28,0.95,0.95,0.95,0.95,000,0.95
2016-10-27,0.95,0.95,0.95,0.95,000,0.95
2016-10-26,0.95,0.95,0.95,0.95,000,0.95
2016-10-25,0.95,0.95,0.95,0.95,300,0.95
2016-10-24,0.9498,0.95,0.93,0.95,600,0.95
2016-10-21,0.99,0.99,0.94,0.9429,2000,0.9429
2016-10-20,0.94,0.94,0.94,0.94,000,0.94
2016-10-19,0.94,0.94,0.94,0.94,000,0.94
2016-10-18,0.94,0.94,0.94,0.94,000,0.94
2016-10-17,0.94,0.94,0.94,0.94,000,0.94
2016-10-14,0.94,0.94,0.94,0.94,000,0.94
2016-10-13,0.91,0.94,0.91,0.94,300,0.94
2016-10-12,0.9001,0.94,0.9001,0.94,1300,0.94
2016-10-11,0.9373,0.946,0.92,0.92,800,0.92
2016-10-10,0.9001,0.9001,0.9001,0.9001,000,0.9001
2016-10-07,0.95,0.95,0.9001,0.9001,2200,0.9001
2016-10-06,0.92,0.92,0.92,0.92,1500,0.92
2016-10-05,1.01,1.01,0.95,1.00,10000,1.00
2016-10-04,1.00,1.1044,1.00,1.00,4200,1.00
2016-10-03,1.20,1.20,1.20,1.20,000,1.20
2016-09-30,1.20,1.20,1.20,1.20,000,1.20
2016-09-29,1.20,1.20,1.20,1.20,000,1.20
2016-09-28,1.20,1.20,1.20,1.20,900,1.20
2016-09-27,1.38,1.38,1.38,1.38,400,1.38
2016-09-26,1.24,1.43,1.19,1.39,1800,1.39
2016-09-23,1.08,1.30,1.08,1.19,1600,1.19
2016-09-22,1.90,1.90,1.18,1.35,10500,1.35
2016-09-21,1.01,1.70,1.00,1.59,18800,1.59
2016-09-20,1.00,1.03,1.00,1.01,1000,1.01
2016-09-19,1.00,1.01,1.00,1.00,1200,1.00
2016-09-16,0.85,0.954,0.85,0.9001,2800,0.9001
2016-09-15,1.00,1.00,0.90,0.90,7400,0.90
2016-09-14,1.00,1.0966,1.00,1.03,900,1.03
2016-09-13,1.03,1.03,1.00,1.00,7400,1.00
2016-09-12,1.03,1.03,1.03,1.03,100,1.03
2016-09-09,1.00,1.03,1.00,1.03,1700,1.03
2016-09-08,1.0001,1.2033,1.0001,1.0001,1500,1.0001
2016-09-07,1.00,1.14,0.97,0.97,37400,0.97
