Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,22.35,22.790001,21.75,21.75,1900,21.75
2016-11-30,22.42,22.42,22.42,22.42,000,22.42
2016-11-29,22.25,22.51,22.25,22.42,900,22.42
2016-11-28,22.549999,22.66,22.549999,22.66,1800,22.66
2016-11-25,22.65,22.65,22.60,22.60,1800,22.500001
2016-11-23,22.23,22.950001,22.23,22.459999,8500,22.360619
2016-11-22,21.98,21.98,21.98,21.98,2700,21.882744
2016-11-21,21.870001,22.00,21.799999,21.98,6600,21.882744
2016-11-18,21.450001,22.00,21.379999,21.799999,11100,21.70354
2016-11-17,20.540001,21.40,20.51,21.299999,3000,21.205752
2016-11-16,20.50,21.450001,20.299999,20.50,2200,20.409293
2016-11-15,20.48,20.540001,20.48,20.540001,1700,20.449117
2016-11-14,20.559999,20.559999,20.299999,20.299999,1700,20.210177
2016-11-11,20.549999,20.549999,20.549999,20.549999,100,20.459071
2016-11-10,20.40,20.450001,20.40,20.40,900,20.309735
2016-11-09,20.360001,20.50,20.26,20.50,1200,20.409293
2016-11-08,20.26,20.26,20.26,20.26,400,20.170355
2016-11-07,20.370001,20.370001,20.370001,20.370001,400,20.279869
2016-11-04,20.530001,20.530001,20.50,20.50,700,20.409293
2016-11-03,20.50,20.50,20.50,20.50,000,20.409293
2016-11-02,20.50,20.530001,20.50,20.50,3100,20.409293
2016-11-01,20.50,20.83,20.50,20.58,4200,20.488939
2016-10-31,20.50,20.549999,20.50,20.50,1000,20.409293
2016-10-28,20.35,20.82,20.35,20.82,800,20.727876
2016-10-27,20.60,20.60,20.60,20.60,200,20.508851
2016-10-26,20.309999,20.700001,20.26,20.700001,800,20.608408
2016-10-25,20.42,20.440001,20.309999,20.440001,1400,20.349559
2016-10-24,20.969999,20.969999,20.969999,20.969999,300,20.877212
2016-10-21,21.450001,21.450001,21.450001,21.450001,000,21.35509
2016-10-20,20.43,21.450001,20.43,21.450001,400,21.35509
2016-10-19,20.309999,21.440001,20.26,20.370001,1200,20.279869
2016-10-18,20.290001,21.200001,20.25,20.50,4200,20.409293
2016-10-17,20.530001,20.530001,20.32,20.32,500,20.230089
2016-10-14,20.10,20.10,20.10,20.10,000,20.011063
2016-10-13,20.10,20.10,20.10,20.10,000,20.011063
2016-10-12,20.10,20.10,20.10,20.10,500,20.011063
2016-10-11,21.280001,21.280001,20.01,20.83,2900,20.737832
2016-10-10,20.00,20.00,20.00,20.00,000,19.911505
2016-10-07,20.00,20.00,20.00,20.00,000,19.911505
2016-10-06,20.00,20.00,20.00,20.00,000,19.911505
2016-10-05,20.00,20.00,20.00,20.00,400,19.911505
2016-10-04,20.889999,20.889999,19.34,20.309999,1000,20.220133
2016-10-03,20.34,20.84,20.07,20.799999,1700,20.707964
2016-09-30,20.75,20.75,19.549999,20.66,2800,20.568584
2016-09-29,20.91,20.99,20.24,20.450001,5100,20.359515
2016-09-28,21.389999,21.450001,21.02,21.02,500,20.926992
2016-09-27,20.860001,21.389999,20.85,21.389999,600,21.295354
2016-09-26,21.450001,21.450001,20.91,20.91,1700,20.817478
2016-09-23,21.280001,21.299999,21.280001,21.299999,1500,21.205752
2016-09-22,21.07,21.450001,21.07,21.23,1700,21.136062
2016-09-21,20.360001,21.299999,20.360001,21.299999,10700,21.205752
2016-09-20,20.790001,20.91,20.74,20.91,900,20.817478
2016-09-19,20.50,20.879999,20.50,20.870001,1900,20.777656
2016-09-16,21.190001,21.190001,20.92,20.92,21200,20.827434
2016-09-15,21.389999,21.40,21.10,21.190001,8000,21.09624
2016-09-14,20.50,21.07,20.50,21.00,14300,20.90708
2016-09-13,20.51,20.60,20.35,20.60,1200,20.508851
2016-09-12,19.790001,20.50,19.790001,20.50,1900,20.409293
2016-09-09,19.889999,20.43,19.889999,20.43,500,20.339603
2016-09-08,20.00,20.49,20.00,20.49,4300,20.399337
2016-09-07,19.549999,20.049999,19.549999,19.780001,10100,19.692479
2016-09-06,19.67,19.84,19.67,19.84,1900,19.752213
2016-09-02,19.540001,19.540001,19.540001,19.540001,000,19.453541
2016-09-01,19.75,19.75,19.540001,19.540001,300,19.453541
2016-08-31,19.75,20.030001,19.74,19.790001,15600,19.702435
2016-08-30,19.50,19.52,19.50,19.52,800,19.433629
2016-08-29,19.32,19.50,19.190001,19.50,1500,19.413717
2016-08-26,19.75,19.75,19.75,19.75,2200,19.563053
2016-08-25,19.24,19.559999,19.24,19.549999,4300,19.364945
2016-08-24,19.65,19.65,19.65,19.65,000,19.463999
2016-08-23,19.50,19.65,19.50,19.65,800,19.463999
2016-08-22,20.200001,20.200001,19.40,19.459999,1400,19.275797
2016-08-19,19.629999,19.65,19.60,19.60,29800,19.414473
2016-08-18,19.77,19.77,19.40,19.690001,1300,19.503621
2016-08-17,19.75,19.83,19.60,19.60,2500,19.414473
2016-08-16,19.40,19.75,19.40,19.620001,1300,19.434284
2016-08-15,19.40,19.549999,19.40,19.40,700,19.216365
2016-08-12,19.549999,19.60,19.27,19.60,16100,19.414473
2016-08-11,19.33,19.33,19.33,19.33,1100,19.147028
2016-08-10,19.07,19.50,19.07,19.33,3300,19.147028
2016-08-09,19.52,19.52,19.00,19.049999,4900,18.869678
2016-08-08,19.440001,19.440001,19.440001,19.440001,300,19.255987
2016-08-05,19.139999,19.15,19.139999,19.15,900,18.968732
2016-08-04,19.10,19.18,19.00,19.129999,3400,18.94892
2016-08-03,19.040001,19.10,19.01,19.10,800,18.919206
2016-08-02,19.040001,19.040001,19.00,19.00,900,18.820152
2016-08-01,19.049999,19.049999,19.049999,19.049999,400,18.869678
2016-07-29,19.10,19.10,19.10,19.10,400,18.919206
2016-07-28,19.15,19.200001,19.15,19.200001,500,19.018259
2016-07-27,19.10,19.120001,19.10,19.120001,1500,18.939017
2016-07-26,19.10,19.309999,19.10,19.10,2100,18.919206
2016-07-25,19.389999,19.40,19.030001,19.35,1600,19.166839
2016-07-22,19.07,19.40,19.07,19.27,1700,19.087597
2016-07-21,19.25,19.25,19.25,19.25,100,19.067785
2016-07-20,19.200001,19.299999,19.030001,19.200001,4000,19.018259
2016-07-19,19.08,19.200001,19.040001,19.200001,2400,19.018259
2016-07-18,19.299999,19.540001,19.15,19.35,1000,19.166839
2016-07-15,19.60,19.60,19.58,19.58,400,19.394662
2016-07-14,19.299999,19.59,19.299999,19.59,12000,19.404567
2016-07-13,19.219999,19.219999,19.219999,19.219999,600,19.038069
2016-07-12,19.15,19.24,19.01,19.24,1100,19.05788
2016-07-11,19.389999,19.389999,19.389999,19.389999,000,19.20646
2016-07-08,19.60,19.65,19.24,19.389999,4100,19.20646
2016-07-07,19.40,19.40,19.40,19.40,1000,19.216365
2016-07-06,19.33,19.559999,19.01,19.049999,900,18.869678
2016-07-05,19.02,19.02,19.02,19.02,600,18.839963
2016-07-01,19.16,19.60,18.299999,19.370001,3200,19.18665
2016-06-30,19.26,19.549999,19.18,19.18,3900,18.998448
2016-06-29,19.17,19.450001,18.99,18.99,4900,18.810246
2016-06-28,18.92,18.92,18.879999,18.879999,500,18.701287
2016-06-27,18.940001,19.190001,18.90,19.120001,3100,18.939017
2016-06-24,19.200001,19.40,18.870001,18.870001,1400,18.691383
2016-06-23,18.969999,19.139999,18.92,18.940001,1100,18.76072
2016-06-22,19.00,19.15,19.00,19.00,3000,18.820152
2016-06-21,18.90,19.41,18.90,18.90,5500,18.721098
2016-06-20,19.030001,19.18,19.030001,19.17,800,18.988543
2016-06-17,19.40,19.60,19.200001,19.200001,8500,19.018259
2016-06-16,18.90,19.049999,18.90,19.049999,500,18.869678
2016-06-15,18.959999,19.25,18.90,18.90,2300,18.721098
2016-06-14,19.01,19.059999,18.950001,18.950001,3400,18.770626
2016-06-13,19.030001,19.57,18.950001,18.950001,5200,18.770626
2016-06-10,19.110001,19.120001,18.950001,18.959999,1900,18.78053
2016-06-09,19.049999,19.190001,19.00,19.00,2200,18.820152
2016-06-08,19.15,19.15,19.00,19.030001,3900,18.849869
2016-06-07,19.049999,19.299999,19.030001,19.040001,6500,18.859774
2016-06-06,19.120001,19.139999,19.09,19.09,2200,18.9093
2016-06-03,19.360001,19.360001,19.25,19.25,400,19.067785
2016-06-02,19.25,19.25,19.15,19.17,4800,18.988543
2016-06-01,19.50,19.50,19.25,19.25,4100,19.067785
2016-05-31,19.25,19.50,19.25,19.50,1000,19.315419
2016-05-27,19.50,19.50,19.50,19.50,200,19.315419
2016-05-26,19.50,19.50,19.379999,19.379999,1000,19.196554
2016-05-25,19.00,20.50,18.90,19.50,21400,19.216366
2016-05-24,18.99,18.99,18.950001,18.950001,600,18.674367
2016-05-23,19.200001,19.200001,19.200001,19.200001,500,18.920731
2016-05-20,19.200001,19.299999,19.15,19.299999,4000,19.019275
2016-05-19,18.90,18.90,18.85,18.85,600,18.575821
2016-05-18,18.85,18.959999,18.85,18.959999,1000,18.68422
2016-05-17,18.799999,19.15,18.799999,18.90,1200,18.625093
2016-05-16,18.83,18.83,18.700001,18.82,1500,18.546257
2016-05-13,19.15,19.15,18.950001,18.950001,400,18.674367
2016-05-12,18.99,18.99,18.99,18.99,000,18.713784
2016-05-11,19.00,19.00,18.950001,18.99,1600,18.713784
2016-05-10,18.90,19.129999,18.90,19.129999,1100,18.851747
2016-05-09,18.950001,18.959999,18.90,18.959999,5400,18.68422
2016-05-06,19.10,19.10,19.10,19.10,600,18.822185
2016-05-05,18.950001,18.950001,18.950001,18.950001,1000,18.674367
2016-05-04,18.950001,19.01,18.950001,19.00,1400,18.723639
2016-05-03,18.950001,18.959999,18.950001,18.959999,800,18.68422
2016-05-02,18.969999,18.969999,18.969999,18.969999,400,18.694075
2016-04-29,19.27,19.27,18.950001,19.10,1000,18.822185
2016-04-28,19.16,19.16,19.16,19.16,000,18.881311
2016-04-27,19.00,19.219999,19.00,19.16,1400,18.881311
2016-04-26,19.00,19.120001,18.90,18.90,4200,18.625093
2016-04-25,19.35,19.35,19.35,19.35,000,19.068548
2016-04-22,19.35,19.35,19.35,19.35,400,19.068548
2016-04-21,19.00,19.00,19.00,19.00,700,18.723639
2016-04-20,19.00,19.00,18.90,18.90,600,18.625093
2016-04-19,19.00,19.299999,18.90,19.00,2600,18.723639
2016-04-18,18.98,18.98,18.98,18.98,600,18.703929
2016-04-15,18.93,19.40,18.93,18.950001,700,18.674367
2016-04-14,18.93,19.00,18.90,19.00,3200,18.723639
2016-04-13,19.02,19.02,19.02,19.02,000,18.743348
2016-04-12,19.030001,19.030001,19.00,19.02,800,18.743348
2016-04-11,18.90,19.10,18.90,19.10,600,18.822185
2016-04-08,18.60,18.60,18.60,18.60,000,18.329457
2016-04-07,18.60,18.60,18.60,18.60,000,18.329457
2016-04-06,18.60,18.60,18.60,18.60,500,18.329457
2016-04-05,18.51,19.23,18.51,19.01,3400,18.733494
2016-04-04,19.09,19.450001,18.950001,19.290001,7100,19.009422
2016-04-01,18.50,19.200001,18.50,18.85,2800,18.575821
2016-03-31,18.700001,19.049999,18.60,18.60,2200,18.329457
2016-03-30,18.799999,19.200001,18.60,18.65,2600,18.378729
2016-03-29,18.50,19.09,18.50,18.65,2700,18.378729
2016-03-28,18.76,19.139999,18.620001,18.67,1400,18.398439
2016-03-24,18.99,18.99,18.99,18.99,400,18.713784
2016-03-23,19.32,19.32,19.32,19.32,500,19.038984
2016-03-22,18.75,18.84,18.65,18.65,3600,18.378729
2016-03-21,19.379999,19.379999,19.01,19.01,2500,18.733494
2016-03-18,19.25,19.440001,19.059999,19.440001,2000,19.157239
2016-03-17,19.24,19.25,19.24,19.24,4300,18.960148
2016-03-16,19.049999,19.17,19.049999,19.049999,2400,18.772911
2016-03-15,19.00,19.299999,19.00,19.299999,600,19.019275
2016-03-14,18.91,19.049999,18.82,19.00,2200,18.723639
2016-03-11,19.309999,19.35,18.799999,18.959999,7500,18.68422
2016-03-10,19.59,19.59,18.709999,18.709999,400,18.437856
2016-03-09,19.139999,19.139999,19.139999,19.139999,000,18.861602
2016-03-08,19.549999,19.549999,19.10,19.139999,900,18.861602
2016-03-07,18.50,19.90,18.50,19.48,5000,19.196657
2016-03-04,18.780001,18.780001,18.780001,18.780001,300,18.50684
2016-03-03,18.389999,18.780001,18.35,18.51,400,18.240766
2016-03-02,18.469999,18.75,18.00,18.75,1500,18.477275
2016-03-01,18.00,18.530001,18.00,18.26,4700,17.994403
2016-02-29,18.780001,18.780001,18.00,18.280001,8900,18.014112
2016-02-26,18.780001,18.780001,18.58,18.58,900,18.309748
2016-02-25,18.75,18.75,18.75,18.75,000,18.477275
2016-02-24,18.24,18.75,18.24,18.75,600,18.37873
2016-02-23,18.780001,18.780001,18.75,18.75,1800,18.37873
2016-02-22,18.809999,19.700001,18.75,18.809999,2100,18.437541
2016-02-19,18.66,18.809999,18.66,18.68,700,18.310116
2016-02-18,20.25,20.25,18.559999,18.809999,8900,18.437541
2016-02-17,18.25,18.91,18.25,18.790001,2000,18.417939
2016-02-16,18.10,19.65,17.879999,19.65,700,19.260908
2016-02-12,18.049999,18.049999,18.049999,18.049999,000,17.69259
2016-02-11,18.17,18.200001,18.01,18.049999,1900,17.69259
2016-02-10,18.370001,18.57,18.370001,18.469999,700,18.104273
