Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,22.40,22.40,21.90,21.950001,10000,21.950001
2016-11-30,22.60,22.950001,22.25,22.25,20000,22.25
2016-11-29,22.40,22.60,22.299999,22.450001,4000,22.450001
2016-11-28,22.00,22.68,22.00,22.35,12000,22.35
2016-11-25,22.00,22.25,21.950001,22.25,5600,22.25
2016-11-23,21.15,22.299999,20.50,22.00,17400,22.00
2016-11-22,19.25,21.10,19.25,21.049999,16000,21.049999
2016-11-21,19.50,19.50,19.10,19.35,122900,19.35
2016-11-18,19.40,19.450001,19.299999,19.40,26500,19.40
2016-11-17,19.10,19.50,19.10,19.299999,9300,19.299999
2016-11-16,19.25,19.25,18.950001,19.10,15500,19.10
2016-11-15,19.35,19.35,19.15,19.15,18300,19.15
2016-11-14,19.50,19.60,19.200001,19.35,75300,19.35
2016-11-11,19.049999,19.50,19.049999,19.450001,67400,19.450001
2016-11-10,18.60,19.299999,18.50,19.10,42300,19.10
2016-11-09,18.50,18.90,18.10,18.549999,24400,18.549999
2016-11-08,18.50,18.549999,18.35,18.50,4300,18.50
2016-11-07,19.700001,19.700001,18.049999,18.50,15700,18.50
2016-11-04,20.00,20.00,19.50,19.50,7300,19.41
2016-11-03,19.90,19.950001,19.75,19.75,4900,19.658847
2016-11-02,20.50,20.50,19.60,19.75,6400,19.658847
2016-11-01,20.82,20.82,20.049999,20.40,6900,20.305846
2016-10-31,20.35,20.90,20.35,20.90,9100,20.803538
2016-10-28,20.879999,20.879999,20.129999,20.50,88400,20.405385
2016-10-27,20.92,20.969999,20.780001,20.809999,5300,20.713954
2016-10-26,20.85,21.01,20.639999,20.809999,3300,20.713954
2016-10-25,20.23,21.360001,20.23,20.799999,6300,20.704
2016-10-24,20.24,21.00,20.24,20.85,7100,20.75377
2016-10-21,20.120001,20.379999,20.120001,20.309999,4700,20.216261
2016-10-20,20.43,20.450001,19.940001,20.280001,17200,20.186401
2016-10-19,20.049999,20.50,20.01,20.33,8000,20.23617
2016-10-18,20.049999,20.049999,19.84,19.969999,36900,19.87783
2016-10-17,19.93,19.98,19.77,19.83,3600,19.738477
2016-10-14,19.91,20.049999,19.91,19.91,3100,19.818108
2016-10-13,19.950001,20.00,19.85,19.85,4400,19.758385
2016-10-12,19.950001,20.00,19.85,20.00,2800,19.907693
2016-10-11,20.01,20.07,19.85,19.85,3700,19.758385
2016-10-10,20.030001,20.139999,19.99,20.09,4700,19.997277
2016-10-07,19.790001,19.90,19.780001,19.780001,9700,19.688709
2016-10-06,19.809999,20.00,19.700001,19.84,7200,19.748431
2016-10-05,19.459999,19.90,19.35,19.809999,13700,19.718569
2016-10-04,19.65,20.389999,19.309999,19.68,11500,19.58917
2016-10-03,19.639999,19.780001,19.469999,19.73,7200,19.638938
2016-09-30,19.84,20.75,19.59,19.75,14500,19.658847
2016-09-29,20.799999,20.799999,20.049999,20.07,7500,19.977369
2016-09-28,21.290001,21.790001,20.60,20.940001,13900,20.843355
2016-09-27,21.74,22.02,21.50,21.85,30000,21.749155
2016-09-26,21.440001,21.91,21.10,21.67,21300,21.569985
2016-09-23,21.26,21.73,21.049999,21.42,7100,21.321139
2016-09-22,21.540001,21.790001,21.40,21.450001,6200,21.351001
2016-09-21,21.60,21.860001,20.91,21.27,11200,21.171832
2016-09-20,21.25,21.790001,20.530001,21.530001,7100,21.430632
2016-09-19,20.43,21.700001,20.07,21.42,17400,21.321139
2016-09-16,20.280001,21.10,19.99,20.290001,155600,20.196355
2016-09-15,21.67,22.65,19.67,20.08,40800,19.987323
2016-09-14,22.09,22.84,21.76,21.959999,34700,21.858646
2016-09-13,22.780001,22.780001,21.959999,22.129999,24400,22.027861
2016-09-12,22.309999,22.549999,21.719999,22.34,20400,22.236893
2016-09-09,22.799999,23.129999,22.540001,22.559999,28600,22.455877
2016-09-08,23.18,23.73,23.01,23.290001,33000,23.182509
2016-09-07,23.50,23.51,23.219999,23.370001,25300,23.26214
2016-09-06,22.40,23.389999,22.10,23.24,19800,23.132739
2016-09-02,21.25,21.58,21.219999,21.459999,3400,21.360953
2016-09-01,20.120001,20.85,20.120001,20.75,3000,20.654231
2016-08-31,20.280001,20.42,20.209999,20.389999,9100,20.295892
2016-08-30,20.17,20.709999,20.17,20.309999,2400,20.216261
2016-08-29,20.41,20.41,19.92,20.280001,3700,20.186401
2016-08-26,20.450001,20.50,20.290001,20.290001,3000,20.196355
2016-08-25,20.190001,20.40,20.190001,20.40,1700,20.305846
2016-08-24,19.84,20.450001,19.84,20.35,14100,20.256078
2016-08-23,20.129999,20.24,19.719999,19.950001,2300,19.857924
2016-08-22,19.91,20.25,19.860001,20.24,13500,20.146585
2016-08-19,19.73,19.950001,19.65,19.93,19100,19.838016
2016-08-18,19.76,19.76,19.450001,19.68,2200,19.58917
2016-08-17,19.549999,19.82,18.92,19.809999,2400,19.718569
2016-08-16,19.91,19.950001,19.299999,19.549999,5000,19.459769
2016-08-15,19.790001,19.84,19.790001,19.84,1500,19.748431
2016-08-12,19.23,19.950001,19.23,19.879999,7500,19.788246
2016-08-11,19.190001,19.42,19.190001,19.42,2600,19.33037
2016-08-10,19.389999,19.50,19.25,19.35,4600,19.260693
2016-08-09,19.27,19.49,19.27,19.459999,6000,19.370184
2016-08-08,19.209999,19.48,19.15,19.42,6200,19.33037
2016-08-05,19.040001,19.389999,19.040001,19.389999,5800,19.210923
2016-08-04,19.23,19.40,18.92,19.040001,2400,18.864157
2016-08-03,19.40,19.40,19.00,19.10,9800,18.923602
2016-08-02,19.49,19.60,19.200001,19.27,7100,19.092032
2016-08-01,19.34,19.629999,19.25,19.440001,6200,19.260462
2016-07-29,19.049999,19.40,18.48,19.34,9500,19.161386
2016-07-28,19.559999,19.559999,18.91,19.280001,5000,19.10194
2016-07-27,19.25,19.41,19.01,19.34,15600,19.161386
2016-07-26,19.120001,19.25,19.040001,19.24,11900,19.062309
2016-07-25,19.15,19.40,18.99,19.120001,6900,18.943418
2016-07-22,19.40,19.40,19.10,19.309999,8800,19.131662
2016-07-21,19.110001,19.639999,18.85,19.530001,11900,19.349631
2016-07-20,18.85,19.450001,18.85,19.40,15200,19.220831
2016-07-19,19.23,19.59,19.15,19.309999,10500,19.131662
2016-07-18,18.91,19.58,18.91,19.32,12500,19.14157
2016-07-15,19.10,19.35,18.969999,19.15,16800,18.97314
2016-07-14,18.549999,19.00,18.309999,18.99,8900,18.814618
2016-07-13,18.15,18.719999,18.110001,18.51,43200,18.339051
2016-07-12,17.709999,18.43,17.709999,18.26,31300,18.09136
2016-07-11,17.790001,18.040001,17.59,17.870001,18300,17.704962
2016-07-08,18.02,18.24,17.74,17.950001,18300,17.784224
2016-07-07,18.219999,18.219999,17.68,17.940001,10700,17.774316
2016-07-06,17.76,17.959999,17.629999,17.76,9300,17.595978
2016-07-05,17.82,18.059999,17.60,17.76,36700,17.595978
2016-07-01,17.90,18.469999,17.809999,17.92,20900,17.7545
2016-06-30,17.950001,18.91,17.809999,18.049999,22200,17.883298
2016-06-29,18.15,18.77,17.790001,17.950001,30300,17.784224
2016-06-28,18.030001,18.200001,17.799999,17.950001,23700,17.784224
2016-06-27,18.049999,18.459999,17.58,17.85,37800,17.685147
2016-06-24,18.049999,18.75,17.559999,17.950001,661400,17.784224
2016-06-23,17.709999,18.50,17.610001,18.280001,35700,18.111176
2016-06-22,18.190001,18.52,17.379999,17.82,29600,17.655423
2016-06-21,17.83,18.379999,17.790001,18.370001,15200,18.200345
2016-06-20,18.01,18.139999,17.34,17.75,21200,17.58607
2016-06-17,18.200001,19.110001,17.25,17.90,44400,17.734684
2016-06-16,18.27,18.370001,18.00,18.15,4500,17.982375
2016-06-15,18.309999,19.450001,18.07,18.549999,3700,18.378681
2016-06-14,18.299999,18.629999,17.68,18.24,12400,18.071544
2016-06-13,18.75,18.809999,17.879999,18.25,17500,18.081452
2016-06-10,18.84,19.299999,18.51,18.57,20600,18.398496
2016-06-09,19.690001,19.690001,18.83,19.209999,8000,19.032585
2016-06-08,19.280001,19.690001,18.799999,19.389999,13900,19.210923
2016-06-07,19.530001,19.93,19.209999,19.23,32600,19.052401
2016-06-06,18.68,19.85,18.65,19.75,15300,19.567599
2016-06-03,18.90,18.90,18.629999,18.629999,10800,18.457942
2016-06-02,18.950001,19.00,18.50,18.870001,22500,18.695727
2016-06-01,18.68,19.00,18.58,18.58,15600,18.408404
2016-05-31,19.09,19.50,18.549999,18.85,5200,18.675911
2016-05-27,19.690001,19.700001,19.299999,19.299999,8700,19.121754
2016-05-26,19.93,19.950001,19.42,19.50,37100,19.319908
2016-05-25,19.700001,19.950001,19.450001,19.950001,4900,19.765753
2016-05-24,19.700001,19.700001,19.459999,19.700001,10500,19.518061
2016-05-23,19.41,19.700001,19.25,19.68,41900,19.498246
2016-05-20,19.50,19.50,19.32,19.40,13300,19.220831
2016-05-19,19.50,19.50,19.290001,19.450001,6100,19.27037
2016-05-18,19.469999,19.50,19.129999,19.43,4400,19.250555
2016-05-17,19.459999,19.50,19.049999,19.450001,10100,19.27037
2016-05-16,19.299999,19.50,19.08,19.40,7700,19.220831
2016-05-13,19.290001,19.50,19.08,19.35,9000,19.171293
2016-05-12,19.360001,19.360001,19.08,19.209999,6000,19.032585
2016-05-11,18.959999,19.450001,18.959999,19.25,4700,19.072217
2016-05-10,18.43,19.34,18.110001,19.25,15400,19.072217
2016-05-09,18.49,18.75,18.120001,18.68,7700,18.507481
2016-05-06,18.309999,18.49,18.200001,18.49,4300,18.230066
2016-05-05,18.24,18.299999,18.00,18.25,1300,17.993441
2016-05-04,18.200001,18.389999,18.190001,18.190001,8700,17.934285
2016-05-03,17.950001,18.50,17.889999,18.200001,25100,17.944144
2016-05-02,17.67,18.00,17.67,17.790001,3100,17.539908
2016-04-29,17.25,17.90,17.25,17.780001,4300,17.530048
2016-04-28,17.950001,18.00,17.049999,17.549999,15300,17.30328
2016-04-27,17.620001,17.84,17.620001,17.82,3500,17.569485
2016-04-26,17.790001,18.00,17.76,18.00,6400,17.746955
2016-04-25,17.870001,17.90,17.82,17.90,5300,17.64836
2016-04-22,17.75,17.75,17.75,17.75,200,17.50047
2016-04-21,17.719999,17.860001,17.719999,17.799999,3500,17.549766
2016-04-20,17.709999,17.889999,17.709999,17.889999,10300,17.638501
2016-04-19,17.639999,17.889999,17.639999,17.889999,1600,17.638501
2016-04-18,17.959999,17.959999,17.52,17.67,3600,17.421594
2016-04-15,17.84,18.00,17.790001,17.879999,5200,17.628641
2016-04-14,17.85,17.879999,17.700001,17.879999,3900,17.628641
2016-04-13,17.879999,17.879999,17.440001,17.85,7900,17.599064
2016-04-12,17.860001,17.860001,17.780001,17.860001,6000,17.608924
2016-04-11,17.82,17.99,17.75,17.90,6900,17.64836
2016-04-08,18.120001,18.120001,17.75,17.93,6900,17.677939
2016-04-07,17.73,18.25,17.59,18.17,47300,17.914565
2016-04-06,17.469999,17.799999,17.08,17.75,8500,17.50047
