Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,9.15,9.45,9.05,9.15,107900,9.15
2016-11-30,9.30,9.50,9.20,9.20,48500,9.20
2016-11-29,9.25,9.35,9.10,9.20,80200,9.20
2016-11-28,9.30,9.35,9.10,9.15,115500,9.15
2016-11-25,9.20,9.35,9.20,9.35,25400,9.35
2016-11-23,9.25,9.35,9.20,9.30,44500,9.30
2016-11-22,9.35,9.35,9.15,9.30,85400,9.30
2016-11-21,9.35,9.35,9.20,9.30,52200,9.30
2016-11-18,9.30,9.35,9.15,9.25,93200,9.25
2016-11-17,9.40,9.45,9.25,9.35,52700,9.35
2016-11-16,9.30,9.45,9.10,9.40,81300,9.40
2016-11-15,9.45,9.50,9.25,9.35,204400,9.35
2016-11-14,8.90,9.65,8.90,9.50,240500,9.50
2016-11-11,8.70,8.85,8.55,8.75,679700,8.75
2016-11-10,8.50,8.80,7.90,8.65,155900,8.65
2016-11-09,7.90,8.40,7.80,8.40,50200,8.40
2016-11-08,7.95,7.95,7.80,7.90,10600,7.90
2016-11-07,7.90,7.95,7.73,7.95,25300,7.95
2016-11-04,7.95,7.95,7.70,7.70,35500,7.70
2016-11-03,7.80,7.95,7.65,7.90,34600,7.90
2016-11-02,7.85,7.95,7.70,7.75,58500,7.75
2016-11-01,7.80,7.99,7.80,7.80,23200,7.80
2016-10-31,7.95,8.15,7.70,7.75,69300,7.75
2016-10-28,8.00,8.20,7.85,7.95,23300,7.95
2016-10-27,8.05,8.09,7.90,8.00,35400,8.00
2016-10-26,8.10,8.10,7.90,8.00,26400,8.00
2016-10-25,8.04,8.20,8.03,8.15,79400,8.139999
2016-10-24,7.85,8.15,7.85,8.00,59800,7.990184
2016-10-21,7.65,7.90,7.65,7.85,30200,7.840368
2016-10-20,7.90,8.00,7.45,7.75,122300,7.740491
2016-10-19,8.00,8.10,7.90,8.05,248600,8.040123
2016-10-18,8.10,8.15,8.00,8.05,33800,8.040123
2016-10-17,8.15,8.20,7.95,8.10,34400,8.090062
2016-10-14,8.12,8.16,8.09,8.10,35900,8.090062
2016-10-13,8.09,8.15,7.96,8.06,46300,8.050111
2016-10-12,8.14,8.32,8.12,8.13,27100,8.120024
2016-10-11,8.20,8.24,8.02,8.11,113000,8.100049
2016-10-10,8.21,8.26,8.16,8.19,75600,8.17995
2016-10-07,8.20,8.25,8.17,8.22,41900,8.209914
2016-10-06,8.31,8.34,8.19,8.20,48800,8.189938
2016-10-05,8.26,8.35,8.26,8.27,44700,8.259853
2016-10-04,8.37,8.47,8.19,8.23,37800,8.219901
2016-10-03,8.35,8.41,8.35,8.39,74200,8.379706
2016-09-30,8.26,8.39,8.25,8.31,188400,8.299804
2016-09-29,8.49,8.49,8.07,8.20,102500,8.189938
2016-09-28,8.32,8.65,8.32,8.49,57100,8.479582
2016-09-27,8.25,8.34,8.18,8.31,73600,8.299804
2016-09-26,8.24,8.30,8.17,8.20,135200,8.189938
2016-09-23,8.34,8.34,8.24,8.24,27500,8.229889
2016-09-22,8.17,8.37,8.16,8.37,32900,8.35973
2016-09-21,8.27,8.30,8.09,8.15,76100,8.139999
2016-09-20,8.00,8.29,8.00,8.25,27400,8.239877
2016-09-19,7.90,8.04,7.89,8.00,93000,7.990184
2016-09-16,8.00,8.01,7.89,7.90,228200,7.890307
2016-09-15,7.88,8.00,7.87,7.98,18700,7.970208
2016-09-14,7.76,7.95,7.76,7.83,43700,7.820392
2016-09-13,8.05,8.08,7.84,7.90,107100,7.890307
2016-09-12,8.22,8.22,8.04,8.13,72600,8.120024
2016-09-09,8.29,8.41,8.20,8.22,41500,8.209914
2016-09-08,8.31,8.37,8.21,8.37,28500,8.35973
2016-09-07,8.15,8.29,8.07,8.24,41500,8.229889
2016-09-06,8.13,8.18,8.07,8.09,33700,8.080074
2016-09-02,8.22,8.22,8.03,8.11,74800,8.100049
2016-09-01,8.14,8.25,8.10,8.19,50500,8.17995
2016-08-31,8.17,8.19,8.10,8.16,75700,8.149987
2016-08-30,8.11,8.18,8.09,8.11,130100,8.100049
2016-08-29,7.98,8.18,7.96,8.09,63100,8.080074
2016-08-26,7.97,8.00,7.92,7.98,16200,7.970208
2016-08-25,7.88,7.99,7.78,7.95,38600,7.940245
2016-08-24,7.74,7.90,7.71,7.86,26300,7.850356
2016-08-23,7.66,7.78,7.66,7.71,42100,7.70054
2016-08-22,7.51,7.65,7.51,7.65,27200,7.640613
2016-08-19,7.58,7.65,7.52,7.53,48500,7.520761
2016-08-18,7.56,7.73,7.54,7.61,48000,7.600663
2016-08-17,7.61,7.65,7.46,7.59,14200,7.580687
2016-08-16,7.53,7.65,7.45,7.64,41100,7.630625
2016-08-15,7.53,7.63,7.45,7.54,21900,7.530748
2016-08-12,7.59,7.60,7.36,7.54,22700,7.530748
2016-08-11,7.62,7.68,7.55,7.65,58900,7.640613
2016-08-10,7.65,7.65,7.21,7.63,22000,7.620638
2016-08-09,7.50,7.75,7.50,7.68,61000,7.670576
