Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,24.98,25.02,24.98,24.99,18000,24.99
2016-11-30,25.09,25.09,24.98,25.059999,3700,25.059999
2016-11-29,24.98,25.02,24.98,25.01,1600,25.01
2016-11-28,24.98,24.98,24.98,24.98,100,24.98
2016-11-25,25.10,25.10,25.049999,25.049999,3000,25.049999
2016-11-23,25.01,25.01,24.98,25.00,7800,25.00
2016-11-22,24.98,25.01,24.969999,25.01,6700,25.01
2016-11-21,25.049999,25.129999,25.00,25.00,43500,25.00
2016-11-18,25.00,25.00,24.959999,24.98,15400,24.98
2016-11-17,25.040001,25.040001,25.00,25.040001,2100,25.040001
2016-11-16,24.950001,25.049999,24.950001,25.00,2600,25.00
2016-11-15,25.02,25.049999,24.950001,24.950001,16800,24.950001
2016-11-14,24.98,24.98,24.950001,24.98,6200,24.98
2016-11-11,24.98,25.00,24.98,24.98,3400,24.98
2016-11-10,24.950001,25.00,24.92,24.99,7200,24.99
2016-11-09,24.940001,24.99,24.90,24.99,54200,24.99
2016-11-08,24.99,25.00,24.959999,24.969999,22800,24.909999
2016-11-07,24.969999,25.00,24.969999,25.00,5700,24.939927
2016-11-04,24.959999,25.00,24.959999,24.969999,700,24.909999
2016-11-03,24.99,25.00,24.950001,25.00,9300,24.939927
2016-11-02,24.950001,24.98,24.950001,24.950001,3700,24.890048
2016-11-01,24.959999,24.99,24.950001,24.959999,3200,24.900023
2016-10-31,24.959999,25.00,24.950001,24.99,4600,24.929951
2016-10-28,24.959999,24.959999,24.940001,24.950001,3900,24.890048
2016-10-27,24.92,24.99,24.879999,24.99,22800,24.929951
2016-10-26,24.91,24.93,24.91,24.91,5600,24.850144
2016-10-25,24.879999,24.889999,24.879999,24.889999,700,24.830191
2016-10-24,24.879999,25.02,24.870001,24.90,2800,24.840167
2016-10-21,24.959999,24.969999,24.860001,24.969999,2200,24.909999
2016-10-20,24.90,24.91,24.870001,24.889999,1500,24.830191
2016-10-19,24.860001,24.99,24.860001,24.870001,6700,24.810241
2016-10-18,24.90,24.90,24.860001,24.860001,11200,24.800264
2016-10-17,25.030001,25.030001,24.860001,24.90,4800,24.840167
2016-10-14,24.940001,24.940001,24.860001,24.879999,4400,24.820215
2016-10-13,24.90,24.90,24.84,24.889999,7200,24.830191
2016-10-12,24.85,24.940001,24.84,24.85,11100,24.790288
2016-10-11,24.92,25.040001,24.82,24.92,72400,24.79827
2016-10-10,24.93,25.01,24.92,24.92,1100,24.79827
2016-10-07,24.92,24.959999,24.92,24.950001,2500,24.828124
2016-10-06,24.959999,24.959999,24.959999,24.959999,000,24.838074
2016-10-05,25.049999,25.049999,24.91,24.959999,3200,24.838074
2016-10-04,25.049999,25.049999,24.90,25.040001,10200,24.917685
2016-10-03,25.01,25.01,24.91,24.99,6000,24.867928
2016-09-30,24.93,24.940001,24.860001,24.90,17800,24.778367
2016-09-29,24.99,25.040001,24.91,25.030001,4600,24.907733
2016-09-28,25.08,25.08,24.91,24.92,3900,24.79827
2016-09-27,24.940001,24.950001,24.860001,24.940001,20700,24.818173
2016-09-26,24.950001,25.00,24.950001,24.950001,9900,24.828124
2016-09-23,24.99,24.99,24.950001,24.969999,1100,24.848025
2016-09-22,25.07,25.07,24.950001,25.030001,4300,24.907733
2016-09-21,24.969999,25.00,24.969999,24.98,13400,24.857976
2016-09-20,25.030001,25.030001,24.93,25.00,5900,24.877879
2016-09-19,24.93,24.99,24.93,24.950001,1700,24.828124
2016-09-16,24.91,24.92,24.91,24.92,500,24.79827
2016-09-15,24.91,24.950001,24.860001,24.90,8300,24.778367
2016-09-14,25.00,25.00,24.879999,24.90,7100,24.778367
2016-09-13,25.030001,25.049999,25.00,25.02,11200,24.897782
2016-09-12,24.950001,25.030001,24.93,25.02,8700,24.897782
2016-09-09,25.00,25.030001,25.00,25.030001,4300,24.844045
2016-09-08,25.00,25.10,24.99,25.049999,8600,24.863895
2016-09-07,24.969999,24.969999,24.959999,24.959999,1700,24.774564
2016-09-06,25.00,25.00,24.93,24.959999,2000,24.774564
2016-09-02,25.00,25.00,24.93,24.950001,1000,24.76464
2016-09-01,24.90,24.969999,24.889999,24.92,2900,24.734862
2016-08-31,24.860001,24.959999,24.860001,24.860001,5000,24.675308
2016-08-30,24.93,24.99,24.85,24.860001,25100,24.675308
2016-08-29,24.99,25.00,24.959999,25.00,3900,24.814267
2016-08-26,24.99,25.00,24.93,24.940001,6900,24.754714
2016-08-25,24.950001,24.99,24.950001,24.950001,8700,24.76464
2016-08-24,24.98,24.99,24.950001,24.950001,2100,24.76464
2016-08-23,24.950001,24.99,24.870001,24.98,9400,24.794416
2016-08-22,24.92,24.969999,24.90,24.950001,6100,24.76464
2016-08-19,24.92,24.92,24.90,24.90,11900,24.71501
2016-08-18,24.870001,24.92,24.860001,24.870001,5300,24.685234
2016-08-17,24.860001,24.92,24.860001,24.90,2400,24.71501
2016-08-16,24.860001,24.92,24.860001,24.870001,8400,24.685234
2016-08-15,24.860001,24.950001,24.77,24.92,16700,24.734862
2016-08-12,24.870001,24.870001,24.77,24.82,6400,24.635604
2016-08-11,24.870001,24.889999,24.75,24.780001,3200,24.595903
2016-08-10,24.82,24.85,24.780001,24.85,3500,24.665382
2016-08-09,24.84,24.85,24.780001,24.84,6600,24.589947
2016-08-08,24.75,24.82,24.75,24.799999,1800,24.550348
2016-08-05,24.77,24.85,24.77,24.77,4800,24.520652
2016-08-04,24.84,24.90,24.77,24.77,12700,24.520652
2016-08-03,24.790001,24.85,24.75,24.85,3200,24.599846
2016-08-02,24.90,24.90,24.700001,24.73,6800,24.481053
2016-08-01,24.860001,24.90,24.799999,24.90,4100,24.649342
2016-07-29,24.780001,24.90,24.77,24.90,3800,24.649342
2016-07-28,24.83,24.870001,24.83,24.860001,2800,24.609746
2016-07-27,24.85,24.860001,24.790001,24.84,5600,24.589947
2016-07-26,24.83,24.83,24.799999,24.82,2900,24.570147
2016-07-25,24.77,24.860001,24.75,24.82,17300,24.570147
2016-07-22,24.799999,24.889999,24.77,24.85,9500,24.599846
2016-07-21,24.76,24.870001,24.76,24.85,11300,24.599846
2016-07-20,24.85,24.870001,24.74,24.85,9200,24.599846
2016-07-19,24.790001,24.870001,24.790001,24.85,1500,24.599846
2016-07-18,24.90,24.90,24.73,24.870001,10800,24.619645
2016-07-15,24.82,24.879999,24.76,24.879999,9300,24.629543
2016-07-14,24.719999,24.75,24.719999,24.75,3900,24.500852
2016-07-13,24.719999,24.85,24.67,24.790001,3000,24.540451
2016-07-12,24.67,24.879999,24.66,24.799999,6500,24.550348
2016-07-11,24.76,24.860001,24.629999,24.76,9500,24.453336
2016-07-08,24.780001,24.879999,24.75,24.879999,3200,24.571848
2016-07-07,24.74,24.84,24.73,24.84,14600,24.532345
2016-07-06,24.68,24.76,24.60,24.709999,23900,24.403954
2016-07-05,24.73,24.73,24.690001,24.73,3700,24.423706
2016-07-01,24.76,24.76,24.709999,24.719999,6600,24.41383
2016-06-30,24.76,24.76,24.65,24.74,12100,24.433583
2016-06-29,24.700001,24.809999,24.700001,24.780001,1900,24.473088
2016-06-28,24.700001,24.709999,24.700001,24.700001,1100,24.394079
2016-06-27,24.65,24.709999,24.58,24.68,18800,24.374326
2016-06-24,24.65,24.65,24.620001,24.620001,4200,24.31507
2016-06-23,24.67,24.790001,24.67,24.75,16400,24.443459
2016-06-22,24.780001,24.83,24.67,24.83,1800,24.522468
2016-06-21,24.75,24.84,24.67,24.84,12000,24.532345
2016-06-20,24.790001,24.85,24.67,24.76,11000,24.453336
2016-06-17,24.790001,24.85,24.68,24.799999,13100,24.492839
2016-06-16,24.74,24.76,24.74,24.76,2500,24.453336
2016-06-15,24.639999,24.82,24.620001,24.809999,2200,24.502716
2016-06-14,24.68,24.84,24.68,24.84,5600,24.532345
2016-06-13,24.84,24.84,24.709999,24.75,3200,24.443459
2016-06-10,24.77,24.799999,24.709999,24.790001,21700,24.482965
2016-06-09,24.709999,24.790001,24.709999,24.780001,3600,24.409881
2016-06-08,24.68,24.75,24.67,24.709999,6800,24.340925
2016-06-07,24.67,24.77,24.66,24.700001,13200,24.331076
2016-06-06,24.700001,24.74,24.67,24.74,7500,24.370478
2016-06-03,24.65,24.709999,24.65,24.709999,4300,24.340925
2016-06-02,24.74,24.74,24.620001,24.719999,7200,24.350776
2016-06-01,24.620001,24.74,24.60,24.719999,5700,24.350776
2016-05-31,24.68,24.68,24.620001,24.620001,2300,24.252271
2016-05-27,24.549999,24.610001,24.549999,24.610001,1000,24.242421
2016-05-26,24.719999,24.719999,24.690001,24.690001,800,24.321226
2016-05-25,24.559999,24.700001,24.559999,24.67,1800,24.301524
2016-05-24,24.67,24.67,24.559999,24.66,8900,24.291673
2016-05-23,24.60,24.620001,24.58,24.58,3000,24.212868
2016-05-20,24.50,24.559999,24.50,24.530001,6800,24.163615
2016-05-19,24.67,24.73,24.50,24.50,20400,24.134063
2016-05-18,24.59,24.709999,24.50,24.540001,11300,24.173466
2016-05-17,24.60,24.60,24.549999,24.59,10200,24.222719
