Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,38.25,38.849998,37.75,38.099998,82500,38.099998
2016-11-30,38.849998,39.049999,37.990002,38.349998,57100,38.349998
2016-11-29,39.450001,39.75,38.849998,39.099998,80100,39.099998
2016-11-28,38.849998,39.75,38.849998,39.450001,81500,39.450001
2016-11-25,38.299999,38.950001,38.299999,38.950001,30100,38.950001
2016-11-23,38.150002,38.50,38.00,38.150002,117300,38.150002
2016-11-22,37.700001,38.599998,37.450001,38.50,86400,38.50
2016-11-21,37.299999,37.599998,37.099998,37.549999,76700,37.549999
2016-11-18,37.150002,37.450001,36.75,37.200001,100800,37.200001
2016-11-17,37.099998,37.75,36.900002,36.950001,106900,36.950001
2016-11-16,36.650002,37.200001,36.450001,37.200001,104500,37.200001
2016-11-15,36.400002,36.91,36.25,36.799999,92100,36.799999
2016-11-14,36.75,36.900002,34.049999,36.400002,136700,36.400002
2016-11-11,35.099998,36.950001,34.799999,36.75,197000,36.75
2016-11-10,35.200001,35.799999,33.450001,35.099998,166800,35.099998
2016-11-09,34.599998,36.00,33.849998,36.00,125800,35.686999
2016-11-08,35.549999,35.950001,35.450001,35.650002,55400,35.340044
2016-11-07,34.200001,35.599998,34.200001,35.450001,90500,35.141782
2016-11-04,34.400002,35.150002,34.049999,34.049999,84200,33.753953
2016-11-03,33.700001,34.900002,33.50,34.599998,80900,34.29917
2016-11-02,35.099998,35.209999,34.25,34.700001,82700,34.398303
2016-11-01,35.799999,36.049999,35.150002,35.200001,69100,34.893955
2016-10-31,35.25,36.50,35.25,35.950001,110900,35.637435
2016-10-28,35.099998,35.450001,34.900002,35.25,46200,34.94352
2016-10-27,35.00,35.349998,34.950001,35.200001,41900,34.893955
2016-10-26,35.150002,35.349998,34.950001,35.00,73500,34.695694
2016-10-25,35.25,35.450001,35.049999,35.200001,59900,34.893955
2016-10-24,35.049999,35.400002,34.950001,35.349998,47500,35.042649
2016-10-21,34.549999,35.049999,34.549999,35.00,69000,34.695694
2016-10-20,34.799999,35.049999,34.700001,34.700001,75200,34.398303
2016-10-19,34.299999,35.150002,34.299999,34.950001,133900,34.646129
2016-10-18,34.049999,34.50,33.599998,34.200001,57200,33.90265
2016-10-17,33.650002,34.049999,33.650002,33.900002,51100,33.605259
2016-10-14,33.720001,34.220001,33.419998,33.490002,109400,33.198824
2016-10-13,33.66,34.389999,33.59,33.779999,87400,33.4863
2016-10-12,33.240002,33.900002,33.240002,33.82,90600,33.525953
2016-10-11,33.59,33.650002,33.139999,33.349998,72500,33.060038
2016-10-10,33.299999,33.830002,33.299999,33.77,44800,33.476388
2016-10-07,33.720001,33.970001,33.27,33.299999,60900,33.010473
2016-10-06,33.330002,33.77,33.080002,33.57,107200,33.278126
2016-10-05,33.52,33.73,33.330002,33.43,88900,33.139344
