Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,25.60,25.739,25.60,25.739,3500,25.739
2016-11-30,25.601999,25.790001,25.601999,25.790001,2600,25.790001
2016-11-29,25.629999,25.77,25.620001,25.694,1600,25.694
2016-11-28,25.370001,25.65,25.370001,25.65,600,25.65
2016-11-25,25.465,25.465,25.465,25.465,000,25.465
2016-11-23,25.51,25.51,25.450001,25.465,4400,25.465
2016-11-22,25.504,25.60,25.360001,25.598,3800,25.598
2016-11-21,25.16,25.50,25.16,25.360001,2800,25.360001
2016-11-18,25.540001,25.75,25.00,25.214001,45300,25.214001
2016-11-17,25.733999,25.733999,25.51,25.645,1500,25.645
2016-11-16,25.50,25.68,25.50,25.68,1500,25.68
2016-11-15,25.879999,25.879999,25.879999,25.879999,400,25.879999
2016-11-14,25.57,25.750999,25.438,25.459999,12600,25.459999
2016-11-11,25.660999,25.719,25.66,25.700001,4200,25.531001
2016-11-10,25.964001,25.964001,25.66,25.66,5200,25.491263
2016-11-09,25.839001,25.839001,25.839001,25.839001,000,25.669086
2016-11-08,25.839001,25.839001,25.839001,25.839001,1400,25.669086
2016-11-07,25.792999,25.792999,25.792999,25.792999,1300,25.623388
2016-11-04,25.700001,25.870001,25.68,25.85,2800,25.680014
2016-11-03,25.950001,25.950001,25.950001,25.950001,000,25.779357
2016-11-02,25.67,25.950001,25.67,25.950001,1100,25.779357
2016-11-01,26.049999,26.049999,26.040001,26.049999,600,25.878698
2016-10-31,25.854,26.035,25.854,26.035,600,25.863797
2016-10-28,25.917,25.917,25.66,25.806999,7200,25.637295
2016-10-27,25.636,25.636,25.636,25.636,200,25.46742
2016-10-26,25.66,25.962999,25.66,25.669001,5100,25.500204
2016-10-25,25.60,25.653999,25.59,25.653999,2500,25.485302
2016-10-24,25.75,25.75,25.60,25.60,600,25.431658
2016-10-21,25.700001,25.700001,25.59,25.59,600,25.421723
2016-10-20,25.709999,25.73,25.700001,25.700001,700,25.531001
2016-10-19,25.75,25.76,25.75,25.76,1000,25.590605
2016-10-18,25.700001,25.700001,25.700001,25.700001,000,25.531001
2016-10-17,25.700001,25.700001,25.700001,25.700001,000,25.531001
2016-10-14,25.879,25.885,25.700001,25.700001,1800,25.531001
2016-10-13,25.882,25.882,25.882,25.882,000,25.711803
2016-10-12,25.882,25.882,25.882,25.882,100,25.711803
2016-10-11,25.799999,25.809999,25.799999,25.809999,700,25.472388
2016-10-10,26.030001,26.030001,26.030001,26.030001,100,25.689511
2016-10-07,25.99,25.99,25.90,25.91,1500,25.57108
2016-10-06,25.93,25.93,25.82,25.82,900,25.482257
2016-10-05,25.715,25.865999,25.715,25.865999,800,25.527655
2016-10-04,25.764,25.764,25.73,25.73,500,25.393434
2016-10-03,25.889999,25.914,25.718,25.83,1100,25.492127
2016-09-30,25.75,25.973,25.549999,25.973,3900,25.633256
2016-09-29,25.75,25.75,25.75,25.75,1900,25.413173
2016-09-28,25.978001,25.978001,25.899,25.899,1400,25.560224
2016-09-27,25.889999,25.91,25.889999,25.903,1400,25.564172
2016-09-26,25.889999,25.889999,25.656,25.889999,1100,25.551341
2016-09-23,25.809999,25.85,25.778,25.85,2800,25.511865
2016-09-22,25.90,25.969999,25.90,25.93,1800,25.590819
2016-09-21,25.941999,25.941999,25.77,25.780001,4500,25.442781
2016-09-20,26.02,26.02,25.825001,25.85,2600,25.511865
2016-09-19,25.75,25.75,25.75,25.75,600,25.413173
2016-09-16,25.540001,25.545,25.530001,25.545,1700,25.210855
2016-09-15,25.764,25.764,25.764,25.764,1000,25.42699
2016-09-14,25.712999,25.712999,25.530001,25.632,4700,25.296717
2016-09-13,25.757999,25.757999,25.757999,25.757999,500,25.254278
2016-09-12,25.82,25.82,25.82,25.82,000,25.315066
2016-09-09,25.806,25.83,25.799999,25.82,1600,25.315066
2016-09-08,25.93,25.952999,25.82,25.82,600,25.315066
2016-09-07,25.875,25.93,25.875,25.93,700,25.422915
2016-09-06,25.799999,26.049999,25.799999,26.00,2800,25.491546
2016-09-02,25.841,25.841,25.841,25.841,000,25.335655
2016-09-01,25.83,25.952999,25.83,25.841,1100,25.335655
2016-08-31,26.01,26.049999,26.01,26.049999,600,25.540567
2016-08-30,25.90,25.90,25.90,25.90,300,25.393501
2016-08-29,26.00,26.017,25.914,26.00,1700,25.491546
2016-08-26,25.709999,25.92,25.709999,25.92,2900,25.41311
2016-08-25,26.049999,26.049999,25.785,25.812,1200,25.307223
2016-08-24,25.77,25.77,25.700001,25.700001,3500,25.197413
2016-08-23,25.75,25.895,25.75,25.895,2200,25.3886
2016-08-22,25.799999,25.85,25.75,25.789,2500,25.284672
2016-08-19,26.049999,26.049999,25.75,25.85,900,25.34448
2016-08-18,25.48,25.753,25.48,25.749001,900,25.245455
2016-08-17,25.674,25.799999,25.674,25.799,800,25.294476
2016-08-16,25.91,25.91,25.790001,25.790001,800,25.285654
2016-08-15,25.620001,25.84,25.620001,25.84,1400,25.334675
2016-08-12,25.799999,25.799999,25.763,25.763,600,25.259181
2016-08-11,25.671,25.976999,25.65,25.804001,4500,25.133685
2016-08-10,25.74,25.90,25.74,25.834999,3600,25.163878
2016-08-09,25.75,25.75,25.747,25.749001,600,25.080114
2016-08-08,25.65,25.65,25.65,25.65,300,24.983685
2016-08-05,25.440001,25.700001,25.440001,25.65,800,24.983685
2016-08-04,25.552999,25.552999,25.552999,25.552999,000,24.889204
2016-08-03,25.632999,25.700001,25.552999,25.552999,5600,24.889204
2016-08-02,25.652,25.652,25.60,25.60,1600,24.934984
2016-08-01,25.525999,25.525999,25.438,25.444,2400,24.783037
2016-07-29,25.40,25.40,25.40,25.40,000,24.740179
2016-07-28,25.40,25.40,25.40,25.40,000,24.740179
2016-07-27,25.74,25.74,25.40,25.40,5400,24.740179
2016-07-26,25.75,25.75,25.40,25.40,3700,24.740179
2016-07-25,25.450001,25.545,25.41,25.41,900,24.749919
2016-07-22,25.593,25.593,25.558001,25.558001,2000,24.894075
2016-07-21,25.60,25.60,25.60,25.60,400,24.934984
2016-07-20,25.444,25.444,25.444,25.444,200,24.783037
2016-07-19,25.42,25.57,25.42,25.469999,3400,24.80836
2016-07-18,25.450001,25.50,25.450001,25.469999,1300,24.80836
2016-07-15,25.566999,25.57,25.209999,25.299999,2300,24.642776
2016-07-14,25.360001,25.360001,25.360001,25.360001,200,24.701219
2016-07-13,25.360001,25.360001,25.360001,25.360001,600,24.701219
2016-07-12,25.469999,25.469999,25.34,25.34,800,24.517128
2016-07-11,25.452,25.452,25.25,25.25,3400,24.43005
2016-07-08,25.450001,25.450001,25.309999,25.412001,2700,24.58679
2016-07-07,25.450001,25.450001,25.448,25.448,1000,24.62162
2016-07-06,25.379999,25.57,25.309999,25.41,4400,24.584854
2016-07-05,25.315001,25.370001,25.315001,25.360001,1000,24.536479
2016-07-01,25.309999,25.35,25.27,25.290001,2200,24.468752
2016-06-30,25.139999,25.319,25.139999,25.309999,8100,24.488101
2016-06-29,25.07,25.24,25.07,25.15,3300,24.333297
2016-06-28,25.09,25.27,25.09,25.26,2200,24.439726
2016-06-27,25.15,25.15,25.08,25.08,21400,24.26557
2016-06-24,25.02,25.209999,25.01,25.172001,10000,24.354584
2016-06-23,25.129999,25.18,25.049999,25.18,19900,24.362323
2016-06-22,25.049999,25.299999,25.049999,25.10,3300,24.284921
2016-06-21,25.16,25.25,25.16,25.16,4300,24.342972
2016-06-20,25.290001,25.290001,25.110001,25.190001,3500,24.371999
2016-06-17,25.200001,25.333,25.200001,25.333,700,24.510355
2016-06-16,25.18,25.334,25.15,25.17,1100,24.352648
2016-06-15,25.139999,25.290001,25.139999,25.290001,3100,24.468752
2016-06-14,25.15,25.271,25.15,25.15,5600,24.333297
2016-06-13,25.219999,25.219999,25.219999,25.219999,200,24.237511
2016-06-10,25.295,25.295,25.25,25.291,1400,24.305746
2016-06-09,25.299999,25.34,25.25,25.309999,2300,24.324005
2016-06-08,25.334,25.431,25.209999,25.299999,1800,24.314395
2016-06-07,25.219999,25.33,25.219999,25.219999,2800,24.237511
2016-06-06,25.405001,25.405001,25.209999,25.209999,1700,24.227901
2016-06-03,25.200001,25.299,25.190001,25.190001,2500,24.208681
2016-06-02,25.23,25.249001,25.16,25.249001,15400,24.265383
2016-06-01,25.299999,25.389999,25.299999,25.389999,500,24.400889
2016-05-31,25.389999,25.389999,25.389999,25.389999,000,24.400889
2016-05-27,25.379999,25.389999,25.271999,25.389999,900,24.400889
2016-05-26,25.318001,25.40,25.318001,25.40,7000,24.410499
2016-05-25,25.26,25.50,25.24,25.40,5300,24.410499
2016-05-24,25.75,25.75,25.209999,25.23,7200,24.247122
2016-05-23,25.35,25.59,25.26,25.51,6700,24.516215
2016-05-20,25.219999,25.450001,25.219999,25.450001,1100,24.458553
2016-05-19,25.26,25.326,25.209999,25.32,5700,24.333616
2016-05-18,25.24,25.26,25.15,25.200001,3100,24.218292
2016-05-17,25.35,25.35,25.34,25.35,1500,24.362448
2016-05-16,25.48,25.48,25.311001,25.48,4200,24.487383
2016-05-13,25.15,25.48,25.15,25.48,2600,24.487383
2016-05-12,25.469999,25.530001,25.455999,25.530001,2900,24.535436
2016-05-11,25.49,25.49,25.49,25.49,3600,24.334578
2016-05-10,25.50,25.50,25.450001,25.50,15000,24.344125
2016-05-09,25.35,25.360001,25.32,25.35,3200,24.200924
2016-05-06,25.301001,25.316,25.301001,25.316,400,24.168465
2016-05-05,25.400999,25.49,25.400999,25.440001,5200,24.286845
2016-05-04,25.34,25.424999,25.200001,25.40,5200,24.248657
2016-05-03,25.379999,25.40,25.120001,25.379999,6500,24.229563
2016-05-02,25.296,25.389999,25.245001,25.365999,4500,24.216198
2016-04-29,25.200001,25.370001,25.200001,25.327999,1400,24.17992
2016-04-28,25.059999,25.34,25.030001,25.190001,2000,24.048177
2016-04-27,25.23,25.285,25.02,25.02,12100,23.885883
2016-04-26,25.17,25.41,25.17,25.290001,2500,24.143645
2016-04-25,25.110001,25.41,25.110001,25.41,2700,24.258204
2016-04-22,25.030001,25.35,25.02,25.280001,4400,24.134098
2016-04-21,25.139999,25.139999,25.00,25.049999,7700,23.914522
2016-04-20,25.23,25.23,25.139999,25.15,3700,24.009989
2016-04-19,25.219999,25.419001,25.209999,25.247,6900,24.102593
2016-04-18,25.209999,25.49,25.129999,25.440001,8000,24.286845
2016-04-15,25.200001,25.50,25.18,25.489,10000,24.333624
2016-04-14,25.15,25.25,25.110001,25.209999,6300,24.067269
2016-04-13,25.35,25.504,25.35,25.504,1500,24.347943
2016-04-12,25.155001,25.85,25.155001,25.809999,17000,24.478733
2016-04-11,25.035,25.294001,25.035,25.294001,2600,23.989349
2016-04-08,25.049999,25.110001,24.982,25.00,1800,23.710513
2016-04-07,25.096001,25.10,25.075001,25.087,2300,23.793026
2016-04-06,25.08,25.08,25.052999,25.052999,1500,23.760779
2016-04-05,25.08,25.08,25.08,25.08,500,23.786387
2016-04-04,25.059999,25.10,25.059999,25.10,1900,23.805356
2016-04-01,25.049999,25.059,25.014999,25.059,1800,23.76647
2016-03-31,24.982,25.049999,24.950001,25.049999,6000,23.757933
2016-03-30,24.950001,25.080999,24.950001,25.040001,9000,23.748451
2016-03-29,24.950001,24.950001,24.90,24.927,2300,23.641278
2016-03-28,24.93,24.93,24.903,24.93,4700,23.644124
2016-03-24,24.906,24.906,24.809999,24.889999,3500,23.606186
2016-03-23,24.950001,24.950001,24.870001,24.90,3800,23.615671
2016-03-22,24.815001,24.92,24.811001,24.91,2900,23.625155
2016-03-21,24.91,24.92,24.780001,24.896,3200,23.611877
2016-03-18,24.75,24.950001,24.74,24.917999,2000,23.632742
2016-03-17,24.979,24.979,24.91,24.950001,2300,23.663093
2016-03-16,24.809999,24.99,24.799999,24.99,3300,23.701029
2016-03-15,24.99,24.99,24.799999,24.799999,1100,23.520828
2016-03-14,24.860001,24.90,24.825001,24.90,5900,23.615671
2016-03-11,24.950001,24.959999,24.90,24.90,1600,23.455388
2016-03-10,24.940001,24.950001,24.85,24.85,6900,23.408289
2016-03-09,24.90,24.90,24.889999,24.889999,3300,23.445968
2016-03-08,24.85,24.90,24.85,24.899,3300,23.454446
2016-03-07,24.889999,24.90,24.761,24.889999,6200,23.445968
2016-03-04,24.76,24.790001,24.75,24.76,4100,23.323511
2016-03-03,24.68,24.700001,24.60,24.67,3700,23.238732
2016-03-02,24.40,24.73,24.40,24.690001,3900,23.257572
2016-03-01,24.461,24.60,24.461,24.60,2100,23.172794
2016-02-29,24.60,24.60,24.389999,24.50,3700,23.078595
2016-02-26,24.74,24.799999,24.50,24.799999,6200,23.361189
2016-02-25,24.33,24.60,24.271999,24.50,14200,23.078595
2016-02-24,24.799999,24.799999,24.110001,24.33,21100,22.918458
2016-02-23,24.370001,24.93,24.231001,24.93,100900,23.483648
2016-02-22,24.66,24.90,24.43,24.58,11500,23.153953
2016-02-19,24.450001,24.889999,24.209999,24.50,6100,23.078595
2016-02-18,24.40,24.85,24.40,24.459999,401200,23.040915
2016-02-17,24.049999,24.379999,24.049999,24.201,3000,22.796942
2016-02-16,24.030001,24.372,23.790001,24.00,26700,22.607603
2016-02-12,23.60,24.115,23.469999,23.750999,3900,22.373049
2016-02-11,23.60,24.10,23.461,23.82,41800,22.438046
2016-02-10,23.40,23.799999,23.33,23.799999,8300,22.419206
2016-02-09,22.110001,22.700001,22.110001,22.700001,8000,21.22383
2016-02-08,22.50,22.513,21.76,22.129999,22400,20.690895
2016-02-05,22.700001,22.85,22.50,22.58,13500,21.111632
2016-02-04,22.85,22.85,22.41,22.73,26300,21.251878
2016-02-03,23.746,23.790001,23.01,23.237,6400,21.725908
2016-02-02,23.200001,23.40,23.200001,23.35,2700,21.83156
2016-02-01,23.42,23.48,23.299999,23.299999,2400,21.784811
2016-01-29,23.549999,23.59,23.16,23.49,8800,21.962455
2016-01-28,23.299999,23.646,23.16,23.613001,11100,22.077458
2016-01-27,23.15,23.299999,23.15,23.198999,2600,21.690379
2016-01-26,23.58,23.624001,23.030001,23.15,30500,21.644565
2016-01-25,23.561001,24.60,23.559999,23.639999,5800,22.102701
2016-01-22,24.059999,24.059999,23.60,23.799999,4900,22.252296
2016-01-21,23.90,23.90,23.666,23.889999,9900,22.336443
2016-01-20,24.10,24.299999,23.32,23.940001,28400,22.383193
2016-01-19,24.700001,24.700001,24.10,24.120001,16700,22.551488
2016-01-15,24.629999,24.715,24.00,24.639999,18800,23.037671
2016-01-14,24.964001,24.964001,24.629999,24.700001,11500,23.093771
2016-01-13,25.216,25.27,24.76,24.802999,14300,23.190071
2016-01-12,25.32,25.34,25.01,25.01,9700,23.225601
2016-01-11,24.959999,25.23,24.959999,25.18,1300,23.383472
2016-01-08,25.24,25.24,24.959999,24.959999,7600,23.179168
2016-01-07,24.950001,24.950001,24.950001,24.950001,300,23.169883
2016-01-06,24.940001,25.200001,24.940001,25.09,2300,23.299893
2016-01-05,25.16,25.299999,25.00,25.281,3600,23.477266
2016-01-04,24.940001,25.34,24.940001,25.309999,2300,23.504196
2015-12-31,25.146,25.35,25.106001,25.309999,5500,23.504196
2015-12-30,24.889999,25.17,24.889999,24.959999,900,23.179168
2015-12-29,24.92,25.049999,24.903999,25.00,5100,23.216315
2015-12-28,24.983999,24.983999,24.809999,24.809999,900,23.03987
2015-12-24,24.809999,25.190001,24.809999,25.190001,4700,23.392759
2015-12-23,24.950001,25.084,24.950001,25.084,2800,23.294321
2015-12-22,24.940001,25.125,24.75,25.125,4400,23.332396
2015-12-21,24.910999,24.910999,24.818001,24.90,6300,23.123449
2015-12-18,24.76,24.82,24.76,24.82,1600,23.049157
2015-12-17,24.84,24.84,24.75,24.75,3700,22.984151
2015-12-16,24.950001,24.950001,24.700001,24.889999,8500,23.114162
2015-12-15,25.00,25.165001,24.75,25.00,5700,23.216315
2015-12-14,25.299999,25.299999,24.65,24.85,41300,23.077017
2015-12-11,25.360001,25.389999,25.360001,25.378,15000,23.410402
2015-12-10,25.414,25.414,25.370001,25.370001,300,23.403023
2015-12-09,25.302,25.440001,25.302,25.326,3700,23.362434
2015-12-08,25.18,25.417999,25.18,25.290001,1200,23.329226
2015-12-07,25.27,25.27,25.17,25.23,3300,23.273876
2015-12-04,25.25,25.25,25.120001,25.16,2100,23.209304
2015-12-03,25.24,25.290001,25.129999,25.200001,4400,23.246203
2015-12-02,25.24,25.393999,25.10,25.26,9900,23.301551
2015-12-01,25.25,25.43,25.00,25.43,11500,23.458371
2015-11-30,25.40,25.41,25.25,25.379999,2000,23.412246
2015-11-27,25.360001,25.360001,25.360001,25.360001,500,23.393798
2015-11-25,25.41,25.41,25.27,25.360001,4700,23.393798
2015-11-24,25.299999,25.400999,25.299999,25.400999,2300,23.431618
2015-11-23,25.325001,25.35,25.26,25.35,1800,23.384573
2015-11-20,25.25,25.299999,25.120001,25.299999,5800,23.338449
2015-11-19,25.15,25.15,25.110001,25.15,600,23.200079
2015-11-18,25.10,25.219999,25.040001,25.120001,11500,23.172406
2015-11-17,25.132,25.18,25.040001,25.048,17000,23.105988
2015-11-16,25.209999,25.27,25.200001,25.27,1800,23.310776
2015-11-13,25.23,25.24,25.125999,25.16,9500,23.209304
2015-11-12,25.40,25.40,25.261,25.261,1400,23.302473
2015-11-11,25.40,25.43,25.379999,25.40,1700,23.274799
2015-11-10,25.32,25.454,25.25,25.25,8200,23.13735
2015-11-09,25.389999,25.393,25.299999,25.299999,7300,23.183166
2015-11-06,25.34,25.450001,25.32,25.42,8800,23.293126
2015-11-05,25.32,25.445999,25.32,25.440001,2400,23.311453
2015-11-04,25.431999,25.450001,25.375,25.40,3700,23.274799
2015-11-03,25.459999,25.469999,25.370001,25.370001,10000,23.247311
2015-11-02,25.23,25.396999,25.23,25.361,2800,23.239063
2015-10-30,25.26,25.35,25.226999,25.339001,7000,23.218904
2015-10-29,25.280001,25.32,25.280001,25.299999,3400,23.183166
2015-10-28,25.339001,25.35,25.299999,25.299999,1300,23.183166
2015-10-27,25.27,25.403,25.25,25.35,1400,23.228983
2015-10-26,25.40,25.40,25.35,25.389999,1100,23.265636
2015-10-23,25.35,25.440001,25.299999,25.299999,1200,23.183166
2015-10-22,25.43,25.507999,25.35,25.396,2100,23.271134
2015-10-21,25.434999,25.434999,25.434999,25.434999,400,23.306871
2015-10-20,25.360001,25.360001,25.25,25.25,3300,23.13735
2015-10-19,25.25,25.299999,25.200001,25.200001,8700,23.091534
2015-10-16,25.32,25.32,25.25,25.25,2300,23.13735
2015-10-15,25.360001,25.360001,25.200001,25.25,6400,23.13735
2015-10-14,25.219999,25.398001,25.219999,25.25,2900,23.13735
2015-10-13,25.49,25.50,25.450001,25.450001,1100,23.165757
2015-10-12,25.50,25.50,25.389999,25.40,900,23.120244
2015-10-09,25.50,25.50,25.40,25.40,2700,23.120244
2015-10-08,25.40,25.469999,25.40,25.469999,6400,23.183961
2015-10-07,25.469999,25.469999,25.370001,25.40,2900,23.120244
2015-10-06,25.389999,25.450001,25.299999,25.35,8800,23.074732
2015-10-05,25.379999,25.379999,25.299999,25.299999,800,23.029219
2015-10-02,25.15,25.389999,25.15,25.309999,6800,23.038322
2015-10-01,25.184999,25.200001,25.18,25.200001,2200,22.938196
2015-09-30,25.200001,25.200001,25.15,25.18,3000,22.91999
2015-09-29,25.101,25.219999,25.10,25.15,1900,22.892682
2015-09-28,25.25,25.299999,25.15,25.15,11900,22.892682
2015-09-25,25.35,25.360001,25.35,25.35,600,23.074732
2015-09-24,25.25,25.309999,25.15,25.309999,6000,23.038322
2015-09-23,25.32,25.32,25.266001,25.319,2200,23.046515
2015-09-22,25.322001,25.322001,25.289,25.32,5100,23.047424
2015-09-21,25.440001,25.440001,25.389999,25.389999,1400,23.111141
2015-09-18,25.299999,25.33,25.299999,25.32,1500,23.047424
2015-09-17,25.389999,25.389999,25.389999,25.389999,000,23.111141
2015-09-16,25.370001,25.40,25.301001,25.389999,4000,23.111141
2015-09-15,25.34,25.360001,25.34,25.34,1600,23.06563
2015-09-14,25.139999,25.280001,25.139999,25.26,4100,22.99281
2015-09-11,25.23,25.450001,25.23,25.450001,4200,23.011926
2015-09-10,25.42,25.42,25.23,25.299999,3300,22.876294
2015-09-09,25.389999,25.389999,25.24,25.288,3900,22.865445
2015-09-08,25.40,25.40,25.200001,25.200001,3400,22.785876
2015-09-04,25.200001,25.360001,25.200001,25.299999,1500,22.876294
2015-09-03,25.204,25.204,25.200001,25.200001,3500,22.785876
2015-09-02,25.25,25.25,25.236,25.24,1500,22.822043
2015-09-01,25.40,25.40,25.18,25.219999,3600,22.803958
2015-08-31,25.280001,25.280001,25.139999,25.23,2900,22.813001
2015-08-28,25.10,25.246,25.10,25.209999,6000,22.794916
2015-08-27,25.00,25.139999,24.847,25.01,14200,22.614077
2015-08-26,25.129999,25.129999,24.50,24.950001,4900,22.559825
2015-08-25,24.85,25.00,24.75,24.76,12200,22.388027
2015-08-24,24.709999,24.76,24.610001,24.700001,26100,22.333775
2015-08-21,25.25,25.275,24.860001,24.93,21200,22.541741
2015-08-20,25.299999,25.389999,25.299999,25.299999,7000,22.876294
2015-08-19,25.32,25.40,25.309999,25.313999,4600,22.888953
2015-08-18,25.50,25.549999,25.16,25.299999,14000,22.876294
2015-08-17,25.450001,25.50,25.389,25.41,6400,22.975757
2015-08-14,25.357,25.440001,25.357,25.440001,5700,23.002884
2015-08-13,25.440001,25.440001,25.26,25.370001,3300,22.93959
2015-08-12,25.360001,25.440001,25.360001,25.440001,3200,22.850073
2015-08-11,25.34,25.379999,25.299999,25.379999,3300,22.79618
2015-08-10,25.299999,25.35,25.15,25.35,8900,22.769235
2015-08-07,25.23,25.264999,25.23,25.264999,1300,22.692888
2015-08-06,25.299999,25.299999,25.209999,25.219999,5400,22.652469
2015-08-05,25.290001,25.33,25.25,25.25,700,22.679415
2015-08-04,25.336,25.336,25.200001,25.224001,5400,22.656063
2015-08-03,25.35,25.35,25.200001,25.23,1200,22.661451
2015-07-31,25.23,25.308001,25.200001,25.219999,6600,22.652469
2015-07-30,25.297001,25.33,25.297001,25.32,1500,22.742289
2015-07-29,25.200001,25.287001,25.200001,25.277,4200,22.703667
2015-07-28,25.10,25.25,25.10,25.200001,7800,22.634506
2015-07-27,25.10,25.146999,24.99,25.120001,6600,22.562651
2015-07-24,25.01,25.049999,25.00,25.049999,5000,22.499776
2015-07-23,25.24,25.27,24.969999,24.969999,22000,22.42792
2015-07-22,25.25,25.25,25.15,25.24,3200,22.670433
2015-07-21,25.290001,25.35,25.25,25.25,4400,22.679415
2015-07-20,25.299999,25.34,25.277,25.339001,1500,22.759355
2015-07-17,25.15,25.35,25.15,25.299999,6300,22.724324
2015-07-16,25.25,25.299999,25.15,25.15,4200,22.589596
2015-07-15,25.25,25.34,25.15,25.200001,7200,22.634506
2015-07-14,25.25,25.299999,25.25,25.296,4700,22.568937
2015-07-13,25.299999,25.299999,25.25,25.25,4100,22.527896
2015-07-10,25.25,25.290001,25.209999,25.23,2900,22.510052
2015-07-09,25.25,25.25,25.200001,25.200001,700,22.483287
2015-07-08,25.103001,25.124001,25.10,25.10,1200,22.394068
2015-07-07,25.15,25.159,25.07,25.159,13100,22.446707
2015-07-06,25.17,25.17,25.17,25.17,400,22.456521
2015-07-02,25.049999,25.127001,25.049999,25.110001,4600,22.40299
2015-07-01,25.18,25.18,25.049999,25.110001,3000,22.40299
2015-06-30,25.08,25.16,25.07,25.10,11200,22.394068
2015-06-29,25.049999,25.179001,25.049999,25.07,16200,22.367301
2015-06-26,25.15,25.167,25.15,25.167,1400,22.453844
2015-06-25,25.059999,25.10,25.049999,25.10,10000,22.394068
2015-06-24,25.044001,25.075001,25.040001,25.040001,4800,22.340536
2015-06-23,25.059999,25.087999,25.01,25.01,8900,22.31377
2015-06-22,25.15,25.15,25.01,25.15,2200,22.438677
2015-06-19,25.040001,25.15,24.99,25.09,5100,22.385145
2015-06-18,25.09,25.200001,24.950001,24.950001,56000,22.260239
2015-06-17,25.219999,25.440001,25.09,25.41,4300,22.670647
2015-06-16,25.35,25.49,25.33,25.34,5800,22.608194
2015-06-15,25.27,25.389999,25.219999,25.370001,1800,22.63496
2015-06-12,25.17,25.200001,25.17,25.200001,1300,22.483287
2015-06-11,25.368999,25.440001,25.327,25.337,3000,22.454737
2015-06-10,25.308001,25.308001,25.299999,25.299999,700,22.421945
2015-06-09,25.25,25.32,25.209999,25.32,1600,22.439671
2015-06-08,25.17,25.379999,25.15,25.34,6300,22.457396
2015-06-05,25.209999,25.209999,25.17,25.209999,3000,22.342183
2015-06-04,25.15,25.309999,25.15,25.190001,21300,22.32446
