Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,22.889999,22.99,22.870001,22.99,1900,22.99
2016-11-30,22.629999,22.90,22.08,22.50,2800,22.50
2016-11-29,22.700001,22.90,22.58,22.60,3000,22.500001
2016-11-28,22.90,22.90,22.50,22.52,2800,22.420355
2016-11-25,22.450001,22.450001,22.450001,22.450001,000,22.350665
2016-11-23,22.450001,22.450001,22.450001,22.450001,300,22.350665
2016-11-22,22.299999,22.299999,22.299999,22.299999,300,22.201327
2016-11-21,22.24,22.34,22.07,22.190001,3000,22.091815
2016-11-18,21.879999,21.90,21.879999,21.889999,600,21.793142
2016-11-17,21.57,21.870001,21.57,21.870001,1100,21.773232
2016-11-16,21.790001,21.790001,21.790001,21.790001,200,21.693586
2016-11-15,21.450001,21.450001,21.25,21.450001,11500,21.35509
2016-11-14,21.290001,21.84,21.25,21.450001,2100,21.35509
2016-11-11,21.639999,21.639999,21.25,21.25,1500,21.155974
2016-11-10,20.459999,20.52,20.360001,20.360001,4500,20.269913
2016-11-09,20.389999,20.389999,20.299999,20.309999,10000,20.220133
2016-11-08,20.00,20.26,20.00,20.25,14400,20.160399
2016-11-07,20.50,20.50,19.799999,20.00,8700,19.911505
2016-11-04,20.50,20.50,20.50,20.50,2200,20.409293
2016-11-03,20.50,20.50,20.50,20.50,2700,20.409293
2016-11-02,20.77,20.77,20.15,20.75,12500,20.658186
2016-11-01,20.93,20.93,20.93,20.93,300,20.83739
2016-10-31,20.75,20.780001,20.75,20.75,1100,20.658186
2016-10-28,20.860001,20.99,20.860001,20.99,1300,20.897124
2016-10-27,20.77,20.77,20.77,20.77,4300,20.678098
2016-10-26,20.809999,20.82,20.75,20.75,5600,20.658186
2016-10-25,20.82,20.85,20.82,20.84,1300,20.747788
2016-10-24,20.75,20.809999,20.75,20.809999,400,20.71792
2016-10-21,20.84,20.84,20.84,20.84,300,20.747788
2016-10-20,20.76,20.92,20.700001,20.92,2400,20.827434
2016-10-19,20.950001,20.950001,20.950001,20.950001,000,20.857302
2016-10-18,20.969999,21.00,20.950001,20.950001,800,20.857302
2016-10-17,20.809999,20.809999,20.809999,20.809999,000,20.71792
2016-10-14,20.809999,20.809999,20.809999,20.809999,200,20.71792
2016-10-13,20.75,20.75,20.75,20.75,100,20.658186
2016-10-12,20.90,20.90,20.90,20.90,000,20.807522
2016-10-11,20.60,21.00,20.60,20.90,2600,20.807522
2016-10-10,20.620001,20.780001,20.620001,20.780001,200,20.688054
2016-10-07,20.90,20.90,20.90,20.90,000,20.807522
2016-10-06,20.889999,20.90,20.60,20.90,1300,20.807522
2016-10-05,20.83,20.90,20.620001,20.620001,3400,20.528762
2016-10-04,20.90,20.90,20.50,20.799999,4300,20.707964
2016-10-03,20.60,20.66,20.450001,20.530001,7600,20.439161
2016-09-30,21.00,21.00,21.00,21.00,200,20.90708
2016-09-29,20.82,20.82,20.82,20.82,100,20.727876
2016-09-28,20.50,20.50,20.50,20.50,400,20.409293
2016-09-27,20.50,20.50,20.50,20.50,000,20.409293
2016-09-26,20.52,20.57,20.50,20.50,4300,20.409293
2016-09-23,20.559999,20.559999,20.559999,20.559999,000,20.469027
2016-09-22,20.559999,20.559999,20.559999,20.559999,200,20.469027
2016-09-21,20.75,20.75,20.75,20.75,300,20.658186
2016-09-20,20.610001,20.610001,20.610001,20.610001,000,20.518806
2016-09-19,21.65,21.65,20.50,20.610001,2400,20.518806
2016-09-16,20.50,20.99,20.50,20.92,2100,20.827434
2016-09-15,20.93,20.99,20.75,20.75,2700,20.658186
2016-09-14,20.51,21.00,20.51,21.00,200,20.90708
2016-09-13,20.92,20.93,20.51,20.51,400,20.419249
2016-09-12,20.92,20.92,20.41,20.42,1700,20.329647
2016-09-09,21.049999,21.07,20.40,20.41,2200,20.319691
2016-09-08,21.02,21.02,21.01,21.01,1600,20.917036
2016-09-07,21.25,21.50,21.049999,21.049999,1500,20.956858
2016-09-06,21.74,21.889999,21.01,21.030001,3700,20.936948
2016-09-02,21.15,22.77,21.15,21.35,1900,21.255532
2016-09-01,22.139999,22.139999,21.10,21.10,1200,21.006638
2016-08-31,21.02,21.02,21.02,21.02,200,20.926992
2016-08-30,21.07,21.07,21.07,21.07,000,20.877212
2016-08-29,20.870001,22.00,20.870001,21.07,45800,20.877212
2016-08-26,20.82,21.66,20.50,21.66,1300,21.461814
2016-08-25,20.780001,20.780001,20.50,20.50,4600,20.312428
2016-08-24,20.60,21.33,20.60,21.00,31100,20.807853
2016-08-23,21.09,21.25,21.00,21.00,11600,20.807853
2016-08-22,20.65,21.049999,20.65,21.030001,17600,20.837579
2016-08-19,21.85,21.85,20.60,20.60,800,20.411513
2016-08-18,20.549999,20.549999,20.549999,20.549999,000,20.36197
2016-08-17,20.549999,20.549999,20.549999,20.549999,200,20.36197
2016-08-16,20.92,20.92,20.92,20.92,300,20.728585
2016-08-15,20.48,21.50,20.48,20.52,1200,20.332246
2016-08-12,20.889999,20.889999,20.889999,20.889999,000,20.698859
2016-08-11,20.860001,20.889999,20.860001,20.889999,300,20.698859
2016-08-10,21.00,21.00,21.00,21.00,25200,20.807853
2016-08-09,20.799999,20.799999,20.799999,20.799999,000,20.609682
2016-08-08,20.799999,20.799999,20.799999,20.799999,000,20.609682
2016-08-05,20.959999,20.959999,20.799999,20.799999,2600,20.609682
2016-08-04,21.00,21.00,20.459999,20.700001,400,20.510599
2016-08-03,20.91,20.91,20.40,20.870001,9000,20.679043
2016-08-02,20.40,20.65,20.40,20.65,2000,20.461055
2016-08-01,20.50,20.559999,20.42,20.42,700,20.23316
2016-07-29,20.75,20.75,20.40,20.50,1200,20.312428
2016-07-28,20.450001,20.75,20.26,20.75,17600,20.560141
2016-07-27,21.00,21.00,20.60,20.60,1400,20.411513
2016-07-26,20.799999,21.00,20.50,21.00,2400,20.807853
2016-07-25,20.74,20.799999,20.42,20.799999,6200,20.609682
2016-07-22,20.309999,20.33,20.17,20.280001,2400,20.094442
2016-07-21,20.33,20.33,19.379999,20.10,5000,19.916088
2016-07-20,19.50,19.52,19.50,19.52,500,19.341395
2016-07-19,19.50,19.83,19.360001,19.83,1200,19.648558
2016-07-18,19.35,19.48,19.35,19.48,1100,19.30176
2016-07-15,19.360001,19.360001,19.35,19.35,2100,19.172951
2016-07-14,19.41,19.41,19.35,19.35,1400,19.172951
2016-07-13,19.379999,19.379999,19.379999,19.379999,500,19.202675
2016-07-12,19.379999,19.379999,19.379999,19.379999,100,19.202675
2016-07-11,19.26,19.690001,19.26,19.690001,200,19.50984
2016-07-08,19.549999,19.549999,19.549999,19.549999,000,19.37112
2016-07-07,19.549999,19.549999,19.549999,19.549999,000,19.37112
2016-07-06,19.50,19.549999,19.35,19.549999,33800,19.37112
2016-07-05,19.26,19.26,19.26,19.26,000,19.083774
2016-07-01,19.26,19.26,19.26,19.26,200,19.083774
2016-06-30,19.85,19.85,19.610001,19.610001,600,19.430572
2016-06-29,19.52,19.52,19.52,19.52,300,19.341395
2016-06-28,19.200001,19.200001,19.200001,19.200001,200,19.024324
2016-06-27,19.200001,19.200001,19.200001,19.200001,200,19.024324
2016-06-24,19.48,19.48,19.48,19.48,000,19.30176
2016-06-23,19.48,19.48,19.48,19.48,000,19.30176
2016-06-22,19.110001,19.50,19.110001,19.48,700,19.30176
2016-06-21,19.07,19.07,19.059999,19.059999,500,18.885603
2016-06-20,18.92,18.92,18.92,18.92,000,18.746885
2016-06-17,18.92,18.92,18.92,18.92,000,18.746885
2016-06-16,18.92,18.92,18.92,18.92,200,18.746885
2016-06-15,19.48,19.52,19.450001,19.52,5300,19.341395
2016-06-14,19.43,19.450001,19.370001,19.450001,1000,19.272036
2016-06-13,19.309999,19.309999,19.309999,19.309999,000,19.133316
2016-06-10,19.10,19.450001,19.10,19.309999,4300,19.133316
2016-06-09,18.959999,19.10,18.959999,19.10,1200,18.925238
2016-06-08,19.42,19.42,19.42,19.42,100,19.24231
2016-06-07,18.90,19.299999,18.90,19.299999,900,19.123407
2016-06-06,19.190001,19.190001,19.190001,19.190001,000,19.014415
2016-06-03,19.190001,19.190001,19.190001,19.190001,000,19.014415
2016-06-02,19.48,19.48,19.190001,19.190001,400,19.014415
2016-06-01,19.450001,19.450001,19.450001,19.450001,700,19.272036
2016-05-31,19.450001,19.48,19.200001,19.48,1700,19.202675
2016-05-27,19.25,19.25,19.25,19.25,000,18.975949
2016-05-26,19.25,19.25,19.25,19.25,000,18.975949
2016-05-25,19.25,19.25,19.25,19.25,1400,18.975949
2016-05-24,18.959999,18.959999,18.959999,18.959999,000,18.690077
2016-05-23,18.93,19.00,18.92,18.959999,600,18.690077
2016-05-20,19.440001,19.440001,18.90,19.16,1100,18.887231
2016-05-19,19.34,19.34,19.34,19.34,000,19.064668
2016-05-18,19.48,19.48,19.34,19.34,1200,19.064668
2016-05-17,19.10,19.299999,19.059999,19.139999,24500,18.867515
2016-05-16,18.610001,18.610001,18.610001,18.610001,000,18.345061
2016-05-13,18.610001,18.610001,18.610001,18.610001,000,18.345061
2016-05-12,18.73,18.969999,18.610001,18.610001,2100,18.345061
2016-05-11,19.049999,19.059999,18.709999,18.709999,800,18.443636
2016-05-10,18.809999,18.83,18.809999,18.83,500,18.561929
2016-05-09,18.700001,19.18,18.58,18.700001,10600,18.43378
2016-05-06,18.77,18.77,18.77,18.77,000,18.502783
2016-05-05,18.77,18.77,18.77,18.77,000,18.502783
2016-05-04,19.01,19.299999,18.68,18.77,1900,18.502783
2016-05-03,19.25,19.25,19.25,19.25,300,18.975949
2016-05-02,18.58,19.35,18.51,19.17,6300,18.897088
2016-04-29,19.209999,19.209999,19.209999,19.209999,1100,18.936518
2016-04-28,18.41,19.10,18.41,19.059999,4600,18.788654
2016-04-27,18.66,18.66,18.66,18.66,200,18.394349
2016-04-26,18.82,18.83,18.780001,18.790001,2500,18.522499
2016-04-25,18.82,18.99,18.82,18.860001,3000,18.591502
2016-04-22,19.290001,19.290001,18.83,18.83,600,18.561929
2016-04-21,18.91,18.91,18.91,18.91,200,18.64079
2016-04-20,18.90,18.90,18.90,18.90,100,18.630932
2016-04-19,18.84,18.889999,18.780001,18.889999,1300,18.621074
2016-04-18,18.809999,19.049999,18.790001,18.790001,3900,18.522499
2016-04-15,18.889999,19.299999,18.809999,18.90,40300,18.630932
2016-04-14,18.790001,18.790001,18.790001,18.790001,000,18.522499
2016-04-13,18.790001,18.790001,18.790001,18.790001,400,18.522499
2016-04-12,18.91,18.91,18.91,18.91,000,18.64079
2016-04-11,18.82,19.309999,18.82,18.91,900,18.64079
