Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,13.05,13.15,12.77,12.84,3077900,12.84
2016-11-30,13.68,13.69,13.10,13.28,1310500,13.28
2016-11-29,13.75,13.87,13.52,13.59,665600,13.59
2016-11-28,13.90,14.00,13.74,13.76,510400,13.76
2016-11-25,13.93,14.05,13.88,13.98,209000,13.98
2016-11-23,13.94,13.98,13.81,13.93,502700,13.93
2016-11-22,13.91,13.95,13.75,13.93,528600,13.93
2016-11-21,13.94,14.05,13.83,13.89,588300,13.89
2016-11-18,13.84,13.95,13.73,13.84,664100,13.84
2016-11-17,13.77,13.99,13.77,13.84,735800,13.84
2016-11-16,13.67,13.81,13.53,13.76,697800,13.76
2016-11-15,13.44,13.78,13.34,13.67,884700,13.67
2016-11-14,13.52,13.71,12.96,13.46,1013100,13.46
2016-11-11,13.05,13.46,12.92,13.40,1176500,13.40
2016-11-10,12.81,13.11,12.77,12.99,1243500,12.99
2016-11-09,12.20,12.72,12.20,12.68,1135100,12.68
2016-11-08,12.19,12.43,12.10,12.35,1030200,12.35
2016-11-07,12.35,12.58,12.18,12.23,1539100,12.23
2016-11-04,12.05,12.23,12.03,12.12,879500,12.12
2016-11-03,12.22,12.33,11.93,11.98,1083300,11.98
2016-11-02,12.89,12.89,12.13,12.23,3476900,12.23
2016-11-01,12.98,13.02,12.78,12.86,1295900,12.86
2016-10-31,13.05,13.05,12.83,12.93,1363900,12.93
2016-10-28,12.94,13.14,12.82,13.05,1297000,13.05
2016-10-27,13.65,13.76,12.78,13.03,1582900,13.03
2016-10-26,13.28,13.38,13.19,13.20,827500,13.20
2016-10-25,13.55,13.55,13.21,13.39,1677300,13.39
2016-10-24,13.46,13.63,13.29,13.52,996000,13.52
2016-10-21,13.06,13.58,13.06,13.34,1156500,13.34
2016-10-20,13.14,13.17,12.99,13.15,824100,13.15
2016-10-19,13.26,13.44,13.12,13.20,893700,13.20
2016-10-18,13.71,13.79,13.25,13.27,602700,13.27
2016-10-17,13.51,13.67,13.44,13.56,994400,13.56
2016-10-14,13.85,13.89,13.54,13.54,659800,13.54
2016-10-13,14.14,14.14,13.71,13.79,1234800,13.79
2016-10-12,14.46,14.55,14.23,14.23,1041000,14.23
2016-10-11,14.49,14.59,14.29,14.44,2013200,14.44
2016-10-10,14.39,14.66,14.33,14.50,1415100,14.50
2016-10-07,14.05,14.36,14.02,14.35,1459400,14.35
2016-10-06,13.76,14.13,13.76,13.99,1274300,13.99
2016-10-05,13.93,14.04,13.64,13.74,1454900,13.74
2016-10-04,13.12,13.83,13.04,13.80,2880700,13.80
2016-10-03,13.59,13.69,13.10,13.12,750000,13.12
2016-09-30,13.64,13.68,13.49,13.57,1560100,13.57
2016-09-29,13.55,13.68,13.50,13.63,1791400,13.63
2016-09-28,13.19,13.68,13.13,13.59,2080700,13.59
2016-09-27,13.18,13.30,13.08,13.18,753100,13.18
2016-09-26,13.23,13.30,13.12,13.17,584400,13.17
2016-09-23,13.31,13.36,13.18,13.30,497200,13.30
2016-09-22,12.99,13.32,12.88,13.29,718600,13.29
2016-09-21,12.72,12.89,12.50,12.86,2924800,12.86
2016-09-20,13.03,13.41,12.70,12.72,1177700,12.72
2016-09-19,13.52,13.58,12.97,13.01,1417000,13.01
2016-09-16,13.37,13.55,13.11,13.35,1760300,13.35
2016-09-15,13.15,13.60,13.13,13.41,2547400,13.41
2016-09-14,13.52,13.59,12.81,13.13,8678000,13.13
2016-09-13,13.67,13.77,13.46,13.56,1029000,13.56
2016-09-12,13.33,13.83,13.33,13.82,1124500,13.82
2016-09-09,14.06,14.09,13.45,13.47,1460100,13.47
2016-09-08,14.28,14.60,14.10,14.11,705400,14.11
2016-09-07,14.14,14.28,14.07,14.25,682200,14.25
2016-09-06,14.19,14.23,14.01,14.14,366500,14.14
2016-09-02,14.16,14.25,14.05,14.12,545400,14.12
2016-09-01,14.25,14.38,14.06,14.14,527100,14.14
2016-08-31,14.16,14.28,14.08,14.18,641400,14.18
2016-08-30,14.35,14.41,14.17,14.19,601400,14.19
2016-08-29,14.45,14.49,14.29,14.36,618800,14.36
2016-08-26,14.46,14.64,14.21,14.41,933500,14.41
2016-08-25,14.57,14.63,14.37,14.46,488600,14.46
2016-08-24,14.88,15.00,14.60,14.63,796700,14.63
2016-08-23,14.93,15.01,14.88,14.91,669800,14.91
2016-08-22,14.82,15.01,14.75,14.91,1087200,14.91
2016-08-19,14.84,14.87,14.70,14.83,777800,14.83
2016-08-18,14.57,14.90,14.55,14.87,974900,14.87
2016-08-17,14.54,14.67,14.30,14.63,957700,14.63
2016-08-16,14.65,14.75,14.55,14.56,536000,14.56
2016-08-15,14.68,14.82,14.61,14.71,659900,14.71
2016-08-12,14.74,14.76,14.52,14.62,690900,14.62
2016-08-11,14.63,14.91,14.57,14.76,918700,14.76
2016-08-10,14.39,14.77,14.28,14.64,1552000,14.64
2016-08-09,14.80,14.81,14.32,14.42,1238800,14.42
2016-08-08,14.90,15.00,14.74,14.81,1467200,14.81
2016-08-05,14.37,14.89,14.16,14.85,1251100,14.85
