Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,45.200001,46.00,43.759998,45.540001,42900,45.540001
2016-11-30,45.470001,45.98,44.689999,45.09,85600,45.09
2016-11-29,45.119999,45.700001,42.740002,45.369999,68100,45.369999
2016-11-28,45.490002,45.490002,44.84,44.970001,38100,44.970001
2016-11-25,46.27,46.27,45.439999,45.75,15000,45.75
2016-11-23,45.189999,46.169998,44.700001,46.049999,80500,46.049999
2016-11-22,44.00,45.200001,43.560001,45.16,78300,45.16
2016-11-21,43.50,43.860001,43.259998,43.860001,48200,43.860001
2016-11-18,43.52,43.630001,43.369999,43.50,143500,43.50
2016-11-17,43.50,44.48,43.369999,43.50,84600,43.50
2016-11-16,43.110001,43.59,43.110001,43.50,68700,43.50
2016-11-15,44.009998,44.040001,43.290001,43.50,82400,43.50
2016-11-14,43.209999,46.32,41.900002,44.490002,298900,44.490002
2016-11-11,40.509998,43.00,40.509998,42.869999,205800,42.869999
2016-11-10,38.68,41.18,38.68,40.59,162600,40.59
2016-11-09,37.130001,38.509998,36.77,38.50,145200,38.50
2016-11-08,36.900002,36.919998,36.599998,36.700001,59800,36.700001
2016-11-07,36.619999,37.490002,36.32,36.91,69400,36.91
2016-11-04,36.169998,36.869999,36.02,36.27,58600,36.27
2016-11-03,36.73,36.950001,36.18,36.240002,53600,36.240002
2016-11-02,37.59,37.59,36.639999,36.779999,40100,36.779999
2016-11-01,37.919998,37.919998,37.049999,37.59,57400,37.59
2016-10-31,37.919998,38.00,37.709999,37.919998,71500,37.919998
2016-10-28,37.849998,38.130001,37.439999,37.919998,44000,37.919998
2016-10-27,37.779999,38.130001,37.639999,37.75,36300,37.75
2016-10-26,37.18,37.990002,37.18,37.779999,69200,37.779999
2016-10-25,36.849998,37.540001,36.849998,37.529999,73100,37.529999
2016-10-24,36.59,37.049999,36.290001,37.029999,54200,37.029999
2016-10-21,35.919998,36.900002,35.130001,36.59,72800,36.59
2016-10-20,35.669998,36.41,35.150002,36.07,49500,36.07
2016-10-19,34.610001,35.830002,34.610001,35.669998,43900,35.669998
2016-10-18,34.580002,35.23,34.540001,34.939999,42800,34.939999
2016-10-17,34.470001,34.889999,34.34,34.549999,32000,34.549999
2016-10-14,34.57,34.990002,34.389999,34.470001,56800,34.470001
2016-10-13,35.209999,35.209999,34.310001,34.349998,26300,34.349998
2016-10-12,35.150002,35.66,35.150002,35.349998,30500,35.349998
2016-10-11,35.34,35.639999,35.220001,35.290001,47300,35.290001
2016-10-10,35.240002,35.66,35.240002,35.560001,33200,35.560001
2016-10-07,35.259998,35.32,35.040001,35.240002,23500,35.240002
2016-10-06,35.169998,35.419998,35.02,35.330002,34500,35.330002
2016-10-05,34.689999,35.59,34.689999,35.419998,48100,35.419998
2016-10-04,34.799999,35.310001,34.740002,34.790001,29400,34.640002
2016-10-03,35.470001,35.470001,34.709999,34.790001,43600,34.640002
2016-09-30,35.18,35.990002,34.93,35.75,61000,35.595862
2016-09-29,35.389999,35.75,35.060001,35.099998,35100,34.948663
2016-09-28,35.040001,35.549999,34.98,35.400002,50800,35.247372
2016-09-27,34.52,35.110001,34.349998,35.040001,27100,34.888924
2016-09-26,35.220001,35.290001,34.549999,34.59,24400,34.440863
2016-09-23,35.509998,35.700001,35.360001,35.549999,28900,35.396723
2016-09-22,35.459999,35.73,35.380001,35.709999,33800,35.556033
2016-09-21,35.509998,35.77,35.080002,35.459999,53900,35.307111
2016-09-20,35.73,35.759998,35.259998,35.50,32000,35.34694
2016-09-19,36.23,36.23,35.560001,35.650002,38300,35.496294
2016-09-16,35.400002,35.959999,35.169998,35.93,170600,35.775086
2016-09-15,34.990002,35.41,34.98,35.400002,45400,35.247372
2016-09-14,35.080002,35.529999,34.619999,34.889999,156600,34.739569
2016-09-13,34.720001,35.220001,34.360001,35.110001,77600,34.958622
2016-09-12,34.77,35.119999,34.43,35.110001,30900,34.958622
2016-09-09,34.630001,35.48,34.52,35.080002,80300,34.928752
2016-09-08,35.119999,35.209999,34.610001,34.900002,25500,34.749528
2016-09-07,34.549999,35.32,34.52,35.279999,48500,35.127887
2016-09-06,35.029999,35.029999,34.330002,34.529999,56500,34.381121
2016-09-02,35.009998,35.110001,34.73,35.029999,44500,34.878965
2016-09-01,35.040001,35.130001,34.50,35.009998,77100,34.859051
2016-08-31,35.66,35.799999,34.91,35.049999,87200,34.898879
2016-08-30,35.25,35.799999,35.130001,35.66,74100,35.50625
2016-08-29,35.130001,35.369999,34.919998,35.25,42800,35.098017
2016-08-26,34.91,35.259998,34.82,35.130001,43200,34.978536
2016-08-25,34.23,35.00,34.23,34.91,57100,34.759483
2016-08-24,33.939999,34.650002,33.830002,34.580002,65800,34.430908
2016-08-23,33.959999,34.240002,33.900002,34.07,35200,33.923105
2016-08-22,33.93,34.060001,33.740002,33.959999,39100,33.813578
2016-08-19,34.43,34.43,33.650002,34.07,50000,33.923105
2016-08-18,34.189999,34.50,33.91,34.50,40200,34.351251
2016-08-17,33.939999,34.290001,33.75,34.27,50600,34.122243
2016-08-16,34.110001,34.110001,33.700001,34.00,48700,33.853407
2016-08-15,33.630001,34.32,33.450001,34.259998,52900,34.112284
2016-08-12,33.689999,33.720001,33.150002,33.630001,27700,33.485003
2016-08-11,33.689999,33.84,32.759998,33.73,39000,33.584571
2016-08-10,34.459999,34.459999,32.669998,33.689999,24800,33.544742
2016-08-09,33.779999,34.48,33.740002,34.459999,40000,34.311423
2016-08-08,33.689999,33.75,33.450001,33.75,67800,33.604485
2016-08-05,32.990002,33.84,32.98,33.689999,65700,33.544742
2016-08-04,32.459999,32.889999,32.380001,32.700001,53400,32.559013
2016-08-03,32.169998,32.759998,32.169998,32.560001,25300,32.419617
2016-08-02,32.369999,32.43,32.00,32.150002,52600,32.011385
2016-08-01,32.669998,32.849998,32.130001,32.25,30300,32.110952
2016-07-29,32.299999,32.93,32.099998,32.669998,56200,32.529139
2016-07-28,32.09,32.790001,31.25,32.330002,728500,32.190609
2016-07-27,31.92,32.450001,31.82,32.299999,35800,32.160736
2016-07-26,32.209999,32.209999,31.719999,31.84,35900,31.70272
2016-07-25,32.619999,32.619999,32.009998,32.189999,12600,32.051209
2016-07-22,31.719999,33.00,31.709999,32.630001,50700,32.489315
2016-07-21,31.799999,31.799999,31.549999,31.719999,28300,31.583237
2016-07-20,31.82,31.83,31.549999,31.799999,20000,31.662892
2016-07-19,31.870001,32.080002,31.66,31.82,22300,31.682806
2016-07-18,32.349998,32.490002,31.91,31.93,28700,31.792332
2016-07-15,32.279999,32.59,31.24,32.349998,34700,32.210519
2016-07-14,31.83,32.66,31.77,32.200001,29600,32.061168
2016-07-13,31.82,32.060001,31.52,31.83,31100,31.692763
2016-07-12,31.08,32.07,31.08,31.82,42300,31.682806
2016-07-11,30.57,31.17,30.040001,30.99,29300,30.856384
2016-07-08,29.99,30.959999,29.91,30.690001,39200,30.557679
2016-07-07,29.99,30.00,29.059999,29.58,24200,29.452464
2016-07-06,29.82,30.049999,29.290001,29.870001,35800,29.741214
2016-07-05,30.719999,31.209999,29.450001,29.82,51800,29.691429
2016-07-01,29.33,30.790001,28.68,30.17,58800,29.890567
2016-06-30,28.799999,29.10,28.450001,28.879999,74000,28.612514
2016-06-29,28.209999,28.82,28.209999,28.74,32700,28.473811
2016-06-28,27.690001,28.74,27.52,27.82,47900,27.562332
2016-06-27,28.77,28.77,27.07,27.280001,161500,27.027334
2016-06-24,30.26,30.959999,29.08,29.26,118500,28.988995
2016-06-23,30.98,31.91,30.73,31.58,44600,31.287507
2016-06-22,30.620001,30.98,30.469999,30.59,45100,30.306677
2016-06-21,30.870001,30.870001,30.40,30.639999,15400,30.356213
2016-06-20,30.67,31.280001,30.52,30.84,26100,30.554361
2016-06-17,30.719999,31.15,30.040001,30.219999,70500,29.940103
2016-06-16,30.67,31.02,30.280001,30.620001,27100,30.336399
2016-06-15,30.940001,31.43,30.91,30.93,27400,30.643528
2016-06-14,31.60,31.85,31.32,31.370001,24400,31.079453
2016-06-13,31.92,32.50,31.52,31.65,19400,31.356858
2016-06-10,31.91,32.240002,31.719999,32.099998,15400,31.802689
2016-06-09,32.700001,32.700001,32.16,32.41,20800,32.10982
