Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,8.26,8.39,8.25,8.26,5700,8.26
2016-11-30,8.00,8.50,8.00,8.26,12700,8.26
2016-11-29,8.07,8.07,8.07,8.07,500,8.07
2016-11-28,7.95,8.20,7.95,8.15,2000,8.15
2016-11-25,7.94,7.95,7.94,7.95,2800,7.95
2016-11-23,7.20,7.94,7.20,7.94,27400,7.94
2016-11-22,7.05,7.25,7.05,7.16,11000,7.16
2016-11-21,7.05,7.05,7.04,7.04,1600,7.04
2016-11-18,7.08,7.08,7.00,7.01,7800,7.01
2016-11-17,7.12,7.12,7.00,7.00,5600,7.00
2016-11-16,7.07,7.20,7.02,7.18,3400,7.18
2016-11-15,7.20,7.20,7.01,7.06,5800,7.06
2016-11-14,7.04,7.22,7.04,7.18,3500,7.18
2016-11-11,7.15,7.25,7.04,7.04,17200,7.04
2016-11-10,6.96,7.04,6.96,7.04,9000,7.04
2016-11-09,6.75,6.86,6.69,6.86,11300,6.86
2016-11-08,6.75,6.76,6.72,6.75,20300,6.75
2016-11-07,6.80,6.99,6.80,6.80,3200,6.80
2016-11-04,7.35,7.35,6.80,6.82,10800,6.82
2016-11-03,7.70,7.70,6.73,7.32,64100,7.32
2016-11-02,7.76,7.93,7.72,7.72,1100,7.72
2016-11-01,8.05,8.05,7.70,7.70,9500,7.70
2016-10-31,8.04,8.21,8.01,8.05,4900,8.05
2016-10-28,8.10,8.10,8.10,8.10,000,8.10
2016-10-27,8.05,8.35,8.01,8.10,13400,8.10
2016-10-26,8.10,8.10,8.05,8.05,1300,8.05
2016-10-25,8.01,8.01,8.01,8.01,000,7.96
2016-10-24,8.20,8.25,8.01,8.01,12700,7.96
2016-10-21,8.14,8.14,8.14,8.14,000,8.089189
2016-10-20,8.14,8.14,8.14,8.14,000,8.089189
2016-10-19,8.13,8.29,8.13,8.14,600,8.089189
2016-10-18,8.21,8.22,8.15,8.17,2200,8.119001
2016-10-17,8.21,8.25,8.16,8.18,1200,8.128939
2016-10-14,8.30,8.30,8.14,8.14,3800,8.089189
2016-10-13,8.10,8.28,8.10,8.12,17100,8.069313
2016-10-12,8.13,8.13,8.10,8.10,900,8.049438
2016-10-11,8.14,8.30,8.14,8.16,13600,8.109063
2016-10-10,8.28,8.35,8.14,8.17,10000,8.119001
2016-10-07,8.40,8.43,8.25,8.28,12800,8.228314
2016-10-06,8.62,8.63,8.37,8.43,3600,8.377378
2016-10-05,8.47,8.59,8.47,8.56,1200,8.506567
2016-10-04,8.83,8.83,8.48,8.69,1200,8.635755
2016-10-03,8.15,8.67,8.10,8.29,49400,8.238252
2016-09-30,8.20,8.33,8.20,8.30,22900,8.24819
2016-09-29,8.21,8.34,8.11,8.29,34300,8.238252
2016-09-28,8.32,8.50,8.30,8.31,15400,8.258128
2016-09-27,8.34,8.54,8.31,8.46,10600,8.407191
2016-09-26,8.36,8.47,8.25,8.25,2900,8.198502
2016-09-23,8.29,8.62,8.22,8.22,4900,8.168689
2016-09-22,8.25,8.50,8.25,8.26,5200,8.20844
2016-09-21,8.03,8.24,8.03,8.24,2400,8.188564
2016-09-20,7.85,8.00,7.85,8.00,5600,7.950062
2016-09-19,7.70,7.81,7.70,7.80,7300,7.751311
2016-09-16,8.08,8.08,7.70,7.70,14500,7.651935
2016-09-15,8.20,8.27,8.08,8.08,4700,8.029563
2016-09-14,8.32,8.32,8.22,8.26,3000,8.20844
2016-09-13,8.37,8.44,8.25,8.29,1400,8.238252
2016-09-12,8.30,8.59,8.29,8.30,8400,8.24819
2016-09-09,8.46,8.82,8.32,8.32,17700,8.268064
2016-09-08,8.32,8.66,8.31,8.62,12900,8.566192
2016-09-07,8.48,8.67,8.30,8.47,10200,8.417129
2016-09-06,8.38,8.60,8.38,8.49,3200,8.437003
2016-09-02,8.41,8.41,8.38,8.38,500,8.32769
2016-09-01,8.41,8.41,8.38,8.38,400,8.32769
2016-08-31,8.28,8.37,8.25,8.29,6200,8.238252
2016-08-30,8.44,8.58,8.28,8.28,7000,8.228314
2016-08-29,8.57,8.58,8.38,8.38,7300,8.32769
2016-08-26,8.59,8.59,8.45,8.59,1600,8.53638
2016-08-25,8.69,8.69,8.48,8.48,3800,8.427066
2016-08-24,8.61,9.14,8.61,8.78,3800,8.725193
2016-08-23,9.17,9.49,8.73,8.99,70600,8.933882
2016-08-22,8.45,9.13,8.45,9.12,41000,9.063071
2016-08-19,8.60,8.90,8.58,8.64,5700,8.586068
2016-08-18,8.45,8.51,8.41,8.46,8800,8.407191
2016-08-17,8.43,8.46,8.43,8.46,2000,8.407191
2016-08-16,8.45,8.50,8.45,8.46,4300,8.407191
