Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,2.55,2.82,2.55,2.75,82700,2.75
2016-11-30,2.70,2.81,2.42,2.55,113700,2.55
2016-11-29,2.67,2.83,2.55,2.68,135700,2.68
2016-11-28,2.40,2.55,2.12,2.52,293400,2.52
2016-11-25,1.69,2.98,1.67,2.41,647700,2.41
2016-11-23,1.54,1.87,1.41,1.69,84500,1.69
2016-11-22,1.52,1.58,1.48,1.58,45200,1.58
2016-11-21,1.48,1.55,1.46,1.54,42100,1.54
2016-11-18,1.44,1.55,1.39,1.51,66800,1.51
2016-11-17,1.31,1.45,1.31,1.40,65300,1.40
2016-11-16,1.35,1.37,1.25,1.33,159900,1.33
2016-11-15,1.26,1.35,1.25,1.34,40400,1.34
2016-11-14,1.24,1.31,1.24,1.28,30300,1.28
2016-11-11,1.25,1.31,1.24,1.24,75900,1.24
2016-11-10,1.16,1.28,1.08,1.27,143300,1.27
2016-11-09,1.09,1.19,1.03,1.18,42200,1.18
2016-11-08,1.11,1.19,1.09,1.10,14300,1.10
2016-11-07,1.14,1.15,1.10,1.14,22600,1.14
2016-11-04,1.08,1.19,1.08,1.09,73100,1.09
2016-11-03,1.03,1.11,1.03,1.08,82100,1.08
2016-11-02,1.10,1.10,1.05,1.05,5300,1.05
2016-11-01,1.03,1.08,1.03,1.05,4600,1.05
2016-10-31,1.06,1.11,1.06,1.07,7100,1.07
2016-10-28,1.08,1.12,1.02,1.03,14600,1.03
2016-10-27,1.12,1.13,1.09,1.10,33600,1.10
2016-10-26,1.16,1.16,1.11,1.11,21800,1.11
2016-10-25,1.21,1.21,1.16,1.18,6800,1.18
2016-10-24,1.18,1.19,1.16,1.16,6300,1.16
2016-10-21,1.28,1.34,1.16,1.16,75500,1.16
2016-10-20,1.24,1.29,1.16,1.24,15900,1.24
2016-10-19,1.36,1.40,1.23,1.27,211100,1.27
2016-10-18,1.38,1.42,1.34,1.36,7700,1.36
2016-10-17,1.46,1.46,1.37,1.42,74800,1.42
2016-10-14,1.43,1.46,1.31,1.46,26700,1.46
2016-10-13,1.41,1.43,1.34,1.43,79500,1.43
2016-10-12,1.47,1.50,1.35,1.45,113700,1.45
2016-10-11,1.34,1.60,1.30,1.45,461400,1.45
2016-10-10,1.37,1.37,1.22,1.34,186800,1.34
2016-10-07,1.30,1.40,1.30,1.40,125600,1.40
2016-10-06,1.58,1.60,1.23,1.41,932300,1.41
2016-10-05,1.29,1.29,1.05,1.15,162300,1.15
2016-10-04,1.25,1.32,1.25,1.28,17600,1.28
2016-10-03,1.25,1.32,1.25,1.31,5500,1.31
2016-09-30,1.34,1.34,1.22,1.29,13500,1.29
2016-09-29,1.30,1.33,1.22,1.27,27700,1.27
2016-09-28,1.27,1.34,1.25,1.28,32500,1.28
2016-09-27,1.24,1.30,1.21,1.27,22900,1.27
2016-09-26,1.33,1.49,1.25,1.28,259400,1.28
2016-09-23,1.09,1.50,1.09,1.30,240100,1.30
2016-09-22,0.24,0.24,0.22,0.24,11500,1.20
2016-09-21,0.25,0.25,0.23,0.23,9700,1.15
2016-09-20,0.24,0.26,0.24,0.25,28600,1.25
2016-09-19,0.22,0.24,0.22,0.23,8700,1.15
2016-09-16,0.22,0.24,0.22,0.22,13400,1.10
2016-09-15,0.22,0.24,0.22,0.22,6600,1.10
2016-09-14,0.23,0.24,0.22,0.24,11900,1.20
2016-09-13,0.22,0.23,0.22,0.23,10800,1.15
2016-09-12,0.23,0.23,0.22,0.22,9200,1.10
2016-09-09,0.24,0.24,0.22,0.23,12000,1.15
2016-09-08,0.24,0.25,0.22,0.24,65600,1.20
2016-09-07,0.24,0.30,0.23,0.23,414800,1.15
2016-09-06,0.22,0.24,0.22,0.23,8700,1.15
2016-09-02,0.23,0.24,0.23,0.23,7400,1.15
2016-09-01,0.23,0.24,0.23,0.24,2900,1.20
2016-08-31,0.24,0.24,0.22,0.24,28500,1.20
2016-08-30,0.22,0.24,0.22,0.22,10300,1.10
2016-08-29,0.23,0.23,0.23,0.23,7100,1.15
2016-08-26,0.23,0.23,0.22,0.22,10300,1.10
2016-08-25,0.24,0.25,0.22,0.23,14400,1.15
2016-08-24,0.25,0.25,0.21,0.23,70700,1.15
2016-08-23,0.25,0.33,0.24,0.24,557000,1.20
2016-08-22,0.24,0.25,0.24,0.24,15800,1.20
2016-08-19,0.24,0.26,0.23,0.24,14400,1.20
2016-08-18,0.23,0.24,0.23,0.23,7500,1.15
2016-08-17,0.23,0.25,0.23,0.24,33900,1.20
2016-08-16,0.24,0.32,0.22,0.25,227000,1.25
2016-08-15,0.23,0.24,0.20,0.23,21600,1.15
2016-08-12,0.23,0.24,0.23,0.23,3500,1.15
2016-08-11,0.25,0.25,0.23,0.23,400,1.15
2016-08-10,0.22,0.25,0.22,0.25,2200,1.25
2016-08-09,0.23,0.25,0.23,0.24,20300,1.20
2016-08-08,0.24,0.24,0.23,0.23,6000,1.15
2016-08-05,0.25,0.25,0.23,0.23,20000,1.15
2016-08-04,0.24,0.25,0.23,0.24,8300,1.20
2016-08-03,0.25,0.26,0.23,0.25,1600,1.25
2016-08-02,0.25,0.26,0.24,0.24,5900,1.20
2016-08-01,0.25,0.26,0.25,0.26,2900,1.30
2016-07-29,0.24,0.26,0.24,0.24,8500,1.20
2016-07-28,0.23,0.27,0.23,0.24,53800,1.20
2016-07-27,0.23,0.27,0.23,0.25,42300,1.25
2016-07-26,0.25,0.25,0.23,0.24,23700,1.20
2016-07-25,0.26,0.26,0.23,0.24,23900,1.20
2016-07-22,0.25,0.28,0.22,0.25,162300,1.25
2016-07-21,0.26,0.26,0.23,0.23,13500,1.15
2016-07-20,0.25,0.28,0.25,0.26,1700,1.30
2016-07-19,0.27,0.28,0.25,0.25,7600,1.25
2016-07-18,0.28,0.31,0.26,0.26,20000,1.30
2016-07-15,0.31,0.31,0.27,0.28,4700,1.40
2016-07-14,0.29,0.32,0.27,0.30,22200,1.50
2016-07-13,0.26,0.29,0.25,0.29,4800,1.45
2016-07-12,0.25,0.30,0.25,0.27,37100,1.35
2016-07-11,0.23,0.28,0.23,0.26,15800,1.30
2016-07-08,0.23,0.27,0.23,0.23,7100,1.15
2016-07-07,0.24,0.27,0.24,0.24,18500,1.20
2016-07-06,0.21,0.24,0.21,0.23,8500,1.15
2016-07-05,0.25,0.25,0.22,0.23,12800,1.15
2016-07-01,0.26,0.28,0.25,0.25,10000,1.25
2016-06-30,0.27,0.28,0.25,0.25,15500,1.25
2016-06-29,0.26,0.29,0.24,0.26,24700,1.30
2016-06-28,0.23,0.29,0.23,0.26,76200,1.30
2016-06-27,0.26,0.28,0.22,0.22,28500,1.10
2016-06-24,0.23,0.29,0.23,0.24,29500,1.20
