Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,17.50,17.50,17.280001,17.280001,5300,17.280001
2016-11-30,17.459999,17.50,17.40,17.40,1200,17.40
2016-11-29,17.41,17.42,17.35,17.35,17700,17.35
2016-11-28,17.35,17.450001,17.35,17.450001,2800,17.450001
2016-11-25,17.35,17.440001,17.299999,17.40,3700,17.40
2016-11-23,17.35,17.35,17.049999,17.25,7500,17.25
2016-11-22,17.25,17.450001,17.25,17.450001,3600,17.450001
2016-11-21,17.35,17.50,17.15,17.15,12500,17.15
2016-11-18,16.85,17.450001,16.85,17.450001,10600,17.450001
2016-11-17,16.85,17.98,16.50,16.950001,5600,16.950001
2016-11-16,16.35,17.07,16.15,16.700001,6200,16.700001
2016-11-15,17.139999,17.139999,16.90,17.08,2000,17.08
2016-11-14,16.65,17.40,16.60,17.10,12000,17.10
2016-11-11,16.15,16.50,16.15,16.50,7900,16.50
2016-11-10,16.00,16.450001,15.85,16.40,11300,16.40
2016-11-09,15.50,16.00,15.50,16.00,3400,16.00
2016-11-08,15.85,15.87,15.67,15.67,3400,15.67
2016-11-07,15.85,15.90,15.75,15.90,5300,15.90
2016-11-04,15.80,15.83,15.63,15.80,1900,15.80
2016-11-03,16.200001,16.200001,15.67,15.79,7700,15.79
2016-11-02,15.95,15.95,15.88,15.90,1100,15.90
2016-11-01,16.049999,16.15,15.41,15.85,9000,15.85
2016-10-31,15.80,15.98,15.52,15.60,19900,15.60
2016-10-28,15.45,15.81,15.35,15.80,105700,15.80
2016-10-27,16.030001,16.030001,15.05,15.40,24900,15.40
2016-10-26,15.70,15.90,15.25,15.25,20600,15.25
2016-10-25,15.25,16.35,15.20,15.70,33800,15.70
2016-10-24,15.15,15.25,15.04,15.20,29300,15.20
2016-10-21,15.15,15.15,15.10,15.13,1300,15.13
2016-10-20,15.15,15.15,15.15,15.15,900,15.15
2016-10-19,14.90,14.90,14.90,14.90,200,14.90
2016-10-18,15.12,15.12,14.85,15.00,5300,15.00
2016-10-17,14.85,15.05,14.85,15.05,6100,15.05
2016-10-14,14.90,15.00,14.90,14.91,2100,14.91
2016-10-13,14.98,14.98,14.90,14.90,13100,14.90
2016-10-12,15.05,15.05,14.98,15.01,4500,15.01
2016-10-11,15.15,15.15,15.01,15.01,6300,14.93
2016-10-10,15.14,15.14,15.14,15.14,500,15.059307
2016-10-07,15.11,15.15,14.75,15.15,2100,15.069253
2016-10-06,15.13,15.13,15.08,15.08,800,14.999627
2016-10-05,15.15,15.15,14.89,15.11,700,15.029467
2016-10-04,15.09,15.15,14.75,15.14,9800,15.059307
2016-10-03,15.00,15.29,15.00,15.28,4300,15.198561
2016-09-30,15.53,15.53,15.08,15.08,3600,14.999627
2016-09-29,15.30,15.78,15.30,15.66,1800,15.576535
2016-09-28,15.29,15.46,15.25,15.25,2400,15.168721
2016-09-27,15.77,15.77,15.40,15.40,2000,15.317921
2016-09-26,15.54,15.67,15.39,15.60,2200,15.516856
2016-09-23,15.42,15.69,15.35,15.36,1400,15.278134
2016-09-22,15.96,15.96,15.56,15.56,2300,15.477069
2016-09-21,15.53,15.86,15.26,15.36,2400,15.278134
2016-09-20,15.97,15.97,15.28,15.28,4700,15.198561
