Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,64.849998,66.400002,64.150002,66.050003,210300,66.050003
2016-11-30,64.349998,65.400002,64.150002,64.50,243500,64.50
2016-11-29,64.150002,64.849998,63.650002,64.099998,192700,64.099998
2016-11-28,65.00,65.449997,63.650002,63.799999,213900,63.799999
2016-11-25,65.650002,65.650002,64.25,65.25,100400,65.25
2016-11-23,66.00,66.349998,65.050003,65.300003,261700,65.300003
2016-11-22,64.300003,65.949997,64.190002,65.900002,357400,65.900002
2016-11-21,63.799999,63.950001,62.450001,63.900002,148800,63.900002
2016-11-18,62.25,63.75,62.16,63.400002,386700,63.400002
2016-11-17,61.00,62.25,60.450001,62.00,243100,62.00
2016-11-16,61.400002,62.049999,60.049999,61.00,292500,61.00
2016-11-15,60.599998,62.00,59.900002,61.900002,268100,61.900002
2016-11-14,60.25,62.950001,59.400002,61.349998,333400,61.349998
2016-11-11,57.25,59.900002,53.799999,59.700001,389000,59.700001
2016-11-10,56.450001,58.700001,56.450001,57.25,393500,57.25
2016-11-09,52.25,55.950001,50.650002,55.50,435100,55.50
2016-11-08,52.00,52.75,51.549999,51.799999,138600,51.799999
2016-11-07,51.50,52.400002,51.349998,52.349998,187600,52.349998
2016-11-04,50.150002,51.349998,49.700001,50.50,167000,50.50
2016-11-03,49.799999,50.299999,49.700001,50.049999,123100,50.049999
2016-11-02,50.799999,50.799999,49.400002,49.700001,183900,49.700001
2016-11-01,51.599998,52.049999,50.650002,51.099998,202000,50.959998
2016-10-31,51.450001,51.700001,51.00,51.599998,220500,51.458629
2016-10-28,51.57,51.700001,50.880001,51.32,167400,51.179397
2016-10-27,51.490002,51.66,50.919998,51.580002,189100,51.438687
2016-10-26,50.950001,51.529999,50.740002,51.049999,270100,50.910136
2016-10-25,51.18,51.330002,50.830002,51.060001,224000,50.920111
2016-10-24,51.360001,51.93,51.080002,51.09,289800,50.950027
2016-10-21,51.66,52.02,50.900002,51.310001,329300,51.169426
2016-10-20,52.41,53.27,52.00,52.259998,273400,52.11682
2016-10-19,52.869999,53.93,51.25,53.630001,236100,53.483069
2016-10-18,53.939999,53.939999,53.299999,53.610001,166500,53.463124
2016-10-17,53.77,53.830002,53.299999,53.299999,83400,53.153972
2016-10-14,53.990002,54.189999,53.470001,53.73,81400,53.582794
2016-10-13,54.119999,54.240002,52.970001,53.419998,180500,53.273642
2016-10-12,54.73,55.049999,54.439999,54.599998,119500,54.450409
2016-10-11,55.209999,55.689999,54.419998,54.709999,130700,54.560109
2016-10-10,55.299999,55.790001,55.299999,55.48,139500,55.327999
2016-10-07,55.040001,55.169998,54.330002,55.009998,210500,54.859286
2016-10-06,55.139999,55.18,54.73,55.139999,105400,54.988931
2016-10-05,54.470001,55.299999,54.470001,55.060001,194400,54.909152
2016-10-04,54.009998,54.720001,53.939999,54.299999,126600,54.151232
2016-10-03,53.630001,54.25,53.400002,53.959999,192400,53.812163
2016-09-30,53.279999,54.25,52.970001,54.080002,280000,53.931837
2016-09-29,54.470001,54.799999,53.00,53.040001,222600,52.894686
2016-09-28,54.259998,54.50,53.84,54.470001,289100,54.320768
2016-09-27,53.48,54.09,53.290001,53.959999,217100,53.812163
2016-09-26,54.82,54.82,53.75,53.759998,143800,53.612711
2016-09-23,55.419998,55.810001,55.119999,55.27,164900,55.118576
2016-09-22,55.470001,55.689999,55.029999,55.66,308400,55.507507
2016-09-21,55.310001,55.599998,54.759998,55.299999,158400,55.148492
2016-09-20,55.34,55.369999,54.869999,54.98,162500,54.829369
2016-09-19,54.990002,55.639999,54.209999,55.099998,161400,54.949039
2016-09-16,55.490002,55.490002,54.560001,54.990002,1052500,54.839344
2016-09-15,54.959999,55.57,54.580002,55.540001,262000,55.387836
2016-09-14,55.790001,56.029999,54.93,55.02,227000,54.869261
2016-09-13,56.049999,56.25,55.259998,55.669998,236300,55.517478
2016-09-12,56.16,57.23,55.77,57.220001,244400,57.063234
2016-09-09,56.970001,57.389999,56.48,56.509998,254600,56.355176
2016-09-08,56.709999,57.27,56.610001,57.259998,263500,57.103122
2016-09-07,55.93,56.669998,55.93,56.66,170700,56.504767
2016-09-06,56.939999,56.939999,55.490002,56.169998,263900,56.016108
2016-09-02,56.380001,56.75,55.900002,56.720001,284300,56.564604
2016-09-01,57.00,57.099998,55.720001,56.150002,244800,55.996166
2016-08-31,56.830002,56.919998,55.990002,56.689999,317000,56.534683
2016-08-30,56.330002,56.970001,56.189999,56.810001,207400,56.654357
2016-08-29,56.310001,56.860001,56.299999,56.459999,129800,56.305314
2016-08-26,55.75,56.450001,55.43,56.360001,177500,56.20559
2016-08-25,55.669998,56.00,55.669998,55.91,156100,55.756822
2016-08-24,55.650002,55.869999,55.459999,55.669998,115100,55.517478
2016-08-23,55.389999,55.810001,55.389999,55.619999,160000,55.467615
2016-08-22,54.990002,55.689999,54.610001,55.490002,152700,55.337974
2016-08-19,54.68,55.00,54.009998,54.990002,151600,54.839344
2016-08-18,53.959999,54.849998,53.959999,54.84,242600,54.689753
2016-08-17,53.66,54.450001,53.540001,54.27,229100,54.121315
2016-08-16,53.27,53.919998,53.27,53.689999,175900,53.542903
2016-08-15,53.23,54.110001,53.23,54.049999,88300,53.901917
2016-08-12,52.91,53.540001,52.91,53.279999,93100,53.134026
2016-08-11,53.200001,53.720001,53.040001,53.279999,160500,53.134026
2016-08-10,53.73,53.939999,52.849998,53.200001,133500,53.054247
2016-08-09,53.450001,53.919998,52.380001,53.849998,137900,53.702464
2016-08-08,54.02,54.189999,53.32,53.450001,164400,53.303562
2016-08-05,52.549999,54.169998,52.16,53.98,226200,53.832109
2016-08-04,52.200001,52.439999,51.869999,52.049999,128900,51.907396
2016-08-03,51.560001,52.119999,51.560001,52.110001,108100,51.967233
2016-08-02,52.279999,52.400002,51.549999,51.619999,150800,51.338959
2016-08-01,53.25,53.34,52.310001,52.41,155300,52.124658
2016-07-29,53.439999,53.91,53.07,53.110001,244200,52.820848
2016-07-28,53.639999,53.900002,53.130001,53.630001,186800,53.338017
2016-07-27,53.459999,54.150002,53.459999,53.849998,99700,53.556817
2016-07-26,53.450001,53.82,53.290001,53.540001,192100,53.248507
2016-07-25,53.57,54.259998,52.959999,53.450001,159100,53.158997
2016-07-22,52.91,53.57,52.599998,53.459999,241300,53.168941
2016-07-21,53.41,54.040001,52.580002,52.740002,213700,52.452864
2016-07-20,54.23,54.23,53.279999,53.59,156900,53.298234
2016-07-19,53.360001,54.279999,53.360001,53.66,182600,53.367853
2016-07-18,53.900002,54.040001,53.389999,53.669998,186900,53.377797
2016-07-15,54.34,54.34,53.790001,54.099998,364200,53.805456
2016-07-14,53.48,54.09,53.09,53.689999,435800,53.397688
2016-07-13,52.040001,52.790001,52.040001,52.630001,270600,52.343462
2016-07-12,50.25,52.880001,50.169998,52.689999,506800,52.403133
2016-07-11,50.00,50.470001,49.779999,50.240002,297500,49.966475
2016-07-08,49.00,49.75,48.810001,49.720001,278400,49.449305
2016-07-07,48.09,48.639999,47.82,48.400002,144600,48.136492
2016-07-06,46.91,47.889999,46.82,47.860001,215100,47.599431
2016-07-05,47.919998,48.060001,47.119999,47.439999,330900,47.181716
2016-07-01,48.529999,48.529999,47.330002,48.490002,361700,48.226002
2016-06-30,47.709999,48.849998,47.169998,48.849998,252900,48.584039
2016-06-29,46.540001,47.610001,46.419998,47.599998,208800,47.340845
2016-06-28,45.84,46.400002,45.150002,46.080002,229700,45.829124
2016-06-27,46.029999,46.869999,44.610001,45.150002,484500,44.904187
2016-06-24,48.310001,48.970001,46.66,46.669998,919300,46.415908
2016-06-23,49.57,50.98,49.509998,50.98,385200,50.702444
2016-06-22,49.779999,50.150002,49.060001,49.279999,302500,49.011698
2016-06-21,48.939999,49.82,48.57,49.77,761000,49.499032
2016-06-20,48.810001,49.509998,48.810001,48.939999,268700,48.673549
2016-06-17,48.419998,48.66,47.77,48.169998,395200,47.907741
2016-06-16,48.220001,48.549999,47.650002,48.27,284100,48.007199
2016-06-15,48.830002,49.459999,48.43,48.509998,241400,48.24589
2016-06-14,48.919998,49.759998,48.630001,48.73,320800,48.464694
2016-06-13,49.470001,49.860001,49.029999,49.23,255500,48.961971
2016-06-10,49.049999,49.91,48.779999,49.610001,211700,49.339904
2016-06-09,49.77,49.98,48.93,49.700001,202100,49.429414
2016-06-08,49.560001,50.139999,49.150002,50.040001,148000,49.767563
2016-06-07,50.450001,50.470001,49.50,49.610001,227700,49.339904
2016-06-06,49.330002,50.650002,49.330002,50.380001,371300,50.105712
2016-06-03,49.220001,49.369999,47.580002,49.34,197800,49.071373
2016-06-02,49.389999,49.75,49.00,49.720001,118100,49.449305
2016-06-01,48.82,49.639999,48.459999,49.490002,119900,49.220558
2016-05-31,49.700001,49.700001,48.66,49.18,178300,48.912244
2016-05-27,49.290001,49.66,48.91,49.66,201300,49.389631
2016-05-26,50.02,50.09,49.330002,49.360001,144200,49.091265
2016-05-25,50.00,50.849998,49.720001,50.130001,194300,49.857073
2016-05-24,49.09,49.990002,49.09,49.900002,232400,49.628326
2016-05-23,48.799999,49.209999,48.549999,48.759998,127900,48.494529
2016-05-20,48.330002,49.029999,48.16,48.93,168500,48.663605
2016-05-19,47.939999,49.040001,47.66,48.009998,233600,47.748612
2016-05-18,46.450001,48.299999,46.450001,48.16,373600,47.897797
2016-05-17,46.849998,47.470001,46.040001,46.50,212400,46.246835
2016-05-16,46.400002,47.48,46.400002,46.990002,92000,46.734169
2016-05-13,47.299999,47.91,46.259998,46.52,108800,46.266727
2016-05-12,47.77,47.970001,46.950001,47.389999,122600,47.131989
2016-05-11,47.610001,48.209999,47.32,47.400002,90800,47.141937
2016-05-10,47.639999,48.279999,47.400002,47.849998,133000,47.589484
2016-05-09,47.119999,47.529999,46.779999,47.32,211300,47.06237
2016-05-06,46.810001,47.27,46.34,47.27,151000,47.012643
2016-05-05,47.189999,47.48,46.66,46.970001,227700,46.714277
2016-05-04,47.130001,48.119999,46.560001,47.150002,215900,46.893298
2016-05-03,49.040001,49.869999,47.66,47.75,207400,47.350792
2016-05-02,49.330002,49.630001,48.75,49.540001,177100,49.125827
2016-04-29,49.34,49.580002,48.400002,49.169998,315100,48.758918
2016-04-28,50.02,50.560001,49.189999,49.34,138900,48.927499
2016-04-27,50.419998,50.82,49.900002,50.369999,147100,49.948886
2016-04-26,50.32,50.860001,49.990002,50.720001,228000,50.295962
2016-04-25,50.740002,50.759998,49.66,50.099998,331700,49.681143
2016-04-22,50.93,51.32,50.73,51.00,179300,50.57362
2016-04-21,51.939999,52.049999,50.52,50.82,311400,50.395125
2016-04-20,51.790001,52.060001,51.040001,51.73,255800,51.297517
2016-04-19,51.68,52.32,50.98,51.59,244800,51.158688
2016-04-18,50.869999,52.00,50.869999,51.689999,147700,51.25785
2016-04-15,51.110001,51.540001,50.459999,51.16,185100,50.732283
2016-04-14,51.139999,52.540001,50.939999,51.43,284800,51.000026
2016-04-13,49.880001,51.34,49.860001,51.240002,370800,50.811615
2016-04-12,48.880001,49.619999,48.560001,49.48,125200,49.066328
2016-04-11,48.41,49.869999,48.279999,48.720001,164300,48.312683
2016-04-08,48.57,49.830002,47.950001,48.189999,329600,47.787112
2016-04-07,48.169998,48.849998,47.900002,48.119999,544000,47.717697
2016-04-06,47.560001,48.720001,47.490002,48.580002,254200,48.173854
2016-04-05,48.59,49.25,47.610001,47.66,333200,47.261544
2016-04-04,48.77,49.470001,48.400002,49.07,118900,48.659756
2016-04-01,48.639999,49.380001,48.169998,48.759998,208500,48.352346
2016-03-31,48.580002,49.220001,48.130001,49.060001,351300,48.649841
2016-03-30,48.25,49.049999,48.169998,48.720001,173400,48.312683
2016-03-29,46.720001,48.110001,46.119999,48.09,206500,47.687949
2016-03-28,47.580002,47.639999,46.77,47.080002,165800,46.686395
2016-03-24,47.43,47.59,46.860001,47.52,95500,47.122715
2016-03-23,48.330002,48.73,47.82,47.82,158700,47.420206
2016-03-22,48.27,48.82,47.880001,48.540001,128500,48.134188
2016-03-21,48.799999,49.07,47.98,48.619999,169400,48.213517
2016-03-18,48.950001,49.66,48.470001,48.990002,332300,48.580426
2016-03-17,47.50,48.98,46.860001,48.68,199100,48.273017
2016-03-16,48.02,48.41,46.880001,47.50,229900,47.102882
2016-03-15,48.84,49.540001,48.139999,48.189999,340600,47.787112
2016-03-14,49.040001,49.16,48.139999,48.91,209600,48.501093
2016-03-11,47.98,49.189999,47.68,49.119999,194800,48.709337
2016-03-10,47.43,47.68,46.360001,47.509998,159400,47.112796
2016-03-09,47.779999,47.849998,47.040001,47.139999,162700,46.745891
2016-03-08,48.759998,49.00,47.43,47.529999,410400,47.13263
2016-03-07,47.810001,49.209999,47.389999,49.189999,280800,48.778751
2016-03-04,48.700001,49.349998,47.970001,48.080002,308600,47.678034
2016-03-03,48.00,48.540001,47.919998,48.509998,189900,48.104436
2016-03-02,48.049999,48.220001,47.330002,48.099998,180800,47.697864
2016-03-01,46.639999,48.380001,45.889999,47.91,161200,47.509454
2016-02-29,47.099998,47.189999,46.27,46.369999,295000,45.982328
2016-02-26,46.279999,47.59,45.330002,47.200001,232600,46.805391
2016-02-25,45.599998,45.98,44.959999,45.75,127700,45.367512
2016-02-24,44.27,45.52,43.889999,45.509998,175100,45.129517
2016-02-23,46.400002,46.400002,44.939999,44.950001,225400,44.574201
2016-02-22,46.869999,46.869999,46.369999,46.450001,177100,46.061661
2016-02-19,45.869999,46.790001,45.869999,46.34,136500,45.95258
2016-02-18,47.639999,47.639999,45.799999,45.959999,137700,45.575756
2016-02-17,48.349998,48.349998,47.290001,47.549999,232800,47.152463
2016-02-16,47.419998,48.049999,46.880001,47.900002,251000,47.499539
2016-02-12,45.619999,46.970001,45.50,46.709999,241500,46.319485
2016-02-11,44.75,44.900002,43.689999,44.720001,390800,44.346125
2016-02-10,45.099998,45.77,44.779999,45.200001,289800,44.822111
2016-02-09,44.200001,45.23,43.32,44.560001,393400,44.187463
2016-02-08,46.16,46.41,44.740002,44.98,323800,44.603949
2016-02-05,47.740002,48.040001,46.799999,46.810001,250900,46.418652
2016-02-04,47.720001,48.580002,46.93,47.619999,208100,47.221877
