Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,19.90,20.00,19.809999,19.889999,21900,19.889999
2016-11-30,19.73,19.969999,19.68,19.709999,12100,19.709999
2016-11-29,19.93,19.93,19.60,19.67,8300,19.67
2016-11-28,19.67,19.99,19.67,19.82,5600,19.82
2016-11-25,20.00,20.00,19.940001,20.00,5700,20.00
2016-11-23,19.90,20.00,19.90,19.950001,15300,19.950001
2016-11-22,19.91,20.00,19.91,20.00,10100,20.00
2016-11-21,19.99,19.99,19.709999,19.99,10800,19.99
2016-11-18,20.00,20.00,19.940001,20.00,32800,20.00
2016-11-17,20.00,20.00,19.74,19.93,19700,19.93
2016-11-16,19.719999,20.00,19.719999,19.959999,21900,19.959999
2016-11-15,19.50,19.950001,19.48,19.90,12900,19.90
2016-11-14,20.00,20.00,19.299999,19.790001,36200,19.790001
2016-11-11,19.719999,20.66,18.940001,20.049999,51500,20.049999
2016-11-10,18.99,19.799999,18.99,19.67,30200,19.67
2016-11-09,19.10,19.32,18.969999,19.120001,43000,18.990001
2016-11-08,19.049999,19.10,19.00,19.07,11200,18.94034
2016-11-07,19.139999,19.139999,18.90,19.02,25900,18.89068
2016-11-04,19.040001,19.139999,18.75,18.93,79900,18.801292
2016-11-03,19.00,19.040001,18.85,19.040001,10900,18.910545
2016-11-02,19.09,19.290001,18.950001,18.98,34300,18.850951
2016-11-01,19.10,19.16,18.950001,19.049999,15100,18.920475
2016-10-31,19.00,19.110001,18.959999,19.08,32600,18.950272
2016-10-28,19.030001,19.10,18.950001,19.00,14500,18.870816
2016-10-27,18.93,19.00,18.860001,18.98,44900,18.850951
2016-10-26,18.719999,18.98,18.57,18.85,8800,18.721836
2016-10-25,19.65,19.75,18.860001,18.879999,11200,18.751631
2016-10-24,19.780001,20.00,19.469999,19.98,14400,19.844152
2016-10-21,19.610001,19.790001,19.610001,19.709999,3700,19.575988
2016-10-20,19.799999,19.799999,19.68,19.780001,7500,19.645513
2016-10-19,19.66,19.780001,19.469999,19.75,3000,19.615717
2016-10-18,19.799999,19.799999,19.370001,19.75,17400,19.615717
2016-10-17,19.549999,19.809999,19.530001,19.75,5700,19.615717
2016-10-14,19.549999,19.799999,19.549999,19.75,6900,19.615717
2016-10-13,19.629999,19.799999,19.00,19.50,9700,19.367416
2016-10-12,19.17,19.93,19.02,19.57,14900,19.43694
2016-10-11,19.040001,19.32,18.91,19.209999,10900,19.079387
2016-10-10,19.23,19.280001,17.68,19.280001,4300,19.148913
2016-10-07,19.32,19.35,18.98,19.139999,9500,19.009863
2016-10-06,19.200001,19.370001,19.049999,19.27,11200,19.138981
2016-10-05,19.50,19.50,19.030001,19.290001,16200,19.158845
2016-10-04,19.549999,19.75,19.299999,19.50,22500,19.367416
2016-10-03,19.440001,19.66,19.379999,19.540001,10600,19.407145
2016-09-30,19.290001,19.690001,19.18,19.559999,14700,19.427008
2016-09-29,19.58,19.700001,19.219999,19.290001,8800,19.158845
2016-09-28,19.65,19.790001,19.379999,19.610001,10100,19.476669
2016-09-27,19.35,19.799999,19.309999,19.790001,14700,19.655446
2016-09-26,19.389999,19.68,19.309999,19.42,10100,19.28796
2016-09-23,19.549999,19.77,19.549999,19.610001,5400,19.476669
2016-09-22,19.469999,19.75,19.25,19.719999,8900,19.58592
2016-09-21,19.26,19.459999,19.219999,19.370001,11500,19.238301
2016-09-20,19.33,19.42,19.18,19.26,6900,19.129048
2016-09-19,19.34,19.43,19.209999,19.290001,12900,19.158845
2016-09-16,19.290001,19.40,19.120001,19.33,36100,19.198572
2016-09-15,19.33,19.57,19.15,19.24,16300,19.109184
2016-09-14,19.40,19.59,18.77,19.34,8800,19.208504
2016-09-13,19.620001,19.780001,19.23,19.379999,16100,19.248231
2016-09-12,19.48,19.75,19.309999,19.73,37300,19.595852
2016-09-09,19.299999,19.49,19.26,19.48,17100,19.347552
2016-09-08,19.35,19.58,19.299999,19.49,9400,19.357484
2016-09-07,19.52,19.52,19.299999,19.450001,13600,19.317757
2016-09-06,19.540001,19.540001,19.309999,19.51,14300,19.377349
2016-09-02,19.25,19.49,19.23,19.48,14000,19.347552
2016-09-01,19.16,19.32,19.129999,19.17,15800,19.03966
2016-08-31,19.00,19.49,18.00,19.10,39400,18.970136
2016-08-30,19.120001,19.35,19.120001,19.290001,9500,19.158845
2016-08-29,19.15,19.389999,19.049999,19.309999,12300,19.178708
2016-08-26,19.129999,19.40,19.07,19.33,5700,19.198572
2016-08-25,19.10,19.389999,19.09,19.25,11600,19.119116
2016-08-24,19.129999,19.33,19.129999,19.219999,5500,19.089319
2016-08-23,19.540001,19.540001,18.719999,19.40,8300,19.268096
2016-08-22,19.41,19.469999,19.35,19.43,5600,19.297893
2016-08-19,19.57,19.58,19.40,19.469999,19400,19.33762
2016-08-18,19.25,19.540001,19.25,19.530001,17100,19.397213
2016-08-17,19.290001,19.35,19.09,19.24,34500,19.109184
2016-08-16,19.09,19.25,19.01,19.200001,14000,19.069457
2016-08-15,19.299999,19.360001,19.15,19.25,20000,19.119116
2016-08-12,19.16,19.35,19.16,19.35,26500,19.218437
2016-08-11,19.18,19.33,19.07,19.25,30600,19.119116
2016-08-10,19.25,19.25,19.190001,19.24,16600,18.980068
2016-08-09,19.18,19.41,19.18,19.27,34000,19.009663
2016-08-08,19.32,19.32,19.219999,19.26,25900,18.999798
2016-08-05,19.469999,19.469999,19.26,19.40,23300,19.137906
2016-08-04,19.379999,19.49,19.24,19.25,11900,18.989933
2016-08-03,19.35,19.35,19.26,19.309999,10200,19.049122
2016-08-02,19.290001,19.360001,19.26,19.309999,27500,19.049122
2016-08-01,19.51,19.57,19.25,19.48,24200,19.216825
2016-07-29,19.25,19.51,19.25,19.49,69000,19.22669
2016-07-28,19.059999,19.32,18.75,19.209999,17800,18.950472
2016-07-27,19.66,19.66,19.00,19.25,25200,18.989933
2016-07-26,20.00,20.00,19.360001,19.629999,37700,19.364798
2016-07-25,18.98,19.360001,18.98,19.24,33100,18.980068
2016-07-22,18.83,19.129999,18.83,19.02,9300,18.76304
2016-07-21,18.950001,18.950001,18.57,18.870001,10000,18.615067
2016-07-20,18.58,18.940001,18.32,18.90,31300,18.644661
2016-07-19,18.84,18.90,18.200001,18.790001,17200,18.536148
2016-07-18,18.370001,18.77,18.370001,18.76,20800,18.506553
2016-07-15,18.66,18.76,18.299999,18.75,14300,18.496688
2016-07-14,18.719999,18.799999,18.48,18.60,17500,18.348715
2016-07-13,18.700001,18.77,18.48,18.67,20000,18.417769
2016-07-12,18.379999,18.73,18.379999,18.700001,41300,18.447364
2016-07-11,18.370001,18.50,18.27,18.41,45600,18.161281
2016-07-08,18.25,18.42,18.219999,18.35,25200,18.102092
2016-07-07,18.33,18.33,18.040001,18.23,24100,17.983712
2016-07-06,18.07,18.299999,18.01,18.23,24700,17.983712
2016-07-05,17.99,18.24,17.719999,18.16,20700,17.914658
2016-07-01,18.15,18.290001,18.07,18.08,13700,17.835739
2016-06-30,18.07,18.389999,17.98,18.299999,28500,18.052766
2016-06-29,17.559999,18.09,17.25,17.969999,23700,17.727225
2016-06-28,17.719999,17.75,17.379999,17.50,24100,17.263575
2016-06-27,17.799999,17.799999,17.48,17.60,36600,17.362225
2016-06-24,17.85,18.25,17.799999,17.83,598900,17.589117
2016-06-23,18.309999,18.40,18.040001,18.17,44500,17.924524
2016-06-22,18.120001,18.379999,18.02,18.290001,47400,18.042903
2016-06-21,18.030001,18.290001,17.950001,18.10,32900,17.85547
2016-06-20,18.07,18.16,17.870001,17.92,21600,17.677901
2016-06-17,18.200001,18.200001,17.84,18.00,38800,17.75682
2016-06-16,18.200001,18.23,18.049999,18.10,24800,17.85547
2016-06-15,18.01,18.27,17.809999,18.129999,29400,17.885063
2016-06-14,17.92,17.98,17.85,17.959999,16900,17.71736
2016-06-13,18.059999,18.10,17.84,18.02,21200,17.77655
2016-06-10,18.370001,18.370001,17.90,17.950001,17600,17.707496
2016-06-09,18.040001,18.280001,18.00,18.15,27000,17.904793
2016-06-08,18.35,18.35,18.049999,18.25,18000,18.003443
2016-06-07,18.200001,18.50,17.860001,18.27,54300,18.023173
2016-06-06,18.02,18.200001,18.02,18.120001,24100,17.8752
2016-06-03,18.15,18.200001,18.059999,18.17,12000,17.924524
2016-06-02,18.219999,18.280001,18.16,18.190001,11600,17.944254
2016-06-01,18.27,18.27,18.15,18.16,4200,17.914658
2016-05-31,18.10,18.219999,18.07,18.219999,3700,17.973847
2016-05-27,18.120001,18.299999,18.120001,18.299999,4800,18.052766
2016-05-26,18.10,18.18,18.07,18.08,6400,17.835739
2016-05-25,18.110001,18.190001,17.98,18.059999,7400,17.816009
2016-05-24,18.02,18.299999,18.00,18.110001,13900,17.865335
2016-05-23,18.299999,18.309999,17.790001,18.00,41200,17.75682
2016-05-20,18.15,18.35,18.00,18.219999,18900,17.973847
2016-05-19,18.02,18.110001,18.02,18.110001,9600,17.865335
2016-05-18,17.950001,18.290001,17.73,18.15,24200,17.904793
2016-05-17,18.139999,18.139999,17.950001,17.950001,35000,17.707496
2016-05-16,17.99,18.26,17.889999,18.209999,9100,17.963982
2016-05-13,17.200001,18.24,17.200001,18.08,11400,17.835739
2016-05-12,18.00,18.299999,18.00,18.299999,15500,17.934388
2016-05-11,18.290001,18.299999,18.129999,18.280001,7100,17.914789
2016-05-10,18.10,18.34,18.049999,18.10,32500,17.738385
2016-05-09,18.139999,18.219999,17.77,18.139999,16700,17.777585
2016-05-06,17.90,18.389999,17.799999,18.280001,20500,17.914789
2016-05-05,17.73,18.450001,17.610001,18.030001,61100,17.669784
2016-05-04,17.709999,17.709999,17.66,17.709999,10900,17.356175
2016-05-03,17.379999,17.83,17.379999,17.67,43700,17.316975
2016-05-02,17.370001,17.73,17.299999,17.469999,39400,17.12097
2016-04-29,17.110001,17.33,17.110001,17.299999,10000,16.954367
2016-04-28,17.40,17.68,17.049999,17.129999,43200,16.787763
2016-04-27,17.10,17.370001,17.049999,17.360001,34800,17.013169
2016-04-26,17.049999,17.25,16.92,17.129999,72500,16.787763
2016-04-25,17.110001,17.16,17.01,17.15,5100,16.807364
2016-04-22,17.030001,17.16,17.01,17.15,7600,16.807364
2016-04-21,17.15,17.24,17.07,17.15,11300,16.807364
2016-04-20,17.08,17.33,17.049999,17.110001,53600,16.768164
2016-04-19,17.360001,17.58,17.280001,17.43,14600,17.08177
2016-04-18,17.450001,17.65,17.34,17.360001,5300,17.013169
2016-04-15,17.379999,17.75,17.280001,17.42,8200,17.07197
2016-04-14,17.49,17.719999,17.32,17.42,6700,17.07197
2016-04-13,17.719999,17.719999,17.219999,17.51,21100,17.160172
2016-04-12,17.459999,17.790001,17.290001,17.43,49400,17.08177
2016-04-11,17.309999,17.700001,17.030001,17.49,38900,17.140571
2016-04-08,17.00,17.35,16.98,17.219999,24700,16.875965
2016-04-07,17.030001,17.030001,16.83,16.99,8700,16.650561
2016-04-06,16.940001,17.09,16.809999,17.040001,9800,16.699563
2016-04-05,17.299999,17.299999,16.82,16.879999,9700,16.542758
2016-04-04,17.280001,17.370001,17.02,17.139999,7900,16.797563
2016-04-01,17.059999,17.49,17.059999,17.26,15200,16.915167
2016-03-31,17.809999,17.860001,17.049999,17.049999,27200,16.709361
2016-03-30,17.950001,17.950001,17.49,17.51,18200,17.160172
2016-03-29,17.76,18.00,17.719999,17.879999,17800,17.522779
2016-03-28,17.809999,18.00,17.709999,17.889999,16300,17.532579
2016-03-24,17.790001,18.059999,17.77,17.99,24700,17.630582
2016-03-23,17.83,18.030001,17.50,18.00,22100,17.640382
2016-03-22,17.41,17.92,17.41,17.780001,11700,17.424778
2016-03-21,17.450001,17.629999,17.33,17.540001,48800,17.189573
2016-03-18,17.35,17.530001,17.309999,17.440001,10400,17.091571
2016-03-17,17.27,17.40,17.25,17.280001,9500,16.934768
2016-03-16,17.50,17.93,17.290001,17.35,18300,17.003369
2016-03-15,17.16,17.540001,17.16,17.41,83100,17.06217
2016-03-14,17.200001,17.26,17.110001,17.25,43600,16.905366
2016-03-11,17.07,17.27,17.059999,17.219999,31800,16.875965
2016-03-10,17.16,17.24,17.049999,17.190001,21400,16.846566
2016-03-09,17.24,17.41,17.15,17.23,17400,16.885765
2016-03-08,17.200001,17.57,17.200001,17.209999,18400,16.866165
2016-03-07,17.200001,17.549999,17.18,17.299999,36400,16.954367
2016-03-04,17.66,17.66,17.049999,17.25,61000,16.905366
2016-03-03,17.530001,17.959999,17.49,17.51,20500,17.160172
2016-03-02,17.82,17.82,17.209999,17.60,25100,17.248374
2016-03-01,17.700001,18.129999,17.60,17.809999,12400,17.454178
2016-02-29,17.799999,17.799999,17.43,17.530001,20900,17.179773
2016-02-26,16.85,18.139999,16.85,17.73,18900,17.375776
2016-02-25,17.15,17.50,17.15,17.440001,6100,17.091571
2016-02-24,17.110001,17.41,17.049999,17.110001,16800,16.768164
2016-02-23,17.49,17.59,17.120001,17.15,33800,16.807364
2016-02-22,17.33,17.57,17.26,17.49,19400,17.140571
2016-02-19,17.09,17.459999,17.09,17.34,14700,16.993568
2016-02-18,17.15,17.17,17.139999,17.15,12200,16.807364
2016-02-17,17.18,17.18,16.90,17.139999,32700,16.797563
2016-02-16,17.049999,17.200001,16.93,17.120001,6900,16.777964
2016-02-12,16.959999,17.049999,16.85,17.00,26400,16.660361
2016-02-11,16.73,16.950001,16.73,16.799999,13700,16.464356
2016-02-10,16.77,17.129999,16.77,16.84,19100,16.385955
2016-02-09,16.870001,16.90,16.75,16.75,14800,16.298382
2016-02-08,17.110001,17.110001,16.90,16.92,7100,16.463798
2016-02-05,17.25,17.450001,17.08,17.08,23100,16.619484
2016-02-04,17.049999,17.49,17.049999,17.25,31700,16.784901
2016-02-03,17.280001,17.41,17.049999,17.049999,25700,16.590292
2016-02-02,17.10,17.629999,17.10,17.370001,29100,16.901666
2016-02-01,17.25,17.34,17.02,17.18,29000,16.716788
2016-01-29,17.01,18.00,17.01,17.48,39300,17.008699
2016-01-28,17.690001,17.889999,17.01,17.01,45500,16.551372
2016-01-27,17.66,17.66,17.299999,17.610001,17200,17.135195
2016-01-26,17.75,18.16,16.92,17.85,41400,17.368724
2016-01-25,18.73,18.85,18.65,18.66,5100,18.156884
2016-01-22,18.76,18.90,18.65,18.790001,4600,18.28338
2016-01-21,18.73,19.01,18.65,18.719999,13400,18.215265
2016-01-20,18.52,18.93,18.52,18.610001,9000,18.108233
2016-01-19,18.950001,18.950001,18.68,18.93,10300,18.419604
2016-01-15,18.620001,18.90,18.469999,18.799999,70200,18.293108
2016-01-14,18.93,18.98,18.799999,18.90,16700,18.390413
2016-01-13,18.950001,18.950001,18.76,18.860001,6100,18.351492
2016-01-12,18.73,18.950001,18.73,18.950001,32300,18.439066
2016-01-11,18.620001,18.799999,18.440001,18.76,34100,18.254188
2016-01-08,18.50,18.799999,18.50,18.639999,13700,18.137423
2016-01-07,18.49,18.60,18.43,18.49,22000,17.991467
2016-01-06,18.42,18.65,18.42,18.610001,5600,18.108233
2016-01-05,18.139999,18.65,17.879999,18.50,11300,18.001198
2016-01-04,18.57,18.700001,18.43,18.440001,14800,17.942816
2015-12-31,18.84,18.90,18.50,18.889999,7500,18.380682
2015-12-30,18.90,18.99,18.870001,18.870001,3400,18.361223
2015-12-29,18.99,18.99,18.76,18.889999,13300,18.380682
2015-12-28,19.01,19.02,18.84,18.879999,6700,18.370951
2015-12-24,19.110001,19.190001,19.00,19.139999,7700,18.623941
2015-12-23,18.59,19.18,18.50,18.98,9300,18.468255
2015-12-22,18.76,19.00,18.209999,18.889999,15800,18.380682
2015-12-21,18.469999,18.90,18.469999,18.60,11000,18.098502
2015-12-18,18.690001,18.73,18.030001,18.709999,27500,18.205535
2015-12-17,18.549999,18.74,18.16,18.700001,13300,18.195806
2015-12-16,18.75,18.75,18.01,18.68,12300,18.176345
2015-12-15,18.50,18.700001,18.02,18.66,14600,18.156884
2015-12-14,18.370001,18.51,18.00,18.32,22700,17.826051
2015-12-11,18.25,18.629999,18.02,18.120001,66900,17.631444
2015-12-10,18.360001,18.450001,18.02,18.25,17500,17.757938
2015-12-09,18.57,18.65,18.43,18.440001,11700,17.942816
2015-12-08,18.530001,18.780001,18.459999,18.49,6800,17.991467
2015-12-07,18.52,18.77,18.52,18.540001,13900,18.04012
2015-12-04,18.610001,18.809999,18.60,18.610001,8200,18.108233
2015-12-03,18.57,18.60,18.549999,18.59,11000,18.088771
2015-12-02,18.620001,18.620001,18.35,18.51,15100,18.010928
2015-12-01,18.469999,18.60,18.40,18.59,6700,18.088771
2015-11-30,18.40,18.49,18.379999,18.48,11800,17.981737
2015-11-27,18.219999,18.290001,18.219999,18.290001,14300,17.796861
2015-11-25,17.49,18.33,17.49,18.200001,10800,17.709287
2015-11-24,18.030001,18.049999,17.719999,17.83,9300,17.349262
2015-11-23,18.370001,18.49,17.51,18.09,42000,17.602252
2015-11-20,17.870001,18.450001,17.870001,18.41,40200,17.913624
2015-11-19,18.110001,18.23,17.65,17.98,18700,17.495218
2015-11-18,18.299999,18.299999,17.91,18.110001,20700,17.621714
2015-11-17,17.91,18.40,17.91,18.40,13800,17.903894
2015-11-16,17.99,18.01,17.559999,17.889999,10100,17.407644
2015-11-13,17.370001,18.139999,17.26,17.90,27200,17.417375
2015-11-12,17.620001,17.620001,17.41,17.60,5000,17.125464
2015-11-11,17.65,17.74,17.48,17.709999,6600,17.232497
2015-11-10,17.67,17.74,17.57,17.719999,6300,17.242228
2015-11-09,17.83,17.889999,17.57,17.65,7400,17.174115
2015-11-06,17.870001,17.99,17.76,17.950001,13100,17.349263
2015-11-05,17.620001,17.860001,17.450001,17.860001,8700,17.262275
2015-11-04,17.50,17.719999,17.299999,17.620001,27900,17.030307
2015-11-03,17.42,17.50,17.17,17.50,7000,16.914322
2015-11-02,17.209999,17.42,17.209999,17.40,6800,16.817669
2015-10-30,16.98,17.23,16.98,17.139999,7700,16.56637
2015-10-29,16.85,17.10,16.85,17.07,26200,16.498713
2015-10-28,16.83,17.00,16.60,17.00,8600,16.431056
2015-10-27,16.68,16.809999,16.66,16.75,6700,16.189423
2015-10-26,16.790001,16.85,16.60,16.629999,9800,16.073438
2015-10-23,16.49,16.790001,16.49,16.790001,5300,16.228085
2015-10-22,16.610001,16.73,16.32,16.52,10000,15.967121
2015-10-21,16.559999,16.67,16.299999,16.49,12700,15.938124
2015-10-20,16.52,16.67,16.32,16.40,7300,15.851136
2015-10-19,16.200001,16.639999,16.17,16.59,10100,16.034778
2015-10-16,16.41,16.41,16.23,16.23,10300,15.686825
2015-10-15,16.200001,16.34,16.200001,16.34,13700,15.793145
2015-10-14,16.200001,16.23,16.16,16.200001,4800,15.657831
2015-10-13,16.200001,16.809999,16.16,16.209999,21400,15.667494
2015-10-12,16.09,16.40,16.049999,16.209999,12600,15.667494
2015-10-09,16.35,16.35,16.129999,16.129999,17500,15.590172
