Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,49.07,49.07,47.419998,48.00,7800,48.00
2016-11-30,48.950001,48.990002,46.619999,47.32,38300,47.32
2016-11-29,48.75,48.970001,48.290001,48.580002,5900,48.580002
2016-11-28,47.400002,49.549999,47.080002,48.619999,21400,48.619999
2016-11-25,46.57,47.00,46.57,46.830002,3100,46.830002
2016-11-23,46.869999,47.599998,46.00,46.220001,5900,46.220001
2016-11-22,46.25,47.349998,46.00,47.00,16700,47.00
2016-11-21,45.720001,47.110001,45.720001,46.68,2300,46.68
2016-11-18,45.939999,46.00,45.02,45.75,17100,45.75
2016-11-17,46.00,46.040001,45.099998,46.00,4400,46.00
2016-11-16,45.009998,45.540001,44.700001,44.880001,7600,44.880001
2016-11-15,44.740002,45.689999,43.509998,45.50,15200,45.50
2016-11-14,44.00,44.75,43.970001,44.75,16800,44.75
2016-11-11,43.700001,43.950001,43.200001,43.950001,40000,43.950001
2016-11-10,43.630001,43.799999,43.200001,43.799999,19700,43.799999
2016-11-09,42.630001,43.25,40.740002,43.25,6200,43.25
2016-11-08,41.790001,42.490002,41.689999,42.490002,3600,42.490002
2016-11-07,41.509998,42.18,41.119999,42.18,2100,42.18
2016-11-04,41.169998,41.470001,40.93,41.00,4400,41.00
2016-11-03,41.119999,41.400002,40.93,41.279999,2800,41.279999
2016-11-02,41.41,41.41,41.099998,41.099998,2800,41.099998
2016-11-01,42.259998,42.619999,41.509998,41.509998,7300,41.509998
2016-10-31,42.540001,43.349998,42.25,42.50,4000,42.50
2016-10-28,42.700001,42.700001,42.700001,42.700001,800,42.700001
2016-10-27,43.009998,43.02,42.50,42.869999,1700,42.869999
2016-10-26,43.150002,43.450001,43.099998,43.099998,3200,43.099998
2016-10-25,43.209999,43.580002,42.98,43.150002,3900,43.150002
2016-10-24,43.990002,43.990002,42.59,43.240002,3700,43.240002
2016-10-21,42.830002,43.189999,42.830002,43.189999,2300,43.189999
2016-10-20,43.380001,43.380001,43.00,43.049999,1900,43.049999
2016-10-19,43.66,43.66,43.25,43.549999,3200,43.549999
2016-10-18,43.43,43.84,43.25,43.790001,2700,43.790001
2016-10-17,43.220001,43.400002,42.919998,43.209999,4400,43.209999
2016-10-14,44.009998,44.009998,43.549999,43.77,2900,43.77
2016-10-13,43.599998,44.220001,43.57,43.740002,2700,43.740002
2016-10-12,44.200001,44.48,44.189999,44.200001,3300,44.200001
2016-10-11,44.580002,44.580002,44.209999,44.209999,5100,44.209999
2016-10-10,44.540001,44.740002,44.48,44.599998,2900,44.599998
2016-10-07,43.650002,44.650002,43.650002,44.200001,3100,44.200001
2016-10-06,43.93,44.049999,43.509998,43.509998,1100,43.509998
2016-10-05,44.209999,44.209999,43.41,44.060001,800,44.060001
2016-10-04,44.009998,44.560001,43.75,43.790001,3600,43.790001
2016-10-03,44.279999,44.279999,43.900002,43.900002,1600,43.900002
2016-09-30,44.029999,44.639999,44.029999,44.459999,2900,44.459999
2016-09-29,44.360001,44.360001,43.939999,43.939999,2800,43.939999
2016-09-28,44.279999,44.349998,44.119999,44.27,3400,44.27
2016-09-27,43.630001,44.700001,43.049999,44.139999,5700,44.139999
2016-09-26,43.700001,44.00,43.099998,43.57,6300,43.57
2016-09-23,43.860001,44.450001,43.68,43.68,2800,43.68
2016-09-22,44.299999,44.73,44.279999,44.34,2000,44.34
2016-09-21,44.400002,44.59,43.439999,44.220001,5200,44.220001
2016-09-20,43.00,44.439999,42.950001,44.16,10700,44.16
2016-09-19,42.43,43.00,42.43,42.93,4300,42.93
2016-09-16,42.119999,42.82,41.91,42.82,16800,42.82
2016-09-15,41.709999,42.439999,41.709999,42.18,3800,42.18
2016-09-14,42.91,42.91,41.66,41.66,4700,41.66
2016-09-13,42.50,43.720001,42.50,42.799999,4800,42.799999
2016-09-12,43.110001,43.560001,42.040001,43.240002,7900,43.240002
2016-09-09,43.529999,43.849998,43.099998,43.150002,4300,43.150002
2016-09-08,44.099998,44.639999,43.810001,44.349998,3500,44.349998
2016-09-07,44.75,44.75,43.59,43.799999,9500,43.799999
2016-09-06,44.75,44.75,44.16,44.73,3500,44.73
2016-09-02,44.16,44.75,43.720001,44.75,10600,44.75
2016-09-01,44.09,44.259998,44.09,44.110001,1900,44.110001
2016-08-31,44.740002,44.75,44.18,44.18,10900,43.71
2016-08-30,44.18,44.689999,44.18,44.439999,5800,43.967233
2016-08-29,44.150002,44.720001,44.07,44.630001,6900,44.155214
2016-08-26,44.650002,44.740002,44.02,44.349998,4400,43.87819
2016-08-25,44.290001,44.290001,44.290001,44.290001,000,43.818831
2016-08-24,44.490002,44.490002,44.290001,44.290001,3000,43.818831
2016-08-23,43.759998,44.52,43.759998,44.16,4300,43.690213
2016-08-22,43.50,44.009998,43.50,44.009998,1700,43.541807
2016-08-19,43.84,44.00,43.529999,43.740002,7800,43.274683
2016-08-18,43.209999,43.970001,43.150002,43.849998,2500,43.383509
