Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,87.970001,89.629997,87.010002,87.309998,4668900,87.309998
2016-11-30,88.059998,89.370003,87.389999,88.360001,774400,88.360001
2016-11-29,87.190002,88.360001,87.129997,87.190002,341200,87.190002
2016-11-28,87.940002,88.389999,86.860001,86.940002,286200,86.940002
2016-11-25,88.279999,88.589996,87.809998,88.129997,104700,88.129997
2016-11-23,86.540001,88.099998,86.540001,87.879997,226000,87.879997
2016-11-22,85.160004,87.309998,85.099998,87.269997,367400,87.269997
2016-11-21,84.919998,85.779999,84.82,85.300003,388600,85.300003
2016-11-18,85.699997,86.080002,82.559998,85.059998,569100,85.059998
2016-11-17,85.290001,86.989998,85.290001,86.919998,312200,86.919998
2016-11-16,85.989998,86.68,85.160004,85.589996,412600,85.589996
2016-11-15,84.360001,86.43,83.50,86.139999,430100,86.139999
2016-11-14,84.489998,85.580002,84.43,84.599998,602700,84.599998
2016-11-11,81.300003,84.730003,81.300003,84.239998,694400,84.239998
2016-11-10,82.610001,83.099998,80.699997,81.269997,590900,81.269997
2016-11-09,79.720001,82.599998,79.019997,81.790001,714700,81.790001
2016-11-08,79.050003,80.400002,77.699997,80.160004,309600,80.160004
2016-11-07,78.389999,79.639999,78.220001,79.290001,318400,79.290001
2016-11-04,78.300003,78.949997,77.370003,77.519997,508500,77.519997
2016-11-03,78.080002,79.139999,77.129997,78.129997,509200,78.129997
2016-11-02,79.110001,80.699997,76.389999,78.50,1555600,78.300002
2016-11-01,75.800003,76.349998,73.860001,74.760002,551300,74.569533
2016-10-31,73.730003,75.739998,73.730003,75.449997,743600,75.25777
2016-10-28,74.50,74.639999,73.599998,73.849998,452000,73.661848
2016-10-27,75.629997,76.209999,74.199997,74.519997,436300,74.330139
2016-10-26,77.190002,77.190002,74.870003,75.139999,1046400,74.948562
2016-10-25,80.639999,80.940002,78.760002,78.989998,571600,78.788752
2016-10-24,80.779999,81.410004,80.419998,80.809998,290800,80.604115
2016-10-21,79.480003,80.769997,79.470001,80.449997,311000,80.245031
2016-10-20,80.669998,80.68,79.559998,79.980003,289300,79.776235
2016-10-19,79.919998,81.089996,79.580002,80.50,453200,80.294907
2016-10-18,78.559998,79.860001,77.529999,79.589996,694800,79.387222
2016-10-17,77.839996,78.57,76.790001,76.980003,310000,76.783878
2016-10-14,78.00,78.800003,77.669998,77.970001,276400,77.771354
2016-10-13,77.510002,78.080002,76.839996,77.660004,220200,77.462146
2016-10-12,77.970001,78.330002,77.059998,78.110001,263400,77.910997
2016-10-11,78.00,78.269997,77.050003,77.75,319900,77.551913
2016-10-10,76.389999,78.239998,76.059998,78.099998,353700,77.90102
2016-10-07,75.269997,76.25,74.709999,75.849998,488900,75.656752
2016-10-06,76.440002,76.489998,75.279999,75.410004,378400,75.217879
2016-10-05,76.82,76.959999,75.769997,76.790001,359800,76.59436
2016-10-04,78.050003,78.699997,76.07,76.959999,389000,76.763925
2016-10-03,79.029999,79.360001,77.57,78.019997,424400,77.821222
2016-09-30,79.709999,79.760002,78.730003,78.849998,350800,78.649109
2016-09-29,80.639999,80.639999,78.440002,79.25,416700,79.048092
2016-09-28,81.559998,81.559998,80.019997,80.709999,536800,80.504371
2016-09-27,81.760002,82.18,81.089996,81.610001,583200,81.402079
2016-09-26,81.940002,82.309998,81.260002,81.629997,423000,81.422025
2016-09-23,80.440002,82.550003,80.010002,82.18,469400,81.970627
2016-09-22,79.00,81.489998,78.580002,81.169998,533500,80.963198
2016-09-21,77.559998,79.129997,77.330002,78.309998,392700,78.110484
2016-09-20,77.269997,77.730003,76.419998,77.709999,427500,77.512014
2016-09-19,77.739998,78.120003,76.470001,76.809998,297300,76.614306
2016-09-16,78.32,78.330002,77.330002,77.610001,420100,77.41227
2016-09-15,78.07,78.489998,77.25,78.260002,271000,78.060616
2016-09-14,77.459999,78.099998,76.68,77.769997,284300,77.571859
2016-09-13,76.050003,77.50,75.879997,77.040001,291900,76.843723
2016-09-12,73.760002,76.260002,73.760002,76.169998,244200,75.975937
2016-09-09,75.309998,75.309998,74.00,74.00,172500,73.811467
2016-09-08,75.860001,77.050003,75.440002,75.510002,141400,75.317622
2016-09-07,75.900002,76.290001,75.18,76.169998,142700,75.975937
2016-09-06,75.830002,76.230003,75.400002,75.959999,126500,75.766473
2016-09-02,75.150002,76.00,75.059998,75.75,152900,75.557009
2016-09-01,74.599998,75.559998,74.300003,75.190002,162300,74.998438
2016-08-31,74.720001,75.07,73.889999,74.830002,246200,74.639354
2016-08-30,75.230003,75.470001,74.580002,74.720001,281200,74.529634
2016-08-29,74.739998,76.080002,74.50,75.360001,207000,75.168003
2016-08-26,75.860001,76.900002,74.080002,74.449997,173700,74.260318
2016-08-25,75.639999,76.160004,75.199997,75.339996,228100,75.14805
2016-08-24,75.849998,76.059998,75.540001,75.800003,172000,75.606884
2016-08-23,76.00,76.470001,75.57,75.839996,122200,75.646776
2016-08-22,74.50,76.010002,74.50,75.690002,212100,75.497164
2016-08-19,74.949997,75.480003,74.57,74.93,138600,74.739098
2016-08-18,74.169998,75.459999,73.93,75.300003,147400,75.108158
2016-08-17,73.989998,74.82,73.110001,74.160004,161600,73.971063
2016-08-16,74.620003,75.029999,74.129997,74.25,204200,74.06083
2016-08-15,75.00,75.510002,74.809998,75.00,232400,74.808919
2016-08-12,75.150002,75.190002,74.239998,74.660004,189000,74.469789
2016-08-11,75.209999,76.00,74.209999,75.150002,262000,74.958539
2016-08-10,75.160004,75.330002,73.809998,74.50,325200,74.310193
2016-08-09,75.580002,75.959999,75.080002,75.379997,377600,75.187949
2016-08-08,75.239998,76.07,75.239998,75.32,196900,75.128104
2016-08-05,75.68,76.870003,74.900002,75.510002,407000,75.317622
2016-08-04,76.860001,78.00,75.529999,75.760002,567100,75.566985
2016-08-03,75.349998,78.089996,73.059998,77.379997,913900,76.983361
2016-08-02,74.480003,74.830002,72.910004,74.010002,723500,73.63064
2016-08-01,74.019997,74.639999,73.010002,74.209999,328600,73.829612
2016-07-29,73.93,74.690002,73.360001,73.949997,191900,73.570943
2016-07-28,73.099998,73.889999,72.739998,73.650002,144600,73.272485
2016-07-27,72.410004,72.989998,71.620003,72.989998,335200,72.615864
2016-07-26,74.019997,74.059998,71.910004,72.239998,454900,71.869709
2016-07-25,73.870003,74.830002,73.040001,74.309998,320600,73.929098
2016-07-22,73.150002,74.139999,72.809998,73.25,214400,72.874534
2016-07-21,71.970001,73.50,71.260002,73.339996,322600,72.964069
2016-07-20,70.489998,72.150002,69.93,71.300003,313200,70.934532
2016-07-19,69.309998,69.68,69.110001,69.120003,118300,68.765706
2016-07-18,68.970001,69.550003,68.519997,69.160004,182900,68.805502
2016-07-15,69.360001,69.68,68.50,69.080002,245700,68.72591
2016-07-14,69.610001,69.93,68.839996,69.139999,165700,68.7856
2016-07-13,69.589996,70.260002,69.129997,69.25,171200,68.895037
2016-07-12,69.889999,70.080002,69.120003,69.760002,174000,69.402425
2016-07-11,68.709999,70.480003,68.57,69.730003,244200,69.37258
2016-07-08,67.989998,69.440002,67.32,68.480003,225000,68.128987
2016-07-07,67.839996,68.209999,66.980003,67.599998,168100,67.253493
2016-07-06,67.860001,68.290001,67.559998,67.910004,185100,67.561909
2016-07-05,68.050003,68.169998,66.889999,67.919998,222300,67.571852
2016-07-01,68.059998,68.660004,67.330002,68.029999,218100,67.681289
2016-06-30,67.639999,68.080002,66.339996,68.00,298800,67.651444
2016-06-29,66.330002,67.410004,66.330002,67.330002,238500,66.98488
2016-06-28,66.050003,66.830002,65.550003,65.980003,200200,65.641802
2016-06-27,66.309998,66.660004,65.510002,65.82,429400,65.482618
2016-06-24,65.389999,67.389999,65.010002,66.690002,425700,66.348161
2016-06-23,66.599998,67.989998,66.360001,67.790001,284900,67.442522
2016-06-22,65.059998,66.370003,63.77,66.239998,442700,65.900464
2016-06-21,66.800003,66.919998,66.32,66.470001,256800,66.129288
2016-06-20,66.230003,66.709999,65.709999,66.239998,257200,65.900464
2016-06-17,65.889999,66.349998,64.550003,65.269997,517500,64.935434
2016-06-16,64.349998,66.010002,63.09,65.889999,495500,65.552259
2016-06-15,65.400002,65.730003,64.510002,64.580002,264500,64.248976
2016-06-14,64.199997,65.599998,63.970001,65.059998,265100,64.726512
2016-06-13,64.559998,65.349998,64.169998,64.589996,227400,64.25892
2016-06-10,64.970001,65.239998,63.860001,64.559998,176200,64.229075
2016-06-09,65.32,65.910004,65.25,65.300003,170500,64.965287
2016-06-08,64.730003,65.610001,64.32,65.32,212100,64.985181
2016-06-07,64.230003,65.230003,64.099998,64.389999,304100,64.059948
2016-06-06,62.639999,64.400002,62.009998,64.300003,325000,63.970413
2016-06-03,63.23,63.540001,62.490002,62.549999,246900,62.229379
2016-06-02,62.830002,63.509998,62.580002,63.27,261600,62.94569
2016-06-01,63.02,63.889999,62.75,62.799999,297400,62.478098
2016-05-31,63.50,63.639999,62.610001,63.34,295400,63.015331
2016-05-27,62.900002,63.759998,62.709999,63.41,176200,63.084972
2016-05-26,62.68,63.470001,62.650002,62.669998,250800,62.348763
2016-05-25,62.27,63.330002,61.599998,62.869999,248500,62.547739
2016-05-24,61.259998,62.889999,61.259998,62.549999,268300,62.229379
2016-05-23,61.009998,61.990002,60.959999,61.259998,374100,60.945991
2016-05-20,60.18,61.34,59.98,61.009998,261200,60.697272
2016-05-19,60.080002,60.619999,59.529999,60.130001,203900,59.821785
2016-05-18,58.830002,60.689999,58.830002,60.169998,343200,59.861578
2016-05-17,60.889999,61.32,59.459999,60.00,346100,59.692451
2016-05-16,61.66,61.709999,60.459999,61.060001,222500,60.747019
2016-05-13,61.939999,62.23,61.169998,61.75,508800,61.433481
2016-05-12,60.099998,62.43,59.650002,61.849998,607400,61.532966
2016-05-11,60.330002,60.330002,58.709999,59.740002,459300,59.433785
2016-05-10,59.799999,60.389999,58.689999,60.349998,399900,60.040655
2016-05-09,59.490002,60.27,59.009998,60.060001,358500,59.752145
2016-05-06,59.93,60.419998,58.630001,59.490002,494100,59.185067
2016-05-05,60.139999,62.360001,58.759998,60.029999,895100,59.722296
2016-05-04,54.00,60.84,54.00,60.16,1593400,59.677528
2016-05-03,57.57,58.25,55.599998,55.619999,840000,55.173937
2016-05-02,56.810001,57.91,56.490002,57.619999,406800,57.157898
2016-04-29,56.299999,57.049999,55.889999,56.59,284400,56.136159
2016-04-28,56.75,57.799999,55.990002,56.490002,413300,56.036963
2016-04-27,57.630001,58.189999,57.110001,58.09,254100,57.62413
2016-04-26,57.48,58.189999,57.07,57.75,168600,57.286856
2016-04-25,58.299999,58.619999,57.310001,57.57,267700,57.1083
2016-04-22,56.880001,58.490002,56.880001,58.459999,453700,57.991161
2016-04-21,58.689999,58.689999,56.560001,57.32,442700,56.860304
2016-04-20,56.93,58.68,56.880001,58.330002,453400,57.862207
2016-04-19,57.470001,57.689999,55.849998,56.73,283800,56.275036
2016-04-18,57.389999,57.560001,56.82,57.470001,290300,57.009103
2016-04-15,56.610001,57.619999,56.48,57.419998,226400,56.959501
2016-04-14,56.93,57.099998,56.360001,56.790001,245100,56.334556
2016-04-13,56.220001,56.790001,55.73,56.75,261300,56.294876
2016-04-12,55.540001,56.240002,55.099998,55.919998,341800,55.471531
2016-04-11,55.689999,57.93,55.599998,55.610001,433600,55.164019
2016-04-08,55.040001,55.669998,54.369999,55.380001,221700,54.935864
2016-04-07,54.970001,56.139999,54.50,54.880001,361700,54.439874
2016-04-06,55.169998,56.68,55.150002,55.209999,406500,54.767226
2016-04-05,54.91,55.869999,54.639999,55.220001,311100,54.777148
2016-04-04,55.450001,55.799999,54.619999,55.240002,405500,54.796988
2016-04-01,53.779999,55.740002,53.779999,55.529999,645800,55.084659
2016-03-31,55.43,55.509998,53.23,54.189999,1032200,53.755405
2016-03-30,56.540001,57.09,55.029999,55.490002,340000,55.044983
2016-03-29,54.23,56.529999,54.080002,56.25,479400,55.798886
2016-03-28,55.110001,55.59,53.59,54.380001,288100,53.943884
2016-03-24,55.119999,56.349998,53.82,54.73,459200,54.291076
2016-03-23,56.189999,56.189999,55.27,55.279999,252900,54.836664
2016-03-22,55.939999,56.619999,55.580002,56.139999,307900,55.689768
