Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,22.309999,22.34,22.10,22.120001,20800,22.120001
2016-11-30,22.780001,22.780001,22.309999,22.309999,65500,22.309999
2016-11-29,22.360001,22.629999,22.360001,22.48,106700,22.48
2016-11-28,22.68,22.68,22.333,22.450001,8000,22.450001
2016-11-25,22.40,22.60,22.40,22.485001,8100,22.485001
2016-11-23,22.497999,22.497999,22.40,22.42,18700,22.42
2016-11-22,22.60,22.726999,22.469999,22.60,26000,22.438001
2016-11-21,22.49,22.599001,22.450001,22.57,19900,22.408215
2016-11-18,22.402,22.49,22.327999,22.422001,9800,22.261277
2016-11-17,22.33,22.50,22.266001,22.49,10500,22.328789
2016-11-16,22.275999,22.388,22.190001,22.191,12200,22.031932
2016-11-15,22.049999,22.268,22.049999,22.15,19500,21.991226
2016-11-14,21.940001,22.069,21.783001,21.84,18300,21.683449
2016-11-11,22.00,22.15,21.90,22.061001,17600,21.902865
2016-11-10,22.27,22.27,21.84,22.10,28800,21.941585
2016-11-09,22.00,22.399,22.00,22.32,25200,22.160007
2016-11-08,22.25,22.25,22.00,22.09,24300,21.931657
2016-11-07,22.049999,22.198,21.959999,22.040001,52300,21.882016
2016-11-04,21.85,21.905001,21.610001,21.620001,50500,21.465026
2016-11-03,22.049999,22.049999,21.75,21.83,25600,21.67352
2016-11-02,22.08,22.209,21.870001,21.91,24800,21.752946
2016-11-01,22.17,22.183001,21.906,22.035,9600,21.87705
2016-10-31,22.33,22.33,22.10,22.15,9700,21.991226
2016-10-28,22.549999,22.549999,22.129999,22.129999,20300,21.971369
2016-10-27,22.50,22.50,22.200001,22.282,9900,22.12228
2016-10-26,22.530001,22.530001,22.181,22.26,25500,22.100438
2016-10-25,22.799999,22.799999,22.469999,22.540001,31100,22.230499
2016-10-24,22.67,22.67,22.50,22.59,19000,22.279811
2016-10-21,22.360001,22.454,22.299999,22.40,14600,22.09242
2016-10-20,22.32,22.450001,22.290001,22.379999,20600,22.072694
2016-10-19,22.40,22.40,22.224001,22.290001,18900,21.983932
2016-10-18,22.17,22.379999,22.17,22.32,36000,22.013518
2016-10-17,22.370001,22.370001,22.18,22.209999,12100,21.905028
2016-10-14,22.450001,22.450001,22.16,22.200001,20600,21.895167
2016-10-13,22.110001,22.24,22.00,22.207001,29300,21.902071
2016-10-12,22.360001,22.360001,22.120001,22.219999,7600,21.914891
