Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,16.10,16.33,16.00,16.25,186400,16.25
2016-11-30,16.35,16.40,16.059999,16.10,199600,16.10
2016-11-29,16.299999,16.65,16.200001,16.200001,163900,16.200001
2016-11-28,16.200001,16.40,16.10,16.299999,325900,16.299999
2016-11-25,16.15,16.58,16.00,16.299999,974800,16.299999
2016-11-23,16.799999,16.90,15.95,16.049999,369400,16.049999
2016-11-22,16.60,16.85,16.00,16.799999,263600,16.799999
2016-11-21,16.85,16.950001,16.35,16.50,282200,16.50
2016-11-18,16.60,16.950001,16.23,16.950001,280100,16.950001
2016-11-17,15.85,17.00,15.85,16.450001,527100,16.450001
2016-11-16,15.65,15.95,15.46,15.90,157900,15.90
2016-11-15,15.75,15.85,15.60,15.75,474900,15.75
2016-11-14,15.75,15.88,15.55,15.65,428000,15.54
2016-11-11,15.40,15.80,15.40,15.70,480300,15.589648
2016-11-10,15.65,15.67,15.35,15.50,372700,15.391054
2016-11-09,14.90,15.50,14.81,15.35,313600,15.242109
2016-11-08,15.05,15.30,14.85,15.15,181700,15.043514
2016-11-07,14.75,15.10,14.71,15.05,295200,14.944217
2016-11-04,14.60,14.70,14.60,14.60,236700,14.497381
2016-11-03,14.60,14.78,14.60,14.65,392000,14.547028
2016-11-02,14.70,14.75,14.55,14.60,239500,14.497381
2016-11-01,14.90,15.05,14.58,14.60,276700,14.497381
2016-10-31,14.55,14.85,14.55,14.85,284900,14.745623
2016-10-28,14.57,14.67,14.54,14.61,209100,14.507309
2016-10-27,14.65,14.65,14.47,14.55,227300,14.447732
2016-10-26,14.45,14.57,14.37,14.53,311400,14.427872
2016-10-25,14.59,14.59,14.47,14.50,234000,14.398083
2016-10-24,14.48,14.58,14.41,14.54,232800,14.437802
2016-10-21,14.29,14.63,14.29,14.45,269900,14.348434
2016-10-20,14.42,14.51,14.36,14.36,576100,14.259067
2016-10-19,14.60,14.65,14.40,14.45,411100,14.348434
2016-10-18,14.70,15.00,14.55,14.59,1117700,14.487451
2016-10-17,13.08,13.14,12.99,13.06,197900,12.968205
2016-10-14,13.08,13.20,12.93,13.10,89800,13.007924
2016-10-13,13.20,13.24,12.90,13.01,279800,12.918556
2016-10-12,13.13,13.43,13.03,13.22,272300,13.12708
2016-10-11,13.15,13.20,12.95,13.15,620600,13.057571
2016-10-10,13.05,13.47,13.02,13.23,249900,13.137009
2016-10-07,13.00,13.10,12.89,13.00,356200,12.908626
2016-10-06,13.10,13.57,12.41,13.08,869300,12.988064
2016-10-05,14.83,15.02,14.67,14.97,200700,14.86478
2016-10-04,14.97,15.10,14.75,14.77,95400,14.666186
2016-10-03,14.85,14.99,14.72,14.97,439600,14.86478
2016-09-30,14.55,15.02,14.43,14.94,229500,14.83499
2016-09-29,14.65,14.71,14.46,14.47,46200,14.368294
2016-09-28,14.60,14.71,14.53,14.68,91900,14.576818
2016-09-27,14.67,14.76,14.53,14.62,101200,14.517239
2016-09-26,14.55,14.87,14.55,14.67,102800,14.566888
2016-09-23,14.61,14.72,14.59,14.71,97600,14.606607
2016-09-22,14.45,14.72,14.45,14.71,99300,14.606607
2016-09-21,14.11,14.39,14.11,14.39,99700,14.288857
2016-09-20,14.11,14.25,14.00,14.03,90100,13.931386
2016-09-19,14.08,14.27,13.98,14.02,187400,13.921457
2016-09-16,14.15,14.36,13.89,14.00,426600,13.901597
2016-09-15,14.02,14.19,13.94,14.12,90400,14.020754
2016-09-14,14.15,14.25,13.94,13.94,99300,13.842019
2016-09-13,14.41,14.41,14.06,14.11,156400,14.010824
2016-09-12,14.52,14.55,14.40,14.47,106200,14.368294
2016-09-09,14.96,15.06,14.52,14.52,99000,14.417943
2016-09-08,15.13,15.21,15.06,15.11,161700,15.003795
2016-09-07,15.08,15.21,15.03,15.10,201600,14.993866
2016-09-06,15.38,15.38,15.06,15.10,116200,14.993866
2016-09-02,15.13,15.36,15.13,15.34,167800,15.232179
2016-09-01,15.13,15.21,14.95,15.03,131200,14.924357
2016-08-31,15.16,15.36,15.08,15.09,98000,14.983936
2016-08-30,15.19,15.36,15.13,15.17,90600,15.063374
2016-08-29,15.11,15.25,15.11,15.16,103400,15.053444
2016-08-26,15.48,15.56,15.06,15.08,91300,14.974006
2016-08-25,15.35,15.50,15.25,15.50,122300,15.391054
2016-08-24,15.31,15.41,15.25,15.34,86100,15.232179
2016-08-23,15.20,15.46,15.20,15.34,68800,15.232179
2016-08-22,15.04,15.17,14.89,15.15,129600,15.043514
2016-08-19,15.23,15.58,15.07,15.21,148400,14.993866
2016-08-18,15.07,15.44,15.01,15.29,166800,15.072729
2016-08-17,15.28,15.47,15.27,15.32,103100,15.102303
2016-08-16,15.28,15.39,15.18,15.32,89000,15.102303
2016-08-15,15.23,15.46,15.22,15.34,117500,15.122019
2016-08-12,15.11,15.21,15.05,15.19,99700,14.97415
2016-08-11,15.12,15.27,14.91,15.12,114600,14.905145
2016-08-10,15.09,15.18,14.87,15.03,200200,14.816424
2016-08-09,15.05,15.23,15.04,15.04,165600,14.826282
2016-08-08,15.02,15.27,14.97,15.01,88900,14.796708
2016-08-05,14.99,15.32,14.90,15.11,202000,14.895287
2016-08-04,15.00,15.09,14.82,14.89,117700,14.678414
2016-08-03,14.61,15.00,14.52,14.97,267300,14.757277
2016-08-02,14.92,14.94,14.54,14.57,159800,14.36296
2016-08-01,14.88,14.98,14.85,14.92,96100,14.707987
2016-07-29,14.97,15.03,14.77,14.90,172200,14.688271
2016-07-28,15.16,15.16,14.96,14.96,113100,14.747419
2016-07-27,15.21,15.23,15.05,15.15,137800,14.934718
2016-07-26,15.00,15.33,15.00,15.13,213600,14.915003
2016-07-25,14.91,15.07,14.91,14.95,118500,14.737561
2016-07-22,15.08,15.13,14.85,15.00,133800,14.78685
2016-07-21,15.00,15.15,14.67,15.11,152300,14.895287
2016-07-20,14.98,15.13,14.19,15.03,184300,14.816424
2016-07-19,15.01,15.15,14.93,14.99,181900,14.776992
2016-07-18,14.99,15.19,14.20,15.05,257300,14.83614
