Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,53.93,53.98,53.650002,53.650002,3700,53.650002
2016-11-30,54.178001,54.178001,54.139999,54.16,7700,54.16
2016-11-29,54.23,54.23,54.224998,54.224998,900,54.224998
2016-11-28,54.380001,54.380001,54.380001,54.380001,500,54.380001
2016-11-25,53.91,53.91,53.869999,53.869999,300,53.869999
2016-11-23,53.209999,53.810001,53.209999,53.810001,2700,53.810001
2016-11-22,53.919998,54.224998,53.919998,54.169998,2200,54.169998
2016-11-21,53.48,53.52,53.355999,53.355999,2200,53.355999
2016-11-18,53.32,53.34,52.950001,52.950001,1700,52.950001
2016-11-17,53.060001,53.41,53.060001,53.25,7400,53.25
2016-11-16,52.990002,53.185001,52.990002,53.110001,9500,53.110001
2016-11-15,53.490002,53.611,53.389999,53.611,1100,53.611
2016-11-14,52.599998,52.75,52.549999,52.68,7600,52.68
2016-11-11,52.709999,52.900002,52.709999,52.790001,3000,52.790001
2016-11-10,53.790001,54.215,53.720001,53.720001,5900,53.720001
2016-11-09,55.098999,55.43,54.990002,55.240002,33100,55.240002
2016-11-08,56.57,56.57,56.57,56.57,200,56.57
2016-11-07,56.389999,56.389999,56.367001,56.389999,1600,56.389999
2016-11-04,54.84,55.009998,54.82,54.990002,2900,54.990002
2016-11-03,55.599998,55.629002,55.349998,55.43,21000,55.43
2016-11-02,55.709999,55.709999,55.650002,55.689999,3500,55.689999
2016-11-01,56.490002,56.490002,56.48,56.48,600,56.48
2016-10-31,56.597,56.597,56.59,56.59,800,56.59
2016-10-28,56.84,56.84,56.209999,56.25,4600,56.25
2016-10-27,56.569,56.569,56.389999,56.419998,500,56.419998
2016-10-26,56.610001,56.75,56.610001,56.75,1000,56.75
2016-10-25,57.130001,57.139999,57.110001,57.110001,700,57.110001
2016-10-24,60.470001,60.470001,57.110001,57.110001,800,57.110001
2016-10-21,56.380001,56.630001,56.380001,56.630001,400,56.630001
2016-10-20,56.75,56.990002,56.75,56.869999,7700,56.869999
2016-10-19,57.389999,57.389999,56.91,57.159,2800,57.159
2016-10-18,56.66,56.799999,56.66,56.729,2400,56.729
2016-10-17,55.73,55.779999,55.73,55.779999,700,55.779999
2016-10-14,56.509998,56.509998,55.610001,55.610001,2800,55.610001
2016-10-13,55.369999,55.849998,55.369999,55.849998,600,55.849998
2016-10-12,56.009998,56.299999,56.009998,56.299999,1500,56.299999
