Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,16.85,16.85,16.07,16.549999,8500,16.549999
2016-11-30,16.950001,16.950001,16.50,16.700001,9800,16.700001
2016-11-29,17.00,17.00,16.85,16.85,10500,16.85
2016-11-28,17.00,17.15,16.799999,17.00,32100,17.00
2016-11-25,16.33,17.15,15.85,17.049999,4900,17.049999
2016-11-23,17.000001,17.25,16.90,17.049999,18200,16.631188
2016-11-22,16.85,17.349999,16.300001,17.099999,11200,16.67996
2016-11-21,16.60,16.749999,16.45,16.650001,28000,16.241015
2016-11-18,15.249999,17.300001,15.20,16.90,25800,16.484873
2016-11-17,15.249999,15.249999,15.20,15.249999,44900,14.875403
2016-11-16,15.249999,15.249999,15.15,15.249999,7300,14.875403
2016-11-15,15.249999,15.249999,14.95,15.249999,57400,14.875403
2016-11-14,15.249999,15.249999,14.60,15.249999,19500,14.875403
2016-11-11,14.25,15.249999,14.25,15.249999,34100,14.875403
2016-11-10,13.15,14.749999,12.91,14.35,40400,13.997511
2016-11-09,12.45,13.00,12.45,12.95,5900,12.631899
2016-11-08,12.90,12.95,12.65,12.95,3100,12.631899
2016-11-07,12.85,13.00,12.15,13.00,6300,12.680672
2016-11-04,13.00,13.00,12.50,12.80,4800,12.485584
2016-11-03,12.80,12.80,12.10,12.35,2200,12.046638
2016-11-02,12.70,12.80,12.65,12.65,5100,12.339269
2016-11-01,12.70,12.85,12.65,12.75,2700,12.436812
2016-10-31,12.549999,13.00,12.50,12.80,8300,12.485584
2016-10-28,13.18,13.20,12.30,12.45,8400,12.144181
2016-10-27,12.40,12.50,12.40,12.45,4000,12.144181
2016-10-26,12.30,12.40,12.25,12.40,3400,12.095409
2016-10-25,12.20,12.40,12.10,12.20,7000,11.900323
2016-10-24,12.20,12.40,12.20,12.35,10500,12.046638
2016-10-21,12.60,12.60,12.15,12.25,5900,11.949094
2016-10-20,12.70,12.95,12.549999,12.75,4700,12.436812
2016-10-19,12.70,13.10,12.549999,13.00,5900,12.680672
2016-10-18,12.65,12.75,12.50,12.65,6300,12.339269
2016-10-17,12.40,12.70,12.40,12.60,3800,12.290497
2016-10-14,12.35,13.35,12.35,13.049999,3400,12.729443
2016-10-13,12.10,12.90,12.10,12.70,7900,12.388041
2016-10-12,13.13,13.50,12.85,12.95,6200,12.631899
2016-10-11,13.68,13.75,12.15,12.40,20100,12.095409
2016-10-10,12.90,13.899999,12.90,13.50,12600,13.16839
2016-10-07,13.28,13.77,13.27,13.43,13600,13.100109
2016-10-06,13.80,14.01,13.54,13.83,58400,13.490284
2016-10-05,13.12,14.22,12.92,13.96,27200,13.61709
2016-10-04,13.30,13.37,12.49,13.30,10000,12.973302
2016-10-03,13.34,13.48,13.01,13.41,11800,13.0806
2016-09-30,12.99,13.52,12.77,13.36,18400,13.031829
2016-09-29,12.97,12.97,12.549999,12.62,5700,12.310006
2016-09-28,12.95,13.01,12.75,12.86,8700,12.544111
2016-09-27,12.87,13.03,12.84,13.00,7900,12.680672
2016-09-26,13.10,13.20,12.889999,12.93,31600,12.612391
2016-09-23,13.00,13.16,12.85,13.12,31500,12.797724
2016-09-22,12.86,13.21,12.76,12.98,17200,12.661163
2016-09-21,12.45,13.00,12.15,12.94,13800,12.622145
2016-09-20,12.62,12.62,12.10,12.45,11100,12.144181
2016-09-19,12.02,12.549999,11.48,12.49,31900,12.183199
2016-09-16,13.37,13.37,11.86,12.15,316100,11.851551
2016-09-15,12.25,13.37,12.25,13.13,49000,12.807478
2016-09-14,11.93,12.75,11.93,12.58,52700,12.270988
2016-09-13,12.17,12.27,11.91,12.03,30900,11.734499
